UUUU,Energy Fuels Inc Ordinary Shares (Canada),NASDAQ
0.23,0.23,0.23,0.23
0.25,0.24,0.25,0.24
0.26,0.28,0.28,0.25
0.28,0.28,0.29,0.28
0.28,0.28,0.28,0.28
0.29,0.29,0.29,0.29
0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25
0.24,0.25,0.26,0.24
0.24,0.24,0.24,0.24
0.25,0.25,0.25,0.25
0.25,0.25,0.25,0.25
0.25,0.22,0.25,0.22
0.23,0.24,0.24,0.23
0.24,0.24,0.24,0.24
0.24,0.24,0.24,0.24
0.23,0.22,0.23,0.22
0.23,0.21,0.23,0.21
0.22,0.22,0.22,0.22
0.21,0.22,0.24,0.21
0.22,0.22,0.22,0.22
0.22,0.23,0.24,0.22
0.23,0.20,0.23,0.20
0.21,0.22,0.22,0.20
0.21,0.22,0.22,0.21
0.21,0.21,0.21,0.21
0.22,0.22,0.22,0.22
0.21,0.20,0.21,0.20
0.20,0.20,0.20,0.20
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.22
0.23,0.23,0.23,0.23
0.22,0.22,0.22,0.22
0.22,0.22,0.23,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.22,0.22,0.22,0.22
0.23,0.22,0.23,0.22
0.24,0.24,0.24,0.24
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.22,0.22,0.22,0.22
0.24,0.23,0.24,0.22
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.23,0.22,0.23,0.22
0.22,0.22,0.23,0.22
0.23,0.22,0.23,0.22
0.22,0.22,0.22,0.21
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.23,0.23,0.22
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.23,0.23,0.23,0.23
0.22,0.22,0.22,0.22
0.23,0.22,0.23,0.22
0.22,0.22,0.22,0.21
0.22,0.22,0.22,0.22
0.23,0.22,0.23,0.22
0.23,0.22,0.23,0.22
0.23,0.21,0.23,0.21
0.21,0.22,0.22,0.21
0.23,0.23,0.23,0.23
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.22,0.22,0.21
0.21,0.21,0.21,0.20
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.20,0.20,0.20,0.20
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.21
0.21,0.21,0.21,0.20
0.20,0.20,0.20,0.20
0.20,0.20,0.20,0.20
0.20,0.19,0.20,0.19
0.19,0.19,0.19,0.19
0.21,0.20,0.21,0.20
0.20,0.20,0.20,0.20
0.17,0.17,0.19,0.17
0.17,0.16,0.17,0.16
0.19,0.19,0.19,0.19
0.19,0.19,0.19,0.17
0.18,0.18,0.18,0.17
0.18,0.18,0.19,0.17
0.16,0.16,0.16,0.16
0.18,0.18,0.18,0.18
0.18,0.17,0.18,0.16
0.17,0.16,0.17,0.16
0.15,0.15,0.16,0.15
0.14,0.16,0.16,0.14
0.27,0.27,0.27,0.27
0.15,0.14,0.16,0.13
0.16,0.15,0.16,0.14
0.16,0.16,0.16,0.15
0.16,0.15,0.16,0.15
0.16,0.15,0.16,0.15
0.16,0.16,0.17,0.16
0.16,0.16,0.16,0.16
0.16,0.15,0.16,0.15
0.17,0.15,0.17,0.15
0.15,0.15,0.15,0.15
0.16,0.16,0.16,0.16
0.16,0.16,0.16,0.16
0.17,0.16,0.17,0.15
0.16,0.16,0.16,0.16
0.16,0.17,0.17,0.16
0.17,0.17,0.17,0.17
0.17,0.17,0.17,0.17
0.17,0.17,0.17,0.17
0.17,0.17,0.17,0.17
0.17,0.17,0.17,0.17
0.17,0.17,0.17,0.17
0.17,0.17,0.17,0.17
0.14,0.14,0.14,0.14
0.14,0.14,0.14,0.14
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.13
0.13,0.13,0.13,0.13
0.13,0.12,0.14,0.12
0.12,0.12,0.12,0.12
0.14,0.15,0.15,0.13
0.16,0.15,0.17,0.15
0.15,0.16,0.16,0.15
0.17,0.17,0.17,0.17
0.17,0.17,0.17,0.17
0.17,0.17,0.17,0.17
0.17,0.17,0.17,0.17
0.17,0.17,0.17,0.17
0.15,0.16,0.16,0.15
0.15,0.15,0.15,0.15
0.16,0.16,0.16,0.16
0.17,0.16,0.17,0.16
0.17,0.19,0.20,0.17
0.19,0.22,0.22,0.19
0.24,0.23,0.24,0.22
0.24,0.24,0.24,0.23
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.22,0.22,0.22,0.22
0.24,0.26,0.26,0.24
0.26,0.29,0.32,0.26
0.29,0.29,0.29,0.29
0.29,0.29,0.29,0.29
0.30,0.29,0.30,0.29
0.28,0.28,0.28,0.28
0.27,0.25,0.27,0.25
0.26,0.26,0.26,0.26
0.27,0.27,0.27,0.27
0.27,0.27,0.27,0.27
0.27,0.27,0.27,0.27
0.27,0.27,0.27,0.27
0.27,0.27,0.27,0.27
0.28,0.24,0.28,0.24
0.26,0.25,0.26,0.25
0.25,0.25,0.25,0.25
0.23,0.23,0.23,0.22
0.22,0.22,0.22,0.21
0.20,0.22,0.22,0.19
0.24,0.23,0.25,0.23
0.22,0.22,0.22,0.22
0.21,0.21,0.21,0.21
0.22,0.21,0.22,0.21
0.22,0.24,0.24,0.22
0.25,0.23,0.25,0.23
0.23,0.23,0.23,0.23
0.24,0.23,0.24,0.23
0.23,0.23,0.23,0.23
0.25,0.28,0.28,0.25
0.27,0.29,0.29,0.27
0.27,0.27,0.28,0.26
0.26,0.28,0.28,0.26
0.27,0.27,0.27,0.27
0.27,0.27,0.27,0.27
0.27,0.27,0.27,0.27
0.26,0.26,0.26,0.26
0.25,0.25,0.25,0.25
0.27,0.30,0.30,0.27
0.30,0.31,0.31,0.30
0.30,0.31,0.31,0.28
0.34,0.33,0.35,0.33
0.35,0.34,0.36,0.34
0.36,0.37,0.37,0.34
0.36,0.35,0.36,0.32
0.33,0.31,0.33,0.31
0.31,0.33,0.33,0.31
0.32,0.31,0.32,0.31
0.31,0.31,0.31,0.31
0.31,0.31,0.31,0.31
0.31,0.31,0.31,0.31
0.38,0.40,0.43,0.38
0.43,0.49,0.49,0.43
0.50,0.60,0.62,0.49
0.59,0.58,0.60,0.55
0.56,0.48,0.56,0.47
0.49,0.50,0.54,0.48
0.51,0.49,0.51,0.47
0.50,0.48,0.50,0.48
0.50,0.63,0.66,0.49
0.61,0.63,0.65,0.61
0.64,0.62,0.64,0.60
0.65,0.61,0.65,0.61
0.60,0.60,0.60,0.59
0.64,0.60,0.64,0.60
0.61,0.58,0.62,0.58
0.58,0.57,0.58,0.55
0.58,0.63,0.65,0.58
0.62,0.59,0.63,0.58
0.60,0.70,0.70,0.59
0.74,0.66,0.75,0.65
0.69,0.70,0.70,0.69
0.67,0.70,0.70,0.67
0.71,0.68,0.71,0.68
0.66,0.65,0.67,0.62
0.62,0.59,0.62,0.56
0.58,0.57,0.58,0.57
0.61,0.61,0.63,0.59
0.61,0.61,0.61,0.61
0.61,0.60,0.61,0.60
0.59,0.57,0.59,0.57
0.59,0.60,0.62,0.59
0.59,0.62,0.62,0.57
0.63,0.59,0.63,0.59
0.58,0.61,0.63,0.58
0.62,0.64,0.64,0.61
