BIS,ProShares UltraShort Nasdaq Biotechnology,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
1210.60,1217.20,1227.00,1210.40
1202.00,1202.00,1202.00,1202.00
1200.80,1203.20,1210.00,1199.00
1200.00,1198.40,1213.20,1198.40
1194.60,1185.40,1200.40,1185.40
1179.00,1182.00,1182.00,1179.00
1182.00,1194.00,1201.60,1182.00
1187.40,1206.00,1216.60,1187.40
1198.40,1196.20,1206.60,1196.20
1224.40,1235.32,1244.20,1222.00
1237.20,1252.40,1279.60,1237.20
1246.80,1229.00,1246.80,1229.00
1221.80,1242.00,1242.00,1221.80
1240.20,1271.97,1271.97,1225.40
1267.80,1270.40,1270.40,1266.62
1252.40,1188.20,1252.40,1175.00
1176.60,1206.60,1206.60,1176.60
1206.60,1188.40,1206.60,1188.40
1221.20,1230.00,1241.20,1221.20
1294.40,1282.00,1294.60,1278.78
1297.40,1464.00,1545.00,1296.20
1550.00,1460.00,1550.00,1393.20
1321.60,1370.40,1387.60,1321.60
1348.60,1335.60,1348.60,1312.20
1290.80,1290.80,1290.80,1290.80
nan,1290.80,nan,nan
1349.80,1370.60,1390.80,1349.80
1363.20,1362.50,1363.20,1362.50
1348.00,1390.80,1393.80,1339.60
1378.20,1397.00,1418.60,1378.20
1496.40,1496.00,1516.40,1491.20
1556.40,1518.80,1560.20,1496.00
1530.00,1528.80,1530.00,1524.10
1594.80,1531.20,1610.70,1531.20
1497.40,1558.00,1558.60,1493.20
1505.00,1478.00,1507.70,1478.00
nan,1478.00,nan,nan
1495.40,1542.00,1542.00,1495.40
1514.00,1435.00,1514.00,1435.00
1425.00,1410.80,1426.20,1409.80
nan,1410.80,nan,nan
1537.00,1554.40,1554.40,1516.20
1576.20,1593.00,1608.80,1543.80
1561.40,1603.00,1603.00,1548.40
1547.60,1500.80,1547.60,1500.80
1518.00,1465.00,1518.00,1464.60
nan,1465.00,nan,nan
1404.00,1394.02,1404.00,1394.02
1410.20,1404.80,1410.20,1394.00
N/A,N/A,N/A,N/A
1390.00,1402.40,1402.40,1378.20
N/A,N/A,N/A,N/A
1429.80,1463.00,1463.40,1429.80
1469.60,1461.40,1469.60,1461.40
1474.40,1479.60,1479.60,1474.40
1473.00,1436.80,1473.20,1425.80
N/A,N/A,N/A,N/A
1523.60,1542.80,1542.80,1523.60
1537.20,1593.40,1593.40,1534.10
1606.00,1663.20,1712.36,1606.00
1639.40,1639.40,1639.40,1639.40
1593.80,1672.20,1672.20,1593.60
1698.60,1637.40,1698.60,1637.40
1599.80,1586.20,1599.80,1586.20
1576.80,1539.20,1576.80,1535.88
1517.80,1549.40,1549.40,1517.80
1486.80,1483.20,1486.80,1483.20
N/A,N/A,N/A,N/A
1490.40,1490.40,1490.40,1490.00
N/A,N/A,N/A,N/A
1588.60,1588.60,1588.60,1588.60
1588.80,1569.60,1589.60,1569.60
1542.80,1569.80,1569.80,1527.40
1521.40,1520.80,1521.60,1520.80
1485.40,1492.60,1550.40,1485.40
1438.80,1404.80,1438.80,1404.80
1401.40,1416.76,1416.80,1401.40
1436.60,1470.80,1470.80,1436.60
1441.80,1478.20,1478.20,1441.80
1488.80,1431.20,1493.20,1429.40
1412.00,1412.00,1412.00,1412.00
1398.20,1365.40,1398.20,1365.40
1337.40,1331.00,1337.40,1331.00
1336.60,1343.80,1349.20,1336.60
1378.80,1325.60,1381.00,1325.60
1311.80,1320.00,1320.60,1311.80
1342.00,1327.40,1342.00,1327.40
N/A,N/A,N/A,N/A
1419.60,1381.60,1419.60,1369.80
1412.40,1395.60,1412.40,1393.80
1428.20,1397.20,1428.20,1397.20
1370.01,1370.01,1370.01,1370.01
1374.40,1375.20,1395.60,1358.20
1435.20,1435.20,1435.20,1435.20
1453.80,1454.00,1454.00,1453.80
1407.40,1442.40,1442.40,1407.40
1491.00,1489.20,1501.80,1489.20
1518.00,1486.20,1518.00,1486.20
1463.30,1512.00,1512.00,1463.30
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
1484.60,1486.00,1486.00,1484.60
1413.20,1413.20,1413.20,1413.20
N/A,N/A,N/A,N/A
1361.60,1361.60,1361.60,1361.60
1361.60,1370.80,1370.80,1361.60
1375.40,1375.40,1375.40,1375.40
1320.20,1306.80,1320.20,1295.00
1287.08,1287.08,1287.08,1287.08
1271.00,1271.00,1271.00,1271.00
1284.60,1284.60,1284.60,1284.60
1270.00,1256.84,1270.00,1256.84
1269.80,1271.20,1271.20,1263.80
N/A,N/A,N/A,N/A
1246.60,1230.00,1246.60,1230.00
1220.20,1220.20,1220.20,1220.20
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
1197.18,1212.80,1212.80,1197.18
1234.80,1223.20,1234.80,1223.20
1211.20,1222.60,1222.60,1211.00
1204.80,1220.60,1220.60,1204.80
N/A,N/A,N/A,N/A
1239.40,1238.00,1239.40,1238.00
1204.80,1178.80,1204.80,1178.80
1180.60,1192.20,1192.40,1178.60
1207.00,1195.60,1207.00,1190.80
1176.20,1184.40,1184.40,1176.20
1176.00,1186.00,1186.00,1176.00
1202.60,1163.60,1202.60,1162.20
1156.20,1157.20,1157.20,1146.20
1164.80,1166.80,1167.60,1163.60
1156.40,1142.20,1162.00,1139.80
1136.20,1126.00,1138.80,1126.00
1160.00,1162.60,1170.00,1160.00
1167.20,1154.60,1167.20,1138.40
1176.80,1163.00,1176.80,1163.00
1158.80,1159.40,1159.40,1158.80
1134.80,1142.00,1142.00,1133.20
1156.60,1147.60,1156.60,1144.20
1138.60,1136.00,1155.00,1136.00
1116.40,1123.00,1125.00,1116.20
N/A,N/A,N/A,N/A
1132.50,1138.80,1138.80,1132.50
N/A,N/A,N/A,N/A
1133.40,1131.80,1139.00,1131.80
N/A,N/A,N/A,N/A
1137.00,1149.00,1149.00,1137.00
1148.40,1155.40,1158.20,1148.40
N/A,N/A,N/A,N/A
1192.00,1164.20,1192.40,1164.20
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
1165.80,1164.40,1165.80,1164.20
1194.00,1194.00,1194.00,1194.00
N/A,N/A,N/A,N/A
1155.00,1146.00,1155.00,1138.80
1138.00,1142.00,1142.40,1138.00
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
1136.60,1136.60,1136.60,1136.60
1154.20,1145.80,1154.20,1145.80
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
1131.20,1131.20,1131.20,1131.20
1123.60,1120.88,1123.80,1120.88
1124.00,1124.00,1124.00,1124.00
1120.80,1120.80,1120.80,1120.80
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
1038.40,1059.40,1059.40,1038.40
1030.40,1030.40,1030.40,1030.40
1003.00,1003.00,1003.00,1003.00
N/A,N/A,N/A,N/A
997.00,991.20,997.00,991.20
992.80,992.80,992.80,992.80
N/A,N/A,N/A,N/A
1003.15,1003.15,1003.15,1003.15
N/A,N/A,N/A,N/A
1000.40,1000.40,1000.40,1000.40
1005.40,1005.40,1005.40,1005.40
1016.00,1016.00,1016.00,1016.00
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
1016.00,983.60,1016.00,983.60
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
978.56,978.56,978.56,978.56
N/A,N/A,N/A,N/A
901.20,963.40,965.80,901.20
963.40,958.80,963.40,958.80
N/A,N/A,N/A,N/A
958.60,958.80,958.80,958.60
983.00,983.00,983.00,983.00
N/A,N/A,N/A,N/A
nan,1007.40,nan,nan
988.80,988.80,988.80,988.80
952.00,953.00,953.00,952.00
N/A,N/A,N/A,N/A
1002.80,1002.80,1002.80,1002.80
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
995.60,996.20,996.20,995.60
1002.20,1002.80,1002.80,1002.20
1012.00,1012.00,1012.00,1012.00
1006.40,1006.40,1006.40,1006.40
N/A,N/A,N/A,N/A
989.20,989.20,989.20,989.20
980.80,980.80,980.80,980.80
1015.40,1015.40,1015.40,1015.40
N/A,N/A,N/A,N/A
1005.60,969.40,1005.60,969.40
999.80,1001.40,1001.40,999.80
1001.60,1020.00,1020.00,1001.40
1023.20,1014.80,1030.35,1014.80
N/A,N/A,N/A,N/A
988.40,983.20,988.40,983.20
nan,1022.20,nan,nan
1013.40,981.20,1013.40,981.20
966.00,953.60,966.40,950.00
N/A,N/A,N/A,N/A
970.20,962.40,972.60,962.40
951.60,940.20,951.60,940.20
N/A,N/A,N/A,N/A
966.80,966.80,966.80,965.00
984.40,958.80,984.40,958.80
968.40,963.60,968.40,963.60
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
1000.80,1001.40,1001.40,996.20
983.00,981.00,983.00,981.00
978.60,953.40,978.60,953.40
979.60,980.00,980.00,979.60
981.00,971.60,981.00,971.60
N/A,N/A,N/A,N/A
927.60,932.60,932.60,926.80
972.20,942.40,972.20,942.20
942.40,916.80,942.40,916.80
889.40,876.00,889.40,876.00
876.80,868.00,876.80,868.00
N/A,N/A,N/A,N/A
901.00,854.00,901.00,847.02
832.00,832.00,832.00,832.00
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
831.00,831.00,831.00,831.00
832.60,832.60,832.60,832.60
