CPRX,Catalyst Pharmaceuticals,NASDAQ
0.64,0.61,0.64,0.60
0.61,0.62,0.63,0.60
0.62,0.60,0.65,0.60
0.60,0.60,0.64,0.60
0.61,0.63,0.67,0.60
0.65,0.64,0.65,0.62
0.65,0.62,0.65,0.61
0.64,0.64,0.64,0.60
0.64,0.74,0.75,0.63
0.73,0.69,0.74,0.66
0.71,0.67,0.72,0.67
0.67,0.70,0.70,0.64
0.65,0.67,0.67,0.63
0.67,0.66,0.67,0.62
0.63,0.64,0.67,0.62
0.61,0.67,0.68,0.61
0.67,0.67,0.67,0.64
0.63,0.67,0.67,0.61
0.65,0.65,0.68,0.62
0.66,0.62,0.66,0.62
0.63,0.62,0.64,0.61
0.63,0.62,0.65,0.62
0.64,0.61,0.65,0.61
0.62,0.56,0.62,0.55
0.55,0.60,0.65,0.54
0.64,0.63,0.65,0.58
0.63,0.61,0.63,0.60
0.62,0.60,0.62,0.59
0.60,0.62,0.62,0.60
0.63,0.60,0.63,0.58
0.60,0.62,0.62,0.58
0.61,0.60,0.63,0.60
0.60,0.63,0.64,0.60
0.65,0.87,0.88,0.65
0.92,0.72,0.93,0.69
0.70,0.71,0.73,0.66
0.72,0.67,0.72,0.67
0.69,0.66,0.69,0.64
0.65,0.67,0.69,0.65
0.67,0.67,0.68,0.66
0.67,0.70,0.71,0.67
0.73,0.70,0.73,0.67
0.67,0.70,0.70,0.67
0.70,0.66,0.70,0.66
0.70,0.67,0.70,0.66
0.71,0.69,0.71,0.67
0.71,0.67,0.71,0.67
0.70,0.69,0.70,0.67
0.70,0.69,0.70,0.67
0.71,0.68,0.71,0.67
0.71,0.72,0.78,0.67
0.70,0.72,0.73,0.70
0.72,0.78,0.88,0.70
0.84,0.74,0.84,0.70
0.71,0.72,0.75,0.71
0.72,0.72,0.73,0.72
0.74,0.73,0.74,0.71
0.72,0.74,0.76,0.72
0.75,0.75,0.76,0.73
0.76,0.78,0.78,0.73
0.78,0.80,0.87,0.78
N/A,N/A,N/A,N/A
0.78,0.82,0.82,0.78
0.83,0.78,0.83,0.75
0.81,0.72,0.81,0.71
0.76,0.71,0.76,0.71
0.75,0.80,0.80,0.73
1.06,1.89,1.99,1.05
2.24,1.92,2.65,1.70
1.81,1.62,1.81,1.56
1.59,2.00,2.07,1.53
1.94,1.78,1.94,1.72
1.75,1.68,1.80,1.60
1.64,1.66,1.80,1.60
1.63,1.61,1.66,1.59
1.59,1.60,1.66,1.59
1.63,1.54,1.63,1.52
1.54,1.56,1.57,1.46
1.51,1.49,1.57,1.44
1.47,1.51,1.51,1.46
1.48,1.45,1.49,1.43
1.43,1.35,1.44,1.33
1.31,1.41,1.42,1.31
1.36,1.33,1.43,1.31
1.29,1.26,1.32,1.26
1.29,1.22,1.32,1.13
1.20,1.23,1.30,1.15
1.21,1.22,1.25,1.15
1.24,1.23,1.41,1.16
1.21,1.36,1.39,1.21
1.32,1.35,1.36,1.25
1.36,1.32,1.38,1.25
1.34,1.25,1.34,1.19
1.26,1.19,1.30,1.18
1.17,1.25,1.25,1.17
1.20,1.09,1.20,1.09
1.09,1.10,1.12,1.05
1.10,1.07,1.14,1.07
1.00,1.06,1.06,0.98
1.11,1.03,1.13,1.02
1.04,1.06,1.08,1.02
1.06,1.09,1.10,1.04
1.10,1.01,1.11,1.00
