NVR,NVR,NASDAQ
697.94,712.67,712.67,691.09
703.30,715.00,717.37,693.20
714.99,717.21,719.00,708.05
719.06,730.50,741.01,718.00
725.26,724.99,732.69,719.00
726.50,709.90,727.35,705.00
705.95,710.33,715.48,699.29
710.66,715.59,719.01,703.00
715.00,722.10,722.41,713.06
720.00,715.00,722.00,711.42
709.04,728.30,728.30,708.41
717.20,724.26,729.13,717.00
727.33,721.50,727.59,717.10
721.50,714.59,735.00,714.30
719.05,711.99,722.48,706.15
708.25,708.69,714.46,706.00
708.69,690.70,708.69,681.00
689.00,673.11,695.00,672.37
674.00,684.14,689.51,667.19
683.03,676.50,685.80,673.55
679.67,685.00,693.40,679.67
680.02,673.90,690.09,671.05
671.23,670.00,677.39,664.61
670.00,661.56,670.47,655.62
661.56,673.90,682.93,655.00
677.70,679.22,682.12,671.52
676.10,671.10,676.10,662.02
668.06,673.75,680.00,668.06
673.81,691.00,691.00,673.14
697.69,705.16,707.50,694.13
706.50,710.00,710.01,702.85
708.86,708.39,709.65,702.10
708.77,710.00,710.00,705.06
707.90,710.00,710.00,701.66
708.00,695.20,709.13,695.13
698.20,696.55,702.48,688.01
691.27,695.56,695.77,679.00
695.45,708.30,708.30,689.00
708.00,709.82,711.26,706.20
709.69,712.32,712.32,708.35
714.56,716.46,719.84,712.79
716.00,712.35,717.78,706.32
716.89,740.12,741.32,716.89
735.70,752.52,753.93,734.01
748.15,744.48,752.98,744.48
741.00,748.20,748.20,739.52
743.30,742.64,745.56,734.49
742.60,738.03,742.60,734.08
738.03,730.76,740.40,722.50
735.00,745.00,745.87,727.66
743.65,751.25,756.00,743.65
748.01,752.50,753.79,748.01
747.15,747.15,754.55,744.71
741.65,753.00,759.27,740.00
755.00,750.00,755.00,743.50
752.20,740.65,755.02,739.04
747.25,745.45,753.00,742.02
746.00,750.22,751.00,743.33
750.22,744.00,754.82,740.33
743.62,747.82,749.98,742.53
744.99,726.50,746.00,726.50
727.15,721.55,733.00,716.00
723.50,738.00,738.63,723.00
731.00,727.44,731.00,720.00
725.00,715.00,728.00,702.49
713.08,707.00,713.08,703.99
710.35,712.67,715.08,709.04
712.67,722.00,726.75,712.05
722.99,726.50,729.40,720.00
731.30,749.43,750.00,729.54
732.46,743.97,751.01,732.46
743.17,742.30,748.58,739.17
729.00,738.97,741.25,728.82
741.10,740.00,746.49,732.20
738.02,747.50,753.38,730.00
747.50,748.75,769.50,742.96
746.57,750.50,765.00,745.08
750.50,728.71,753.13,722.13
747.91,701.70,747.91,701.70
705.10,707.83,721.53,705.10
712.79,731.68,734.99,712.58
734.64,718.05,737.98,718.05
718.77,730.92,734.12,718.77
722.50,709.99,722.50,691.25
703.90,705.53,710.27,696.58
700.11,688.50,707.03,664.64
672.25,671.82,699.43,667.33
702.00,703.00,715.90,688.00
694.27,693.93,709.70,689.94
697.64,707.06,713.83,696.13
703.75,688.10,704.11,680.42
683.03,682.43,683.03,669.89
681.31,681.69,683.00,659.83
689.38,676.10,692.65,673.21
672.40,673.40,691.00,660.39
659.30,655.62,669.17,647.11
650.00,657.00,662.70,647.46
653.35,648.85,660.02,648.08
634.53,659.07,666.10,632.00
661.12,670.90,685.82,661.12
681.41,690.34,690.34,674.51
687.61,685.28,693.01,678.43
679.73,671.48,693.91,671.48
673.10,680.40,686.00,669.35
683.98,684.40,686.59,676.37
672.00,660.69,681.14,657.11
663.96,643.33,668.08,642.58
643.80,643.86,648.86,627.43
656.49,642.83,662.45,640.55
651.50,669.00,671.70,646.02
660.69,676.40,677.29,659.55
676.52,675.02,683.99,668.35
678.15,685.87,688.30,675.65
684.19,686.31,693.55,681.35
686.31,670.99,686.31,663.00
670.48,673.22,674.00,660.37
679.35,667.19,681.81,665.13
666.80,658.00,674.76,658.00
656.29,661.32,665.97,645.14
660.17,652.75,667.24,646.24
656.19,658.79,664.66,644.00
661.00,663.14,667.04,656.20
656.31,645.32,656.31,638.43
643.36,655.03,663.30,642.32
655.19,653.22,659.35,638.22
655.52,647.52,659.98,646.39
657.00,655.95,661.82,652.43
655.40,672.50,674.20,653.00
680.05,664.12,680.05,652.70
662.20,665.77,667.46,656.04
664.98,660.83,664.98,655.35
666.00,677.38,679.03,662.33
670.00,668.31,673.00,660.62
660.00,659.78,662.59,648.50
650.16,637.58,657.09,636.76
639.98,635.00,643.00,631.34
628.05,646.92,649.64,626.51
646.75,633.81,650.95,631.17
656.00,640.00,656.00,640.00
640.00,640.00,642.35,633.62
645.95,646.18,648.40,638.57
648.94,634.87,649.00,632.45
635.55,621.47,637.38,616.91
622.05,624.90,627.94,615.00
620.60,626.50,631.53,617.07
633.17,629.77,636.16,627.36
628.25,623.06,628.25,617.00
623.06,622.28,626.31,620.00
618.91,620.90,626.09,616.05
615.01,628.95,628.95,611.00
630.82,627.50,634.01,624.27
623.60,622.87,627.86,620.67
615.02,611.59,617.23,611.50
606.25,614.59,620.00,606.20
615.00,616.28,621.07,615.00
614.46,619.37,621.64,611.85
622.74,624.55,627.52,622.57
621.76,632.78,637.73,619.30
631.69,627.92,632.65,624.96
627.92,625.57,628.03,615.89
630.45,621.73,630.45,621.48
616.81,617.40,625.03,610.02
616.36,628.25,628.60,615.38
629.15,623.52,629.15,619.33
627.70,618.68,627.70,614.30
618.68,606.04,620.52,605.00
605.45,604.16,610.92,598.29
604.65,606.41,607.03,595.00
606.45,621.01,624.00,604.72
629.00,624.78,629.00,618.45
623.95,615.75,623.95,614.27
618.43,616.25,621.34,613.76
621.42,620.00,623.45,614.46
620.00,616.72,622.74,615.71
623.70,635.25,639.14,615.65
633.00,640.43,650.20,632.08
640.00,635.52,640.00,629.09
631.80,620.63,632.66,619.39
624.90,622.50,629.14,619.60
626.86,638.00,640.45,625.01
