XBI,SPDR Series Trust  SPDR S&P Biotech ETF,NASDAQ
54.30,54.50,54.50,53.99
54.51,54.71,55.01,54.36
54.70,55.44,55.50,54.70
55.52,55.44,55.78,55.04
55.40,55.69,55.69,54.99
56.01,55.99,56.15,55.46
55.07,55.28,55.77,54.91
55.44,56.09,56.21,55.20
56.00,56.13,56.31,55.84
56.05,55.15,56.13,54.91
55.25,56.40,56.40,55.21
56.21,56.09,56.50,55.17
56.06,55.17,56.25,54.89
55.10,55.07,55.70,54.72
55.28,54.84,55.48,54.47
55.02,55.22,55.72,54.77
55.13,55.98,55.99,54.97
55.87,55.18,55.92,54.92
55.36,55.28,55.94,55.27
55.40,55.86,55.92,55.26
56.30,57.44,57.44,55.78
57.52,57.63,57.67,56.85
56.98,54.98,57.20,54.83
55.15,54.92,55.85,53.44
54.82,54.48,55.03,54.25
55.02,55.15,55.73,54.65
54.73,55.00,55.29,54.21
54.84,55.91,56.13,54.17
55.62,56.69,56.69,55.49
57.16,56.89,57.26,56.18
57.18,57.91,57.96,56.89
57.96,57.17,58.00,57.05
57.00,57.20,57.45,56.68
57.40,56.80,57.45,56.63
56.74,55.78,56.95,55.73
56.04,56.01,56.42,55.82
55.50,55.91,55.94,55.19
56.01,56.31,56.50,55.65
57.52,59.27,59.29,57.49
59.38,59.72,59.95,59.07
58.70,58.38,58.83,58.24
58.43,57.99,58.45,57.75
58.28,59.04,59.05,58.27
59.11,59.18,59.30,58.87
59.17,59.65,60.02,59.10
59.75,60.35,60.63,59.75
60.25,60.90,60.91,59.76
61.43,60.44,61.43,59.85
61.19,61.29,61.42,60.60
61.56,61.49,61.56,61.15
61.53,61.25,61.61,61.13
61.14,61.08,61.33,60.82
60.77,60.77,61.40,60.73
60.28,61.16,61.46,60.13
61.27,62.05,62.11,61.10
61.90,61.38,62.09,61.33
61.68,60.86,62.07,60.81
60.94,60.38,61.27,60.07
60.72,60.67,60.81,60.51
60.70,60.34,60.70,60.06
60.26,59.95,60.75,59.86
60.30,60.45,60.88,60.06
60.68,61.09,61.22,60.45
61.02,61.06,61.37,61.00
61.08,60.75,61.24,60.35
60.54,61.15,61.32,60.13
61.11,61.03,61.17,60.55
61.18,60.91,61.18,60.62
60.82,60.90,61.21,60.67
61.01,61.59,61.59,60.89
61.56,61.43,61.75,61.20
61.36,60.91,61.45,60.30
60.75,60.39,61.21,59.86
60.37,60.57,60.57,59.86
60.74,59.55,60.74,59.23
58.84,59.09,59.24,58.06
59.17,60.10,60.18,59.12
60.04,59.66,60.63,59.66
59.41,58.91,60.33,58.82
59.02,59.11,59.37,58.83
59.47,60.85,61.99,59.47
60.56,60.35,61.59,60.35
60.49,61.34,61.50,60.32
60.47,59.60,60.49,59.28
58.95,58.25,58.95,56.83
57.83,55.83,58.08,47.01
55.26,53.52,56.22,52.55
54.52,55.57,56.69,54.52
54.90,56.30,57.08,54.75
56.40,57.63,57.70,56.38
57.68,57.35,58.04,57.16
56.77,56.14,57.00,55.44
56.42,56.33,56.68,55.05
56.69,55.86,57.02,55.67
55.69,55.51,56.29,54.80
54.23,53.22,54.56,53.20
52.38,53.40,54.51,52.34
53.25,53.18,54.08,53.01
52.18,53.08,53.14,51.04
53.28,52.94,54.35,52.82
53.94,54.28,54.34,53.58
54.20,54.13,54.92,53.84
53.98,53.42,54.80,53.32
53.57,55.68,55.69,53.57
56.04,56.23,56.26,55.41
55.23,53.84,55.50,53.62
54.51,52.74,54.79,52.69
52.69,51.98,53.26,51.25
52.21,51.66,52.79,51.50
52.57,53.46,53.47,52.12
53.07,54.42,54.43,52.97
54.34,54.64,55.48,54.05
54.65,55.77,55.92,54.58
55.88,55.29,55.88,55.19
55.62,55.10,55.62,54.56
55.17,55.93,56.10,55.17
56.47,55.45,56.65,55.18
55.79,54.43,55.88,54.37
54.28,54.61,55.01,53.98
54.44,54.04,54.63,53.79
54.08,55.15,55.51,53.70
55.03,54.73,55.62,54.65
53.77,52.77,53.91,52.44
52.52,51.77,53.02,51.69
51.64,50.56,51.64,49.46
50.56,50.92,51.72,50.51
51.50,49.94,51.72,49.59
49.95,51.07,51.15,49.55
51.44,52.10,52.14,50.68
52.16,53.08,53.08,52.12
52.99,52.41,53.33,52.24
53.00,53.68,53.82,52.95
53.67,53.64,53.75,53.24
53.58,53.47,53.85,53.05
53.15,51.80,53.39,51.65
52.04,51.84,52.20,51.25
51.14,52.22,52.24,51.00
52.17,51.77,52.79,51.62
52.22,52.89,53.15,52.00
52.41,54.20,54.29,52.35
54.49,56.43,56.62,54.49
56.76,55.93,56.85,55.57
55.78,54.32,56.10,54.32
55.16,54.19,55.20,53.34
53.50,54.88,55.17,53.35
55.32,55.93,56.14,55.28
56.00,56.03,56.51,55.53
56.91,57.09,57.25,56.17
56.78,56.48,57.02,56.43
56.05,57.11,57.11,55.59
57.13,57.35,57.43,56.81
56.84,56.65,57.15,56.06
56.00,55.03,56.00,54.80
53.86,55.44,55.70,53.86
55.11,54.76,55.48,54.76
54.39,54.79,55.32,54.12
55.21,55.66,56.02,54.92
55.65,55.45,56.02,55.11
55.26,54.20,55.27,53.98
53.91,54.10,54.33,53.60
54.36,53.72,54.72,53.64
53.01,52.83,53.27,52.55
52.38,53.80,53.83,52.25
53.87,52.75,53.87,52.64
52.91,53.27,53.39,51.74
53.01,52.65,53.38,52.53
52.45,52.45,53.09,52.11
53.05,53.81,53.93,53.02
53.73,54.69,54.71,53.73
55.17,55.31,55.54,54.78
54.86,54.73,55.18,54.54
54.82,55.47,55.55,54.82
55.77,55.76,56.32,55.46
55.81,56.54,56.54,55.76
56.89,56.60,56.89,56.37
56.38,56.42,56.59,56.13
56.29,57.53,57.54,56.29
57.29,57.02,57.39,56.88
57.48,57.67,57.92,57.22
57.72,58.50,58.68,57.62
58.62,58.29,58.62,58.02
58.01,58.11,58.67,57.71
57.58,58.18,58.71,57.45
58.76,59.03,59.07,58.66
59.16,58.88,59.45,58.78
59.08,59.29,59.30,58.20
59.11,59.07,59.25,58.74
59.38,59.37,59.63,58.98
59.76,59.31,59.76,58.81
59.15,59.29,59.45,58.81
59.66,60.51,60.66,59.59
60.54,59.83,60.56,59.59
60.03,60.18,60.27,59.60
60.21,60.87,61.08,60.01
60.91,60.79,61.15,60.69
60.55,61.14,61.19,60.11
61.41,61.12,61.61,61.11
61.12,61.03,61.32,60.72
61.53,61.36,61.53,60.85
61.37,61.69,61.69,61.28
61.01,60.38,61.28,60.03
59.48,59.06,59.62,58.68
59.41,59.20,59.80,58.66
59.26,59.55,59.66,59.15
59.77,58.61,60.33,58.59
58.56,58.36,58.82,57.97
57.97,59.06,59.06,57.88
59.29,59.34,59.80,59.01
59.19,59.54,59.68,59.19
59.43,59.08,59.78,58.83
59.51,59.20,59.51,58.80
59.40,59.28,59.45,58.75
59.96,59.65,60.26,59.52
59.59,59.51,59.74,59.11
59.29,59.36,59.60,58.98
59.57,58.81,59.57,58.64
58.86,59.24,59.27,58.40
58.60,59.41,59.62,58.60
58.81,58.63,59.21,58.33
58.81,59.04,59.34,58.81
58.57,58.40,59.08,58.06
58.25,58.46,58.79,58.19
58.83,59.21,59.66,58.83
59.02,59.48,59.55,58.90
59.38,59.86,60.17,59.26
59.21,59.25,59.51,58.97
59.58,60.27,60.27,59.58
59.82,60.07,60.20,59.71
59.80,60.01,60.07,59.18
59.17,59.28,59.70,59.17
60.02,60.08,60.56,60.02
60.24,60.67,60.70,60.01
60.75,61.08,61.16,60.65
61.12,60.93,61.12,60.59
61.66,61.38,61.85,61.31
61.58,61.32,61.85,61.29
61.30,60.96,61.30,60.96
61.01,61.71,61.82,61.01
61.73,61.25,61.93,61.22
61.37,61.71,61.87,61.03
61.63,61.90,62.54,61.60
61.88,62.67,62.67,61.77
62.78,62.88,63.23,62.24
63.25,62.90,63.25,62.54
63.62,64.35,64.41,63.62
64.35,64.39,64.60,64.34
64.43,64.39,64.43,64.17
64.29,64.40,64.58,64.00
64.45,64.01,64.45,63.94
63.95,63.83,64.13,63.83
63.88,63.59,63.89,63.55
63.52,63.08,63.53,63.04
63.54,63.90,64.28,63.54
63.93,63.42,63.93,63.15
63.00,64.10,64.15,63.00
64.25,63.88,64.25,63.69
63.89,63.73,63.89,63.31
63.58,63.71,63.84,63.22
63.89,64.24,64.31,63.86
64.65,64.33,64.65,63.86
64.79,64.28,64.79,64.10
64.25,64.39,64.54,64.15
64.21,64.84,64.88,64.21
64.69,63.13,64.84,62.91
62.89,63.06,63.25,62.36
63.29,62.19,63.29,62.17
62.27,62.59,62.94,62.20
62.49,62.56,62.56,62.20
62.94,63.58,63.69,62.66
63.61,63.45,63.93,63.30
63.45,61.38,63.45,61.36
61.56,61.81,62.19,61.29
62.98,62.12,62.98,62.04
61.89,62.37,62.55,61.89
62.26,62.24,62.51,61.75
62.27,62.70,62.88,62.27
62.82,62.54,63.29,62.51
62.52,62.71,62.75,62.25
62.55,62.09,62.55,61.87
61.76,62.51,62.57,61.67
62.35,62.42,62.52,61.82
62.12,62.90,62.95,62.12
62.78,62.91,63.09,62.71
63.06,63.26,63.42,63.01
63.25,63.44,63.56,63.09
63.39,63.22,63.44,62.82
62.51,61.67,62.89,61.60
62.09,61.20,62.17,61.15
61.29,61.55,61.84,60.97
61.82,62.47,62.49,61.72
62.52,62.57,63.12,62.33
62.45,62.18,62.89,62.00
62.03,62.92,63.15,62.00
62.30,62.84,62.89,62.30
62.69,62.72,62.92,62.39
62.35,62.65,63.08,61.98
62.60,63.49,63.63,62.25
63.46,63.66,64.00,63.27
63.66,62.81,63.66,62.55
62.15,63.17,63.39,62.15
62.71,62.92,63.44,62.63
61.29,62.38,62.62,61.29
62.09,61.78,62.66,61.67
62.66,61.83,62.66,61.80
62.16,62.11,62.44,61.93
62.85,62.49,62.91,62.38
62.60,62.11,62.60,61.91
61.91,62.09,62.21,61.43
62.50,63.23,63.40,62.33
63.61,63.41,64.07,63.28
63.42,63.35,63.72,63.31
63.20,64.47,64.51,63.20
65.23,66.03,66.12,65.08
66.16,66.77,66.79,66.15
67.19,67.22,67.23,66.84
67.52,67.28,67.58,67.19
