UWM,ProShares Ultra Russell2000,NASDAQ
29.20,29.80,29.85,29.17
29.72,29.59,29.99,29.30
29.60,29.56,29.93,29.42
29.56,29.97,30.03,29.02
29.77,30.30,30.30,29.64
30.58,30.11,30.66,29.84
29.70,29.40,29.99,29.13
29.61,30.18,30.28,29.11
29.96,30.36,30.58,29.84
30.44,29.48,30.57,29.12
29.73,30.60,30.60,29.72
30.16,29.76,30.17,29.03
29.75,28.68,30.22,28.52
28.65,27.60,28.91,27.46
28.00,27.74,28.05,27.33
27.52,27.23,27.95,27.15
26.98,27.77,27.85,26.77
27.89,26.85,27.91,26.32
27.08,26.25,27.62,26.14
26.51,26.84,26.95,26.29
26.94,27.39,27.51,26.68
27.17,27.11,27.56,26.65
26.70,25.28,26.73,25.24
25.34,25.45,25.51,24.38
25.26,24.96,25.74,24.90
25.54,25.56,25.95,25.02
25.47,25.73,25.88,24.95
25.67,26.56,26.61,25.21
26.08,27.05,27.05,25.92
27.53,27.83,27.91,27.03
28.13,28.23,28.38,27.84
28.27,28.72,28.72,28.05
28.50,28.83,29.08,28.40
29.13,29.00,29.16,28.77
28.89,28.29,28.98,28.13
28.52,28.79,29.05,28.34
27.99,28.78,28.84,27.80
28.87,28.57,28.90,28.25
29.00,29.85,29.92,28.98
30.11,30.32,30.69,30.01
30.63,30.68,31.03,30.37
30.74,30.84,30.92,30.45
31.23,32.09,32.20,31.05
32.12,32.22,32.41,32.01
32.05,32.48,32.95,32.02
32.53,33.02,33.35,32.50
32.63,33.20,33.32,32.37
33.56,33.15,33.59,32.74
33.11,32.97,33.24,32.45
33.25,33.50,33.51,32.80
33.67,33.89,34.30,33.63
33.89,33.70,34.20,33.59
32.89,32.89,33.94,32.61
32.37,33.72,33.91,32.23
33.85,34.63,34.65,33.53
34.26,33.84,34.51,33.84
34.44,33.45,34.92,33.39
33.72,33.31,34.14,33.15
33.69,33.74,33.95,33.41
33.89,33.96,34.29,33.46
33.71,33.38,34.38,33.36
33.92,33.97,34.25,33.30
34.18,35.28,35.29,34.00
35.04,35.70,35.87,34.89
35.59,35.46,35.87,35.01
35.24,35.40,35.76,34.70
35.49,35.78,35.81,35.06
35.82,36.08,36.24,35.68
35.94,36.26,36.31,35.50
36.70,37.81,37.82,36.58
37.80,38.04,38.21,37.70
37.85,37.03,38.09,36.49
36.62,36.73,37.35,35.65
37.05,37.67,37.72,36.75
37.80,38.19,38.34,37.51
37.40,38.99,39.15,37.00
39.15,39.83,39.92,38.72
39.89,39.54,40.40,39.51
39.24,37.71,39.95,37.58
38.17,37.84,38.35,37.48
