DIT,AMCON Distributing Company Common Stock,NASDAQ
66.43,65.03,66.43,64.10
64.79,62.25,66.25,60.51
62.37,61.55,62.60,61.00
61.77,57.09,61.77,57.03
57.30,59.00,59.92,53.05
60.00,61.50,67.40,60.00
61.39,61.00,63.25,59.05
60.97,62.00,62.00,59.50
61.95,61.20,61.95,60.00
60.35,61.20,61.20,59.05
62.99,64.00,64.00,62.00
63.50,66.00,66.00,63.50
65.99,63.55,65.99,62.00
63.30,62.79,64.00,62.13
62.51,60.85,64.00,60.08
60.63,59.75,60.99,59.75
59.50,58.40,59.50,58.25
58.50,56.25,58.50,55.98
55.62,54.25,55.62,54.05
54.17,55.00,56.50,54.10
55.25,57.00,57.00,55.25
57.19,55.88,57.19,55.49
55.27,55.25,55.82,54.12
54.97,53.25,54.97,53.05
53.50,52.11,53.66,52.11
52.14,52.00,52.93,50.05
51.95,52.16,53.00,51.95
52.00,50.01,52.50,48.61
51.46,49.80,51.46,49.00
50.96,51.25,52.80,50.00
52.44,52.00,54.05,51.75
52.97,52.80,53.00,52.11
53.00,53.50,53.63,53.00
53.50,54.24,54.24,52.60
55.00,55.06,55.41,54.90
55.50,55.50,56.50,55.50
55.75,56.50,56.50,55.75
56.75,57.25,57.90,56.75
56.72,58.36,58.47,56.72
58.83,59.50,59.50,58.55
59.59,60.00,60.00,59.00
59.86,60.44,60.45,59.00
61.00,61.00,61.57,59.00
61.00,61.00,61.00,61.00
62.00,61.57,62.00,61.57
59.62,58.16,61.00,58.16
58.28,57.75,58.97,57.00
58.72,58.72,58.72,58.72
57.00,59.00,59.00,57.00
59.97,58.51,59.97,58.47
58.51,61.97,62.00,58.51
62.10,62.53,62.53,62.10
62.50,62.50,62.50,61.22
62.50,62.50,62.50,62.50
62.65,62.10,62.65,62.10
63.10,62.10,63.10,62.10
60.64,62.00,62.00,60.64
62.00,61.72,62.00,61.72
62.00,61.08,62.00,60.39
60.06,59.27,60.06,57.60
58.10,59.59,59.59,57.10
59.59,59.59,59.59,59.59
59.10,59.33,60.10,59.10
59.33,59.33,59.33,59.33
58.60,58.60,58.60,58.60
58.60,58.60,58.60,58.60
59.74,59.66,60.00,59.10
59.85,59.43,59.85,59.24
59.00,59.37,59.37,58.95
59.37,59.37,59.37,59.37
59.37,59.37,59.37,59.37
59.37,59.37,59.37,59.37
59.75,59.75,59.75,59.75
57.45,55.27,59.02,54.86
55.26,54.49,55.26,54.49
54.52,53.50,54.80,53.50
54.10,53.50,54.10,53.50
52.44,53.03,53.03,52.44
53.01,51.50,53.01,51.30
51.00,51.00,52.00,50.00
51.98,51.17,53.40,50.67
51.03,50.52,51.07,50.25
50.00,49.75,50.01,49.75
50.14,49.83,50.14,49.10
49.11,49.00,49.75,48.00
49.00,47.80,49.17,47.12
47.25,47.44,47.81,46.61
48.70,48.75,48.78,47.55
47.55,49.24,50.63,47.55
49.50,50.91,50.91,49.50
51.38,52.74,52.78,51.38
52.58,52.42,53.08,51.50
52.42,52.42,52.42,52.42
53.50,52.00,53.50,52.00
51.06,51.50,52.00,50.50
49.00,48.50,49.97,48.00
50.00,49.99,50.00,48.50
49.50,50.89,51.47,49.50
49.50,48.80,49.50,48.30
50.00,50.00,50.00,50.00
49.50,48.80,49.50,48.80
49.25,48.55,49.25,48.55
47.70,48.00,48.85,47.70
49.00,48.50,49.00,48.50
48.85,48.99,49.15,48.55
48.80,48.77,49.80,48.51
48.01,48.09,48.09,48.00
49.47,49.43,49.47,49.38
49.43,49.43,49.43,49.43
48.15,51.90,51.90,48.15
51.90,51.90,51.90,51.90
52.25,52.25,52.25,52.25
53.70,53.75,53.75,53.70
53.75,53.77,53.94,53.75
54.25,54.50,54.50,52.85
54.50,54.50,54.50,54.50
54.47,54.47,54.47,54.47
55.00,55.00,55.00,55.00
55.00,57.50,57.50,55.00
58.99,59.00,59.00,57.59
59.00,58.25,59.99,58.25
58.75,59.25,59.25,58.75
57.75,54.70,59.19,54.69
56.75,56.75,56.75,56.75
55.25,54.70,55.25,54.70
54.10,54.20,54.40,54.10
54.30,51.54,55.99,51.54
50.30,51.00,51.41,50.30
50.80,50.95,51.80,50.80
50.40,52.45,52.45,50.40
52.45,52.45,52.45,52.45
52.50,54.99,55.00,52.50
53.52,53.50,53.61,52.00
54.00,53.50,54.02,53.50
53.50,54.00,54.00,53.50
52.00,52.00,52.04,52.00
54.75,56.52,56.52,54.75
57.00,57.00,57.00,57.00
55.78,56.75,56.75,55.75
57.25,59.00,59.00,57.25
58.55,60.99,61.00,57.25
61.25,61.00,62.00,61.00
59.50,58.20,60.99,58.20
61.00,58.10,61.00,58.10
59.00,60.81,60.81,59.00
61.95,61.95,61.95,61.95
61.95,61.95,61.95,61.95
60.53,60.53,60.53,60.53
60.68,60.45,60.68,60.45
60.45,60.45,60.45,60.45
60.00,59.00,60.00,59.00
60.37,58.50,60.40,58.50
57.50,56.05,57.50,56.03
56.00,57.50,57.50,56.00
57.50,57.50,57.50,57.50
56.00,57.50,57.50,56.00
57.51,59.01,59.01,57.51
60.47,60.47,60.47,60.47
60.50,59.24,60.50,59.24
58.00,56.49,58.00,56.00
57.00,57.29,57.29,57.00
57.29,57.29,57.29,57.29
57.24,59.00,59.00,56.19
57.60,59.15,59.15,57.60
59.50,60.65,60.65,59.50
60.65,60.65,60.65,60.65
59.51,60.89,60.89,59.51
60.89,60.00,61.00,60.00
60.00,62.00,62.00,60.00
62.00,62.00,62.00,60.55
61.50,61.75,61.75,61.50
61.89,62.00,62.00,61.89
63.39,60.00,63.39,60.00
60.00,60.00,60.00,60.00
60.00,60.00,60.00,60.00
60.00,60.00,60.00,60.00
60.00,60.00,60.00,60.00
60.00,60.00,60.00,60.00
60.00,60.00,60.00,60.00
60.00,60.00,60.00,60.00
61.01,61.03,61.49,61.01
61.60,61.50,61.60,61.50
61.50,61.50,61.50,61.50
61.39,61.39,61.39,61.39
61.39,61.39,61.39,61.39
61.50,61.50,61.50,61.50
61.39,60.25,62.00,60.25
61.72,61.72,61.72,61.72
61.50,61.50,61.50,61.50
60.11,60.11,60.11,60.11
60.12,60.20,60.70,60.12
61.50,61.90,62.00,61.50
62.00,62.72,62.75,61.90
63.50,64.50,64.50,63.00
63.50,64.60,65.00,63.50
64.90,68.00,68.00,64.90
68.00,68.75,68.75,67.92
68.75,69.00,69.00,68.75
68.50,67.09,68.50,67.09
68.96,68.96,68.96,68.96
67.66,67.66,67.66,67.66
67.66,67.66,67.66,67.66
67.66,67.66,67.66,67.66
68.05,68.05,68.05,68.05
69.00,69.21,69.21,69.00
69.25,68.65,69.25,68.53
69.25,69.25,69.25,69.25
69.00,69.25,69.25,69.00
69.50,69.50,69.50,69.50
69.50,69.50,69.50,69.50
68.50,69.90,70.00,68.50
68.40,71.00,71.00,68.40
71.00,71.00,71.00,71.00
71.00,71.00,71.00,71.00
71.00,71.00,71.00,71.00
71.50,71.50,71.50,70.00
70.01,71.00,71.00,68.66
70.00,70.00,70.00,70.00
70.00,69.50,72.20,69.50
68.00,69.50,69.50,67.01
69.00,71.50,71.50,69.00
71.50,70.75,71.50,70.75
71.50,71.00,72.00,71.00
71.20,70.51,71.20,70.51
71.00,72.01,72.01,71.00
72.00,72.50,72.65,71.60
72.00,72.60,73.50,72.00
73.50,72.50,73.50,72.50
72.60,73.75,73.75,72.60
74.10,74.50,74.50,74.10
74.00,74.00,74.00,74.00
74.00,75.00,75.00,74.00
75.10,75.10,75.50,75.10
75.10,75.71,75.71,74.04
74.07,74.07,74.07,74.07
75.00,75.00,75.00,75.00
74.00,75.10,75.10,72.00
75.11,75.11,75.11,75.11
75.11,75.11,75.14,75.11
75.11,75.11,75.11,75.11
75.10,76.05,77.07,75.10
77.00,77.00,77.00,77.00
77.00,77.00,77.00,77.00
77.00,77.00,77.00,77.00
77.00,78.00,78.00,77.00
78.75,79.00,79.00,77.86
78.95,79.00,79.09,78.95
79.40,79.40,79.40,79.40
79.25,79.48,80.00,79.25
79.98,79.86,80.39,79.76
80.00,80.50,80.50,80.00
80.01,80.01,80.05,80.01
80.00,79.03,80.00,79.00
76.37,76.01,76.75,75.51
76.71,76.00,76.74,75.97
76.25,76.25,76.25,76.25
75.90,77.37,77.37,75.90
75.91,77.19,77.47,75.91
77.19,77.64,78.92,77.19
