SELF,Global Self Storage,NASDAQ
3.66,3.66,3.66,3.66
3.65,3.66,3.68,3.55
3.66,3.66,3.66,3.66
3.52,3.59,3.59,3.52
3.60,3.56,3.60,3.56
3.65,3.65,3.65,3.65
3.65,3.60,3.66,3.60
3.62,3.61,3.62,3.58
3.67,3.68,3.68,3.67
3.65,3.65,3.65,3.65
3.65,3.67,3.68,3.65
3.66,3.66,3.69,3.66
3.67,3.70,3.70,3.66
3.70,3.70,3.70,3.66
3.67,3.60,3.69,3.60
3.69,3.69,3.69,3.69
3.69,3.60,3.69,3.60
3.60,3.60,3.60,3.60
3.64,3.60,3.64,3.60
3.60,3.60,3.60,3.60
3.56,3.70,3.70,3.56
3.58,3.57,3.58,3.57
3.57,3.70,3.70,3.57
3.57,3.57,3.57,3.57
3.57,3.60,3.60,3.55
3.56,3.56,3.56,3.56
3.57,3.55,3.57,3.55
3.52,3.60,3.60,3.50
3.55,3.55,3.55,3.55
3.55,3.60,3.60,3.55
3.55,3.52,3.60,3.50
3.60,3.60,3.60,3.60
3.52,3.54,3.54,3.45
3.57,3.58,3.58,3.56
3.50,3.59,3.63,3.50
3.60,3.64,3.64,3.58
3.64,3.54,3.70,3.51
3.57,3.60,3.60,3.57
3.68,3.68,3.69,3.47
3.68,3.60,3.68,3.58
3.68,3.65,3.68,3.60
3.65,3.65,3.65,3.65
3.68,3.70,3.70,3.68
3.75,3.72,3.75,3.65
3.72,3.74,3.74,3.72
3.61,3.75,3.75,3.61
3.60,3.75,3.75,3.60
3.75,3.74,3.80,3.74
3.74,3.74,3.74,3.71
3.72,3.78,3.78,3.72
3.75,3.70,3.75,3.66
3.70,3.70,3.72,3.70
3.70,3.70,3.70,3.70
3.70,3.73,3.73,3.70
3.66,3.75,3.75,3.66
3.75,3.71,3.75,3.71
3.74,3.71,3.78,3.71
3.78,3.76,3.78,3.71
3.77,3.77,3.77,3.77
3.77,3.71,3.77,3.71
3.71,3.78,3.78,3.70
3.78,3.77,3.78,3.71
3.75,3.80,3.80,3.73
3.81,3.80,3.81,3.80
3.80,3.83,3.84,3.73
3.73,3.82,3.82,3.73
3.82,3.82,3.82,3.82
3.82,3.82,3.82,3.82
3.75,3.75,3.75,3.75
3.82,3.75,3.82,3.75
3.78,3.80,3.82,3.78
3.80,3.80,3.80,3.77
3.76,3.76,3.80,3.76
3.75,3.77,3.80,3.75
3.75,3.80,3.80,3.75
3.76,3.82,3.82,3.75
3.79,3.78,3.79,3.75
3.75,3.76,3.76,3.75
3.76,3.78,3.78,3.76
3.78,3.70,3.78,3.66
3.72,3.77,3.77,3.72
3.77,3.77,3.77,3.77
3.76,3.82,3.82,3.76
3.82,3.82,3.82,3.82
3.84,3.80,3.85,3.77
3.77,3.66,3.77,3.66
3.65,3.60,3.75,3.60
3.60,3.68,3.68,3.60
3.66,3.68,3.68,3.60
3.62,3.62,3.62,3.62
3.62,3.57,3.69,3.57
3.58,3.60,3.60,3.46
3.60,3.60,3.60,3.60
3.52,3.52,3.52,3.50
3.52,3.52,3.52,3.52
3.54,3.59,3.59,3.52
3.59,3.45,3.59,3.25
3.46,3.55,3.55,3.38
3.38,3.48,3.53,3.38
3.51,3.51,3.55,3.51
3.51,3.50,3.51,3.50
3.52,3.55,3.55,3.52
3.55,3.55,3.55,3.55
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.52,3.54,3.54,3.42
3.54,3.54,3.54,3.54
3.45,3.50,3.57,3.36
3.50,3.50,3.50,3.50
3.43,3.43,3.43,3.43
3.43,3.43,3.43,3.43
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.38,3.60,3.60,3.38
3.46,3.60,3.60,3.45
3.45,3.55,3.60,3.45
3.48,3.60,3.60,3.48
3.52,3.52,3.59,3.52
3.48,3.48,3.48,3.48
3.49,3.49,3.49,3.49
3.59,3.48,3.59,3.48
3.48,3.48,3.48,3.48
3.43,3.43,3.43,3.43
3.49,3.43,3.50,3.43
3.44,3.55,3.55,3.43
3.51,3.51,3.51,3.51
3.43,3.47,3.55,3.43
3.47,3.44,3.47,3.36
3.37,3.46,3.47,3.34
3.46,3.44,3.46,3.38
3.44,3.40,3.44,3.36
3.49,3.38,3.50,3.36
3.48,3.50,3.50,3.48
3.40,3.41,3.50,3.40
3.41,3.41,3.41,3.41
3.48,3.45,3.48,3.34
3.37,3.45,3.45,3.37
3.40,3.45,3.45,3.40
3.45,3.54,3.54,3.45
3.54,3.54,3.54,3.54
3.52,3.53,3.53,3.51
3.56,3.59,3.59,3.53
3.55,3.55,3.55,3.55
3.55,3.55,3.55,3.55
3.49,3.57,3.57,3.49
3.50,3.65,3.65,3.50
3.61,3.68,3.68,3.56
3.68,3.69,3.69,3.68
3.69,3.69,3.69,3.69
3.68,3.70,3.70,3.68
3.70,3.68,3.70,3.65
3.65,3.70,3.70,3.65
3.63,3.65,3.73,3.63
3.64,3.64,3.64,3.64
3.64,3.68,3.68,3.64
3.63,3.67,3.69,3.63
3.66,3.70,3.70,3.62
3.70,3.67,3.72,3.67
3.67,3.67,3.67,3.67
3.67,3.72,3.72,3.65
3.72,3.65,3.72,3.65
3.65,3.65,3.65,3.65
3.65,3.53,3.70,3.53
3.70,3.65,3.70,3.65
3.65,3.70,3.70,3.65
3.70,3.69,3.70,3.59
3.69,3.70,3.71,3.65
3.70,3.66,3.70,3.66
3.66,3.63,3.68,3.59
3.68,3.72,3.72,3.68
3.72,3.75,3.75,3.71
3.75,3.69,3.75,3.69
3.70,3.75,3.75,3.60
3.75,3.77,3.78,3.65
3.75,3.78,3.80,3.70
3.78,3.76,3.79,3.75
3.75,3.78,3.79,3.75
3.77,3.79,3.79,3.67
3.79,3.80,3.80,3.76
3.79,3.80,3.80,3.79
3.80,3.80,3.80,3.79
3.80,3.77,3.80,3.75
3.80,3.80,3.80,3.79
3.80,3.78,3.80,3.78
3.78,3.80,3.80,3.78
3.80,3.80,3.80,3.79
3.80,3.80,3.80,3.79
3.80,3.83,3.85,3.80
3.83,3.90,3.90,3.83
3.82,3.89,3.89,3.82
3.89,3.90,3.90,3.86
3.87,3.88,3.89,3.87
3.87,3.90,3.90,3.87
3.92,3.94,3.95,3.87
3.94,3.95,3.95,3.94
3.92,3.93,3.95,3.92
3.93,3.92,3.93,3.85
3.95,3.95,3.96,3.94
3.95,3.95,3.96,3.95
3.96,3.98,3.98,3.95
3.96,3.95,3.97,3.95
3.96,4.05,4.16,3.96
4.05,4.00,4.05,3.99
3.96,4.00,4.00,3.95
3.98,4.06,4.08,3.98
3.97,3.96,3.97,3.96
4.00,4.07,4.07,4.00
4.07,4.02,4.07,4.02
4.02,4.05,4.10,4.02
4.02,4.07,4.10,4.02
4.03,4.10,4.10,4.03
4.10,4.03,4.10,4.03
4.07,4.07,4.10,4.05
4.02,4.09,4.10,4.02
4.09,4.09,4.10,4.06
4.09,4.02,4.12,4.02
4.02,4.04,4.12,4.02
4.07,4.03,4.10,4.03
4.04,4.04,4.05,4.04
4.03,4.02,4.03,4.02
4.01,4.00,4.01,3.80
3.87,4.02,4.02,3.86
4.01,4.01,4.10,4.01
4.01,4.00,4.01,4.00
4.03,4.05,4.09,4.03
4.00,4.05,4.05,3.99
4.10,4.00,4.10,4.00
4.00,4.00,4.00,4.00
4.00,4.00,4.00,4.00
4.04,4.00,4.04,4.00
4.02,4.04,4.04,4.02
4.04,4.08,4.08,3.96
4.06,4.07,4.08,4.06
4.07,4.01,4.07,4.01
4.01,4.01,4.07,4.01
4.02,4.07,4.07,4.02
4.05,4.05,4.05,4.05
4.01,4.00,4.07,4.00
4.00,4.00,4.26,3.93
4.00,4.08,4.08,4.00
4.06,4.05,4.10,4.00
3.96,4.00,4.00,3.96
