ANAT,American National Insurance Company - Common Stock,NASDAQ
80.29,79.68,81.06,79.66
79.78,78.92,80.80,78.78
78.87,80.15,81.15,78.81
80.38,79.75,80.38,79.32
79.15,78.20,79.36,77.70
78.39,79.00,79.44,78.23
78.40,77.80,78.75,77.26
77.79,77.83,79.21,76.79
77.11,77.48,78.10,77.11
78.99,76.83,78.99,76.62
77.80,75.65,78.03,75.17
76.61,77.22,77.74,76.23
77.22,77.71,77.99,77.22
77.41,76.81,77.41,76.37
77.84,77.20,77.84,76.53
76.90,76.84,77.16,76.68
77.02,76.89,77.55,76.77
76.30,77.58,78.35,76.22
77.47,78.77,78.79,77.47
78.41,79.17,79.50,78.41
79.47,79.21,79.56,78.78
79.21,79.73,80.56,79.16
79.45,78.74,80.86,78.62
78.74,79.59,79.70,78.68
79.73,79.00,80.23,79.00
79.19,79.05,79.30,78.96
79.69,79.26,79.69,78.77
78.96,77.87,79.67,77.81
78.15,77.68,78.80,77.56
77.39,76.91,77.77,76.40
76.95,76.88,77.18,76.16
76.30,77.12,80.67,76.30
77.39,77.60,78.15,76.31
78.83,77.52,78.83,77.24
78.16,77.80,78.38,77.58
77.81,77.63,78.10,76.77
77.96,79.25,79.30,77.96
79.44,80.24,80.24,79.21
80.00,80.20,80.33,78.05
80.00,79.10,80.00,78.70
79.28,79.24,79.88,78.89
79.61,79.58,79.62,78.96
79.70,79.43,80.00,78.79
79.19,78.88,79.28,78.80
79.58,79.40,79.58,79.15
79.72,79.99,80.30,79.51
80.21,79.96,80.26,79.82
79.79,79.48,80.40,79.20
79.22,80.04,80.30,79.22
80.04,79.70,80.04,79.49
79.21,79.89,80.24,79.21
80.00,79.36,80.17,79.05
79.36,79.96,79.96,78.97
80.45,80.47,81.13,80.25
80.45,79.60,80.45,79.60
79.03,78.30,79.25,78.30
78.40,77.70,78.50,77.60
77.11,77.00,77.76,76.73
76.80,77.01,77.34,76.38
77.08,76.74,77.95,76.63
77.73,80.40,80.48,77.50
79.55,78.86,79.80,78.61
78.87,77.91,78.87,77.52
77.09,76.85,77.70,76.67
76.74,76.74,77.82,76.50
77.42,77.36,77.50,76.70
77.32,77.15,77.49,77.10
77.61,77.25,77.61,76.30
77.17,76.00,77.24,76.00
76.39,74.64,76.39,74.63
75.41,77.07,77.95,75.41
76.74,75.00,77.28,74.92
75.75,75.34,76.36,75.11
76.10,74.84,76.10,74.60
75.05,75.38,75.55,74.90
75.69,75.52,75.89,74.81
75.24,75.46,76.10,75.24
74.79,75.41,75.70,74.50
75.65,75.40,75.65,74.60
75.79,77.36,77.97,75.79
77.26,77.26,78.10,76.56
77.25,77.65,77.89,76.54
77.66,77.50,77.97,77.25
77.11,78.04,78.40,77.11
78.02,77.71,79.01,77.37
77.72,78.01,78.42,77.25
78.70,78.60,79.23,78.08
78.54,78.74,80.52,78.26
77.83,77.50,78.19,77.16
76.99,77.57,78.27,76.90
78.25,77.12,78.25,76.86
77.06,76.34,78.18,76.25
76.38,76.48,76.48,75.53
76.07,75.03,76.07,75.02
75.13,75.68,76.12,75.07
75.71,76.61,77.16,75.71
77.27,77.05,77.41,76.61
77.08,76.58,77.31,76.34
76.56,75.58,77.19,75.55
75.60,75.64,76.37,75.60
75.60,75.03,75.89,74.97
75.41,75.02,76.04,74.97
74.70,74.94,75.85,74.55
76.60,75.04,77.07,74.82
75.29,75.36,75.36,74.10
74.85,75.05,75.91,74.10
74.56,76.41,77.82,74.56
76.99,76.02,77.74,75.16
74.94,73.22,75.94,72.77
74.09,76.57,77.07,72.50
75.34,72.30,75.34,72.30
72.11,74.52,74.90,72.11
74.52,72.31,76.14,71.82
72.04,74.91,75.00,72.04
74.32,74.48,74.91,73.71
74.68,74.40,75.14,73.36
73.27,73.32,74.15,73.00
72.99,72.50,75.36,72.05
73.77,72.53,74.50,72.05
73.30,74.51,74.51,72.38
73.84,75.14,75.74,73.42
75.27,73.59,76.99,73.40
73.34,73.98,75.35,72.42
74.36,75.60,76.49,74.06
74.99,74.73,75.97,73.73
74.61,74.96,75.25,74.13
74.84,72.47,75.16,72.47
72.19,71.41,72.91,71.40
70.95,70.28,71.39,70.12
71.18,73.29,73.29,70.50
72.44,71.72,72.76,70.41
71.84,70.63,72.66,70.52
70.30,71.09,71.51,70.11
71.30,71.50,71.71,70.82
72.17,72.09,72.43,70.56
72.43,72.66,73.88,70.81
72.49,70.88,73.01,70.88
70.81,70.51,71.33,70.20
70.95,70.72,72.62,70.40
70.42,67.55,71.57,67.48
66.79,66.30,67.59,65.71
66.03,67.46,67.96,66.03
68.19,69.27,69.33,67.03
70.22,69.86,71.07,69.37
69.86,68.03,71.24,67.84
68.56,69.64,69.89,67.81
69.18,69.25,70.48,68.80
68.63,67.02,70.25,66.71
66.77,67.07,68.44,66.11
67.52,70.34,70.46,66.46
69.35,71.43,71.76,69.35
71.83,68.37,72.09,68.02
69.00,70.69,70.87,68.93
70.45,70.43,71.22,69.83
71.76,71.84,72.38,70.50
71.42,69.83,71.45,69.31
70.88,70.83,71.97,69.84
70.70,68.66,70.83,68.41
68.64,71.80,72.03,68.45
71.83,71.38,72.54,70.64
71.30,71.57,72.14,70.46
72.22,72.54,73.35,71.90
74.68,74.67,74.68,72.72
74.68,72.11,74.68,71.76
72.96,73.70,74.31,72.56
75.04,74.33,75.04,70.49
74.60,73.18,74.60,72.60
71.80,71.46,73.26,71.46
70.10,68.15,72.40,68.02
69.62,71.27,72.10,68.15
71.04,72.07,72.37,71.04
71.60,71.62,71.95,70.93
71.48,72.04,72.04,70.39
71.95,72.67,73.20,71.11
72.05,70.75,72.46,70.66
71.73,72.52,73.13,71.58
73.41,72.49,73.41,72.09
72.40,71.45,72.84,71.45
71.57,71.94,72.36,71.04
72.18,70.04,72.40,70.04
70.51,70.91,71.98,70.51
71.28,72.22,72.25,70.81
71.50,70.38,71.81,70.27
70.25,69.85,71.21,69.52
69.80,69.48,70.00,69.13
69.30,70.10,70.48,69.30
71.52,71.77,72.00,70.92
72.05,70.86,72.05,70.75
71.10,71.70,71.81,70.57
71.16,71.33,71.68,70.56
71.61,71.80,71.99,70.58
71.80,72.06,72.94,71.65
72.42,71.99,72.42,71.14
71.74,71.94,72.30,70.79
71.55,70.48,71.80,69.70
70.67,72.10,72.41,70.67
71.83,70.66,71.83,70.52
71.35,70.42,71.57,70.20
70.24,69.73,70.92,69.73
70.42,69.51,70.61,69.45
69.71,70.54,70.54,69.26
70.57,70.83,70.94,69.20
71.19,71.58,71.58,70.63
71.26,72.85,72.85,71.26
72.94,72.75,73.00,72.20
72.79,72.75,72.80,72.40
72.92,72.51,73.05,72.38
72.04,72.23,72.63,72.04
72.51,73.25,73.54,72.51
73.53,73.03,74.69,73.03
74.50,72.90,74.77,72.67
71.91,71.75,72.45,71.50
71.49,72.34,72.40,71.26
71.94,71.10,72.25,70.72
71.36,71.37,71.74,70.55
71.53,71.54,72.32,70.64
71.50,71.70,71.86,71.02
71.66,72.04,72.17,71.35
71.20,71.06,71.45,71.01
71.41,71.23,71.69,71.02
71.48,71.20,71.48,70.86
71.54,70.91,71.54,70.75
70.77,71.32,71.42,70.77
