BWV,iPath Goldman Sachs Barclays Bank PLC iPath Exchange Traded Notes Linked to the CBOE S&P 500 BuyWrite Index Structured Product,NASDAQ
45.99,45.90,45.99,45.84
45.71,45.74,45.82,45.66
45.55,45.72,45.72,45.55
45.99,45.80,45.99,45.68
45.76,45.73,45.76,45.73
45.89,45.83,45.92,45.71
46.01,45.97,46.04,45.95
45.91,46.10,46.15,45.91
46.36,46.37,46.38,46.36
46.60,46.42,46.60,46.37
46.40,46.45,46.47,46.40
46.49,46.44,46.49,46.44
46.38,46.46,46.46,46.38
46.43,46.43,46.44,46.43
46.24,46.24,46.24,46.24
46.50,46.43,46.50,46.42
46.10,46.17,46.21,46.10
46.29,46.37,46.39,46.24
46.52,46.51,46.52,46.51
46.53,46.61,46.82,46.44
46.54,46.57,46.63,46.35
46.32,46.23,46.35,46.19
nan,46.60,nan,nan
46.43,46.43,46.47,46.43
45.87,46.46,46.46,45.87
46.15,46.21,46.38,46.13
46.88,46.83,46.88,46.83
47.00,47.07,47.08,47.00
47.10,47.20,47.23,47.09
47.25,47.21,47.25,47.13
47.28,47.28,47.33,47.26
47.32,47.32,47.32,47.32
47.31,47.31,47.31,47.31
47.36,47.35,47.39,47.35
nan,47.39,nan,nan
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
47.40,47.47,47.47,47.40
47.39,47.35,47.42,47.35
47.25,47.57,47.60,47.25
nan,47.69,nan,nan
N/A,N/A,N/A,N/A
nan,47.70,nan,nan
nan,47.83,nan,nan
N/A,N/A,N/A,N/A
47.82,47.82,47.82,47.82
nan,47.83,nan,nan
N/A,N/A,N/A,N/A
47.89,48.13,48.13,47.89
nan,48.08,nan,nan
N/A,N/A,N/A,N/A
48.02,48.15,48.25,48.02
48.10,48.10,48.10,48.10
48.01,48.06,48.06,48.01
48.26,48.23,48.28,48.19
48.28,48.28,48.28,48.28
nan,48.22,nan,nan
N/A,N/A,N/A,N/A
48.22,48.35,48.35,48.22
nan,48.37,nan,nan
N/A,N/A,N/A,N/A
nan,48.26,nan,nan
N/A,N/A,N/A,N/A
48.36,48.31,48.36,48.11
48.43,48.53,48.53,48.43
48.57,48.52,48.57,48.50
48.48,48.06,48.48,48.05
48.16,48.16,48.16,48.16
48.47,48.71,48.71,48.47
48.76,48.76,48.76,48.76
nan,48.73,nan,nan
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
48.99,48.89,48.99,48.89
48.97,49.00,49.00,48.97
49.02,48.99,49.04,48.99
nan,48.97,nan,nan
nan,49.12,nan,nan
49.00,48.99,49.00,48.99
49.04,49.01,49.05,49.01
nan,49.06,nan,nan
nan,48.70,nan,nan
nan,48.00,nan,nan
nan,48.17,nan,nan
nan,48.57,nan,nan
48.68,48.73,48.87,48.68
48.75,48.23,48.75,48.23
48.25,48.38,48.43,48.25
48.76,48.95,48.97,48.76
49.00,48.70,49.00,48.70
47.87,48.45,48.86,47.87
48.60,48.85,48.85,48.60
48.82,48.70,48.82,48.53
48.06,47.88,48.06,47.88
47.89,48.05,48.09,47.89
47.80,47.83,47.83,47.80
nan,47.40,nan,nan
46.63,46.63,46.63,46.63
47.04,47.11,47.11,47.04
47.69,47.82,47.82,47.69
nan,47.67,nan,nan
nan,48.03,nan,nan
N/A,N/A,N/A,N/A
nan,48.13,nan,nan
N/A,N/A,N/A,N/A
48.34,48.32,48.34,48.32
48.24,48.38,48.38,48.24
48.65,48.50,48.65,48.48
48.60,48.60,48.60,48.60
nan,48.62,nan,nan
48.51,48.51,48.51,48.51
nan,48.63,nan,nan
N/A,N/A,N/A,N/A
48.53,48.66,48.66,48.53
48.60,48.66,48.68,48.60
48.76,48.72,48.76,48.64
nan,48.68,nan,nan
nan,48.74,nan,nan
N/A,N/A,N/A,N/A
48.85,48.64,48.85,48.63
48.13,48.12,48.13,48.12
48.63,48.64,48.64,48.54
48.95,49.07,49.07,48.95
nan,49.13,nan,nan
49.16,49.16,49.16,49.09
49.16,49.28,49.28,49.16
49.40,49.37,49.40,49.37
49.46,49.52,49.52,49.46
49.40,49.58,49.58,49.40
49.48,49.50,49.50,49.48
49.46,49.39,49.50,49.39
49.38,49.38,49.38,49.38
49.29,49.19,49.29,49.15
49.36,49.27,49.36,49.27
nan,49.49,nan,nan
49.53,49.51,49.53,49.51
49.53,49.45,49.53,49.45
49.34,49.53,49.53,49.34
49.50,49.42,49.50,49.42
49.36,49.36,49.36,49.36
49.39,49.44,49.44,49.39
49.55,49.55,49.55,49.55
49.64,49.62,49.64,49.62
49.34,49.42,49.64,49.33
49.01,49.04,49.04,48.94
49.09,49.04,49.13,49.03
49.03,49.19,49.19,49.03
nan,49.32,nan,nan
N/A,N/A,N/A,N/A
49.52,49.52,49.52,49.52
49.55,49.49,49.55,49.49
49.28,49.17,49.28,49.17
48.78,48.78,48.78,48.78
48.23,48.25,48.25,48.17
48.29,48.31,48.31,48.29
48.15,47.96,48.15,47.96
48.37,48.44,48.45,48.37
48.28,47.75,48.28,47.75
48.01,47.80,48.01,47.61
48.35,48.45,48.45,48.33
48.06,47.65,48.06,47.65
47.69,47.31,47.69,47.31
47.58,47.74,47.75,47.58
nan,47.89,nan,nan
48.26,48.32,48.32,48.20
nan,48.26,nan,nan
47.78,47.87,47.87,47.78
48.17,47.92,48.17,47.92
48.18,47.91,48.18,47.91
nan,48.40,nan,nan
48.56,48.56,48.56,48.56
nan,48.80,nan,nan
nan,48.75,nan,nan
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
48.94,48.96,48.96,48.92
nan,49.02,nan,nan
nan,48.95,nan,nan
48.76,48.76,48.76,48.76
48.73,48.82,48.82,48.73
48.81,48.81,48.81,48.81
nan,49.34,nan,nan
nan,48.67,nan,nan
48.88,49.13,49.15,48.88
nan,49.22,nan,nan
nan,49.35,nan,nan
49.41,49.44,49.44,49.41
49.43,49.39,49.43,49.39
nan,49.33,nan,nan
nan,48.85,nan,nan
nan,48.91,nan,nan
