WTM,White Mountains Insurance Group,NASDAQ
335.00,335.50,337.00,332.55
336.50,333.95,336.50,333.09
331.00,336.17,336.67,331.00
335.00,334.98,335.65,333.58
332.98,329.00,334.90,329.00
329.14,330.00,331.14,328.66
329.02,328.15,332.99,328.14
330.00,333.31,335.04,329.15
331.10,330.15,335.05,327.07
326.50,321.00,326.50,314.17
321.32,332.00,334.12,321.32
330.80,331.50,333.50,326.17
332.75,333.50,339.34,331.39
334.66,328.50,335.99,328.46
327.58,328.00,331.39,325.69
325.11,325.60,328.71,324.08
326.50,331.00,331.00,325.48
330.00,325.90,330.00,325.16
325.10,320.47,325.53,320.47
323.50,320.26,324.56,317.10
319.40,324.75,324.75,319.21
322.00,316.98,322.76,316.98
315.12,321.04,326.32,315.12
320.24,325.00,325.00,318.60
325.35,317.20,325.72,317.20
318.91,324.10,326.85,318.91
324.34,327.75,328.71,322.00
325.75,327.01,329.00,324.85
324.00,330.00,331.45,324.00
331.00,334.00,334.00,331.00
335.00,333.25,337.35,329.85
334.88,331.60,334.88,327.96
332.00,333.00,334.00,325.66
334.50,341.73,344.16,334.50
339.50,338.50,342.06,338.50
339.00,340.60,341.99,338.76
337.50,343.63,349.00,337.50
345.00,346.64,346.65,342.11
350.00,350.50,353.74,347.60
350.00,349.90,352.34,348.51
349.88,349.60,351.00,348.71
350.00,350.80,351.55,350.00
351.16,349.57,351.16,348.56
349.57,350.68,351.51,349.57
349.77,348.57,350.49,347.34
347.75,351.98,351.98,347.62
351.98,352.50,353.76,351.80
352.50,353.00,355.00,350.83
351.00,351.00,352.99,349.56
353.00,355.19,355.19,352.90
354.84,355.95,356.76,354.84
356.14,354.50,357.49,354.50
356.95,356.95,357.00,354.53
355.00,353.30,356.83,353.18
355.20,354.60,355.99,353.09
357.50,358.04,359.18,354.88
357.95,355.00,358.28,354.50
354.99,352.25,355.33,350.15
352.04,353.25,353.50,352.00
351.90,353.58,357.41,351.90
350.57,355.00,355.00,350.57
355.00,358.15,358.15,355.00
359.87,360.66,360.66,357.71
359.98,360.32,360.90,358.25
360.15,361.00,361.61,359.84
359.23,358.00,361.00,358.00
358.67,356.68,359.60,356.68
356.20,360.00,360.00,356.20
359.65,358.90,359.65,357.64
358.85,360.00,360.49,358.85
359.87,362.90,363.00,359.87
361.88,362.50,363.37,360.52
362.00,359.88,362.00,357.30
361.60,359.00,361.60,356.15
359.65,358.83,361.54,358.45
355.61,359.80,360.00,355.61
360.62,360.12,361.20,359.25
360.12,355.28,360.50,355.28
352.75,354.00,355.05,352.75
354.00,356.00,358.80,353.08
356.00,347.54,356.90,344.00
347.54,343.60,347.84,341.96
346.05,345.71,347.06,341.04
344.08,331.80,344.08,330.01
330.84,327.44,335.49,326.11
327.44,318.00,338.95,318.00
315.96,321.96,324.68,315.96
332.50,331.35,332.50,323.85
331.35,329.41,333.49,329.00
329.65,338.99,338.99,329.65
337.45,334.20,338.01,332.75
331.20,325.55,332.07,324.03
326.05,331.36,332.57,326.05
332.65,325.00,335.23,323.09
322.21,327.14,327.22,321.80
324.00,311.00,324.00,311.00
312.00,319.10,319.10,309.31
316.00,312.50,319.21,312.50
308.00,312.81,314.82,306.01
