PRGO,Perrigo Company plc Ordinary Shares,NASDAQ
40.26,40.35,40.63,40.26
40.20,38.79,40.20,38.54
38.98,38.30,39.20,37.88
38.14,37.99,38.24,37.74
38.02,37.78,38.15,37.46
38.59,39.44,39.51,38.23
39.86,41.11,41.53,39.86
41.29,41.91,42.20,41.22
41.70,42.13,42.15,41.65
42.16,42.15,42.32,41.82
42.14,43.01,43.11,42.02
42.74,42.78,42.88,42.15
42.87,42.55,43.10,42.17
42.48,42.56,43.06,42.26
42.65,41.58,42.69,41.54
41.37,42.50,42.80,41.25
42.44,43.05,43.17,42.44
43.06,43.53,43.82,42.82
43.70,44.28,44.59,43.48
44.46,44.20,44.83,43.71
43.28,45.92,46.10,43.10
45.29,46.27,46.90,45.05
46.10,45.78,46.48,45.77
45.88,45.29,45.91,44.70
45.41,45.74,46.18,45.20
46.25,46.32,46.67,46.04
46.27,45.81,46.27,45.70
45.68,47.06,47.26,45.01
46.91,48.55,48.63,46.36
48.98,48.47,48.98,48.35
48.42,48.12,48.71,47.88
48.12,49.20,49.23,47.97
49.31,49.88,50.16,49.15
49.65,49.20,49.65,48.61
49.15,48.97,49.31,48.76
48.63,48.71,49.04,48.43
48.49,49.65,50.02,48.44
49.79,49.57,49.96,49.32
50.36,51.16,51.33,50.35
51.39,52.68,52.72,51.26
52.62,52.24,52.73,51.86
52.40,51.28,52.48,51.15
51.63,50.73,51.85,49.85
50.74,50.14,50.99,49.51
49.96,49.33,49.98,49.20
49.17,50.10,50.14,49.12
50.10,50.77,50.90,50.00
50.77,50.68,50.94,50.28
50.55,50.94,50.98,50.31
51.11,51.52,51.58,50.97
51.83,50.06,51.85,49.76
50.25,50.19,50.30,49.82
50.28,50.38,50.48,49.84
50.32,51.13,51.41,50.30
54.21,57.20,57.49,53.64
57.27,57.80,57.96,56.46
57.95,56.53,58.67,56.41
56.67,56.79,56.84,55.91
57.01,58.22,58.22,57.00
58.20,58.68,59.25,58.00
58.75,58.72,59.74,58.65
59.38,59.08,59.64,58.88
59.36,61.01,61.41,59.27
60.70,60.69,61.10,60.06
60.33,59.58,60.45,59.14
59.05,59.00,59.09,58.00
59.06,59.00,59.28,58.55
59.29,59.91,59.98,58.82
59.98,60.77,60.92,59.80
60.99,60.99,61.43,60.47
60.87,61.98,62.35,60.75
61.98,60.35,62.23,59.88
60.00,59.47,60.49,58.90
59.83,60.00,60.15,59.45
60.08,59.07,60.08,58.67
58.89,59.87,60.40,58.00
60.07,60.58,60.89,59.60
59.82,60.24,60.64,59.82
59.83,59.42,60.29,58.69
59.27,59.04,59.28,58.06
59.27,63.47,64.59,59.12
63.22,61.14,63.34,61.02
60.90,62.87,63.11,60.81
62.01,61.96,62.38,61.44
61.16,61.67,61.90,59.81
61.38,59.33,61.96,54.04
59.28,57.57,60.00,57.22
60.25,61.98,62.36,60.25
61.00,63.43,63.74,60.61
63.61,64.35,64.66,63.52
64.08,62.45,64.08,62.15
62.04,60.51,62.21,60.34
60.84,59.97,61.32,59.06
60.51,58.51,60.85,58.46
58.46,58.30,59.38,57.55
57.66,56.05,57.81,54.92
55.21,58.59,58.70,54.17
58.30,57.04,58.65,56.88
55.60,56.10,56.25,53.10
57.06,58.10,59.49,56.82
59.03,60.24,60.50,59.03
60.09,59.41,60.72,59.37
57.35,56.52,59.13,56.50
56.90,57.49,57.96,56.64
57.75,58.90,59.32,57.51
57.71,56.98,58.76,56.86
56.80,55.82,57.53,55.71
55.89,57.67,57.67,55.24
57.36,58.34,59.69,57.36
59.01,59.59,59.89,58.77
58.97,59.90,60.65,58.90
60.57,59.76,60.69,59.65
60.07,60.18,60.29,59.28
59.70,59.23,59.78,58.81
59.48,59.42,59.78,58.82
