RVP,Retractable Technologies,NASDAQ
1.60,1.66,1.68,1.60
1.66,1.65,1.66,1.56
1.66,1.64,1.66,1.60
1.64,1.64,1.65,1.64
1.60,1.62,1.63,1.60
1.58,1.56,1.58,1.56
1.56,1.55,1.58,1.55
1.52,1.54,1.54,1.46
1.52,1.53,1.53,1.46
1.47,1.52,1.52,1.46
1.54,1.54,1.54,1.54
2.03,1.56,2.03,1.49
1.53,1.54,1.55,1.53
1.51,1.54,1.54,1.45
1.49,1.54,1.54,1.45
1.47,1.54,1.54,1.47
1.47,1.50,1.53,1.45
1.47,1.50,1.50,1.47
1.46,1.53,1.53,1.46
1.46,1.53,1.53,1.36
1.47,1.46,1.49,1.34
1.42,1.56,1.56,1.40
1.51,1.50,1.56,1.50
1.42,1.50,1.50,1.35
1.44,1.52,1.52,1.44
1.54,1.50,1.54,1.46
1.50,1.50,1.50,1.50
1.50,1.50,1.50,1.50
1.50,1.50,1.51,1.50
1.47,1.49,1.49,1.35
1.48,1.50,1.50,1.42
1.49,1.50,1.50,1.49
1.49,1.49,1.49,1.45
1.37,1.48,1.49,1.35
1.38,1.47,1.47,1.38
1.44,1.49,1.49,1.39
1.44,1.49,1.49,1.44
1.41,1.49,1.49,1.41
1.64,1.48,1.64,1.44
1.39,1.46,1.49,1.39
1.53,1.53,1.53,1.53
1.51,1.51,1.51,1.51
1.43,1.60,1.75,1.43
1.58,1.58,1.58,1.52
1.48,1.56,1.58,1.48
1.48,1.53,1.55,1.42
1.50,1.54,1.54,1.44
1.48,1.54,1.57,1.47
1.54,1.53,1.54,1.44
1.50,1.53,1.53,1.41
1.50,1.53,1.53,1.43
1.45,1.54,1.54,1.44
1.57,1.57,1.57,1.38
1.53,1.54,1.58,1.46
1.56,1.55,1.56,1.45
1.53,1.55,1.55,1.53
1.53,1.55,1.55,1.47
1.54,1.55,1.56,1.47
1.51,1.50,1.53,1.50
1.43,1.40,1.45,1.39
1.31,1.55,1.55,1.31
1.55,1.40,1.55,1.40
1.58,1.36,1.58,1.30
1.39,1.32,1.41,1.32
1.37,1.37,1.39,1.37
1.35,1.48,1.49,1.33
1.48,1.48,1.49,1.40
1.43,1.41,1.48,1.36
1.33,1.47,1.48,1.32
1.40,1.45,1.45,1.36
1.47,1.41,1.48,1.41
1.50,1.40,1.50,1.25
1.45,1.45,1.45,1.40
1.44,1.43,1.44,1.32
1.43,1.40,1.44,1.35
1.35,1.39,1.42,1.29
1.40,1.45,1.45,1.38
1.42,1.45,1.45,1.39
1.41,1.54,1.54,1.40
1.53,1.48,1.54,1.48
1.41,1.48,1.48,1.35
1.40,1.47,1.47,1.40
1.38,1.45,1.47,1.38
1.37,1.39,1.47,1.37
1.38,1.33,1.40,1.32
1.34,1.34,1.35,1.30
1.27,1.34,1.34,1.20
1.27,1.35,1.35,1.27
1.30,1.35,1.35,1.26
1.35,1.35,1.35,1.30
1.30,1.35,1.35,1.25
1.33,1.35,1.35,1.28
1.30,1.35,1.35,1.30
1.35,1.47,1.55,1.35
1.51,1.49,1.51,1.35
1.54,1.47,1.54,1.40
1.35,1.65,1.65,1.35
1.74,1.65,1.75,1.58
1.57,1.65,1.69,1.43
1.65,1.75,1.75,1.54
1.72,1.73,1.80,1.60
1.70,1.69,1.71,1.63
1.66,1.70,1.70,1.66
1.69,1.61,1.69,1.61
1.65,1.67,1.68,1.53
