MA,Mastercard Incorporated Common Stock,NASDAQ
257.99,256.84,258.20,256.07
257.84,256.08,257.96,253.05
256.24,255.56,256.24,252.50
253.40,253.89,254.06,250.98
252.33,253.98,254.92,251.70
254.57,249.80,255.36,247.88
249.59,249.66,252.94,248.56
251.81,256.15,256.24,249.66
256.25,260.48,261.84,254.50
261.81,262.65,265.88,260.55
262.50,264.75,269.88,261.70
263.01,263.39,266.15,262.20
263.55,258.51,267.00,256.11
257.39,251.81,260.99,251.08
253.40,252.45,254.23,248.49
252.02,248.61,253.13,248.05
249.68,256.33,256.43,248.35
256.30,249.45,257.95,245.83
251.16,249.90,255.14,249.09
251.13,253.42,256.51,251.09
256.20,252.56,256.30,251.81
252.45,247.58,254.00,247.06
234.34,222.11,235.53,220.89
225.40,220.74,225.40,217.15
221.00,226.40,228.46,220.17
228.60,223.45,228.65,223.00
221.70,226.90,227.86,221.70
226.90,229.00,229.29,224.82
227.75,225.48,227.75,224.65
226.60,225.30,228.17,224.50
225.60,224.83,226.05,223.43
224.30,222.00,224.30,221.61
221.92,222.63,223.89,219.60
222.84,224.24,226.95,222.84
223.22,222.02,223.69,219.37
222.02,221.75,223.11,219.00
219.55,221.49,223.15,216.43
222.98,224.37,225.14,221.06
225.94,232.74,232.86,225.38
232.29,231.81,233.53,229.07
231.83,232.15,234.49,231.00
231.73,233.00,233.46,229.82
233.66,239.54,239.80,232.71
239.09,245.61,247.08,238.39
245.05,246.48,251.89,244.66
247.10,249.60,250.50,246.08
248.05,250.19,250.50,246.14
251.06,249.97,251.77,248.53
250.98,250.08,250.98,245.95
250.25,249.34,251.30,246.92
249.68,248.65,251.00,246.80
248.83,246.30,248.83,244.62
244.36,244.36,248.08,242.55
242.79,247.08,248.24,242.25
247.07,245.59,250.65,244.38
245.20,244.68,246.88,243.95
246.44,246.09,250.29,246.09
247.25,246.24,248.75,245.07
246.93,248.01,249.24,246.61
249.23,252.41,253.83,249.20
252.20,254.00,254.28,251.42
255.55,253.94,255.89,252.06
254.53,255.58,256.27,252.87
254.85,258.75,261.00,254.80
258.90,255.66,259.55,254.91
254.06,256.88,257.30,254.06
258.75,258.88,259.99,256.82
258.31,259.57,261.00,258.28
258.70,258.50,260.54,257.21
259.07,263.13,264.23,258.01
264.60,262.63,264.66,262.25
261.03,259.50,263.72,258.26
258.83,257.30,261.53,254.72
258.95,261.39,262.88,257.17
263.35,260.59,263.35,258.78
258.80,261.60,262.52,252.01
263.61,267.22,267.58,262.00
268.16,265.78,269.22,265.68
265.79,254.85,265.79,254.84
256.54,253.00,257.30,250.58
253.72,255.38,258.44,251.79
257.21,248.04,257.40,245.99
251.19,250.74,251.39,244.54
253.37,251.25,257.44,248.31
248.00,237.94,248.99,236.01
235.41,230.30,237.99,211.00
228.35,223.09,233.98,222.04
233.99,230.31,236.12,228.33
227.41,223.24,227.49,221.24
225.00,232.62,236.22,224.59
232.70,232.31,239.92,230.56
215.30,212.45,220.02,209.07
215.24,210.81,216.67,208.19
212.94,202.81,214.62,195.58
203.05,202.45,213.25,196.05
196.66,205.50,209.99,196.66
202.39,213.85,217.34,202.18
215.39,209.84,216.49,209.84
204.07,206.87,208.66,203.81
210.31,205.00,212.95,205.00
210.25,207.80,211.28,205.80
207.37,201.77,208.24,201.15
201.00,200.39,203.70,199.75
201.33,201.02,201.89,199.62
201.31,202.00,203.63,201.25
199.50,196.67,200.87,196.50
197.29,200.07,205.50,197.27
201.12,197.54,202.33,195.35
198.00,195.46,200.62,193.76
198.24,205.12,206.30,198.00
204.00,204.88,205.44,201.56
206.84,204.17,207.31,203.11
205.45,209.57,209.74,202.88
207.15,210.62,211.47,206.27
212.15,214.00,217.17,211.11
215.48,214.26,216.44,212.39
215.73,223.34,230.48,212.72
223.34,220.94,226.98,220.58
221.76,219.85,222.26,215.46
217.75,214.89,221.00,213.36
214.67,218.39,218.39,211.18
218.00,211.52,219.08,211.13
210.00,202.99,210.00,201.15
203.32,199.53,205.66,199.43
199.55,202.70,204.47,194.71
204.86,202.77,204.89,200.70
203.99,200.03,206.00,198.06
200.57,207.57,207.57,200.57
208.18,209.67,210.00,206.67
210.78,215.52,215.52,208.55
213.03,213.67,215.85,211.30
216.40,214.63,216.88,210.80
215.00,213.17,215.99,212.14
214.06,211.81,214.06,208.63
206.44,197.22,206.82,197.22
197.66,195.83,199.48,194.07
193.00,205.30,205.38,193.00
206.98,201.50,207.87,201.29
204.94,208.40,209.30,203.50
208.20,212.94,213.27,207.69
213.65,212.83,217.05,211.40
214.55,214.23,215.56,212.39
212.73,210.09,214.90,210.09
210.12,208.37,211.74,204.50
205.51,210.04,210.41,205.51
207.48,202.52,208.12,201.18
198.57,200.91,204.60,198.00
202.59,205.30,205.39,200.01
203.94,201.63,205.39,201.07
200.00,207.42,208.00,200.00
209.60,214.89,215.07,208.16
213.75,216.35,217.41,211.70
212.52,209.66,214.66,209.66
208.20,211.83,213.33,207.00
212.84,210.64,213.00,210.39
209.19,210.44,212.34,208.02
211.25,214.03,214.99,210.62
215.00,212.86,215.14,212.19
212.74,208.89,213.96,208.60
208.27,206.37,210.39,204.81
208.33,205.19,208.54,204.68
203.66,202.51,205.27,202.19
201.42,206.11,207.66,201.06
207.00,203.17,208.18,202.87
204.21,206.62,206.62,201.50
207.65,202.70,207.65,202.32
202.00,198.36,202.42,197.06
200.99,201.08,202.96,199.50
202.64,204.73,204.73,201.12
206.50,206.98,207.49,205.47
204.65,200.52,205.93,200.01
199.52,194.40,201.70,194.32
197.01,191.98,197.08,191.20
192.73,198.14,198.28,192.46
196.67,193.03,196.70,191.00
193.36,199.75,201.25,193.24
204.16,210.18,213.03,204.14
210.70,210.29,213.38,208.25
211.50,213.67,214.35,209.96
214.00,218.71,218.71,211.52
218.37,216.99,219.44,214.69
216.25,219.03,219.89,214.12
217.12,219.43,223.18,217.12
221.30,221.57,223.00,219.60
221.00,222.37,224.50,220.81
222.62,223.00,223.40,220.35
222.36,222.63,224.12,221.55
223.81,224.00,226.30,222.76
225.00,224.78,226.00,222.70
225.58,222.64,227.16,219.00
226.02,225.90,227.99,224.27
225.95,223.30,225.95,221.74
224.67,220.86,225.00,220.76
221.11,222.59,223.05,219.30
222.31,222.86,224.23,221.10
221.64,222.13,222.66,220.00
223.00,230.89,231.41,222.82
230.82,232.66,234.35,229.26
233.68,233.70,235.64,231.03
234.90,235.45,236.84,234.22
233.61,237.05,240.56,232.50
237.14,240.52,241.60,234.84
240.44,243.19,246.25,240.44
244.00,242.64,245.23,241.10
244.10,245.15,248.50,243.28
245.00,243.52,245.95,242.68
242.59,245.76,246.22,242.59
244.91,239.52,244.91,237.42
239.95,240.06,243.49,239.30
242.61,238.99,242.95,238.23
247.50,245.98,248.29,243.18
246.70,251.83,252.00,246.50
252.50,254.89,254.98,251.30
256.49,256.29,256.89,253.66
255.00,252.76,255.88,251.25
253.12,251.52,253.80,250.66
252.01,253.57,254.00,250.90
252.07,252.07,254.87,251.41
250.02,243.17,251.00,242.61
242.82,242.93,247.49,239.73
240.70,233.06,240.70,232.72
233.74,234.57,239.05,232.91
238.07,242.49,243.60,236.70
244.23,243.88,244.99,241.75
242.52,243.41,244.16,241.00
241.52,235.65,242.36,235.48
236.50,237.79,240.86,236.50
236.94,235.15,236.94,233.00
234.90,235.56,236.06,230.01
233.80,237.03,238.57,233.01
241.92,248.19,250.00,240.66
248.10,249.19,249.19,245.28
247.99,249.08,249.39,245.18
247.25,253.16,253.60,247.25
254.51,246.78,255.66,246.51
246.69,250.64,250.75,246.18
250.49,251.22,254.14,246.80
251.53,254.76,254.76,250.33
254.58,259.35,260.72,252.55
259.55,254.12,260.00,253.70
254.97,249.22,256.00,247.90
250.00,223.49,254.01,218.30
224.18,221.26,225.22,215.00
221.30,223.54,224.89,221.01
224.80,219.78,226.00,218.51
219.60,217.40,221.47,215.42
217.29,218.30,218.47,216.74
218.30,224.65,225.18,217.54
225.01,224.52,226.75,223.09
224.40,225.46,226.13,223.70
225.00,223.72,226.00,223.54
223.53,224.11,225.68,223.05
226.44,220.85,226.48,219.33
221.23,223.70,223.70,220.88
223.70,230.29,231.83,223.69
231.59,231.12,232.65,228.10
231.14,231.09,233.48,229.04
231.35,230.20,232.15,229.11
231.20,229.40,232.00,228.39
230.60,232.83,232.83,229.73
232.84,233.51,233.51,231.29
233.69,236.91,236.91,233.30
236.22,237.63,238.98,236.22
236.72,235.36,237.49,235.26
233.74,235.10,238.84,228.03
237.00,233.53,237.00,233.32
233.54,239.00,239.80,233.46
238.99,241.54,241.93,235.18
243.60,240.18,243.60,238.01
240.58,239.11,241.24,237.97
239.16,234.87,240.52,234.57
234.00,236.51,236.57,232.74
230.31,238.15,241.88,230.31
238.46,239.39,242.36,238.17
239.00,245.39,247.97,237.05
245.80,247.24,249.43,244.00
247.27,249.98,251.37,247.27
251.99,249.61,251.99,248.36
248.54,248.50,251.61,247.50
247.47,252.13,253.00,247.47
250.75,253.49,254.84,250.43
252.54,254.96,258.73,252.54
255.21,256.10,256.56,254.01
256.85,254.38,258.83,253.78
250.36,251.82,254.00,248.61
252.00,250.74,253.18,249.66
245.31,247.38,250.53,244.14
247.38,244.12,249.30,244.09
245.00,244.18,246.55,242.96
246.70,246.71,249.34,245.01
247.58,240.56,247.85,240.42
242.51,240.36,246.99,240.36
241.10,246.18,246.95,240.40
246.94,251.65,251.70,246.72
249.90,249.75,251.78,248.57
249.91,247.27,252.89,246.45
247.22,249.00,251.56,245.00
248.70,247.98,251.85,247.42
247.48,243.56,247.48,242.11
242.02,248.42,249.00,242.02
247.20,248.84,249.59,246.23
243.01,244.65,246.58,241.87
244.05,244.30,248.43,243.88
246.55,243.76,249.00,242.29
244.53,241.68,246.26,241.40
243.33,247.96,248.00,243.33
247.58,246.76,249.30,246.39
246.63,246.86,248.36,245.74
247.73,252.31,253.10,245.51
252.02,247.70,253.30,247.36
250.76,252.37,254.28,247.83
251.38,251.71,252.91,249.42
256.55,253.66,262.38,252.20
253.08,251.72,255.74,251.13
252.01,253.55,255.13,251.94
254.91,261.25,261.33,254.86
260.03,262.93,264.58,259.40
263.89,265.48,265.59,261.91
265.50,265.17,265.99,262.84
266.99,263.06,267.00,263.00
262.88,266.61,267.45,262.16
260.55,262.96,267.28,260.55
265.04,269.76,269.96,264.47
268.03,268.87,269.92,267.02
269.01,267.58,269.47,264.19
266.49,265.05,266.52,263.48
265.86,267.06,268.87,265.49
269.30,270.02,273.75,268.54
270.00,273.28,273.35,268.95
273.28,271.43,274.00,270.69
271.12,276.36,278.10,271.12
276.06,275.36,276.25,271.60
275.33,274.70,275.84,274.02
274.70,275.89,275.89,273.45
276.97,275.29,280.00,274.98
282.00,282.38,286.80,280.26
279.65,282.39,283.13,278.23
280.54,274.50,281.98,273.07
275.02,274.25,277.70,273.87
274.52,278.77,279.29,273.11
279.99,281.10,281.64,278.89
281.00,278.13,282.00,277.06
277.07,282.10,282.75,276.70
282.27,280.00,282.74,279.46
278.21,279.15,282.20,276.80
280.24,282.05,282.20,276.51
280.02,281.35,282.93,277.92
282.46,284.06,284.75,281.00
284.77,277.57,284.77,277.32
274.50,271.96,275.56,269.88
273.16,270.09,273.20,268.41
268.05,274.48,275.53,268.00
274.00,282.10,283.63,272.50
282.19,285.24,286.32,281.53
286.78,287.05,288.57,285.45
286.60,280.66,287.76,280.66
280.69,282.75,285.81,279.50
279.01,277.06,282.68,275.51
276.76,271.92,277.73,271.05
273.01,274.20,277.15,273.01
272.57,270.00,272.64,258.34
268.52,271.70,273.08,268.15
270.39,267.03,271.61,265.14
267.02,267.42,269.17,266.29
269.00,274.12,274.96,268.54
271.08,270.47,275.68,270.47
270.47,266.68,270.47,265.15
268.26,266.09,272.40,264.87
265.99,269.95,270.66,265.37
271.08,274.03,275.44,270.12
273.07,271.14,276.30,271.14
268.90,273.13,273.13,267.10
273.00,274.20,274.20,270.35
273.08,272.60,274.13,270.40
274.76,278.23,279.00,273.94
278.85,309.70,309.81,275.23
306.78,301.34,309.75,299.58
300.48,314.47,315.64,299.60
312.42,315.96,317.73,312.00
314.91,312.90,317.28,312.03
312.46,319.02,322.28,312.46
314.06,315.29,317.44,313.14
313.19,307.46,313.35,307.00
308.17,303.91,309.50,303.73
305.95,305.89,309.95,305.70
304.51,305.68,311.00,304.51
306.57,307.55,309.30,305.43
306.64,307.55,309.47,303.95
309.35,311.39,312.77,308.37
312.49,308.27,312.78,306.51
309.94,310.52,314.93,308.59
310.71,314.14,315.71,309.02
310.27,316.35,318.71,309.68
316.36,312.76,318.65,312.37
311.38,303.09,313.50,302.98
303.93,306.90,312.12,302.71
302.05,303.25,306.86,299.60
308.24,304.12,311.65,301.02
302.92,298.49,309.41,298.49
