TWMC,Trans World Entertainment Corp. - Common Stock,NASDAQ
1.55,1.55,1.60,1.49
1.57,1.60,1.63,1.55
1.60,1.52,1.60,1.51
1.52,1.48,1.57,1.48
1.47,1.52,1.56,1.46
1.52,1.49,1.54,1.48
1.52,1.46,1.52,1.46
1.46,1.49,1.50,1.46
1.50,1.45,1.50,1.45
1.44,1.46,1.51,1.37
1.48,1.52,1.53,1.45
1.52,1.42,1.52,1.41
1.44,1.39,1.47,1.35
1.43,1.40,1.45,1.35
1.38,1.33,1.40,1.33
1.31,1.37,1.40,1.31
1.40,1.37,1.40,1.37
1.37,1.37,1.37,1.37
1.37,1.30,1.37,1.30
1.31,1.39,1.45,1.31
1.39,1.39,1.40,1.39
1.40,1.43,1.43,1.40
1.39,1.40,1.40,1.37
1.38,1.36,1.38,1.36
1.38,1.37,1.40,1.37
1.35,1.37,1.37,1.34
1.37,1.34,1.37,1.34
1.37,1.38,1.38,1.37
1.34,1.34,1.34,1.34
1.31,1.31,1.35,1.31
1.33,1.36,1.37,1.31
1.36,1.33,1.36,1.33
1.33,1.33,1.35,1.33
1.34,1.23,1.34,1.21
1.24,1.27,1.27,1.22
1.25,1.23,1.25,1.23
1.24,1.23,1.24,1.23
1.23,1.26,1.26,1.23
1.26,1.24,1.27,1.24
1.26,1.27,1.28,1.26
1.28,1.28,1.28,1.26
1.28,1.32,1.32,1.28
1.32,1.28,1.32,1.28
1.29,1.33,1.35,1.28
1.35,1.37,1.37,1.35
1.37,1.40,1.40,1.34
1.38,1.41,1.43,1.38
1.48,1.63,1.69,1.48
1.65,1.57,1.69,1.52
1.56,1.61,1.63,1.51
1.60,1.51,1.60,1.50
1.51,1.51,1.52,1.45
1.47,1.17,1.60,1.15
1.26,1.36,1.40,1.24
1.39,1.39,1.46,1.36
1.46,1.52,1.56,1.40
1.54,1.51,1.58,1.51
1.74,1.68,2.00,1.55
1.68,1.70,1.78,1.64
1.77,1.71,1.78,1.71
1.74,1.80,1.83,1.74
1.82,1.73,1.82,1.72
1.75,1.82,1.89,1.75
1.80,1.80,1.81,1.80
1.80,1.77,1.82,1.71
1.77,1.80,1.81,1.77
1.78,1.83,1.83,1.77
1.83,1.84,1.87,1.74
1.84,1.85,1.89,1.76
1.87,1.85,1.89,1.81
1.88,1.88,1.90,1.85
1.85,1.80,1.87,1.75
1.83,1.85,1.87,1.75
1.85,1.70,1.87,1.69
1.74,1.95,2.23,1.74
1.92,2.07,2.15,1.81
2.09,2.12,2.15,2.02
2.17,2.25,2.41,2.16
2.38,2.37,2.70,2.25
2.37,2.44,2.44,2.26
2.39,2.39,2.50,2.35
2.39,2.33,2.50,2.29
2.31,2.21,2.33,2.17
2.24,2.21,2.28,2.20
2.13,2.08,2.21,2.07
2.13,2.11,2.13,1.80
2.02,1.95,2.04,1.91
1.95,1.95,2.19,1.91
1.93,2.09,2.10,1.85
2.11,2.22,2.25,2.07
2.22,2.21,2.25,2.11
2.21,2.14,2.25,2.14
2.14,2.12,2.19,2.10
2.17,2.12,2.17,2.02
2.10,2.00,2.10,1.93
1.94,1.85,1.94,1.85
1.89,1.82,1.89,1.80
1.85,1.88,1.92,1.85
1.87,1.86,1.88,1.85
1.91,1.95,2.05,1.90
1.95,1.92,2.17,1.91
1.91,1.87,1.91,1.82
1.87,1.85,1.89,1.85
1.86,1.87,1.89,1.85
1.88,1.85,1.92,1.85
1.86,1.85,1.88,1.83
1.85,1.81,1.86,1.81
1.81,1.83,1.85,1.77
1.83,1.81,1.88,1.81
1.80,1.81,1.89,1.74
1.84,1.90,1.90,1.81
1.85,1.84,1.88,1.81
