GPI,Group 1 Automotive,NASDAQ
28.97,29.29,30.01,28.95
29.32,30.50,30.61,28.72
30.50,32.19,32.24,30.50
32.29,33.65,34.13,32.29
33.39,33.85,34.12,32.93
34.20,33.24,34.22,32.95
32.79,31.40,32.93,31.10
31.52,31.57,31.85,30.32
31.32,31.22,31.44,30.49
31.46,30.14,31.69,29.92
30.00,31.49,31.78,30.00
31.07,30.75,31.39,30.25
30.91,29.84,31.31,29.32
29.82,28.61,30.50,28.46
29.12,31.05,31.56,29.00
31.05,31.46,32.43,30.34
29.86,29.54,29.86,28.31
29.72,29.00,30.02,28.60
29.07,29.00,29.98,28.78
29.23,30.70,30.76,29.23
30.81,31.68,31.98,30.41
31.42,31.30,31.98,30.93
30.85,29.31,31.03,29.23
29.49,30.10,30.18,28.66
29.98,29.75,30.20,29.22
30.31,30.88,31.07,29.93
30.61,30.26,30.90,30.01
29.41,28.41,29.56,27.36
27.86,26.30,27.86,25.72
26.71,25.73,26.71,25.08
25.95,26.81,26.96,25.44
27.26,28.07,28.82,27.23
28.24,28.30,28.58,27.85
28.37,27.54,28.51,27.46
27.57,27.07,27.90,26.55
26.98,26.80,27.52,26.53
26.13,27.92,27.95,26.11
28.06,27.77,28.17,27.16
28.12,28.12,28.23,27.60
28.26,28.27,28.73,27.76
28.43,29.35,29.85,28.43
29.56,30.70,30.83,29.56
30.85,31.80,32.00,30.67
31.95,31.96,32.26,31.40
31.78,31.23,32.10,30.98
31.14,32.16,32.60,31.14
31.96,32.14,32.16,31.05
32.42,32.30,32.42,31.37
32.12,32.04,32.22,31.15
31.44,31.52,32.27,30.23
31.52,32.69,32.72,31.22
32.52,33.22,33.33,32.42
33.42,33.42,34.11,32.86
32.94,33.90,34.09,32.45
33.81,35.08,35.14,33.31
34.83,33.43,34.85,33.26
33.80,33.51,34.50,33.14
33.84,33.73,34.50,33.46
33.96,32.86,34.09,32.80
32.82,32.91,33.62,32.58
32.79,31.86,33.03,31.73
32.13,32.65,32.66,31.81
32.91,32.59,33.18,32.45
32.49,32.25,32.60,31.79
32.10,32.14,32.60,31.88
32.01,32.18,32.47,30.86
32.26,31.08,32.26,30.69
31.19,31.41,31.84,31.10
31.39,31.43,31.91,30.94
31.61,33.68,33.75,31.60
33.80,34.04,34.04,33.22
33.90,33.70,34.49,33.11
33.37,33.53,34.00,32.05
33.65,33.97,34.36,33.02
34.11,36.71,36.99,33.83
36.10,37.81,38.24,35.60
37.95,37.82,38.09,37.35
37.87,37.56,38.21,37.43
36.75,35.86,37.95,35.52
35.99,33.51,36.19,33.17
33.87,33.90,34.17,32.71
33.85,31.05,34.36,30.72
31.56,32.13,32.47,31.34
31.53,31.00,32.09,30.61
30.39,30.18,32.47,29.98
29.92,28.70,30.40,25.64
28.60,26.81,29.39,26.58
27.83,29.81,29.89,27.81
29.31,30.02,30.60,28.81
30.17,30.99,31.26,29.62
30.84,29.30,30.96,28.81
29.05,28.81,29.67,27.94
29.02,28.86,29.49,27.38
29.34,27.22,30.16,27.10
27.01,27.51,28.19,26.37
26.77,26.15,27.35,25.75
25.56,27.84,27.84,25.42
27.57,27.36,28.04,27.30
26.10,27.37,27.43,25.88
27.57,27.71,28.77,27.41
28.69,29.49,29.51,28.21
29.40,28.44,29.68,27.91
28.09,26.23,28.35,26.22
26.40,27.95,28.15,26.02
28.41,29.03,30.24,28.03
28.24,27.21,28.24,26.96
27.25,25.24,27.41,25.23
25.46,27.24,27.58,25.18
27.49,26.43,28.32,26.08
27.21,27.10,27.49,26.31
26.53,27.31,27.57,26.18
27.65,28.00,28.65,27.65
28.57,29.55,29.65,28.09
29.29,28.70,29.29,28.20
28.89,28.04,28.89,27.58
28.12,26.48,28.33,26.33
26.90,25.31,27.03,25.07
25.45,24.71,26.00,24.45
25.08,24.98,25.53,24.41
24.65,23.75,24.76,22.93
23.85,24.67,24.79,23.28
24.72,24.40,25.55,24.21
23.70,24.00,24.41,23.25
23.74,23.53,24.75,23.36
23.61,24.24,24.35,22.44
24.43,23.69,24.54,23.22
24.39,22.49,24.61,22.22
22.76,23.85,24.00,22.51
24.26,23.81,24.69,23.33
23.69,24.20,24.30,23.48
24.12,23.50,24.15,23.10
23.92,24.46,24.61,23.71
24.29,24.26,24.82,23.72
24.31,24.17,24.33,23.35
24.57,24.11,24.91,23.91
24.34,24.49,24.71,23.76
23.96,25.99,26.15,23.67
26.20,25.58,26.22,25.26
26.20,27.36,27.54,26.01
27.11,28.40,28.54,26.59
28.15,28.64,28.95,27.31
29.90,28.85,31.40,28.36
28.90,28.02,29.13,27.67
28.48,27.90,29.01,26.92
27.26,27.72,27.83,26.62
28.64,28.53,28.76,27.77
28.26,26.88,28.26,26.75
27.01,27.61,27.80,26.63
26.96,27.57,27.70,26.27
26.95,27.33,27.43,26.04
27.50,28.40,28.65,27.32
27.92,27.40,28.18,27.15
26.48,26.37,26.94,26.23
25.60,26.61,27.00,25.33
26.53,26.45,26.86,26.31
26.20,27.17,27.75,26.01
27.64,27.95,28.77,27.36
27.87,27.76,28.11,27.45
27.68,26.31,28.00,26.21
26.20,26.19,26.25,25.32
26.38,25.47,27.10,25.44
24.98,25.09,25.59,24.06
24.88,25.56,25.69,24.48
25.68,24.46,25.93,24.29
24.82,24.93,25.08,24.22
24.86,24.59,25.19,24.49
24.55,25.24,25.77,24.37
25.73,26.73,26.80,25.73
26.63,27.32,27.88,26.57
27.74,28.73,29.18,27.73
28.47,27.42,28.47,27.30
27.60,27.87,28.01,27.18
28.34,26.78,28.34,26.65
26.96,26.67,27.39,26.52
27.18,27.49,27.82,26.91
27.46,28.20,28.76,27.46
27.99,28.27,28.50,27.62
28.11,28.10,28.50,27.71
28.36,26.92,28.36,26.61
27.10,27.68,27.78,27.00
27.58,27.06,27.84,26.83
26.98,26.68,27.47,26.38
