HBIO,Harvard Bioscience,NASDAQ
3.60,3.66,3.75,3.51
3.65,3.62,3.65,3.52
3.63,3.45,3.63,3.45
3.45,3.47,3.50,3.40
3.47,3.49,3.55,3.47
3.51,3.56,3.58,3.51
3.55,3.61,3.62,3.50
3.61,3.60,3.62,3.57
3.58,3.67,3.68,3.58
3.68,3.57,3.68,3.52
3.56,3.62,3.68,3.55
3.62,3.55,3.65,3.55
3.54,3.42,3.54,3.41
3.43,3.44,3.54,3.42
3.47,3.43,3.51,3.40
3.41,3.40,3.45,3.40
3.40,3.42,3.45,3.38
3.43,3.44,3.46,3.43
3.46,3.45,3.48,3.43
3.45,3.48,3.48,3.40
3.47,3.39,3.48,3.39
3.39,3.42,3.45,3.39
3.42,3.38,3.45,3.36
3.37,3.34,3.41,3.34
3.35,3.37,3.40,3.33
3.40,3.42,3.42,3.33
3.40,3.41,3.42,3.38
3.40,3.43,3.45,3.33
3.42,3.41,3.42,3.30
3.44,3.45,3.45,3.33
3.47,3.42,3.47,3.37
3.39,3.46,3.46,3.38
3.46,3.42,3.46,3.35
3.42,3.43,3.49,3.40
3.44,3.44,3.52,3.36
3.44,3.32,3.47,3.30
3.30,3.25,3.39,3.22
3.50,3.49,3.64,3.46
3.51,3.63,3.63,3.43
3.62,3.72,3.72,3.54
3.71,3.74,3.75,3.58
3.73,3.74,3.74,3.66
3.74,3.80,3.80,3.70
3.81,3.77,3.83,3.72
3.79,3.81,3.84,3.75
3.83,3.89,3.93,3.78
3.87,3.97,3.99,3.85
3.99,3.97,4.00,3.93
3.98,4.03,4.03,3.86
4.05,3.99,4.05,3.93
4.00,4.01,4.04,4.00
4.02,4.06,4.10,3.96
4.08,3.93,4.08,3.86
3.92,4.01,4.02,3.88
4.00,4.02,4.03,3.94
4.02,3.93,4.02,3.91
3.96,3.89,3.96,3.89
3.90,3.89,3.95,3.85
3.94,3.98,4.00,3.86
3.99,3.95,4.00,3.92
3.93,3.87,3.95,3.86
3.87,3.83,3.92,3.75
3.83,3.90,3.90,3.83
3.88,3.90,3.96,3.86
3.87,3.80,3.98,3.80
3.78,3.75,3.80,3.74
3.75,3.83,3.89,3.75
3.84,3.91,3.96,3.83
3.91,3.98,3.99,3.88
3.98,4.06,4.06,3.95
4.09,4.17,4.17,3.97
4.17,4.26,4.29,4.02
4.26,4.23,4.38,4.22
4.25,4.31,4.31,4.18
4.32,4.37,4.37,4.23
4.33,4.45,4.45,4.27
4.46,4.45,4.47,4.30
4.46,4.40,4.50,4.31
4.36,4.25,4.36,4.24
4.25,4.28,4.34,4.23
4.30,4.37,4.38,4.28
4.39,4.18,4.39,4.18
4.20,4.36,4.37,4.18
4.25,4.23,4.34,4.20
4.18,4.34,4.38,4.18
4.27,4.19,4.40,4.14
4.20,4.24,4.40,4.00
4.37,4.36,4.38,4.26
4.38,4.32,4.38,4.25
4.31,4.33,4.35,4.29
4.30,4.30,4.30,4.15
4.29,4.12,4.29,4.10
4.12,4.14,4.17,4.00
4.18,4.01,4.18,3.95
4.01,3.99,4.03,3.96
3.93,3.67,3.99,3.65
3.60,3.63,3.69,3.53
3.64,3.62,3.66,3.57
3.55,3.51,3.58,3.50
3.55,3.55,3.68,3.51
3.62,3.77,3.78,3.53
3.77,3.65,3.83,3.64
3.61,3.47,3.70,3.47
3.47,3.80,3.80,3.47
3.77,3.71,3.86,3.65
3.67,3.61,3.70,3.61
3.60,3.54,3.61,3.47
3.54,3.50,3.55,3.43
3.54,3.46,3.55,3.44
3.51,3.54,3.63,3.46
3.50,3.55,3.58,3.47
3.59,3.51,3.63,3.49
3.55,3.57,3.60,3.48
3.53,3.46,3.60,3.46
3.49,3.53,3.57,3.45
3.56,3.51,3.57,3.48
3.56,3.45,3.58,3.42
3.47,3.45,3.55,3.45
3.44,3.36,3.52,3.36
3.35,3.32,3.42,3.32
3.32,3.30,3.50,3.27
3.30,3.50,3.57,3.30
3.41,3.42,3.53,3.36
3.38,3.56,3.57,3.38
3.58,3.52,3.63,3.50
3.54,3.45,3.55,3.43
3.46,3.58,3.58,3.46
3.55,3.43,3.57,3.41
3.42,3.40,3.48,3.39
3.43,3.37,3.46,3.37
3.39,3.49,3.65,3.38
3.57,3.84,3.85,3.57
3.80,3.63,3.86,3.60
3.61,3.51,3.61,3.51
3.51,3.50,3.59,3.47
3.48,3.64,3.80,3.46
3.61,3.76,3.80,3.61
3.75,3.80,3.92,3.65
3.85,3.71,3.86,3.71
3.70,3.76,3.81,3.70
3.74,3.76,3.79,3.70
3.76,3.64,3.81,3.63
3.65,3.68,3.71,3.61
3.69,3.57,3.72,3.57
3.56,3.61,3.73,3.53
3.65,3.67,3.69,3.59
3.52,3.60,3.68,3.52
3.64,3.63,3.67,3.59
3.55,3.57,3.64,3.55
3.56,3.53,3.65,3.51
3.52,3.53,3.60,3.51
3.50,3.48,3.52,3.42
3.45,3.35,3.45,3.35
3.33,3.33,3.36,3.30
3.35,3.31,3.35,3.30
3.32,3.37,3.37,3.22
3.37,3.34,3.38,3.34
3.33,3.33,3.38,3.29
3.35,3.38,3.39,3.31
3.35,3.42,3.43,3.33
3.40,3.41,3.46,3.31
3.33,3.38,3.44,3.32
3.33,3.36,3.40,3.33
3.39,3.37,3.39,3.37
3.37,3.39,3.40,3.36
3.40,3.44,3.50,3.34
3.39,3.45,3.45,3.34
3.47,3.45,3.48,3.41
3.36,3.38,3.40,3.35
3.43,3.44,3.44,3.40
3.46,3.44,3.48,3.44
3.44,3.44,3.50,3.44
3.45,3.39,3.46,3.38
3.41,3.41,3.56,3.40
3.42,3.49,3.49,3.39
3.50,3.58,3.59,3.39
3.60,3.60,3.63,3.54
3.60,3.65,3.77,3.57
3.70,3.72,3.77,3.64
3.37,3.72,3.75,3.37
3.70,3.57,3.73,3.55
3.59,3.62,3.62,3.58
3.62,3.75,3.75,3.60
3.72,3.72,3.75,3.66
3.74,3.66,3.79,3.66
3.66,3.64,3.69,3.62
3.61,3.54,3.70,3.50
3.66,3.80,3.84,3.65
3.78,3.82,3.82,3.71
3.80,3.85,3.85,3.77
3.85,3.91,3.91,3.81
3.93,3.81,3.93,3.81
3.78,3.85,3.85,3.72
3.85,3.89,3.89,3.82
3.92,3.75,3.92,3.75
3.76,3.89,3.89,3.71
3.97,4.00,4.00,3.90
3.99,3.89,3.99,3.89
3.94,3.94,3.97,3.91
3.96,3.93,4.00,3.90
3.91,3.91,4.00,3.90
3.97,3.90,4.00,3.90
3.81,3.99,4.05,3.81
4.02,4.05,4.05,3.95
4.05,4.00,4.07,3.97
4.00,4.02,4.02,4.00
4.02,3.96,4.02,3.89
3.93,3.92,4.01,3.87
3.90,3.94,4.00,3.88
3.96,3.94,3.98,3.87
3.93,3.98,4.00,3.89
4.04,4.07,4.09,3.96
4.07,4.06,4.07,3.95
4.03,4.10,4.10,3.99
4.07,4.01,4.07,3.98
4.01,3.88,4.04,3.88
3.89,3.99,4.01,3.84
3.99,4.04,4.10,3.90
4.05,3.86,4.05,3.86
3.90,4.01,4.02,3.88
4.01,3.92,4.02,3.90
3.94,3.92,3.96,3.80
3.97,3.84,4.01,3.84
3.84,3.96,3.96,3.82
3.97,3.97,3.97,3.87
3.91,3.95,4.00,3.90
3.99,3.96,3.99,3.94
3.98,3.97,3.98,3.95
3.98,3.93,3.98,3.80
3.91,3.92,3.92,3.82
3.90,3.93,3.96,3.86
3.90,3.96,4.00,3.90
3.98,4.05,4.05,3.94
4.07,4.06,4.08,4.02
4.08,4.00,4.10,3.97
4.03,3.94,4.05,3.94
3.93,3.90,3.98,3.90
3.91,3.92,4.00,3.91
3.92,3.93,4.00,3.86
3.97,4.01,4.01,3.94
4.02,3.99,4.04,3.95
4.02,4.02,4.02,3.95
4.00,4.02,4.02,3.95
4.00,3.99,4.04,3.98
4.03,4.05,4.05,3.95
3.91,4.03,4.05,3.91
3.97,4.02,4.02,3.96
4.02,4.06,4.10,4.02
4.06,4.01,4.08,4.00
4.02,4.07,4.07,4.02
4.09,4.06,4.09,4.04
4.00,4.08,4.09,4.00
4.09,4.08,4.10,4.05
4.08,4.06,4.10,4.06
4.04,4.02,4.04,4.00
4.04,4.17,4.17,4.01
4.15,4.19,4.22,4.11
4.19,4.28,4.30,4.19
4.28,4.29,4.32,4.10
4.33,4.30,4.34,4.30
4.36,4.26,4.36,4.24
4.31,4.30,4.32,4.26
4.30,4.29,4.31,4.24
4.30,4.27,4.30,4.24
4.23,4.34,4.34,4.23
4.33,4.46,4.46,4.33
4.48,4.47,4.54,4.40
4.47,4.47,4.50,4.40
4.50,4.36,4.50,4.27
4.41,4.29,4.42,4.28
4.31,4.25,4.31,4.25
4.25,4.25,4.28,4.20
4.24,4.26,4.26,4.24
4.27,4.28,4.30,4.25
4.29,4.28,4.29,4.25
4.26,4.27,4.29,4.25
4.30,4.33,4.43,4.27
4.40,4.51,4.54,4.40
4.54,4.49,4.54,4.45
4.54,4.49,4.55,4.48
4.50,4.51,4.59,4.44
4.51,4.51,4.54,4.41
4.49,4.46,4.50,4.43
4.49,4.49,4.52,4.49
4.49,4.53,4.57,4.48
4.53,4.53,4.56,4.52
4.50,4.45,4.55,4.34
4.43,4.36,4.43,4.30
4.38,4.38,4.43,4.35
4.46,4.35,4.52,4.30
4.38,4.35,4.38,4.25
4.40,4.33,4.40,4.32
4.35,4.30,4.37,4.29
4.30,4.32,4.35,4.30
4.31,4.38,4.38,4.31
4.43,4.32,4.45,4.31
4.35,4.31,4.35,4.28
4.31,4.25,4.31,4.25
4.25,4.24,4.28,4.24
4.25,4.28,4.28,4.21
4.24,4.38,4.42,4.22
4.28,4.40,4.40,4.22
4.40,4.47,4.50,4.34
4.54,4.54,4.75,4.50
4.50,4.68,4.73,4.42
4.71,4.87,4.90,4.71
4.87,4.88,4.99,4.85
4.90,4.93,4.96,4.82
4.96,5.07,5.08,4.92
5.13,5.20,5.23,5.08
5.23,5.45,5.52,5.10
5.51,6.04,6.21,5.51
6.06,5.76,6.26,5.69
5.79,5.68,5.97,5.51
5.74,5.64,5.74,5.47
5.64,5.85,5.96,5.64
5.97,5.75,6.18,5.74
5.79,5.78,5.89,5.77
5.75,5.60,5.77,5.58
5.54,5.50,5.75,5.47
5.52,5.59,5.60,5.50
5.55,5.55,5.62,5.52
5.55,5.50,5.55,5.42
5.47,5.45,5.50,5.41
5.43,5.45,5.51,5.28
5.42,5.40,5.47,5.30
5.36,5.43,5.48,5.36
5.51,5.48,5.55,5.40
5.51,5.78,5.82,5.47
5.81,5.95,6.03,5.81
5.95,5.90,6.00,5.87
5.97,6.14,6.14,5.93
6.16,5.79,6.17,5.72
5.77,5.74,5.85,5.74
5.73,5.55,5.73,5.47
5.52,5.48,5.68,5.48
5.45,5.37,5.46,5.31
5.33,5.37,5.46,5.15
5.40,5.39,5.47,5.35
5.39,5.31,5.42,5.22
5.33,5.20,5.35,5.19
5.20,5.12,5.23,5.10
5.12,5.22,5.24,5.02
5.24,5.05,5.24,5.00
5.05,4.95,5.05,4.90
4.92,4.91,4.95,4.89
4.90,4.93,4.94,4.89
4.95,4.93,4.96,4.83
4.94,5.14,5.18,4.87
5.07,5.52,5.55,5.03
5.54,5.67,5.78,5.48
5.68,5.32,5.68,5.28
5.32,5.47,5.51,5.25
5.50,5.50,5.56,5.49
5.55,5.67,5.70,5.53
5.68,5.47,5.68,5.33
5.46,5.64,5.64,5.37
5.61,5.58,5.61,5.38
5.56,5.59,5.78,5.48
5.57,5.51,5.63,5.14
5.48,5.40,5.59,5.37
5.38,5.36,5.46,5.27
5.32,5.32,5.50,5.20
5.30,5.41,5.65,5.30
5.45,5.32,5.45,5.20
5.28,5.33,5.41,5.13
5.34,4.96,5.34,4.78
4.97,5.15,5.17,4.66
5.16,5.23,5.24,4.88
5.27,5.40,5.46,5.22
5.40,5.42,5.57,5.08
5.37,5.49,5.52,5.09
