GENE,Genetic Technologies Ltd - American Depositary Shares representing 150 ordinary shares,NASDAQ
1.26,1.18,1.27,1.18
1.27,1.27,1.27,1.26
1.23,1.35,1.35,1.23
1.35,1.35,1.35,1.21
1.35,1.35,1.35,1.20
1.35,1.35,1.35,1.21
1.25,1.35,1.35,1.20
1.27,1.35,1.35,1.24
1.30,1.40,1.53,1.24
1.32,1.37,1.40,1.32
1.45,1.26,1.45,1.24
1.32,1.32,1.32,1.32
1.30,1.32,1.32,1.20
1.29,1.33,1.33,1.10
1.22,1.17,1.22,1.10
1.27,1.18,1.28,1.18
1.24,1.24,1.27,1.24
1.16,1.15,1.16,1.15
1.15,1.15,1.15,1.15
1.25,1.23,1.25,1.17
1.20,1.20,1.20,1.15
1.15,1.18,1.20,1.15
1.18,1.18,1.18,1.18
1.18,1.18,1.18,1.18
1.15,1.10,1.15,1.10
1.10,1.11,1.18,1.06
1.13,1.06,1.24,1.06
1.04,1.05,1.05,1.04
1.05,1.05,1.05,1.05
1.15,1.00,1.15,1.00
1.00,1.00,1.00,1.00
1.18,1.15,1.18,1.14
1.22,1.28,1.28,1.18
1.11,1.24,1.24,1.11
1.15,1.15,1.15,1.15
1.15,1.15,1.15,1.15
1.24,1.15,1.33,1.13
1.15,1.15,1.15,1.15
1.12,1.13,1.21,1.12
1.19,1.19,1.19,1.19
1.20,1.19,1.20,1.19
1.12,1.10,1.12,1.10
1.14,1.16,1.19,1.14
1.35,1.23,1.36,1.23
1.34,1.25,1.34,1.25
1.21,1.20,1.28,1.20
1.32,1.32,1.32,1.32
1.31,1.27,1.39,1.10
1.20,1.27,1.27,1.20
1.30,1.21,1.30,1.20
1.21,1.20,1.29,1.20
1.24,1.19,1.24,1.19
1.03,1.03,1.27,1.00
1.07,1.08,1.08,1.03
1.06,1.20,1.30,1.06
1.20,1.25,1.25,1.19
1.28,1.23,1.28,1.23
1.26,1.31,1.36,1.22
1.25,1.29,1.29,1.23
1.24,1.25,1.30,1.23
1.21,1.23,1.27,1.20
1.20,1.23,1.26,1.15
1.13,1.20,1.25,1.12
1.17,1.17,1.17,1.17
1.20,1.18,1.20,1.17
1.18,1.20,1.20,1.18
1.19,1.17,1.24,1.17
1.24,1.17,1.24,1.17
1.24,1.25,1.25,1.17
1.25,1.22,1.25,1.19
1.21,1.30,1.30,1.17
1.23,1.23,1.23,1.23
1.30,1.22,1.30,1.22
1.24,1.35,1.35,1.24
1.34,1.24,1.34,1.24
1.25,1.34,1.35,1.24
1.32,1.32,1.32,1.26
1.30,1.22,1.30,1.21
1.22,1.21,1.25,1.21
1.21,1.21,1.21,1.21
1.28,1.17,1.28,1.17
1.23,1.30,1.30,1.22
1.34,1.20,1.34,1.20
1.21,1.20,1.30,1.20
1.28,1.21,1.28,1.20
1.21,1.20,1.21,1.20
1.21,1.20,1.30,1.20
1.35,1.25,1.35,1.25
1.25,1.25,1.25,1.25
1.19,1.17,1.20,1.17
1.16,1.16,1.17,1.16
1.16,1.14,1.16,1.12
1.11,1.11,1.11,1.11
1.11,1.11,1.11,1.11
1.20,1.10,1.28,1.10
1.10,1.01,1.10,0.96
1.02,1.02,1.02,1.02
1.18,1.04,1.18,1.02
1.14,1.02,1.15,1.02
1.00,1.02,1.04,1.00
0.96,1.10,1.10,0.96
1.10,1.10,1.10,1.10
1.10,1.10,1.10,1.10
1.15,1.15,1.15,1.15
1.04,1.09,1.09,1.00
1.00,0.99,1.00,0.98
0.98,0.98,0.98,0.98
0.99,1.08,1.15,0.99
1.15,1.15,1.15,1.12
1.03,1.09,1.09,1.03
1.02,0.98,1.07,0.98
1.00,1.09,1.09,1.00
1.10,1.10,1.10,1.10
1.04,1.04,1.04,1.04
1.04,1.04,1.04,1.04
1.04,1.04,1.04,1.04
1.02,0.94,1.20,0.90
0.97,1.15,1.15,0.97
1.13,1.01,1.14,1.01
1.15,1.01,1.15,1.01
1.01,1.01,1.01,1.01
0.96,0.96,0.96,0.96
0.96,0.96,0.96,0.96
0.96,0.96,0.96,0.96
0.96,0.96,0.96,0.96
0.96,0.96,0.96,0.96
1.03,1.03,1.03,1.03
1.02,1.00,1.02,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.15,0.96,1.15,0.96
1.14,0.97,1.15,0.97
0.97,0.96,0.97,0.96
0.96,0.96,0.96,0.96
0.96,0.96,0.96,0.96
0.96,0.96,0.96,0.96
1.08,0.95,1.08,0.86
0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95
0.91,0.84,0.91,0.84
0.86,0.86,0.86,0.85
0.85,0.89,0.91,0.82
0.90,0.95,0.96,0.89
1.10,0.90,1.10,0.90
0.90,0.90,0.90,0.90
0.89,0.81,0.89,0.81
0.86,0.86,1.10,0.84
0.81,0.86,0.86,0.81
0.89,0.83,0.89,0.83
0.98,0.85,1.15,0.84
0.89,0.89,0.89,0.89
0.90,0.86,1.08,0.86
0.86,0.86,0.86,0.86
0.86,0.86,0.86,0.86
0.88,0.86,0.88,0.86
0.83,0.85,0.87,0.83
0.83,0.81,0.83,0.80
0.81,0.82,0.82,0.81
0.81,0.81,0.82,0.80
0.81,0.81,0.81,0.81
0.80,0.81,0.81,0.80
0.80,0.79,0.81,0.79
0.81,0.81,0.81,0.81
0.81,0.81,0.81,0.81
0.81,0.81,0.81,0.81
0.80,0.82,0.97,0.80
0.95,0.94,0.95,0.94
0.96,0.83,0.96,0.82
0.81,0.81,0.81,0.81
0.81,0.81,0.81,0.81
0.93,0.84,0.95,0.84
0.84,0.84,0.84,0.84
0.84,0.84,0.84,0.84
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.95,0.95,0.95,0.95
0.85,0.84,0.85,0.84
0.93,0.88,0.93,0.88
0.93,0.93,0.93,0.93
0.93,0.85,0.93,0.85
0.93,0.91,0.93,0.91
0.85,0.84,0.85,0.84
0.84,0.84,0.84,0.84
0.85,0.85,0.85,0.85
0.93,0.91,0.93,0.91
0.91,0.91,0.91,0.91
0.83,0.81,0.83,0.81
0.83,0.82,0.83,0.82
0.81,0.90,0.90,0.81
0.90,0.90,0.90,0.90
0.90,0.90,0.90,0.90
0.81,0.81,0.81,0.81
0.88,0.88,0.88,0.88
0.88,0.88,0.88,0.88
0.81,0.81,0.81,0.81
0.86,0.81,0.86,0.81
0.80,0.81,0.81,0.80
0.80,0.80,0.80,0.80
0.83,0.83,0.83,0.83
0.82,0.82,0.82,0.82
0.82,0.82,0.82,0.82
0.78,0.73,0.78,0.70
0.81,0.81,0.81,0.81
0.80,0.81,0.81,0.80
0.70,0.80,0.80,0.70
0.79,0.79,0.79,0.79
0.79,0.79,0.79,0.79
0.79,0.79,0.79,0.79
0.79,0.79,0.79,0.79
0.78,0.81,0.84,0.78
0.81,0.80,0.81,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.77,0.77,0.77,0.77
0.78,0.71,0.80,0.65
0.71,0.71,0.71,0.71
0.80,0.80,0.80,0.80
0.80,0.80,0.80,0.80
0.80,0.72,0.80,0.72
0.80,0.78,0.80,0.78
0.78,0.78,0.78,0.78
0.73,0.80,0.80,0.73
0.73,0.73,0.73,0.73
0.74,0.75,0.75,0.71
0.69,0.68,0.77,0.68
0.68,0.68,0.68,0.68
0.75,0.75,0.75,0.75
0.75,0.75,0.75,0.75
0.70,0.70,0.70,0.70
0.70,0.85,0.85,0.70
0.86,0.81,0.86,0.81
0.81,0.85,0.85,0.81
0.75,0.80,0.83,0.75
0.85,0.86,0.91,0.84
0.95,0.86,0.95,0.85
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.85,0.90,0.90,0.85
0.90,0.90,0.90,0.90
0.95,0.97,0.97,0.95
0.97,0.97,0.97,0.97
0.97,1.00,1.00,0.97
1.05,1.04,1.05,1.04
1.05,0.95,1.05,0.95
