HSIC,Henry Schein,NASDAQ
52.92,53.71,53.76,52.75
53.70,51.97,53.70,51.06
52.07,53.14,53.19,51.14
53.05,53.18,53.31,52.71
53.07,52.80,53.47,52.45
53.38,54.62,54.71,53.33
54.36,54.75,54.78,54.19
55.13,54.97,55.25,54.59
54.72,54.72,55.47,54.64
55.01,55.03,55.27,54.86
55.50,55.51,55.65,55.26
55.69,56.16,56.37,55.43
56.50,56.78,57.00,56.26
56.73,56.99,57.13,56.00
56.86,57.23,57.43,56.60
57.27,57.17,57.39,56.91
57.36,56.35,57.60,56.35
56.36,57.19,57.26,56.36
57.00,56.66,57.25,56.48
56.76,56.68,57.25,56.22
56.46,56.22,57.05,56.19
56.91,57.33,57.33,56.51
57.17,57.06,57.38,56.98
57.21,57.59,57.75,56.63
57.59,57.61,57.83,57.31
57.96,58.58,58.87,57.67
58.98,57.95,59.00,57.50
57.94,57.04,58.26,56.65
57.71,58.63,58.92,57.48
58.37,58.48,58.61,58.01
58.67,58.55,58.90,58.16
58.57,59.31,59.42,58.30
59.35,59.75,59.93,59.03
59.53,59.69,59.77,58.65
59.86,59.25,59.86,59.16
59.35,59.28,59.47,58.94
59.75,59.65,59.75,59.19
59.43,59.29,59.67,59.10
58.91,58.23,59.04,57.82
58.43,58.72,59.08,58.04
59.17,59.44,59.65,58.69
59.74,59.46,59.74,59.25
59.69,58.96,59.69,58.49
58.82,59.15,59.49,58.42
58.74,59.50,59.51,58.58
59.63,58.62,59.64,58.09
56.58,56.15,59.37,55.80
56.32,56.22,57.00,55.55
56.70,57.02,57.41,56.43
56.88,57.55,57.71,56.88
57.87,57.82,58.51,57.61
57.77,57.39,57.78,57.01
57.07,57.65,57.68,56.84
57.93,57.72,57.93,57.41
57.48,57.95,57.95,57.36
57.26,57.61,57.62,56.89
57.09,57.10,57.42,56.62
57.34,57.56,58.04,57.33
57.41,56.64,57.57,56.45
56.68,57.02,57.07,56.48
57.29,57.86,58.41,57.26
57.60,58.44,58.53,57.11
58.25,57.56,58.29,56.81
57.14,56.41,57.14,56.05
56.73,58.21,58.53,56.73
57.89,57.73,58.22,57.68
57.19,57.43,57.91,56.54
56.61,57.38,57.44,55.95
58.00,58.73,59.33,57.85
58.89,59.55,59.90,58.58
59.50,59.85,59.90,59.08
59.61,59.29,59.61,59.10
59.71,59.66,59.94,59.26
59.52,58.63,59.64,58.39
59.16,59.19,59.56,58.94
59.28,59.90,59.90,58.98
59.77,58.99,59.87,58.77
59.03,60.06,60.91,59.03
59.85,60.85,61.09,58.94
60.50,61.60,62.05,60.10
61.60,62.09,62.13,60.77
62.43,62.32,62.62,62.18
62.36,61.98,62.42,61.80
61.82,62.12,62.53,61.82
61.97,62.16,62.32,61.97
62.09,62.16,62.61,61.75
62.29,61.98,62.55,61.83
62.15,62.25,62.52,62.12
62.14,62.10,62.50,62.09
62.16,61.39,62.22,61.37
62.05,62.78,64.46,62.00
62.73,62.04,62.74,61.71
61.75,62.00,62.19,61.26
62.22,62.66,62.97,62.22
62.87,62.55,63.05,61.92
62.15,62.56,62.84,61.93
62.58,62.81,62.99,62.58
63.05,63.48,63.50,62.06
63.62,63.91,64.24,63.33
63.95,64.20,64.21,63.42
64.20,65.85,65.94,64.20
65.74,65.19,66.00,64.90
64.85,65.38,65.50,64.85
65.44,65.34,65.70,65.22
65.40,66.27,66.60,65.40
66.20,66.24,66.45,65.64
66.23,65.56,66.44,65.50
65.43,65.72,66.28,65.43
65.65,65.42,66.45,64.56
65.44,65.66,66.11,65.14
66.12,66.91,67.85,65.98
66.71,65.84,67.16,65.80
65.62,65.47,66.11,65.06
65.55,66.30,66.41,65.45
66.24,66.57,66.77,66.02
66.70,66.90,66.90,66.35
66.66,65.79,66.68,65.71
65.69,66.71,66.77,65.63
66.54,67.36,67.47,66.28
67.43,68.02,68.24,67.39
67.77,68.39,68.56,67.76
68.49,68.76,69.12,68.19
68.49,69.29,69.44,68.49
68.63,69.85,69.90,67.60
69.18,66.92,69.21,66.27
66.73,67.16,68.00,66.73
67.34,67.62,67.83,67.10
67.82,69.42,69.42,67.73
69.35,68.98,69.93,68.83
69.29,68.49,69.54,68.02
68.24,68.00,68.69,67.85
68.47,69.60,69.88,68.13
69.29,69.56,69.85,68.78
69.49,68.49,69.80,68.05
68.51,69.84,69.98,68.30
69.51,69.45,69.68,68.92
68.74,67.91,68.90,67.54
67.49,67.49,67.99,67.05
66.88,66.70,67.36,66.37
65.61,65.92,66.96,65.35
65.64,65.32,65.89,64.80
66.20,65.55,66.31,65.50
66.10,66.50,66.92,66.10
67.17,67.10,68.66,67.04
67.07,67.10,67.31,66.88
67.05,66.47,67.05,65.72
66.58,67.32,67.48,66.10
67.39,67.46,67.92,67.11
67.58,67.83,68.13,67.21
67.89,68.85,68.98,67.55
69.12,69.25,69.54,68.79
69.31,70.17,70.24,69.23
70.26,70.87,71.04,70.19
70.87,70.84,71.39,70.40
70.50,70.16,70.67,70.04
70.53,70.31,70.63,69.88
70.11,70.12,70.82,69.82
70.19,69.14,70.31,68.86
69.43,69.18,69.61,68.89
69.02,68.51,69.34,68.37
70.45,70.03,71.27,69.92
69.40,69.75,70.19,69.05
69.57,70.13,70.48,69.46
69.35,68.70,69.43,67.98
68.97,69.47,69.59,68.53
70.28,70.49,71.00,69.96
70.45,70.57,70.72,70.19
70.74,70.49,70.74,69.95
70.76,71.65,71.97,70.50
71.93,72.88,72.94,71.66
73.28,73.15,73.62,72.75
73.11,73.07,73.61,73.03
72.53,74.08,74.48,72.53
72.94,73.55,73.63,71.23
72.30,72.58,73.19,72.06
72.37,72.23,73.22,72.00
72.80,72.78,73.81,72.30
72.55,72.96,73.15,72.49
73.34,73.48,73.65,72.82
73.29,72.69,73.55,72.34
72.80,73.90,74.09,72.14
73.84,72.37,73.96,72.10
72.00,72.22,72.52,71.69
72.13,71.69,72.13,71.12
71.49,73.02,73.13,71.25
73.19,72.72,73.29,72.34
72.65,72.22,72.66,71.91
71.55,70.87,71.55,70.40
70.90,70.06,70.91,69.84
70.23,70.53,70.72,69.76
70.16,70.76,70.86,69.81
70.67,70.84,71.21,70.39
71.47,71.82,71.82,70.95
71.77,70.69,72.23,70.60
70.63,70.59,70.82,70.15
69.84,69.51,69.98,69.09
69.10,68.38,69.40,68.31
68.40,68.80,69.36,68.18
68.52,68.86,69.24,68.05
69.06,69.71,70.05,68.54
69.54,69.11,69.71,68.85
68.87,69.50,69.73,68.87
69.98,69.77,70.26,69.67
69.36,69.15,70.26,68.93
69.00,69.56,69.89,69.00
70.61,70.28,70.72,69.90
70.38,71.06,71.25,70.10
71.15,71.55,71.94,70.87
71.53,70.90,71.98,70.84
70.30,70.57,70.67,68.95
70.60,69.52,70.65,68.66
69.45,69.93,70.23,68.67
70.03,70.60,70.95,69.52
70.61,71.00,71.42,70.36
71.24,71.59,72.17,71.01
71.73,72.94,73.01,71.28
73.30,73.12,73.30,72.55
73.17,74.21,74.57,73.05
74.54,74.91,74.98,73.77
74.71,74.32,74.82,73.78
73.76,73.29,74.02,73.11
73.31,73.44,73.99,72.96
73.68,73.88,74.51,72.88
73.94,72.97,74.38,72.73
73.04,73.13,73.13,72.46
72.59,71.81,72.88,71.47
72.20,72.76,72.90,72.00
72.63,72.45,72.70,72.14
73.04,73.13,73.70,72.43
72.68,72.89,73.27,72.48
72.47,71.69,72.67,71.67
71.88,69.21,71.88,69.05
68.88,67.51,68.94,67.38
67.51,67.26,68.31,67.19
67.32,66.46,67.32,65.89
66.79,66.81,67.04,65.22
64.50,65.20,67.00,64.50
64.89,65.29,65.38,63.36
64.52,63.01,65.06,62.99
63.93,63.66,64.43,61.90
61.93,60.07,63.25,59.99
60.00,61.84,61.97,58.50
60.67,59.76,61.42,59.66
59.47,62.76,63.43,58.87
62.92,63.10,63.19,61.90
63.41,64.16,64.17,63.23
63.59,63.00,63.87,62.15
63.16,62.85,63.98,62.02
61.47,60.48,61.93,60.00
59.84,60.24,61.62,59.51
61.60,60.86,61.60,60.20
60.95,63.50,64.13,60.49
63.48,65.07,65.24,62.86
65.39,62.21,65.39,61.90
62.16,63.87,63.88,61.72
64.51,65.47,65.53,64.27
65.32,65.63,65.96,64.81
65.75,65.91,66.83,65.32
66.13,65.27,66.98,65.10
64.39,63.47,64.62,63.40
61.98,62.82,63.08,61.30
63.67,65.19,65.25,63.36
65.01,63.88,65.29,63.71
63.29,60.79,63.51,60.41
59.97,61.31,61.48,59.78
61.57,62.43,62.60,61.15
62.71,63.86,64.63,61.88
64.32,63.93,64.56,62.75
64.23,65.20,65.41,64.12
64.00,64.76,65.12,63.93
65.01,65.02,66.30,64.69
65.02,63.80,65.78,63.77
62.31,61.64,62.71,60.90
61.18,62.61,62.68,60.49
63.07,63.13,63.39,61.39
63.82,65.38,65.95,63.20
65.69,63.23,66.11,63.14
64.20,63.57,64.63,62.05
62.91,62.01,63.62,61.95
