RRC,Range Resources Corporation Common Stock,NASDAQ
51.15,52.60,52.68,51.06
52.35,53.31,53.41,52.35
53.39,53.00,53.57,52.69
52.70,52.90,53.08,52.06
52.71,53.93,54.04,52.05
54.20,52.03,54.65,51.63
51.21,50.73,51.38,50.18
50.82,52.01,52.11,50.03
52.01,53.28,53.31,51.90
53.07,52.75,53.51,51.57
52.13,53.08,53.17,52.11
52.50,51.69,52.50,51.15
51.98,50.50,52.19,49.91
50.24,48.82,50.58,48.70
49.39,49.88,50.36,49.17
49.45,47.99,49.71,47.79
47.80,47.35,48.28,46.60
48.19,47.04,48.19,46.23
47.59,46.00,48.11,45.72
46.51,47.57,47.72,46.37
47.85,48.76,48.96,47.30
48.29,48.44,49.08,48.10
47.43,46.25,47.45,45.92
46.30,46.42,46.58,45.00
46.02,46.44,47.22,45.85
47.17,47.53,48.04,46.81
47.11,47.73,48.05,46.40
48.08,48.79,48.90,47.50
48.25,49.61,49.72,47.94
51.00,52.93,53.06,50.77
52.86,53.29,53.53,52.23
53.18,53.34,53.78,53.04
53.03,53.90,54.06,52.98
54.08,52.64,54.11,52.49
52.37,50.63,52.46,50.52
50.13,50.43,51.78,50.00
49.26,51.03,51.16,48.90
51.08,50.61,51.36,49.78
50.99,51.23,51.53,50.69
51.50,50.51,51.54,50.37
50.56,50.42,51.01,50.26
50.33,49.65,50.79,49.25
50.24,51.46,51.57,50.13
51.59,50.47,51.94,50.47
49.93,51.31,51.65,49.93
51.58,51.36,51.84,50.80
51.21,51.28,51.89,51.00
51.64,51.33,51.79,50.86
51.12,50.54,51.16,49.66
50.72,50.61,50.74,50.06
50.96,50.88,51.39,49.97
50.96,49.31,51.09,48.85
47.76,47.76,49.45,47.10
47.14,47.66,47.89,46.36
47.89,47.53,48.30,47.07
47.04,47.41,48.19,46.86
47.78,45.73,48.17,45.54
46.08,45.67,46.08,44.68
46.04,46.95,47.12,45.84
47.00,46.78,47.16,46.02
46.86,46.87,47.50,46.50
47.36,47.54,48.02,47.00
47.78,48.88,49.07,47.58
48.39,48.90,49.17,48.36
48.70,47.93,48.90,47.56
47.71,48.33,48.35,47.25
51.40,50.28,51.50,49.78
50.24,50.17,50.90,49.67
50.22,50.20,50.39,49.44
50.46,50.83,51.09,49.91
50.82,51.04,51.32,50.53
50.59,49.75,50.96,49.27
48.99,48.52,49.26,47.95
48.92,48.95,49.38,48.73
48.92,49.08,49.53,48.34
48.45,49.33,49.63,48.01
49.68,50.78,50.91,48.86
50.70,51.16,51.52,50.47
50.77,48.93,51.32,48.65
49.25,47.57,49.48,47.25
48.42,46.64,48.42,45.36
46.69,47.76,48.37,46.05
47.76,49.52,50.24,47.38
48.80,49.52,49.63,48.25
48.59,48.72,48.96,47.46
48.59,46.23,48.96,43.30
45.91,43.85,46.47,43.14
46.35,48.29,48.61,46.11
47.67,47.67,48.44,47.31
47.78,48.05,48.49,47.54
47.90,48.76,49.54,47.62
48.38,47.97,49.01,46.97
48.11,46.57,48.46,45.72
47.26,46.21,48.04,45.98
45.94,45.51,46.16,44.18
44.25,42.95,44.25,42.95
42.28,43.47,43.93,41.32
43.34,42.47,43.77,42.43
41.59,42.20,42.28,40.94
42.89,42.53,43.51,42.28
43.76,44.95,45.01,43.51
45.26,44.95,45.74,44.50
44.20,43.70,45.50,43.70
44.68,47.90,47.96,44.44
47.89,51.01,51.22,47.67
49.89,48.30,53.64,47.55
48.50,47.70,50.50,47.40
47.99,46.95,48.31,45.89
47.40,46.81,48.39,46.48
47.98,49.36,49.40,47.80
48.73,49.65,50.08,48.46
50.37,49.49,50.81,49.30
49.79,50.83,50.91,49.79
50.25,50.72,51.24,49.94
51.10,49.53,51.10,48.86
49.50,48.89,49.78,48.60
49.75,48.11,50.12,47.79
48.12,45.52,48.38,45.06
45.44,44.12,45.44,43.68
43.90,43.45,44.96,43.02
43.54,43.79,44.24,42.94
43.79,41.84,43.87,41.80
41.35,40.52,41.35,40.17
40.77,40.15,41.65,40.00
40.29,40.20,40.69,38.54
40.40,39.65,40.55,39.08
40.42,39.40,40.76,39.06
39.80,41.38,41.40,39.72
41.92,41.90,42.13,40.84
41.95,41.79,42.19,41.24
41.52,41.63,42.13,41.28
42.15,41.75,42.56,41.69
41.25,42.67,43.12,41.01
42.86,41.91,42.86,40.99
41.63,40.12,41.65,39.78
40.18,39.75,40.22,38.91
39.23,40.51,40.71,38.83
40.78,39.31,40.79,39.14
39.89,40.38,40.90,39.60
40.35,40.02,40.38,38.38
40.08,40.04,40.78,39.88
39.10,37.24,39.15,36.13
37.49,38.20,38.52,36.61
38.94,38.31,39.20,37.66
37.75,37.12,37.91,37.02
38.30,38.23,38.59,37.57
38.21,38.73,39.30,38.00
39.08,39.46,39.64,38.76
39.20,39.31,39.57,38.86
38.60,38.59,39.19,38.16
38.90,38.81,38.99,38.40
38.24,38.41,38.71,37.93
37.65,36.46,37.78,36.15
36.11,36.33,36.77,35.76
36.18,35.66,36.87,35.63
