RETL,Direxion Daily Retail Bull 3X Shares ETF,NASDAQ
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
38.97,39.28,40.01,38.97
39.32,39.85,39.94,39.24
38.26,37.54,38.29,37.40
37.22,37.14,37.22,37.08
36.85,38.53,38.53,36.85
39.14,37.98,39.18,37.98
39.06,39.42,39.42,39.06
38.95,40.62,40.62,38.61
40.51,41.50,41.50,40.46
41.79,41.79,41.79,41.79
39.85,39.83,39.85,39.83
39.83,39.83,39.83,39.83
38.35,38.35,38.35,38.35
41.06,41.06,41.06,41.06
39.89,39.89,39.89,39.89
39.98,40.87,41.05,39.98
40.98,40.98,40.98,40.98
39.97,40.02,40.02,39.97
41.42,41.50,41.85,41.42
40.58,40.68,41.40,40.58
39.42,39.39,39.61,39.39
39.14,39.12,39.14,39.10
38.85,38.30,38.85,38.30
38.61,38.61,38.61,38.61
40.06,39.40,40.06,39.40
40.51,40.38,40.51,40.38
40.33,39.04,40.33,38.93
38.72,38.72,38.72,38.72
39.82,39.10,40.38,39.09
38.01,38.48,38.48,37.78
38.54,39.48,39.53,38.23
39.63,39.46,39.65,39.46
38.84,39.46,39.46,38.14
38.02,38.02,38.02,38.02
37.62,38.47,38.48,37.62
39.89,40.33,40.33,39.84
41.10,41.88,41.88,41.05
42.75,42.73,43.31,42.39
42.71,41.76,42.71,41.76
42.25,42.23,42.28,42.15
42.93,42.12,42.93,42.08
42.85,42.84,42.85,42.84
43.68,43.68,43.68,43.68
45.03,45.29,45.29,45.03
44.35,44.94,44.94,44.35
44.98,44.69,44.98,44.68
44.60,44.60,44.60,44.60
46.00,46.51,46.51,46.00
49.66,46.38,49.66,46.38
46.88,46.48,46.93,46.48
46.48,46.48,46.48,46.48
49.10,49.09,49.10,49.09
47.20,48.57,48.81,46.99
47.79,49.42,49.42,47.79
49.17,48.94,49.17,48.94
49.65,48.66,49.65,48.28
48.32,48.38,48.38,48.32
48.38,48.38,48.38,48.38
48.90,49.52,49.64,48.90
49.36,49.36,49.36,49.36
49.50,49.50,49.50,49.50
49.81,49.81,49.81,49.81
50.10,50.10,50.10,50.10
49.79,49.94,49.94,49.79
50.22,49.48,50.69,49.48
49.33,48.27,49.33,48.27
49.42,49.94,49.94,49.32
51.41,49.61,51.41,49.49
48.84,48.23,49.16,47.95
48.49,48.99,49.20,48.49
50.24,50.19,50.67,49.65
50.51,50.54,50.54,50.51
51.40,50.76,51.40,50.76
50.42,51.07,51.18,50.42
50.14,49.43,50.25,49.34
50.36,49.94,50.36,49.84
49.68,49.93,49.93,49.68
50.00,49.96,50.43,49.62
50.36,50.98,51.55,50.26
51.04,51.23,51.23,50.56
52.38,53.06,53.06,52.37
53.16,53.62,54.11,53.16
53.39,53.28,53.58,53.16
52.97,52.30,53.32,52.30
52.67,53.02,53.02,51.93
52.30,53.15,53.21,52.24
52.85,51.70,52.85,51.54
51.90,51.04,51.90,50.90
50.98,51.00,52.31,50.70
51.55,51.41,51.61,51.34
52.76,52.07,53.29,52.07
52.00,53.03,53.03,51.90
53.05,54.09,54.38,52.87
53.64,53.41,53.64,52.90
54.39,55.45,55.56,54.39
55.00,55.23,55.24,54.97
59.95,54.66,59.95,53.96
53.50,55.07,55.30,53.50
56.70,56.40,56.71,55.74
56.70,57.80,57.94,56.26
57.45,57.51,57.62,56.64
57.55,57.63,57.81,57.55
58.91,57.94,58.91,57.94
57.57,57.79,57.79,57.57
59.46,57.75,59.46,57.75
57.81,57.99,57.99,57.77
58.10,57.60,58.14,57.51
56.66,56.83,56.83,56.48
56.46,57.00,57.00,56.46
56.74,57.33,57.48,54.53
57.50,57.49,57.67,57.49
57.41,57.84,57.84,57.41
57.77,57.91,58.06,57.73
57.44,57.50,57.80,57.42
57.29,57.63,57.63,57.27
57.60,57.58,57.60,57.58
57.38,57.28,57.38,57.10
57.22,57.88,58.00,57.22
57.79,57.87,58.03,57.79
57.87,57.87,57.87,57.87
58.17,58.57,58.57,58.17
58.57,58.57,58.57,58.57
57.04,56.87,57.37,56.46
56.36,55.27,56.36,54.13
55.50,55.13,55.50,54.52
54.68,55.36,55.36,54.68
55.37,55.31,55.38,55.31
55.75,55.96,56.23,55.75
56.20,56.01,56.24,56.00
55.85,56.73,56.78,55.80
56.63,56.63,56.63,56.63
56.10,55.90,56.10,55.78
56.76,57.07,57.07,56.76
57.92,56.53,57.92,56.53
56.91,56.91,56.91,56.91
57.21,57.04,57.21,56.54
57.57,57.80,57.94,57.57
58.74,58.78,58.84,58.74
58.19,56.12,58.25,56.02
55.61,55.69,55.69,55.61
56.40,56.65,56.78,56.40
56.65,56.65,56.65,56.65
56.19,56.62,56.62,56.18
56.56,57.54,57.63,56.56
57.38,57.90,57.90,57.38
58.74,58.74,58.74,58.74
59.62,59.59,59.62,59.57
59.25,59.35,59.35,59.25
59.11,60.37,60.39,59.11
59.87,59.88,59.88,59.87
59.78,59.91,59.91,59.74
61.22,60.55,61.22,60.38
60.09,60.64,61.00,60.09
60.94,60.89,60.94,60.77
59.40,58.49,59.40,58.49
56.29,56.29,56.29,56.29
56.13,55.93,56.13,55.93
56.56,56.70,57.48,56.56
56.70,56.70,56.70,56.70
56.70,55.85,57.30,55.81
55.50,56.11,56.12,55.50
57.00,57.16,57.24,57.00
55.96,55.99,55.99,55.96
55.20,55.52,55.52,55.20
55.52,55.52,55.52,55.52
56.50,57.05,57.20,56.50
56.21,56.16,56.30,56.16
56.20,56.72,56.99,56.20
53.95,55.75,55.76,53.95
55.23,55.00,55.23,55.00
53.82,53.79,53.82,53.79
53.79,53.79,53.79,53.79
53.79,53.79,53.79,53.79
53.79,53.79,53.79,53.79
53.79,53.79,53.79,53.79
53.79,53.79,53.79,53.79
53.79,53.79,53.79,53.79
57.15,57.01,57.46,56.95
57.43,56.04,57.43,56.04
56.59,56.76,56.76,56.59
57.48,58.26,58.26,57.37
57.96,57.35,58.03,56.97
57.91,57.71,58.58,57.71
58.28,58.31,58.31,58.03
59.00,59.84,60.25,59.00
60.41,59.93,60.41,59.82
60.70,60.59,60.70,60.25
60.33,59.81,60.33,59.81
59.73,59.95,59.95,59.73
59.91,60.15,60.63,59.91
60.42,60.42,60.42,60.42
59.97,60.17,60.21,59.97
60.63,60.49,60.63,60.49
58.88,59.04,59.04,58.88
59.57,59.57,59.57,59.57
61.37,61.39,62.05,61.37
61.55,61.49,61.55,61.49
61.49,61.49,61.49,61.49
60.97,61.45,61.45,60.97
62.81,63.48,63.62,62.81
63.28,63.18,63.40,63.18
63.18,63.18,63.18,63.18
63.18,63.18,63.18,63.18
63.19,63.37,63.37,63.19
63.37,63.37,63.37,63.37
62.56,63.01,63.76,62.56
63.01,63.01,63.01,63.01
62.61,63.46,63.46,62.61
64.33,64.90,64.92,64.33
64.90,64.82,64.92,64.32
66.24,66.35,66.35,66.15
66.73,65.54,66.73,65.54
63.79,63.72,63.83,63.43
63.73,64.14,64.14,63.21
64.14,64.14,64.14,64.14
64.02,64.02,64.02,64.02
64.02,64.02,64.02,64.02
61.05,61.86,61.86,61.05
61.86,61.86,61.86,61.86
60.35,60.48,60.48,60.35
60.86,61.37,61.37,60.86
61.37,61.37,61.37,61.37
61.95,61.96,61.96,61.94
61.47,61.50,61.50,61.47
60.10,58.60,60.10,58.60
58.60,58.60,58.60,58.60
56.42,56.42,56.42,56.42
56.42,56.42,56.42,56.42
