CMP,Compass Minerals Intl Inc Common Stock,NASDAQ
67.75,68.45,68.94,67.60
69.55,71.01,71.40,69.36
71.09,72.61,73.97,71.09
70.70,71.66,72.20,70.34
71.24,73.81,73.99,70.95
73.69,72.67,74.00,72.09
71.96,71.35,72.64,71.09
71.62,72.39,72.47,70.51
72.11,71.96,72.99,70.88
72.15,71.42,72.52,70.71
71.85,72.24,72.84,71.20
71.14,69.59,71.41,68.09
69.44,68.88,70.43,68.65
68.58,67.27,68.99,66.75
68.12,67.79,68.97,67.25
67.25,66.87,68.72,66.50
66.83,64.89,67.14,64.09
65.08,63.73,65.08,62.79
63.96,63.04,65.00,62.98
64.20,65.50,65.55,63.80
66.82,65.89,66.82,64.71
66.13,65.45,67.27,65.24
64.77,63.72,65.13,63.39
64.02,65.87,65.89,63.26
65.90,65.30,66.32,64.74
65.30,71.99,72.34,65.16
72.09,73.27,73.95,71.49
72.22,72.24,73.89,72.10
71.60,72.36,72.48,71.03
73.33,74.72,74.80,72.86
75.01,74.63,75.01,73.52
74.26,74.98,75.00,73.80
74.28,75.18,75.68,74.06
75.59,74.98,75.97,74.79
74.80,73.65,75.30,73.61
74.24,74.28,74.75,73.85
72.40,74.56,74.80,72.21
74.42,75.53,75.93,74.15
76.16,75.55,76.16,74.93
76.37,74.90,76.78,74.31
75.26,75.90,76.62,75.08
76.34,75.94,76.34,74.92
76.05,76.97,77.17,75.97
77.86,77.84,78.27,77.19
77.62,78.47,79.00,77.01
78.62,78.51,79.50,77.97
78.59,78.12,78.59,77.62
79.41,81.45,81.90,79.41
80.34,80.58,80.90,80.07
80.40,81.93,82.15,80.28
82.11,81.76,82.65,81.33
81.76,81.48,82.25,80.64
81.71,80.67,81.97,80.04
79.94,80.99,81.64,79.71
80.73,82.35,82.54,80.37
81.70,81.41,82.10,80.93
81.59,79.08,82.26,78.95
79.02,79.29,80.38,78.61
79.55,79.88,80.40,79.00
79.88,80.12,80.50,79.23
79.87,80.23,80.68,79.87
