MBCN,Middlefield Banc Corp. - Common Stock,NASDAQ
17.00,17.00,17.10,17.00
16.63,16.95,16.95,16.63
16.50,16.25,16.50,16.25
16.25,16.25,16.25,16.25
16.25,16.25,16.25,16.25
16.25,16.25,16.25,16.25
16.50,16.50,16.50,16.50
16.50,16.50,16.50,16.50
16.50,16.50,16.50,16.50
16.50,16.50,16.50,16.50
16.50,16.50,16.50,16.50
16.50,16.50,16.50,16.50
16.50,16.50,16.50,16.50
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.30,17.50,17.00
17.40,17.50,17.50,17.35
17.50,17.50,17.50,17.50
17.50,17.50,17.50,17.50
17.50,17.50,17.50,17.50
17.26,17.00,17.26,17.00
17.00,17.00,17.00,17.00
17.80,17.80,17.80,17.80
17.80,17.80,17.80,17.80
17.80,17.80,17.80,17.80
17.80,17.80,17.80,17.80
17.80,17.80,17.80,17.80
17.80,17.80,17.80,17.80
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.50,17.50,17.50,17.50
17.50,17.50,17.50,17.50
17.80,17.80,17.80,17.80
17.50,17.80,17.80,17.50
17.80,17.80,17.80,17.80
17.80,17.80,17.80,17.80
17.80,17.80,17.80,17.80
17.80,17.80,17.80,17.80
17.80,17.80,17.80,17.80
17.80,17.80,17.80,17.80
17.80,17.80,17.80,17.80
17.80,17.80,17.80,17.80
17.80,17.80,17.80,17.80
17.80,17.80,17.80,17.80
17.17,17.17,17.17,17.17
17.50,18.00,18.00,17.50
18.00,18.00,18.00,18.00
18.00,17.25,18.00,17.25
17.25,17.25,17.25,17.25
17.15,17.15,17.15,17.10
17.00,17.00,17.00,17.00
16.89,17.01,17.01,16.75
17.01,17.01,17.01,17.01
17.01,17.01,17.01,17.01
16.65,16.65,16.65,16.65
16.61,16.75,16.76,16.61
16.90,16.90,16.90,16.90
16.90,16.90,16.90,16.90
17.00,17.00,17.00,17.00
17.10,16.80,17.50,16.80
16.95,17.25,17.25,16.75
17.45,17.05,17.50,17.05
17.50,17.05,17.75,17.05
17.05,17.05,17.05,17.05
17.05,17.05,17.05,17.05
17.75,17.75,17.75,17.75
17.75,17.75,17.75,17.75
17.75,17.75,17.75,17.75
17.75,17.75,17.75,17.75
17.60,17.60,17.60,17.60
17.60,17.60,17.60,17.60
17.65,17.65,17.65,17.65
17.75,17.65,17.75,17.65
18.00,18.00,18.00,18.00
18.00,18.00,18.00,18.00
18.00,18.00,18.00,18.00
18.00,18.00,18.00,18.00
18.10,18.10,18.10,18.10
18.10,18.01,18.50,18.00
18.01,18.01,18.01,18.01
18.25,18.25,18.25,18.25
18.25,18.25,18.25,18.25
18.25,18.35,19.00,18.25
18.26,17.80,18.26,17.80
17.80,17.80,17.80,17.80
17.80,17.55,17.80,17.55
17.55,17.55,17.55,17.55
17.55,17.55,17.55,17.55
17.55,17.55,17.55,17.55
17.56,17.56,17.56,17.56
17.80,17.80,17.80,17.80
17.80,17.80,17.80,17.80
17.80,17.80,17.80,17.80
18.00,18.40,18.40,18.00
18.40,18.40,18.40,18.40
17.57,17.57,17.57,17.57
17.64,18.00,18.00,17.64
18.50,18.50,18.50,18.50
