DLHC,DLH Holdings Corp. - Common Stock,NASDAQ
0.77,0.75,0.77,0.75
0.75,0.75,0.75,0.75
0.76,0.75,0.76,0.75
0.76,0.85,0.88,0.76
0.83,0.85,0.85,0.83
0.86,0.86,0.86,0.86
0.77,0.80,0.82,0.77
0.83,0.82,0.83,0.82
0.84,1.06,1.09,0.84
1.19,1.30,1.30,1.13
1.32,1.20,1.32,1.16
1.22,1.18,1.23,1.10
1.15,1.08,1.15,1.08
1.08,1.01,1.08,1.01
1.01,1.02,1.03,1.01
1.02,1.00,1.04,1.00
1.00,1.12,1.14,1.00
1.02,1.04,1.04,1.02
1.07,1.08,1.08,1.07
1.15,1.15,1.15,1.15
1.08,1.12,1.12,1.02
1.10,1.04,1.15,1.04
1.03,1.03,1.03,1.03
1.05,1.03,1.05,1.01
1.05,1.03,1.05,1.03
1.03,1.03,1.04,1.03
1.05,1.05,1.05,1.05
1.05,1.02,1.05,1.02
1.04,1.09,1.09,1.04
1.04,1.01,1.04,1.01
1.01,1.01,1.01,1.01
1.09,1.09,1.09,1.09
1.02,1.10,1.10,1.02
1.10,1.10,1.10,1.10
1.10,1.10,1.10,1.10
1.10,1.10,1.10,1.10
1.10,1.10,1.10,1.10
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.03,0.95,1.04,0.94
0.92,0.96,1.06,0.92
0.96,0.96,0.96,0.96
0.97,0.97,0.97,0.97
0.96,1.01,1.01,0.96
1.01,1.01,1.01,1.01
1.01,1.01,1.01,1.01
1.01,1.01,1.01,1.01
1.09,1.09,1.10,1.07
0.96,0.96,0.96,0.96
0.96,1.01,1.05,0.96
1.01,1.00,1.01,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.02,1.00
1.00,1.00,1.00,1.00
1.00,1.00,1.00,1.00
1.00,1.10,1.10,1.00
1.09,1.11,1.11,1.03
1.11,1.11,1.11,1.11
1.00,0.99,1.10,0.99
0.99,0.99,0.99,0.99
1.10,0.96,1.10,0.96
0.96,0.96,0.96,0.96
1.00,0.96,1.00,0.96
0.96,0.96,0.96,0.96
0.96,0.96,0.96,0.96
0.96,0.99,0.99,0.96
0.99,0.99,0.99,0.99
0.99,0.99,0.99,0.99
0.98,0.99,0.99,0.98
0.96,0.96,1.00,0.96
1.08,1.00,1.10,1.00
1.00,0.96,1.00,0.96
0.96,0.96,0.96,0.96
0.96,0.96,0.96,0.96
1.00,1.00,1.00,1.00
