ETRM,EnteroMedics Inc. - Common Stock,NASDAQ
3528.00,3528.00,3710.70,3340.89
3591.00,3465.00,3591.00,3345.93
3471.30,3843.00,4064.13,3465.00
4152.96,4566.24,4642.47,3559.50
4662.00,4599.00,4977.00,4432.05
5035.59,5418.00,5418.00,4553.01
5292.00,4788.00,5292.00,4788.00
4788.00,5103.00,5355.00,4536.00
7560.00,4662.00,9072.00,4480.56
4788.00,4536.00,4958.10,4347.00
4788.00,4473.00,4913.37,4358.34
4410.00,4347.00,4463.55,4221.00
4347.00,4095.00,4347.00,4095.00
4063.50,4158.00,4290.30,4063.50
4158.00,3969.00,4284.00,3685.50
3969.00,3654.63,3969.00,3654.00
3529.26,3717.00,4093.74,3529.26
4410.00,4158.00,4851.00,4032.00
3798.90,3685.50,4221.00,3685.50
3843.00,3779.37,3969.00,3598.56
3969.00,3906.00,4032.00,3717.00
3906.00,3727.71,3906.00,3725.19
3717.00,3505.95,3773.70,3505.95
3591.00,3528.00,3652.11,3345.93
3465.00,3402.00,3528.00,3339.00
3408.93,3654.00,3654.00,3408.93
3528.00,3402.00,3647.70,3349.08
3402.00,3465.00,3524.22,3402.00
3465.00,3591.00,3647.07,3339.00
3647.70,3748.50,4095.00,3591.00
3717.00,3654.00,3811.50,3483.90
3717.00,3778.74,3843.00,3471.30
3754.80,3654.00,3843.00,3546.90
3654.00,3654.00,4030.74,3528.00
3717.00,3780.00,4095.00,3665.97
3797.64,3710.70,3797.64,3594.78
3628.17,3509.10,3652.11,3465.00
3528.00,3340.26,3590.37,3340.26
3465.00,3402.00,3465.00,3225.60
3339.00,3528.00,3528.00,3222.45
3500.91,3433.50,3528.00,3339.00
3339.00,3465.00,3468.15,3306.87
3339.00,3685.50,3906.00,3226.23
3717.00,4158.00,4410.00,3617.46
4347.00,3906.00,4347.00,3704.40
3934.98,3843.00,4027.59,3780.00
3843.00,3906.00,3906.00,3780.00
3843.63,3912.30,4032.00,3843.00
3969.00,3861.90,4278.33,3861.90
4095.00,3591.00,4095.00,3529.26
3654.00,3528.00,3654.00,3402.63
3521.70,3465.00,3571.47,3402.00
3465.00,3465.00,3518.55,3339.00
3339.00,3528.00,3591.00,3307.50
3402.00,3528.00,3581.55,3402.00
3654.00,3465.00,3654.00,3408.93
3465.00,3339.63,3465.00,3339.63
3380.58,3528.00,3584.70,3356.64
3528.00,3371.13,3531.78,3371.13
3402.00,3250.80,3465.00,3250.80
3276.00,3213.00,3320.73,3213.00
N/A,N/A,N/A,N/A
3276.00,3201.03,3276.00,3168.90
3213.00,3214.26,3304.98,3213.00
3214.26,3276.00,3527.37,3214.26
3276.63,3282.30,3401.37,3276.63
3400.11,3264.66,3400.11,3214.89
3339.00,3422.79,3584.70,3282.30
3405.78,3654.00,3972.78,3405.78
3905.37,3528.00,3906.00,3402.00
3591.00,3465.00,3644.55,3354.75
3402.00,3465.00,3654.00,3213.00
3465.00,3376.80,3465.00,3282.93
3465.00,3345.30,3523.59,3339.00
3339.00,3276.00,3465.00,3219.30
3276.63,3284.19,3384.36,3245.13
3339.00,3313.80,3339.00,3168.90
3313.80,3339.00,4158.00,3156.30
3346.56,3238.20,3348.45,3213.00
3219.30,3162.60,3280.41,3162.60
3225.60,3225.60,3276.00,3150.00
3225.60,3402.00,3622.50,3225.60
3402.00,3213.00,3465.63,3213.00
3223.08,2979.90,3276.00,2961.00
2898.00,2835.00,2961.00,2583.00
2835.00,2646.00,2961.00,2646.00
2615.13,2551.50,2835.00,2551.50
2961.00,2646.00,2961.00,2646.00
2646.00,2772.00,2833.74,2646.00
2835.00,2721.60,2893.59,2668.05
2709.00,2755.62,2772.00,2680.65
2772.00,2709.00,2772.00,2595.60
2709.00,2583.00,2771.37,2520.63
2583.00,2583.00,2676.87,2535.75
2581.11,2520.00,2637.81,2394.00
2394.00,2298.87,2394.00,2205.00
2268.00,2085.30,2268.00,1901.34
2116.17,2261.70,2261.70,2079.00
2135.70,2173.50,2204.37,1899.45
2142.00,2142.00,2261.70,2142.00
2205.00,2373.21,2457.00,2080.89
2366.28,2265.48,2393.37,2094.75
2211.93,2142.00,2267.37,2114.28
2173.50,2205.00,2264.85,2079.00
2205.00,2110.50,2205.00,2024.82
2079.00,2016.00,2135.70,1984.50
2016.00,2016.00,2203.11,1971.90
2016.00,1902.60,2079.00,1899.45
1953.00,1946.70,2016.00,1890.00
