GERN,Geron Corporation - Common Stock,NASDAQ
5.68,6.22,6.34,5.63
6.16,6.06,6.17,5.92
6.09,6.41,6.53,6.07
6.41,6.28,6.43,6.17
6.21,6.40,6.49,6.20
6.50,6.57,6.67,6.42
6.50,6.39,6.57,6.34
6.39,6.44,6.53,6.27
6.53,6.25,6.55,6.21
6.26,6.10,6.30,6.06
6.06,6.19,6.20,6.06
6.10,6.15,6.38,6.09
6.16,5.86,6.18,5.83
5.88,5.93,6.18,5.82
5.98,5.71,6.00,5.70
5.70,5.63,5.77,5.62
5.63,5.60,5.67,5.51
5.58,5.59,5.67,5.51
5.60,5.41,5.73,5.40
5.45,5.43,5.53,5.37
5.49,5.80,5.85,5.47
5.77,5.70,5.80,5.60
5.74,5.32,5.74,5.31
5.33,5.26,5.43,5.09
5.28,5.43,5.47,5.25
5.50,5.39,5.54,5.35
5.41,5.49,5.49,5.30
5.50,5.65,5.67,5.41
5.55,5.64,5.65,5.50
5.70,5.91,5.93,5.67
5.91,5.84,5.94,5.76
5.74,5.76,5.84,5.71
5.77,5.88,5.90,5.72
5.89,6.00,6.02,5.84
5.99,5.72,6.03,5.70
5.70,5.76,5.87,5.67
5.68,5.80,5.85,5.65
5.78,5.55,5.80,5.54
5.52,5.71,5.74,5.52
5.72,5.82,5.86,5.70
5.84,5.83,5.90,5.77
5.99,6.01,6.05,5.91
6.05,6.18,6.32,6.00
6.20,6.16,6.25,6.10
6.14,6.05,6.20,6.03
6.08,6.16,6.30,6.02
6.08,6.39,6.44,6.07
6.42,6.31,6.43,6.25
6.30,6.14,6.37,6.08
6.16,6.23,6.30,6.06
6.26,6.15,6.34,6.15
6.10,6.07,6.14,6.06
6.10,5.90,6.10,5.85
5.85,5.92,5.95,5.78
5.94,6.05,6.08,5.88
6.00,5.89,6.08,5.89
5.98,5.83,6.07,5.83
5.87,5.79,5.99,5.78
5.80,5.83,5.88,5.72
5.79,5.71,5.88,5.70
5.75,5.68,5.85,5.68
5.75,5.73,5.86,5.67
5.79,5.79,5.85,5.74
5.79,5.88,5.94,5.75
5.88,5.78,5.94,5.72
5.76,5.88,5.91,5.74
5.90,5.82,5.94,5.75
5.81,5.66,5.86,5.62
5.66,5.58,5.66,5.52
5.63,5.62,5.66,5.59
5.60,5.59,5.65,5.50
5.56,5.49,5.60,5.43
5.46,5.52,5.64,5.40
5.56,5.57,5.59,5.46
5.56,5.51,5.58,5.48
5.54,5.83,5.84,5.52
5.84,5.93,5.93,5.77
5.92,5.81,5.96,5.79
5.80,5.63,5.99,5.62
5.66,5.75,5.76,5.63
5.80,5.96,5.96,5.71
6.04,5.83,6.09,5.82
5.90,6.15,6.15,5.90
6.05,5.76,6.05,5.70
5.65,5.55,5.75,5.52
5.54,5.20,5.75,4.85
5.25,5.07,5.40,5.03
5.39,5.38,5.41,5.21
5.32,5.56,5.62,5.31
5.55,5.73,5.74,5.51
5.69,5.72,5.91,5.60
5.66,5.62,5.75,5.54
5.64,5.57,5.67,5.42
5.65,5.42,5.65,5.42
5.51,5.29,5.59,5.26
5.19,5.07,5.28,5.06
5.00,5.14,5.26,4.91
5.10,5.01,5.19,5.00
4.87,4.99,5.00,4.82
5.03,4.94,5.13,4.93
5.07,5.20,5.20,5.03
5.16,5.28,5.32,5.04
5.35,5.32,5.60,5.31
5.33,5.65,5.66,5.33
5.70,5.78,5.87,5.62
5.62,5.35,5.72,5.35
5.41,5.06,5.51,5.05
5.11,5.02,5.16,4.95
5.08,4.96,5.09,4.92
5.07,5.10,5.10,4.99
5.02,5.17,5.17,5.02
5.22,5.12,5.24,5.10
5.14,5.23,5.25,5.10
5.19,5.12,5.20,5.11
5.11,5.13,5.16,5.04
5.15,5.08,5.15,5.05
5.19,5.12,5.26,5.05
5.15,5.03,5.20,5.03
5.02,5.08,5.09,5.01
5.04,5.12,5.33,5.04
5.16,5.24,5.30,5.11
5.23,5.27,5.39,5.18
5.16,5.24,5.38,5.13
5.26,5.02,5.34,5.01
5.04,4.83,5.04,4.68
4.88,4.75,4.90,4.69
4.85,4.54,4.86,4.53
4.55,4.61,4.62,4.37
4.66,4.81,4.85,4.66
4.79,4.98,4.98,4.79
4.97,4.78,5.04,4.77
4.84,4.93,4.98,4.83
4.89,4.91,4.98,4.82
4.90,4.86,4.91,4.74
4.83,4.57,4.84,4.57
4.74,4.68,4.80,4.53
4.62,4.66,4.68,4.52
4.70,4.58,4.77,4.56
4.65,4.77,4.77,4.64
4.72,4.95,4.97,4.69
4.98,5.11,5.15,4.87
5.12,5.10,5.19,5.02
5.06,4.80,5.08,4.80
4.87,4.80,4.88,4.70
5.40,5.63,5.67,5.25
5.99,6.07,6.39,5.84
6.00,5.76,6.00,5.72
5.78,5.90,6.00,5.76
5.87,5.55,5.88,5.55
5.52,5.57,5.66,5.49
5.63,5.55,5.69,5.50
5.50,5.50,5.60,5.40
5.40,5.23,5.43,5.23
5.16,5.25,5.32,5.15
5.32,5.12,5.38,5.11
5.10,5.21,5.22,5.05
5.29,5.28,5.33,5.22
5.26,5.23,5.30,5.18
5.28,5.15,5.48,5.14
5.12,5.17,5.19,5.06
5.20,5.02,5.28,4.85
4.88,4.75,4.90,4.73
4.70,4.84,4.84,4.65
4.88,4.78,5.04,4.77
4.86,4.90,4.91,4.74
4.86,4.69,4.91,4.64
4.67,4.61,4.81,4.51
4.70,4.84,4.84,4.65
4.85,4.89,4.89,4.76
4.98,4.94,5.00,4.87
4.95,4.81,4.96,4.81
4.85,4.89,4.92,4.80
5.20,5.27,5.60,5.07
5.30,5.21,5.32,5.09
5.26,5.24,5.29,5.18
5.21,5.25,5.27,5.12
5.21,5.20,5.24,5.15
5.20,5.20,5.28,5.19
5.29,5.09,5.29,5.07
5.20,5.25,5.26,5.10
5.25,5.31,5.46,5.22
5.27,5.24,5.34,5.20
5.25,5.22,5.43,5.19
5.32,5.36,5.36,5.24
5.34,5.31,5.39,5.27
5.39,5.43,5.43,5.23
5.55,5.48,5.62,5.42
5.53,5.53,5.55,5.43
5.59,5.45,5.59,5.44
5.41,5.17,5.46,5.17
5.44,5.39,5.47,5.28
5.40,5.32,5.42,5.30
5.38,5.27,5.42,5.25
5.27,5.33,5.37,5.22
5.52,5.67,5.74,5.50
5.88,6.37,6.38,5.78
6.31,6.04,6.40,5.96
6.05,5.76,6.09,5.72
5.86,5.95,6.02,5.77
5.95,5.91,6.03,5.87
5.85,5.81,6.00,5.78
5.83,5.78,5.91,5.75
5.84,5.75,5.93,5.68
5.77,5.74,5.79,5.69
5.78,5.91,5.94,5.74
5.89,5.89,5.95,5.79
5.82,5.79,5.91,5.70
5.82,5.69,5.82,5.65
5.67,5.58,5.74,5.55
5.63,5.44,5.65,5.40
5.54,5.61,5.67,5.45
5.63,5.55,5.63,5.48
5.62,5.62,5.67,5.56
5.64,5.60,5.70,5.53
5.60,5.77,5.80,5.53
5.80,5.67,5.88,5.65
5.71,5.80,5.80,5.60
6.00,6.08,6.23,5.91
6.02,5.86,6.04,5.82
5.90,5.79,5.94,5.76
5.80,5.69,5.85,5.63
5.81,5.66,5.81,5.61
5.74,5.79,5.88,5.64
5.76,5.75,5.77,5.67
5.75,5.84,5.90,5.75
5.74,5.68,5.77,5.63
5.72,5.79,5.80,5.69
5.75,5.68,5.78,5.68
5.72,5.67,5.75,5.61
5.62,5.70,5.74,5.55
5.77,5.96,6.01,5.73
6.00,5.92,6.06,5.89
5.86,6.01,6.04,5.85
6.10,6.12,6.34,6.07
5.23,5.00,5.25,5.00
5.04,4.86,5.07,4.84
4.92,4.72,4.94,4.72
4.76,4.87,4.90,4.75
4.92,4.77,4.93,4.75
4.80,4.78,4.85,4.75
4.79,4.83,4.90,4.75
4.86,4.88,4.93,4.80
4.90,4.98,4.98,4.85
4.98,5.08,5.11,4.95
5.10,5.14,5.17,5.02
5.15,5.09,5.16,5.07
5.09,5.11,5.11,5.03
5.01,5.34,5.38,5.00
5.36,5.29,5.39,5.26
5.28,5.29,5.35,5.21
5.26,5.21,5.31,5.18
5.18,5.19,5.20,5.10
5.22,5.26,5.28,5.16
5.32,5.24,5.33,5.20
5.25,5.34,5.35,5.22
5.33,5.26,5.34,5.22
5.29,5.22,5.30,5.20
5.32,5.27,5.34,5.12
5.29,5.30,5.30,5.22
5.32,5.36,5.38,5.23
5.25,5.24,5.36,5.16
5.25,5.23,5.25,5.17
5.23,5.15,5.24,5.14
5.19,4.94,5.22,4.93
4.92,4.87,4.95,4.82
