RXL,ProShares Ultra Health Care,NASDAQ
51.21,51.21,51.21,50.39
51.48,50.74,51.48,50.40
50.46,51.34,51.34,50.46
51.16,51.70,51.72,51.03
51.50,51.94,51.94,51.42
51.86,52.39,52.67,51.55
52.70,51.84,52.70,51.45
52.00,53.35,53.56,52.00
53.39,54.07,54.14,53.06
54.14,53.43,55.86,52.79
57.40,55.58,57.40,53.94
55.79,55.02,56.19,54.07
55.35,52.76,55.35,52.66
52.16,51.55,53.04,51.41
51.98,51.38,52.11,51.25
51.15,51.01,51.31,50.15
50.35,51.69,51.69,50.00
52.14,50.81,52.14,50.60
51.01,50.34,51.43,50.33
50.34,50.76,50.84,48.44
50.84,52.61,52.61,50.69
52.69,51.74,52.69,51.32
51.55,49.00,51.57,49.00
48.55,48.68,49.00,46.94
48.27,48.30,49.09,47.80
48.42,48.88,49.83,47.90
48.98,48.44,48.98,48.00
47.70,49.23,49.29,47.70
48.90,48.71,49.21,47.68
49.90,49.88,50.00,49.34
50.00,50.68,51.09,50.00
50.60,51.10,51.13,50.60
49.97,51.02,51.26,49.97
51.69,50.87,51.69,50.49
50.01,49.79,50.02,49.78
49.69,50.56,50.64,48.71
47.84,50.46,50.46,47.74
50.62,50.77,51.00,50.62
51.21,51.81,52.02,51.21
52.18,52.28,52.61,52.18
52.95,51.98,52.95,51.84
51.91,51.69,51.98,51.31
52.01,52.72,52.73,52.01
53.00,52.61,53.00,52.53
52.38,52.57,52.75,52.36
52.76,52.75,52.92,52.56
52.49,53.34,53.34,52.12
53.68,52.81,53.68,52.59
53.10,53.46,53.46,52.28
53.56,53.53,53.56,52.10
53.37,53.69,53.83,53.37
53.65,54.37,54.37,53.63
54.23,54.23,54.73,52.66
54.66,55.17,55.64,54.35
55.52,55.60,55.60,54.84
55.50,54.55,55.50,54.55
54.55,54.01,55.71,53.90
54.00,53.35,54.13,53.02
53.48,54.16,54.22,53.48
54.07,54.14,54.33,53.80
53.68,53.72,54.29,53.68
54.52,54.42,54.68,53.96
54.81,54.24,54.81,54.24
53.91,54.13,54.40,53.91
53.92,53.68,54.09,53.38
53.71,53.44,53.71,53.00
53.17,53.60,53.79,53.17
53.60,53.64,53.69,53.57
53.63,53.59,53.63,53.11
52.51,53.58,53.58,52.51
53.29,53.27,53.73,53.14
53.06,52.77,53.29,52.15
52.39,53.39,53.39,52.39
53.83,53.68,53.83,53.35
53.39,51.93,53.39,51.54
51.53,50.70,51.59,50.01
50.55,51.66,51.68,50.27
51.91,50.48,51.91,50.44
50.65,49.35,51.00,49.25
49.23,50.00,51.14,49.23
50.53,51.59,51.98,50.36
51.76,50.43,52.10,50.43
50.55,51.05,51.16,50.51
50.50,50.07,50.87,49.74
49.50,50.11,50.16,49.23
49.75,47.50,50.03,43.29
48.40,45.73,48.40,44.68
46.73,48.41,49.27,46.73
46.56,48.59,48.94,46.56
48.69,49.29,49.29,48.69
49.12,48.41,49.12,48.41
47.75,46.55,47.92,46.30
46.40,46.86,47.35,45.73
47.15,46.31,47.56,46.09
45.43,46.03,46.42,45.30
45.00,42.78,45.00,42.78
42.50,42.83,43.30,41.06
41.85,43.00,43.69,41.85
42.00,42.05,42.32,40.57
42.89,42.03,43.34,42.02
43.71,43.71,43.71,42.95
43.63,43.66,44.14,43.17
42.91,42.42,43.75,42.41
42.63,44.18,44.18,42.63
44.63,44.80,44.81,44.21
44.02,41.94,44.02,41.94
42.30,42.45,42.45,42.01
41.92,41.77,41.92,41.00
41.82,41.37,42.41,41.37
42.06,43.04,43.15,42.06
43.58,44.05,44.12,43.52
45.17,44.16,45.17,44.16
45.00,45.64,45.64,44.76
45.53,45.86,45.99,45.48
45.69,45.67,45.69,45.23
45.70,45.79,46.11,45.57
47.73,45.32,47.88,45.11
45.63,44.42,46.17,44.39
44.63,44.15,44.63,43.67
44.14,43.42,44.14,43.31
44.60,43.91,44.60,43.14
43.88,43.77,44.42,43.35
43.29,41.96,43.65,41.51
41.90,41.28,42.43,41.20
40.87,40.64,40.91,39.12
40.61,40.70,41.13,40.22
41.81,40.87,41.81,40.33
41.10,42.55,42.58,40.67
43.24,43.29,43.74,42.76
43.90,43.65,43.90,43.15
43.80,43.35,43.80,43.05
44.25,44.15,44.53,44.10
44.13,44.10,44.28,43.43
43.98,44.38,44.52,43.50
44.39,42.37,44.39,42.27
42.48,42.68,43.00,42.33
41.76,42.51,42.51,41.20
42.25,41.03,42.33,40.96
41.29,41.92,42.50,41.29
42.26,41.87,42.26,41.12
42.43,43.21,43.22,41.87
43.22,43.18,43.52,43.00
43.42,42.00,43.42,41.87
42.30,41.90,42.83,41.39
40.70,42.27,42.51,40.70
42.94,43.62,43.72,42.94
43.66,44.34,44.75,43.66
44.26,45.54,45.58,44.26
45.40,45.55,45.55,45.05
45.00,45.74,45.74,44.78
45.87,46.13,46.13,45.59
45.87,46.10,46.48,44.90
45.00,43.77,45.00,43.71
42.84,44.07,44.24,42.84
43.64,43.71,44.07,43.51
43.20,43.35,43.58,42.59
43.66,44.50,44.74,43.66
44.10,44.47,45.13,44.10
43.83,43.01,43.83,42.56
43.01,42.64,43.01,42.00
42.94,42.75,43.55,42.75
42.05,41.07,42.05,40.76
40.50,41.90,41.90,40.50
42.11,41.17,42.11,40.95
41.31,42.12,42.14,40.40
42.00,41.19,42.19,41.19
41.19,40.69,41.32,40.47
41.27,42.66,42.76,41.27
42.72,43.26,43.26,42.56
43.76,44.09,44.16,43.60
43.90,43.54,43.90,43.45
43.69,44.02,44.27,43.69
44.53,44.93,45.10,44.53
44.94,45.70,45.86,44.94
46.00,45.95,46.32,45.71
46.07,46.40,46.63,45.69
46.04,47.01,47.01,46.04
46.71,46.82,46.90,46.50
46.82,46.90,47.32,46.66
47.50,48.17,48.33,47.10
47.94,48.07,48.50,47.80
47.62,48.17,48.38,47.62
47.46,47.75,48.36,47.46
48.25,48.95,49.02,48.25
49.10,48.34,49.17,48.32
48.50,49.18,49.24,47.97
48.84,48.79,49.02,48.47
49.04,48.77,49.69,48.32
49.37,48.55,49.37,48.16
48.66,47.67,48.66,47.46
48.25,49.48,49.57,48.25
49.04,49.02,49.56,48.79
49.02,49.14,49.56,49.00
49.55,49.51,49.65,49.08
49.52,49.49,49.64,49.24
49.38,49.84,49.98,48.89
50.05,50.50,50.63,50.00
50.17,50.14,50.63,49.77
50.25,50.61,50.73,50.00
50.65,51.36,51.40,50.65
50.10,49.50,50.37,49.04
49.38,50.15,50.67,49.38
50.89,50.45,51.00,49.74
50.75,50.58,50.75,50.35
51.00,51.09,51.60,51.00
50.35,50.74,50.77,50.35
50.02,50.24,50.35,49.55
50.46,50.73,50.99,50.24
50.23,50.20,50.23,49.91
50.70,50.13,51.01,49.61
50.97,50.98,51.14,50.75
50.77,51.00,51.20,50.02
51.97,51.66,51.97,51.38
51.93,51.20,51.93,50.78
50.59,50.83,50.94,50.59
50.84,50.47,51.08,50.29
50.24,50.68,50.68,49.58
50.25,50.74,50.74,50.00
50.15,49.55,50.31,49.53
49.53,49.57,50.10,49.53
49.41,48.23,49.41,48.00
48.15,48.51,48.53,48.15
48.53,49.83,49.83,48.53
49.50,49.58,49.70,49.22
49.95,49.76,49.95,49.01
49.14,48.54,49.14,48.42
49.17,49.20,49.29,49.10
49.03,48.79,49.03,48.70
48.23,48.51,48.51,47.25
47.41,47.83,48.04,46.98
48.50,49.24,49.34,48.50
49.64,49.96,49.99,49.64
49.88,50.09,50.14,49.70
