TCCO,Technical Communications Corporation - Common Stock,NASDAQ
4.10,4.10,4.10,4.10
4.05,4.20,4.20,4.05
4.20,4.20,4.20,4.20
4.20,4.20,4.25,4.20
4.75,4.75,4.75,4.75
4.50,4.50,4.50,4.25
4.40,4.40,4.40,4.25
4.35,4.35,4.35,4.35
4.20,4.20,4.20,4.20
4.40,5.00,5.00,4.40
4.55,4.55,4.55,4.55
4.75,4.75,4.90,4.45
4.99,4.99,4.99,4.99
4.99,4.99,4.99,4.99
4.90,4.35,5.00,4.35
4.35,4.35,4.35,4.35
4.95,4.95,4.99,4.95
4.95,4.95,4.95,4.95
4.46,5.07,5.07,4.46
5.07,5.25,5.25,5.07
5.30,5.30,5.30,5.30
5.30,5.30,5.30,5.30
5.30,5.30,5.30,5.30
5.10,5.07,5.10,5.07
6.15,7.02,7.99,6.15
7.60,9.00,9.44,7.60
8.89,9.25,9.40,8.50
9.25,9.60,10.89,9.25
9.50,10.21,10.21,9.36
10.20,9.40,10.20,8.90
9.40,9.80,9.80,9.00
9.71,9.80,9.80,9.22
9.80,10.20,10.20,9.80
10.14,9.80,10.15,9.65
9.80,10.10,10.10,9.80
10.10,11.75,12.20,10.10
11.30,11.01,12.24,10.01
11.20,11.74,12.02,10.05
12.50,11.95,12.50,11.00
11.95,12.00,12.80,11.94
12.30,12.00,13.15,11.95
12.00,10.30,12.00,10.00
10.25,10.50,10.50,9.50
10.00,10.01,10.94,10.00
10.00,9.00,10.00,8.50
8.50,8.50,9.89,8.50
8.80,8.80,8.80,8.80
9.25,8.80,9.25,8.80
9.25,8.75,9.50,8.75
8.75,8.75,8.75,8.75
8.83,8.83,8.83,8.83
8.83,8.79,8.83,8.79
9.01,8.79,9.24,8.77
8.80,8.80,9.15,8.80
8.81,8.85,8.86,8.81
8.86,8.86,9.00,8.86
8.87,8.86,8.87,8.86
8.80,8.75,9.00,7.50
8.76,8.75,9.00,8.75
8.75,8.75,8.75,8.75
9.00,8.75,9.00,8.75
8.75,9.00,9.00,8.75
9.00,9.00,9.00,9.00
9.00,9.00,9.00,9.00
9.01,9.00,9.01,9.00
9.35,9.00,9.35,9.00
9.00,9.00,9.00,9.00
9.00,9.00,9.25,9.00
9.00,9.05,9.05,9.00
9.05,9.25,9.25,9.05
9.25,9.25,9.25,9.25
9.25,9.06,9.25,9.06
9.06,9.06,9.06,9.06
9.06,9.49,9.49,9.06
9.49,9.50,9.50,9.49
9.50,9.16,9.50,9.16
9.20,9.40,10.00,9.20
9.40,9.60,10.00,9.40
12.00,14.05,14.50,11.01
14.15,14.50,14.68,13.35
13.50,12.80,13.50,12.00
12.80,13.10,13.25,12.80
13.25,13.25,13.50,13.00
13.25,13.30,13.99,13.25
13.00,12.65,13.10,12.65
12.75,12.60,13.00,12.20
13.00,12.60,13.00,12.60
12.75,12.31,13.00,12.31
12.70,12.50,12.70,12.05
12.10,12.00,12.10,11.00
12.01,12.01,12.01,12.01
12.25,12.01,12.25,12.01
12.01,12.01,12.01,12.01
11.01,11.50,11.65,11.00
11.50,11.50,11.50,11.50
11.15,11.00,11.15,11.00
11.00,11.00,11.00,11.00
11.00,11.00,11.00,11.00
10.75,10.55,10.90,10.55
10.89,10.55,11.01,10.55
12.00,12.00,12.00,12.00
12.00,11.50,12.00,11.00
11.50,11.50,11.50,11.50
11.50,11.50,11.50,11.50
10.75,11.00,11.00,10.66
11.00,11.00,11.00,11.00
11.00,11.00,11.00,11.00
11.00,11.00,11.00,11.00
11.00,11.00,11.00,11.00
11.00,11.00,11.00,11.00
11.00,11.00,11.00,11.00
11.00,11.00,11.00,11.00
11.01,11.18,11.18,10.65
11.18,11.18,11.18,11.18
11.01,11.01,11.01,11.01
11.01,11.01,11.01,11.01
11.01,11.01,11.01,11.01
11.01,11.01,11.01,11.01
11.01,11.01,11.01,11.01
11.01,11.01,11.01,11.01
11.10,11.10,11.10,10.57
11.00,11.63,11.63,10.90
11.63,11.63,11.63,11.63
10.71,11.75,11.75,10.71
10.85,10.85,10.85,10.85
10.85,10.85,10.85,10.85
10.79,10.79,10.79,10.79
10.79,10.99,11.00,10.55
10.55,10.76,10.76,10.55
10.76,10.76,10.76,10.76
10.59,11.20,11.45,10.58
11.21,11.25,11.25,11.20
11.25,11.22,11.25,11.10
11.85,11.12,11.85,11.12
11.20,11.20,11.20,11.20
11.20,11.20,11.20,11.20
11.20,11.20,11.20,11.20
11.85,11.85,11.85,11.85
11.99,11.99,11.99,11.99
11.99,11.99,11.99,11.99
11.95,11.95,11.95,11.33
11.95,11.95,11.95,11.95
11.50,11.51,11.53,11.50
11.51,11.51,11.51,11.51
11.38,12.00,12.00,11.38
13.00,11.74,13.00,11.26
11.50,11.40,11.50,11.06
11.40,11.20,11.43,11.10
11.15,11.25,11.25,11.15
11.10,11.10,11.10,11.00
11.13,11.18,11.25,11.13
11.35,11.26,11.35,11.00
11.04,10.25,11.04,10.00
10.00,9.93,10.24,9.04
10.15,9.90,10.15,9.90
9.93,9.70,9.93,9.50
9.78,9.78,9.78,9.78
9.70,9.82,9.82,9.31
9.80,9.70,9.80,9.70
9.70,9.70,9.70,9.70
9.50,9.50,9.50,9.50
9.91,9.30,9.91,8.92
9.00,9.47,9.48,8.90
8.45,9.18,9.25,8.45
9.37,9.37,9.37,9.37
9.37,9.37,9.37,9.37
9.34,9.27,9.34,9.27
9.27,9.34,9.34,9.27
9.25,9.25,9.32,9.25
9.50,9.50,9.50,9.50
9.51,9.41,9.51,9.41
9.31,9.30,9.31,9.28
9.00,9.11,9.11,8.99
9.00,9.12,9.12,8.99
9.24,9.56,9.66,9.19
9.50,9.50,9.50,9.40
9.50,9.50,9.50,9.50
9.42,9.40,9.42,9.40
9.49,9.00,9.49,9.00
9.13,9.27,9.65,9.11
9.11,9.17,9.17,9.00
9.30,9.25,9.40,9.25
9.25,9.25,9.25,9.25
9.25,9.40,9.40,9.25
9.43,9.30,9.43,9.30
9.40,9.30,9.40,9.30
9.00,9.25,9.26,9.00
9.24,9.25,9.25,9.24
9.35,9.40,9.40,9.35
9.40,9.40,9.40,9.40
9.40,9.40,9.40,9.40
9.12,9.35,9.35,9.10
9.15,9.15,9.15,9.15
9.39,9.33,9.39,9.33
9.37,9.28,9.37,9.18
9.26,9.30,9.39,9.26
9.30,9.30,9.30,9.30
9.31,9.32,9.34,9.31
9.32,9.32,9.32,9.32
9.30,9.35,9.39,9.10
9.40,9.75,10.00,9.40
9.90,9.83,9.90,9.75
9.94,9.85,9.99,9.75
9.85,10.13,10.50,9.85
10.29,10.23,10.35,10.22
10.28,10.40,10.40,10.23
10.45,11.10,11.30,10.40
11.10,11.29,11.70,10.95
11.30,11.35,11.88,10.95
11.40,10.73,11.43,10.64
10.98,11.05,11.25,10.98
11.21,11.10,11.48,10.98
11.20,11.27,11.48,11.10
11.07,11.39,11.48,11.06
11.40,11.60,11.88,11.07
11.88,11.44,11.88,11.42
11.38,11.60,11.70,11.25
11.25,10.68,11.25,10.59
10.67,10.12,10.67,9.90
10.12,10.35,10.85,10.12
10.35,10.36,10.50,10.00
10.49,10.26,10.50,10.20
10.31,10.83,10.97,10.12
10.89,10.61,11.25,10.61
10.75,11.11,11.20,10.72
11.11,11.10,11.11,11.10
11.12,10.80,11.15,10.66
10.71,11.00,11.00,10.70
10.99,10.99,11.03,10.80
10.90,11.00,11.45,10.90
11.00,11.03,11.10,11.00
11.03,11.03,11.03,10.80
10.80,11.30,11.39,10.80
11.88,11.66,11.88,11.40
11.77,11.76,11.78,11.52
11.75,11.62,11.75,11.60
11.74,11.84,12.00,11.70
11.90,14.40,15.62,11.80
16.25,13.99,17.00,13.00
13.90,12.30,13.90,12.00
12.30,12.60,13.26,12.30
12.75,12.10,12.99,11.70
12.87,13.38,13.47,12.50
13.89,13.88,14.25,13.55
14.00,13.29,14.19,12.95
13.50,13.48,13.99,13.30
13.88,13.60,13.88,13.10
13.74,13.65,13.83,13.25
13.85,13.70,13.87,13.41
13.71,13.97,13.97,13.35
13.98,13.87,13.98,13.38
13.79,13.72,13.95,13.61
13.97,13.68,13.98,13.43
13.70,13.33,13.70,13.32
13.20,13.21,13.60,13.20
13.01,13.32,13.45,13.01
13.26,12.36,13.26,12.25
13.45,13.39,13.45,12.46
13.48,13.10,13.85,12.96
13.10,12.82,13.46,12.70
12.81,13.10,13.29,12.76
13.28,13.10,13.28,12.66
12.91,13.09,13.40,12.91
13.22,12.93,13.22,12.93
12.90,12.75,12.90,12.52
12.89,12.55,12.89,12.35
12.46,12.55,12.77,12.28
12.43,12.52,12.75,12.27
12.44,12.60,12.77,12.27
12.52,12.88,12.89,12.27
12.75,12.80,12.80,12.33
12.85,13.42,13.48,12.31
13.50,13.74,13.85,13.31
12.65,11.25,12.65,10.81
11.26,10.74,11.37,10.73
10.83,10.73,10.83,10.60
10.96,10.10,10.96,10.03
10.03,10.37,10.54,10.01
10.26,10.37,10.48,10.11
10.37,10.18,10.37,10.15
10.18,10.20,10.35,10.13
10.20,10.26,10.45,10.20
10.40,10.38,10.40,10.33
10.39,10.31,10.53,10.18
10.49,10.35,10.49,10.26
10.39,10.34,10.39,10.25
10.34,10.37,10.49,10.25
10.30,10.15,10.45,10.10
10.22,10.31,10.39,10.10
10.20,10.35,10.45,10.04
10.44,10.49,10.62,10.25
10.40,10.31,10.59,10.29
10.36,10.30,10.40,10.27
10.22,10.25,10.42,10.20
10.25,10.25,10.35,10.25
10.25,10.20,10.38,10.17
10.20,10.15,10.32,10.15
10.15,10.15,10.34,10.11
10.15,10.23,10.24,10.05
10.00,10.10,10.11,10.00
10.09,10.18,10.19,10.00
10.00,9.98,10.05,9.71
9.98,9.88,9.98,9.70
9.93,9.80,9.93,9.75
9.80,9.96,9.96,9.80
10.00,10.10,10.10,9.90
10.00,10.03,10.10,9.95
9.83,9.89,10.00,9.81
9.95,9.90,10.00,9.84
10.00,9.95,10.04,9.81
9.90,9.84,9.98,9.80
9.90,9.87,9.96,9.55
9.96,9.92,9.96,9.83
9.99,9.89,10.00,9.85
9.89,9.89,9.90,9.80
9.86,9.82,9.99,9.76
9.75,9.97,9.99,9.75
9.89,9.86,9.91,9.85
9.90,9.94,9.95,9.73
9.85,9.94,9.95,9.72
9.95,9.95,9.95,9.85
9.97,9.72,9.97,9.65
9.75,9.72,9.85,9.70
9.80,9.68,9.80,9.65
9.66,9.88,9.88,9.55
9.79,9.65,9.80,9.65
9.74,9.77,9.80,9.65
9.80,9.61,9.80,9.61
9.60,10.49,10.51,9.60
10.54,10.75,10.80,10.50
10.80,9.85,10.80,8.27
9.81,9.76,9.87,9.75
9.71,9.75,9.99,9.71
9.85,10.09,11.00,9.75
10.09,10.06,10.20,10.00
10.05,9.73,10.05,9.68
9.98,9.70,10.00,9.65
9.70,9.77,9.99,9.41
9.67,9.60,9.84,9.47
9.57,9.29,9.82,9.04
9.50,9.60,9.60,9.33
9.60,9.57,9.60,9.45
9.49,9.25,9.49,9.22
9.25,9.25,9.35,9.10
9.25,9.16,9.29,9.10
9.10,8.65,9.10,8.62
8.66,8.91,8.95,8.64
8.95,8.82,9.20,8.70
8.87,8.66,8.87,8.59
8.53,8.45,8.62,8.35
8.45,8.51,8.60,8.35
8.55,8.50,8.56,8.50
8.50,8.45,8.50,8.34
8.43,8.53,8.67,8.43
8.65,8.66,8.79,8.53
8.52,8.56,8.70,8.51
8.56,8.44,8.56,8.36
8.43,8.29,8.55,8.17
8.17,8.20,8.24,8.02
8.28,8.27,8.28,8.06
8.13,8.22,8.22,8.12
8.25,8.22,8.25,8.10
8.16,8.22,8.29,8.16
8.24,8.10,8.28,8.06
8.12,8.19,8.20,8.10
8.11,8.09,8.20,8.02
8.08,8.12,8.27,8.06
8.21,8.45,8.45,8.11
8.43,8.45,8.45,8.40
8.52,8.50,8.55,8.50
8.40,8.34,8.40,8.34
8.32,8.17,8.32,8.06
8.21,8.15,8.21,8.15
8.19,8.22,8.22,8.19
8.16,8.15,8.16,8.15
8.20,8.27,8.27,8.20
8.30,8.35,8.35,8.28
8.48,8.48,8.48,8.23
8.59,8.30,8.59,8.23
8.33,8.33,8.55,8.31
8.28,8.26,8.36,8.20
8.13,8.24,8.29,8.12
8.22,8.23,8.24,8.14
8.51,8.58,8.63,8.50
8.65,8.55,8.65,8.45
8.51,8.59,8.65,8.26
8.58,8.44,8.58,8.41
8.48,8.28,8.48,8.28
8.37,8.28,8.37,8.24
8.31,8.33,8.45,8.20
8.37,8.31,8.39,8.30
8.41,8.24,8.45,8.24
8.20,8.11,8.24,8.10
8.20,8.16,8.21,8.00
8.16,8.25,8.25,8.16
8.24,8.12,8.24,8.12
8.12,7.97,8.12,7.92
8.07,7.63,8.07,7.50
7.61,7.57,7.69,7.57
7.50,7.43,7.50,7.40
7.42,7.23,7.42,7.16
7.16,7.22,7.23,6.98
6.94,6.80,7.48,6.01
6.86,7.03,7.10,6.80
7.02,6.88,7.02,6.81
6.88,7.25,7.44,6.88
7.15,7.37,7.40,7.15
7.45,7.37,7.45,7.18
7.14,7.15,7.29,7.14
7.15,7.22,7.26,7.12
7.19,7.07,7.19,7.04
7.02,7.19,7.30,6.80
7.27,7.19,7.27,7.16
7.20,7.25,7.25,7.15
7.37,7.20,7.45,7.20
7.44,7.49,7.50,7.26
7.39,7.49,7.60,7.36
7.53,7.59,7.99,7.41
7.51,7.67,7.87,7.41
7.46,7.49,7.49,7.38
7.69,7.58,7.69,7.58
7.63,7.63,7.63,7.63
7.39,7.43,7.43,7.36
7.48,7.17,7.48,7.15
7.34,7.37,7.37,7.34
7.63,7.15,7.63,7.13
7.17,7.20,7.32,7.15
7.20,7.25,7.25,7.10
7.27,7.28,7.28,7.18
7.32,7.50,7.50,7.30
7.57,7.64,7.80,7.49
7.52,7.46,7.53,7.37
7.51,7.63,7.64,7.50
7.64,7.66,7.90,7.64
7.61,7.28,7.61,7.18
7.36,7.36,7.51,7.36
7.48,7.28,7.48,7.28
7.40,7.85,7.85,7.40
7.44,7.51,7.51,7.40
7.40,7.39,7.40,7.30
7.28,7.28,7.28,7.28
7.33,7.30,7.60,7.30
7.28,7.16,7.28,7.02
7.16,7.16,7.16,7.16
7.11,7.37,7.37,7.11
7.38,7.42,7.60,7.18
7.41,7.36,7.44,6.96
7.13,7.31,7.31,7.12
7.23,7.21,7.23,7.12
7.25,7.26,7.26,7.25
7.15,7.58,7.58,7.15
7.28,7.26,7.28,7.26
7.22,7.15,7.23,7.15
7.18,7.30,7.30,7.18
7.30,7.35,7.35,7.30
7.53,7.58,7.60,7.48
