SWK,Stanley Black & Decker,NASDAQ
51.74,52.71,53.00,51.62
52.59,53.48,53.55,52.17
53.43,54.82,54.91,53.27
54.62,56.75,57.07,54.53
56.44,57.42,57.68,56.44
57.57,57.07,57.68,56.53
56.71,56.18,56.77,55.80
56.41,56.71,56.95,56.00
56.55,56.55,56.64,55.93
56.45,55.74,56.65,55.44
55.72,56.30,56.54,55.68
55.74,55.54,55.81,55.00
55.48,54.18,55.53,54.16
54.03,53.33,54.28,53.20
53.82,53.82,54.04,53.47
53.38,53.31,54.25,53.15
52.93,52.47,53.34,51.54
52.62,51.39,52.88,51.37
51.79,51.25,52.15,51.00
51.57,52.23,52.34,51.21
52.26,54.25,54.36,52.20
54.82,56.34,57.36,54.69
55.81,54.64,56.00,54.59
54.57,54.43,54.73,52.76
54.50,53.53,54.50,53.48
54.29,54.22,54.59,53.47
54.30,53.77,54.40,53.38
53.68,54.11,54.36,53.26
53.85,54.29,54.32,53.27
54.78,54.87,54.89,54.13
55.08,55.84,55.99,54.77
55.88,56.36,56.60,55.52
56.17,55.92,56.40,55.75
55.98,56.22,56.26,55.57
56.04,55.24,56.27,54.85
55.26,56.14,56.24,54.94
55.15,56.00,56.09,54.78
56.21,57.25,57.50,56.04
57.12,59.06,59.10,56.86
59.21,58.78,59.90,58.60
59.08,58.79,59.38,58.50
58.85,58.44,58.96,58.12
58.89,59.09,59.51,58.44
59.26,59.07,59.26,58.64
58.87,59.27,59.59,58.62
59.18,59.38,59.50,58.63
59.15,58.83,59.21,58.46
59.29,57.86,59.29,57.19
58.16,57.62,58.49,56.50
57.77,57.76,58.50,57.60
57.93,58.44,58.65,57.93
58.74,58.55,58.94,58.41
58.07,58.07,59.35,58.03
57.87,59.00,59.06,57.87
59.19,59.90,59.98,59.00
59.98,59.10,59.98,58.97
59.55,57.92,59.55,57.91
58.30,58.61,58.79,58.05
59.05,58.34,59.43,58.14
58.24,58.22,58.56,58.00
58.11,57.41,58.26,57.30
57.81,58.00,58.26,57.46
58.26,59.23,59.25,58.20
58.94,59.72,59.75,58.80
59.62,59.37,59.69,58.97
59.24,59.25,59.47,58.92
59.50,60.42,60.73,59.44
60.67,60.37,61.00,60.34
60.35,61.07,61.25,60.10
61.27,61.90,62.02,60.76
61.71,61.22,62.10,61.12
61.01,60.46,61.77,59.69
60.44,60.47,60.85,59.60
60.96,61.74,61.88,60.96
61.91,62.03,62.05,61.50
61.63,63.00,63.01,60.99
62.95,62.84,63.60,62.07
63.13,63.30,64.14,62.92
64.70,64.36,66.27,63.92
64.38,64.60,65.09,63.50
65.21,65.07,65.50,64.72
64.99,62.15,64.99,62.13
62.75,63.31,63.55,62.20
62.44,61.43,62.51,61.03
61.02,60.01,61.42,59.76
59.70,58.42,60.98,55.75
58.10,56.12,59.15,55.95
59.69,61.23,61.27,59.03
60.37,61.45,62.85,60.31
61.88,62.61,63.13,61.73
62.56,61.76,63.76,61.70
61.38,60.33,61.50,59.66
60.60,60.11,60.76,58.66
60.96,59.04,61.47,58.86
58.63,57.68,59.19,56.86
56.30,54.22,56.34,53.42
53.06,55.38,55.59,52.88
55.39,54.50,55.45,54.36
52.80,54.88,54.97,52.02
55.23,54.84,56.45,54.44
55.90,57.09,57.15,55.90
56.77,55.79,56.77,55.24
55.45,54.89,56.61,54.85
55.06,57.25,57.32,54.76
57.57,57.61,58.52,56.86
56.57,55.07,56.76,54.85
55.07,53.29,55.33,53.04
53.50,54.14,54.31,53.07
54.50,52.87,55.09,52.57
53.97,54.08,54.30,53.40
53.50,54.96,55.25,53.36
55.61,55.31,56.55,55.11
55.45,57.30,57.42,55.42
56.67,56.82,57.15,56.20
57.04,55.63,57.14,55.21
55.86,55.99,56.28,55.40
57.11,55.27,57.11,54.96
54.78,52.27,55.49,52.23
52.09,52.18,52.61,50.74
52.04,52.16,52.89,51.31
52.30,52.06,52.40,51.10
51.96,51.75,52.53,51.54
51.35,50.42,51.35,49.67
50.31,50.52,51.17,49.90
50.34,50.12,50.61,48.76
50.15,49.58,50.47,49.30
50.06,49.62,50.75,49.01
49.64,51.76,51.77,49.64
52.40,51.40,52.44,50.57
51.36,52.10,52.16,51.24
51.82,52.27,52.40,51.70
53.00,54.03,54.35,52.63
53.71,53.72,53.99,53.13
53.66,53.00,53.66,51.96
52.64,51.06,53.12,50.77
51.25,51.73,51.93,51.00
50.90,52.62,52.66,50.76
55.40,53.63,56.00,52.80
54.31,56.24,56.27,54.06
56.12,57.35,57.93,55.51
57.48,58.32,58.50,57.18
58.43,56.81,58.61,56.63
56.61,56.17,57.01,55.68
56.62,57.23,57.58,56.49
54.70,58.02,58.31,54.70
59.05,59.05,59.23,58.42
58.55,58.48,58.98,58.22
58.60,58.50,59.40,58.37
58.15,57.94,58.34,57.73
57.21,57.88,58.29,57.01
58.28,58.07,58.57,57.81
57.34,57.73,58.17,56.84
56.73,55.25,56.79,54.93
54.31,54.82,54.99,54.15
54.62,54.93,55.51,54.32
54.46,55.12,55.30,54.12
54.79,57.13,57.27,54.79
57.15,57.13,57.30,56.45
56.84,55.19,56.87,54.97
54.64,55.05,55.22,54.50
55.44,54.51,55.67,54.38
53.67,53.39,54.00,52.45
52.89,53.66,53.86,52.32
53.76,53.11,54.55,53.08
53.56,54.51,54.55,52.80
54.36,53.43,54.78,53.41
53.26,53.64,54.05,52.75
54.35,56.75,56.75,54.16
57.09,57.35,57.70,56.97
57.89,58.16,58.96,57.89
57.71,57.45,58.02,57.30
57.50,58.58,58.67,57.50
59.46,58.96,59.64,58.61
59.20,59.29,59.81,58.99
59.78,60.82,60.96,59.65
60.51,60.97,61.11,60.33
60.80,60.50,60.84,60.11
59.82,59.30,60.67,58.90
59.44,59.59,59.70,58.99
59.65,60.65,60.82,59.39
60.55,60.44,61.00,60.20
60.58,60.03,60.75,59.68
59.54,58.50,59.80,58.34
59.36,60.51,60.81,59.21
60.19,59.97,60.36,59.67
59.98,61.23,61.39,59.62
60.79,60.75,61.18,60.47
61.25,61.28,61.76,60.54
61.95,62.02,62.34,61.27
61.68,61.96,62.68,61.22
62.22,62.64,63.23,62.21
62.62,62.14,62.89,61.70
62.41,61.90,62.53,61.12
62.11,62.70,62.90,61.81
62.76,62.73,62.94,62.49
62.65,62.97,63.18,61.94
63.30,63.77,64.21,63.04
63.74,62.99,63.75,62.68
63.26,62.13,63.67,61.20
62.34,63.54,63.90,62.34
62.59,62.36,63.67,62.19
62.86,61.32,63.21,60.75
61.69,60.14,61.83,59.63
60.20,61.11,61.26,60.14
61.69,60.80,62.29,60.65
60.50,60.06,61.15,60.00
59.59,60.05,60.08,58.88
60.51,60.87,61.04,60.22
60.94,61.97,62.04,60.94
60.55,61.22,61.50,60.23
62.02,61.57,62.35,61.23
61.60,61.81,61.85,60.78
62.51,62.80,63.37,62.26
62.92,63.02,63.10,62.53
62.32,62.79,62.94,62.22
63.18,61.86,63.18,61.52
61.93,61.97,62.33,61.78
61.48,61.87,62.19,61.20
61.29,60.88,61.95,60.56
61.24,60.70,61.61,60.55
60.36,59.50,60.83,58.99
59.49,59.59,60.24,59.30
60.15,59.91,60.40,59.75
60.06,59.63,60.08,59.26
59.31,59.59,59.86,58.96
58.74,58.71,59.03,58.34
59.31,60.91,60.91,59.19
60.38,60.45,60.68,59.90
59.84,60.34,60.52,58.82
59.60,59.53,59.94,59.21
60.17,60.44,61.28,59.89
60.60,62.41,62.77,60.59
62.04,62.37,62.51,61.78
62.07,62.20,62.45,61.74
62.95,63.15,63.49,62.67
63.12,63.36,63.55,62.68
63.82,63.77,64.06,63.37
63.81,64.28,64.75,63.52
64.33,63.62,64.52,63.52
63.86,64.17,64.45,63.81
64.12,63.66,64.54,63.57
63.52,63.22,63.91,62.99
62.56,63.37,63.59,62.41
64.13,65.60,65.85,63.88
65.76,66.40,66.63,65.57
66.52,67.17,67.17,66.31
67.02,67.07,67.63,66.92
66.99,67.29,67.70,66.70
67.32,67.16,67.35,66.76
67.27,67.15,67.70,67.02
67.09,67.15,67.50,67.04
67.06,66.87,67.36,66.70
67.40,68.07,68.23,67.09
68.15,67.81,68.15,67.17
67.16,67.26,68.29,66.78
67.43,66.53,67.61,66.40
66.37,65.50,67.23,65.37
65.25,65.75,65.98,64.83
66.13,67.77,68.13,66.00
68.08,68.03,68.30,67.56
68.05,67.93,68.46,67.57
67.69,68.15,68.49,67.28
68.12,68.10,68.27,67.68
67.98,65.96,68.16,65.75
65.91,65.91,66.34,65.16
66.56,66.46,67.72,66.37
66.43,66.07,66.43,65.43
65.97,66.38,66.99,65.58
66.66,66.95,68.39,66.33
69.33,72.62,73.49,68.59
71.69,72.72,72.81,71.69
71.97,72.68,73.11,71.64
73.04,72.88,73.80,72.77
72.81,72.84,73.47,72.34
72.82,71.93,73.12,71.83
72.15,72.52,72.59,71.66
72.80,72.91,73.21,72.45
72.77,73.40,73.43,72.53
72.98,72.84,73.37,72.50
72.54,73.32,73.49,72.51
73.11,74.09,74.15,72.49
73.31,73.48,74.05,73.20
73.09,73.25,73.37,72.77
73.79,73.93,74.37,73.52
74.08,74.95,75.00,73.89
75.22,76.09,76.80,75.15
75.45,74.15,75.89,74.00
73.72,72.55,74.25,71.52
72.74,74.23,74.36,72.14
74.66,75.11,75.64,74.31
75.40,75.83,76.13,75.30
76.01,74.36,76.45,74.13
74.28,74.51,75.10,74.08
75.00,75.69,75.95,74.99
75.96,75.86,76.76,74.74
76.00,74.94,76.85,74.62
74.94,77.22,77.27,74.94
76.90,76.88,77.38,76.21
76.01,75.36,76.25,75.02
74.72,75.55,75.80,74.51
75.10,75.00,75.44,73.81
72.97,74.23,74.69,72.43
74.11,72.71,74.69,72.22
73.89,73.46,74.44,73.18
74.46,74.47,74.75,74.10
75.50,75.55,76.45,75.18
75.61,74.81,75.62,74.74
74.63,75.37,75.73,74.27
76.13,75.90,76.13,75.07
76.21,76.83,77.44,75.99
76.87,75.86,77.04,75.83
75.88,76.77,76.77,75.18
77.27,76.80,77.31,76.72
76.70,76.60,76.92,76.06
77.33,76.68,77.47,76.42
76.68,75.65,76.83,75.25
75.34,75.41,76.10,74.92
75.65,75.46,76.18,75.06
75.42,75.59,75.95,75.01
76.09,74.71,76.10,74.46
74.85,74.84,75.24,74.39
74.25,73.96,74.71,73.31
74.45,74.89,75.31,74.41
74.40,75.88,75.99,74.35
76.04,77.04,77.39,75.89
76.11,75.63,76.31,74.97
75.80,76.00,76.36,75.59
76.93,76.60,77.20,76.06
76.86,76.79,77.28,76.51
76.69,76.60,76.79,76.00
76.76,77.29,78.19,76.54
75.80,75.32,75.97,73.43
75.39,74.55,75.81,74.35
74.53,72.65,74.79,72.06
73.11,72.64,73.14,72.40
72.57,71.62,72.84,71.12
71.81,72.28,72.80,71.36
71.90,74.00,74.70,71.75
74.84,73.59,75.62,73.29
73.50,73.83,74.34,73.02
73.94,75.62,75.81,73.94
75.64,75.06,75.69,74.37
74.90,74.80,75.27,74.14
74.98,74.06,75.02,73.64
73.58,73.63,74.77,73.43
73.47,73.31,73.78,72.59
73.55,75.36,75.41,73.33
75.63,75.84,76.39,75.23
75.72,75.37,75.79,75.06
74.32,73.41,74.32,73.03
73.54,71.67,73.67,71.55
71.39,72.11,72.34,71.03
71.96,73.97,74.13,71.67
73.87,73.37,74.43,73.03
74.02,73.88,74.48,73.26
73.74,70.45,73.81,70.25
70.77,70.80,71.55,70.39
69.81,68.93,69.81,68.34
68.76,68.60,69.25,68.34
68.94,69.65,70.15,68.13
69.28,68.48,69.55,68.41
68.47,68.86,69.28,68.12
68.63,67.14,68.73,66.94
67.56,66.72,67.89,66.53
67.27,68.69,68.85,67.21
67.91,67.73,68.50,67.68
67.45,68.22,68.64,66.91
68.87,68.29,69.33,68.15
67.87,68.83,68.93,67.21
69.33,69.94,70.19,69.25
69.95,69.63,70.04,69.37
68.71,71.06,71.07,68.52
70.94,69.28,71.12,69.10
70.94,69.50,71.01,69.29
69.72,69.59,70.05,69.47
69.98,70.25,70.29,69.31
70.54,72.05,72.08,70.47
72.17,73.67,74.53,71.80
73.67,73.90,74.19,73.21
73.72,74.06,74.20,73.12
74.90,75.33,75.67,74.90
74.34,74.49,74.57,73.83
73.73,72.44,73.77,72.09
72.23,71.15,72.38,71.03
71.33,71.10,71.80,70.35
71.27,68.99,71.30,68.83
69.28,69.69,69.74,68.25
69.52,68.61,70.03,67.94
68.93,67.94,69.96,67.61
68.50,69.28,69.44,67.95
69.77,69.00,70.16,68.92
69.03,70.10,70.11,68.60
69.24,68.90,70.67,68.67
68.65,67.78,68.92,67.63
67.27,65.28,67.52,65.23
65.43,64.85,66.97,64.76
64.05,65.77,66.18,63.91
66.56,65.43,66.60,64.55
64.87,63.37,65.48,63.36
63.50,64.69,65.03,61.93
63.68,62.12,64.34,62.10
63.07,61.59,63.33,60.04
60.10,56.09,61.07,56.09
57.09,59.79,59.93,55.80
57.71,56.50,58.57,56.35
57.14,59.89,60.69,56.76
60.42,61.26,61.56,59.99
61.86,62.85,63.04,61.76
61.88,61.02,62.71,60.13
61.57,60.72,61.99,60.54
58.74,56.75,59.15,56.33
56.01,56.12,58.40,55.87
57.45,55.99,57.65,55.81
56.34,58.77,58.81,55.83
58.57,59.65,59.78,58.07
