NURO,NeuroMetrix,NASDAQ
2.45,2.47,2.50,2.41
2.44,2.26,2.75,2.23
2.31,2.22,2.33,2.16
2.21,2.21,2.33,2.20
2.21,2.25,2.30,2.21
2.36,2.19,2.36,2.15
2.16,2.15,2.25,2.15
2.23,2.15,2.23,2.14
2.13,2.14,2.17,2.13
2.12,2.10,2.14,2.09
2.10,2.07,2.13,2.02
2.05,2.02,2.07,2.02
2.05,2.08,2.11,2.02
2.12,2.01,2.12,2.01
2.05,2.09,2.13,2.05
2.05,2.07,2.11,2.05
2.05,2.00,2.06,2.00
2.03,2.06,2.10,1.90
2.10,2.20,2.20,2.05
2.24,2.17,2.24,2.17
2.13,2.19,2.20,2.10
2.16,2.10,2.23,2.10
2.10,2.02,2.10,2.01
2.01,2.09,2.14,2.01
2.15,2.19,2.21,2.10
2.10,2.24,2.30,2.10
2.23,2.31,2.31,2.23
2.26,2.14,2.30,2.06
2.05,2.06,2.12,2.05
2.12,2.05,2.12,1.96
2.05,2.08,2.08,2.05
2.02,2.00,2.02,1.94
1.94,1.95,1.99,1.93
1.95,1.95,1.95,1.93
1.91,1.93,1.97,1.91
1.90,1.88,1.94,1.85
1.88,1.89,1.90,1.75
1.89,2.07,2.65,1.80
2.10,2.09,2.10,2.05
2.05,2.10,2.10,2.05
2.07,2.08,2.08,2.00
2.08,2.09,2.09,2.08
2.01,1.98,2.07,1.95
2.04,2.09,2.22,2.02
2.06,2.07,2.11,2.06
2.08,2.08,2.19,2.07
2.07,2.07,2.15,2.03
2.06,2.05,2.17,2.05
2.17,2.07,2.18,2.03
2.01,2.03,2.07,2.00
2.00,2.09,2.17,2.00
2.12,2.09,2.16,2.07
1.98,1.98,2.14,1.98
2.04,2.08,2.08,2.00
2.08,2.00,2.08,1.99
2.00,1.98,2.03,1.95
2.00,2.01,2.03,1.99
2.00,1.96,2.00,1.85
1.98,1.98,2.00,1.97
1.98,1.94,1.98,1.90
1.97,1.91,1.97,1.80
1.90,1.80,1.90,1.80
1.78,1.69,1.82,1.68
1.63,1.68,1.78,1.60
1.72,1.72,1.74,1.68
1.75,1.77,1.82,1.75
1.76,1.76,1.90,1.72
1.76,1.78,1.81,1.76
1.87,1.88,1.90,1.85
1.89,1.79,1.89,1.75
1.77,1.77,1.80,1.75
1.79,1.73,1.79,1.71
1.76,1.77,1.80,1.71
1.79,1.77,1.80,1.76
1.77,1.67,1.77,1.65
1.66,1.65,1.69,1.65
1.67,1.64,1.67,1.58
1.66,1.62,1.70,1.57
1.63,1.64,1.67,1.62
1.65,1.66,1.68,1.64
1.66,1.65,1.69,1.65
1.65,1.78,1.78,1.65
1.75,1.74,1.75,1.71
1.69,1.67,1.70,1.67
1.74,1.70,1.74,1.63
1.73,1.66,1.73,1.65
1.66,1.59,1.67,1.54
1.67,1.71,1.72,1.55
1.72,1.52,1.72,1.45
1.52,1.45,1.52,1.45
1.47,1.44,1.50,1.40
1.41,1.32,1.41,1.29
