KELYB,Kelly Services,NASDAQ
12.83,12.83,12.83,12.70
14.28,13.24,14.28,13.24
13.13,12.93,13.13,12.93
12.98,12.98,12.98,12.98
14.24,14.24,14.24,14.24
13.11,13.18,13.18,13.11
13.18,13.18,13.18,13.18
10.66,13.18,13.18,10.66
13.18,13.18,13.18,13.18
13.18,13.18,13.18,13.18
13.18,13.18,13.18,13.18
13.18,13.93,13.93,13.18
13.71,13.61,13.71,13.61
13.18,14.00,14.00,13.18
13.85,13.85,13.85,13.85
13.85,13.85,13.85,13.85
13.85,13.85,13.85,13.85
13.25,13.25,13.25,13.25
13.25,13.25,13.25,13.25
13.34,13.34,13.34,13.34
13.34,13.34,13.34,13.34
13.34,13.34,13.34,13.34
13.95,13.95,13.95,13.95
14.99,16.00,16.00,14.99
16.75,16.65,16.95,16.65
16.73,16.73,16.73,16.73
16.73,16.73,16.73,16.73
16.11,15.47,16.14,15.26
15.47,15.47,15.47,15.47
15.38,13.60,15.38,13.60
15.25,16.00,16.00,15.25
16.00,16.00,16.00,16.00
16.82,16.82,16.82,16.82
17.00,17.20,17.20,17.00
15.26,15.26,15.26,15.26
15.26,15.26,15.26,15.26
15.26,15.26,15.26,15.26
15.26,15.26,15.26,15.26
15.26,15.26,15.26,15.26
15.98,16.42,16.43,15.87
16.42,16.42,16.42,16.42
16.42,16.42,16.42,16.42
16.42,16.42,16.42,16.42
16.63,16.23,16.63,16.23
16.23,16.23,16.23,16.23
17.48,17.50,17.50,17.48
17.50,17.50,17.50,17.50
17.50,17.50,17.50,17.50
17.23,17.23,17.23,17.23
17.23,17.23,17.23,17.23
17.23,17.23,17.23,17.23
17.36,16.61,17.56,16.61
16.68,16.68,16.68,16.68
16.62,16.62,16.62,16.62
16.62,16.62,16.62,16.62
16.62,16.62,16.62,16.62
16.62,16.62,16.62,16.62
16.62,16.62,16.62,16.62
16.62,16.62,16.62,16.62
16.62,16.62,16.62,16.62
16.62,16.62,16.62,16.62
16.50,16.19,16.57,16.19
16.69,16.90,16.90,16.69
17.35,17.35,17.35,17.35
17.35,17.35,17.35,17.35
17.35,17.35,17.35,17.35
17.35,17.35,17.35,17.35
17.35,17.35,17.35,17.35
17.84,17.27,17.84,17.27
17.82,17.82,17.82,17.82
17.97,17.97,17.97,17.97
18.18,18.18,18.18,18.18
18.18,18.18,18.18,18.18
18.13,18.12,18.13,18.12
18.12,18.12,18.12,18.12
18.12,18.12,18.12,18.12
18.54,18.54,18.54,18.54
18.54,18.54,18.54,18.54
18.54,18.54,18.54,18.54
18.54,18.54,18.54,18.54
18.54,18.54,18.54,18.54
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
17.00,17.00,17.00,17.00
16.32,16.02,16.32,16.02
16.02,16.02,16.02,16.02
14.31,14.78,14.78,14.31
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
15.00,15.00,15.00,15.00
14.46,14.44,14.46,14.44
14.44,14.44,14.44,14.44
14.44,14.44,14.44,14.44
14.44,14.44,14.44,14.44
13.24,13.24,13.24,13.24
13.24,13.24,13.24,13.24
13.24,13.24,13.24,13.24
13.24,13.24,13.24,13.24
13.24,13.24,13.24,13.24
13.24,13.24,13.24,13.24
13.24,13.24,13.24,13.24
13.24,13.24,13.24,13.24
13.16,13.16,13.16,13.16
13.16,13.16,13.16,13.16
13.16,13.16,13.16,13.16
13.16,13.16,13.16,13.16
13.16,13.16,13.16,13.16
13.16,13.16,13.16,13.16
13.16,13.16,13.16,13.16
13.16,13.16,13.16,13.16
13.16,13.16,13.16,13.16
14.15,14.15,14.15,14.15
14.15,14.15,14.15,14.15
14.15,14.15,14.15,14.15
14.15,14.15,14.15,14.15
14.15,14.15,14.15,14.15
14.15,14.15,14.15,14.15
14.15,14.15,14.15,14.15
14.15,14.15,14.15,14.15
14.15,14.15,14.15,14.15
14.15,14.15,14.15,14.15
14.15,14.15,14.15,14.15
14.15,14.15,14.15,14.15
14.15,14.15,14.15,14.15
14.15,14.15,14.15,14.15
