GCBC,Greene County Bancorp,NASDAQ
15.50,15.50,15.50,15.50
15.00,14.75,15.00,14.75
15.46,15.46,15.46,15.46
15.00,15.00,15.00,15.00
15.25,15.25,15.25,15.25
15.25,15.25,15.25,15.25
15.25,15.25,15.25,15.25
15.25,15.25,15.25,15.25
15.36,15.50,15.50,15.36
15.00,15.00,15.00,15.00
14.76,14.76,14.76,14.76
14.98,15.50,15.50,14.98
15.50,15.50,15.50,15.50
15.50,15.50,15.50,15.50
14.80,14.70,14.80,14.62
15.43,15.50,15.50,15.10
15.50,15.50,15.50,15.50
15.50,15.50,15.50,15.50
15.48,15.40,15.48,15.40
15.40,15.40,15.40,15.40
15.10,15.10,15.10,15.10
15.49,15.20,15.50,15.20
15.72,15.10,15.72,15.10
15.01,14.75,15.71,14.69
15.55,15.55,15.55,15.55
15.55,15.55,15.55,15.55
15.55,15.55,15.55,15.55
14.71,15.29,15.29,14.71
14.50,14.50,14.50,14.50
14.99,14.99,14.99,14.99
14.70,14.70,14.70,14.70
14.70,14.70,14.70,14.70
14.80,15.01,15.01,14.80
15.01,15.01,15.01,15.01
15.01,15.01,15.01,15.01
15.01,15.01,15.01,15.01
14.98,14.98,14.98,14.98
15.00,15.00,15.00,15.00
14.80,14.99,14.99,14.80
15.00,15.01,15.01,15.00
15.01,15.01,15.01,15.01
14.80,15.01,15.01,14.80
14.80,14.80,14.80,14.80
14.80,14.70,14.80,14.70
14.99,14.99,14.99,14.99
14.99,14.99,14.99,14.99
15.00,14.80,15.00,14.80
14.80,14.80,14.80,14.80
14.81,14.80,14.81,14.80
14.80,14.80,14.80,14.80
14.80,14.80,14.80,14.80
14.80,14.80,14.80,14.80
14.80,14.80,14.80,14.80
14.50,14.50,14.50,14.50
14.60,14.52,14.60,14.50
14.46,14.46,14.46,14.46
14.46,14.46,14.46,14.46
14.99,15.00,15.00,14.99
15.00,15.00,15.00,15.00
14.52,15.00,15.00,14.52
14.52,14.51,14.52,14.50
14.99,14.98,14.99,14.97
14.98,14.98,14.98,14.98
15.00,15.00,15.00,15.00
14.55,14.53,14.55,14.51
14.53,14.53,14.53,14.53
14.52,14.50,14.52,14.50
14.50,14.50,14.50,14.50
14.99,14.99,15.25,14.99
14.99,14.99,14.99,14.99
14.90,15.00,15.00,14.90
15.25,15.25,15.25,15.25
15.25,15.25,15.25,15.25
15.25,15.25,15.25,15.25
14.90,14.90,14.91,14.90
14.90,14.90,14.90,14.90
14.53,14.52,14.53,14.52
15.00,15.00,15.00,15.00
14.62,14.54,14.75,14.54
14.97,15.00,15.00,14.97
15.00,15.00,15.00,15.00
15.10,15.30,15.30,15.10
15.42,15.01,15.42,15.01
15.50,16.00,16.00,15.50
16.00,16.00,16.00,16.00
14.72,14.63,14.72,14.51
14.63,14.63,14.63,14.63
15.93,15.00,16.00,15.00
15.00,15.00,15.00,15.00
15.92,17.30,18.00,15.92
16.99,17.20,17.20,15.80
17.20,17.20,17.20,17.20
16.70,16.70,16.70,16.70
16.70,16.70,16.70,16.70
16.70,16.70,16.70,16.70
16.70,16.70,16.70,16.70
16.70,16.70,16.70,16.70
16.69,16.07,16.69,16.07
16.65,16.12,16.65,16.12
15.76,15.50,16.10,15.50
16.62,15.81,16.62,15.81
15.81,15.81,15.81,15.81
15.81,15.81,15.81,15.81
17.19,18.00,18.00,16.90
18.49,17.21,18.49,17.10
17.90,17.90,17.90,17.90
17.88,17.50,17.88,17.29
17.72,17.45,17.72,17.45
17.45,17.10,17.45,17.10
17.05,16.91,17.05,16.91
18.50,18.31,18.50,18.31
18.38,16.51,18.38,16.30
16.51,17.14,18.46,16.51
18.23,18.23,18.23,18.23
18.23,18.23,18.23,18.23
17.00,17.00,17.00,17.00
16.15,16.85,16.85,16.15
17.22,17.22,17.22,17.22
17.25,16.00,17.25,16.00
16.00,16.00,16.47,16.00
16.47,16.47,16.47,16.47
16.47,16.47,16.47,16.47
16.00,16.00,16.00,15.60
16.00,16.00,16.00,16.00
15.60,15.01,15.60,15.01
16.94,16.24,16.94,16.24
16.83,15.19,16.83,15.19
16.44,15.94,16.44,15.94
15.24,15.24,15.24,15.24
16.66,15.51,16.66,15.34
15.68,15.58,15.70,15.58
15.58,15.58,15.58,15.58
16.30,16.30,16.30,16.30
16.25,17.24,17.24,16.25
17.24,17.24,17.24,17.24
17.24,17.24,17.24,17.24
16.79,17.25,17.25,16.79
17.25,17.25,17.25,17.25
17.25,17.25,17.25,17.25
17.01,17.25,17.25,17.01
17.25,17.25,17.25,17.25
