CAT,Caterpillar,NASDAQ
57.65,58.55,59.19,57.51
58.55,59.25,59.44,58.23
59.18,59.43,59.93,59.05
59.30,59.67,59.90,58.65
59.25,60.34,60.37,59.25
60.95,64.13,64.42,60.85
63.01,62.24,63.16,61.18
62.10,62.33,62.78,61.38
62.10,61.98,62.84,61.75
61.45,60.12,61.67,60.01
59.76,60.93,61.20,59.35
60.17,59.76,60.43,59.31
59.50,56.85,59.90,56.70
56.58,54.25,57.54,54.02
55.16,55.14,56.19,54.83
54.99,55.85,56.94,54.60
52.96,53.44,53.84,51.03
53.82,51.86,53.82,51.20
52.78,52.24,53.78,52.00
52.82,52.94,53.50,52.50
53.48,53.55,53.72,52.62
53.20,53.39,54.00,53.10
52.80,51.40,52.86,51.38
51.21,51.75,51.98,50.69
51.64,50.78,52.15,50.50
52.70,53.53,54.25,52.55
53.65,53.15,54.05,52.45
53.10,56.15,56.27,52.67
55.09,56.20,56.55,54.61
56.77,57.12,57.24,56.19
58.05,57.50,58.35,57.22
57.15,57.81,58.05,56.85
57.59,58.25,58.48,57.31
58.73,58.03,58.97,58.00
57.89,56.66,58.38,56.22
56.67,56.96,57.46,56.46
55.33,56.79,57.02,54.21
56.94,57.05,57.24,56.10
57.33,57.85,58.39,57.25
58.28,58.15,58.82,58.02
58.45,58.57,59.93,58.39
58.79,58.45,59.00,57.81
59.41,59.23,59.58,58.90
59.47,58.91,59.49,58.57
58.46,59.18,59.72,58.40
59.11,58.78,59.50,58.43
58.79,58.90,58.98,57.92
59.53,60.36,60.49,59.35
60.04,59.47,60.25,58.38
59.65,59.45,59.68,58.84
59.65,60.22,60.50,59.49
59.61,59.77,60.39,59.34
60.11,59.37,60.31,58.95
58.70,59.95,60.27,58.66
60.10,62.41,62.51,60.01
61.96,62.06,62.54,61.42
62.68,62.14,63.71,62.05
62.40,62.44,63.18,61.99
62.76,63.48,63.60,62.76
63.38,63.16,63.63,62.81
62.76,62.85,63.50,62.63
63.29,63.99,64.20,63.29
64.36,64.99,65.00,64.20
64.81,65.29,65.47,64.57
65.25,64.47,65.38,64.00
64.05,64.48,64.65,63.55
64.90,65.27,65.52,64.82
65.93,66.73,67.00,65.76
