TISA,Top Image Systems,NASDAQ
0.76,0.76,0.76,0.76
0.74,0.74,0.74,0.74
0.74,0.75,0.75,0.74
0.67,0.75,0.75,0.67
0.76,0.75,0.76,0.72
0.76,0.82,0.82,0.76
0.67,0.80,0.80,0.65
0.80,0.84,0.94,0.80
0.84,0.89,0.89,0.82
0.88,0.89,0.89,0.84
0.91,0.98,0.98,0.89
0.98,1.02,1.08,0.91
1.04,1.09,1.14,1.04
1.14,1.12,1.15,1.11
1.19,1.13,1.19,1.13
1.14,1.16,1.16,1.14
1.19,1.15,1.19,1.13
1.12,1.13,1.20,1.12
1.12,1.14,1.19,1.12
1.13,1.10,1.13,1.06
1.10,1.08,1.10,1.04
1.08,1.08,1.10,1.08
1.09,1.09,1.10,1.04
1.09,1.09,1.09,1.06
1.10,1.06,1.10,1.01
1.07,1.09,1.10,1.03
1.06,1.09,1.10,1.02
1.07,1.10,1.10,1.05
1.10,1.10,1.10,1.10
1.10,1.08,1.10,1.08
1.10,1.05,1.10,1.02
1.10,1.10,1.10,1.10
1.09,1.10,1.10,1.07
1.10,1.12,1.12,1.08
1.08,1.09,1.09,1.08
1.09,1.09,1.09,1.09
1.07,1.08,1.11,1.06
1.09,1.10,1.10,1.09
1.11,1.12,1.12,1.03
1.13,1.19,1.20,1.13
0.97,1.11,1.14,0.97
1.06,1.13,1.13,1.06
1.12,1.09,1.13,1.06
1.06,1.10,1.10,1.04
1.07,1.10,1.10,1.07
1.06,1.10,1.12,1.06
1.06,1.11,1.12,1.03
1.08,1.08,1.13,1.02
1.07,1.09,1.09,1.06
0.93,1.05,1.12,0.93
0.96,1.09,1.09,0.95
0.96,1.09,1.09,0.95
1.09,1.09,1.09,1.09
1.09,1.06,1.09,1.00
1.06,1.06,1.06,1.06
0.97,1.00,1.08,0.97
0.98,1.04,1.04,0.98
1.04,1.04,1.04,1.04
1.03,1.04,1.04,1.03
1.02,0.98,1.03,0.96
1.01,1.02,1.02,0.96
1.02,1.02,1.02,1.02
1.01,1.03,1.03,1.01
1.02,1.03,1.03,1.02
1.03,1.03,1.03,1.03
1.01,1.03,1.03,1.01
1.02,1.03,1.03,1.02
0.99,1.01,1.03,0.98
1.03,0.98,1.03,0.98
0.99,0.99,1.04,0.98
0.99,0.99,1.00,0.99
0.98,0.98,0.99,0.95
0.96,0.95,1.01,0.95
0.95,0.92,0.95,0.92
0.92,0.97,0.97,0.92
0.96,0.92,0.96,0.90
0.92,1.03,1.03,0.90
1.00,0.96,1.02,0.86
0.85,0.95,0.95,0.85
0.95,0.95,0.95,0.95
0.93,0.95,0.95,0.93
0.88,0.96,0.96,0.88
0.96,0.92,0.96,0.91
0.88,0.91,0.91,0.80
0.85,0.91,0.91,0.85
0.85,0.90,0.91,0.84
0.73,0.89,0.90,0.73
0.89,0.94,0.97,0.89
0.82,0.92,0.92,0.82
0.89,0.84,0.89,0.80
0.84,0.85,0.85,0.84
0.85,0.85,0.85,0.85
0.85,0.85,0.85,0.85
0.72,0.92,0.94,0.72
0.92,0.92,0.92,0.92
0.85,0.80,0.85,0.65
0.80,0.80,0.84,0.80
0.79,0.80,0.80,0.79
0.80,0.79,0.80,0.79
0.80,0.94,1.04,0.80
0.94,0.93,1.02,0.93
0.83,0.90,0.94,0.78
0.88,0.88,0.88,0.88
0.88,0.88,0.88,0.88
0.89,0.89,0.89,0.88
0.88,0.76,0.88,0.76
0.73,0.83,0.85,0.73
0.74,0.77,0.77,0.74
0.79,0.79,0.79,0.79
0.79,0.81,0.81,0.79
0.74,0.80,0.80,0.74
0.74,0.82,0.82,0.74
0.82,0.82,0.82,0.82
1.04,0.96,1.04,0.96
0.95,0.95,0.95,0.83
0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95
0.90,0.89,0.90,0.77
0.89,0.89,0.89,0.89
