GLUU,Glu Mobile Inc. - Common Stock,NASDAQ
1.15,1.21,1.23,1.14
1.21,1.27,1.45,1.20
1.35,1.27,1.35,1.25
1.29,1.31,1.37,1.26
1.30,1.45,1.45,1.30
1.46,1.43,1.50,1.43
1.40,1.38,1.43,1.30
1.36,1.36,1.38,1.35
1.36,1.43,1.45,1.36
1.54,1.44,1.54,1.37
1.45,1.38,1.45,1.34
1.37,1.44,1.44,1.36
1.43,1.47,1.47,1.37
1.46,1.44,1.47,1.40
1.45,1.45,1.48,1.40
1.42,1.40,1.47,1.36
1.40,1.43,1.44,1.39
1.44,1.42,1.44,1.42
1.44,1.46,1.49,1.41
1.48,1.40,1.50,1.40
1.37,1.40,1.42,1.37
1.43,1.40,1.43,1.40
1.40,1.40,1.42,1.39
1.40,1.30,1.42,1.19
1.28,1.32,1.34,1.25
1.30,1.32,1.33,1.20
1.34,1.25,1.34,1.20
1.13,1.06,1.24,1.01
1.03,1.05,1.06,0.98
1.02,1.08,1.10,1.00
1.08,1.05,1.08,1.03
1.03,1.04,1.07,1.00
1.03,1.03,1.04,1.00
1.00,0.97,1.03,0.97
0.98,0.92,0.98,0.88
0.95,0.93,0.96,0.88
0.89,0.92,0.92,0.86
0.90,0.92,0.95,0.90
0.94,0.92,0.96,0.92
0.95,0.91,0.95,0.90
0.89,0.85,0.92,0.85
0.85,0.89,0.90,0.85
0.92,0.91,0.92,0.86
0.88,0.93,0.93,0.88
0.95,0.98,0.98,0.93
0.98,1.03,1.04,0.98
1.03,1.02,1.04,0.95
1.01,0.97,1.01,0.97
0.95,0.96,1.00,0.95
0.97,0.98,0.99,0.95
0.99,0.97,0.99,0.97
0.98,1.00,1.00,0.98
1.00,1.00,1.01,1.00
1.00,1.00,1.00,0.97
1.00,0.99,1.01,0.99
0.99,1.00,1.01,0.98
1.00,1.01,1.01,0.99
1.00,1.00,1.05,1.00
1.02,1.00,1.02,1.00
1.01,0.99,1.01,0.99
0.99,0.98,1.00,0.94
0.98,1.00,1.01,0.90
1.02,1.00,1.02,0.99
1.00,1.04,1.05,0.99
1.02,1.05,1.06,1.02
1.04,0.99,1.05,0.97
0.99,1.00,1.02,0.99
1.03,1.17,1.35,1.02
1.11,1.19,1.20,1.10
1.21,1.19,1.21,1.16
1.16,1.11,1.19,1.10
1.19,1.03,1.19,1.00
1.03,1.01,1.05,1.01
1.02,1.01,1.05,0.99
1.00,1.04,1.04,0.95
1.07,1.09,1.19,1.03
1.08,1.43,1.45,1.04
1.35,1.66,1.69,1.30
1.51,1.55,1.66,1.45
1.46,1.40,1.62,1.40
1.39,1.28,1.49,1.28
1.30,1.55,1.56,1.30
1.59,1.44,1.60,1.43
1.43,1.39,1.45,1.32
1.43,1.35,1.43,1.26
1.35,1.23,1.45,1.08
1.14,1.24,1.25,1.14
1.34,1.27,1.34,1.23
1.31,1.38,1.40,1.31
1.38,1.37,1.45,1.36
1.38,1.42,1.42,1.37
1.40,1.37,1.40,1.30
1.34,1.32,1.42,1.24
1.32,1.35,1.38,1.32
1.33,1.29,1.33,1.22
1.27,1.17,1.28,1.17
1.16,1.18,1.26,1.14
1.20,1.20,1.25,1.16
1.18,1.14,1.25,1.12
1.24,1.32,1.32,1.16
1.29,1.28,1.32,1.26
1.27,1.26,1.35,1.25
1.50,1.39,1.50,1.26
1.37,1.41,1.49,1.31
1.33,1.51,1.52,1.33
1.47,1.55,1.60,1.39
1.32,1.25,1.54,1.21
1.29,1.32,1.36,1.25
1.37,1.37,1.44,1.30
1.40,1.40,1.45,1.26
1.45,1.40,1.45,1.32
1.37,1.46,1.46,1.30
1.46,1.35,1.48,1.34
1.36,1.31,1.40,1.28
1.34,1.26,1.36,1.26
1.26,1.23,1.33,1.23
1.24,1.25,1.28,1.22
1.27,1.33,1.35,1.25
1.30,1.36,1.38,1.22
1.31,1.22,1.31,1.22
1.28,1.28,1.37,1.28
1.32,1.28,1.36,1.20
1.26,1.28,1.34,1.25
1.31,1.33,1.36,1.28
1.38,1.28,1.38,1.28
1.27,1.30,1.36,1.27
1.24,1.20,1.30,1.20
1.12,1.09,1.12,1.03
1.14,1.11,1.14,1.09
1.12,1.18,1.18,1.02
1.16,1.16,1.18,1.09
1.16,1.14,1.18,1.12
1.15,1.23,1.23,1.08
1.21,1.30,1.34,1.16
1.32,1.29,1.38,1.23
1.31,1.35,1.35,1.31
1.30,1.31,1.40,1.29
1.35,1.31,1.35,1.31
1.34,1.28,1.34,1.25
1.28,1.33,1.35,1.25
1.30,1.37,1.37,1.30
1.37,1.40,1.40,1.34
1.40,1.33,1.40,1.32
1.35,1.30,1.35,1.30
1.34,1.30,1.35,1.29
1.31,1.26,1.31,1.24
1.24,1.25,1.30,1.24
1.25,1.28,1.30,1.24
1.27,1.23,1.27,1.20
1.21,1.26,1.26,1.21
1.24,1.19,1.27,1.19
1.25,1.16,1.25,1.15
1.19,1.14,1.25,1.10
1.15,1.11,1.15,1.10
1.10,1.17,1.17,1.10
1.17,1.20,1.23,1.11
1.25,1.22,1.25,1.18
1.18,1.15,1.23,1.11
1.18,1.18,1.21,1.13
1.17,1.18,1.18,1.11
1.18,1.16,1.23,1.11
1.13,1.15,1.15,1.08
1.17,1.15,1.17,1.12
1.17,1.14,1.18,1.05
1.14,1.09,1.14,1.08
1.09,1.13,1.13,1.09
1.16,1.13,1.21,1.07
1.15,1.16,1.18,1.12
1.17,1.18,1.22,1.12
1.15,1.16,1.19,1.13
1.18,1.11,1.18,1.10
1.11,1.12,1.14,1.10
1.14,1.16,1.19,1.12
1.16,1.14,1.19,1.12
1.17,1.20,1.20,1.14
1.18,1.17,1.19,1.15
1.18,1.16,1.21,1.15
1.15,1.21,1.23,1.15
1.20,1.25,1.28,1.17
1.28,1.17,1.28,1.15
1.17,1.16,1.23,1.15
1.16,1.16,1.22,1.14
1.15,1.10,1.20,1.10
1.20,1.24,1.24,1.13
1.25,1.32,1.34,1.24
1.33,1.34,1.40,1.27
1.40,1.45,1.45,1.38
1.41,1.41,1.50,1.39
1.39,1.39,1.44,1.34
1.40,1.39,1.42,1.37
1.39,1.44,1.45,1.38
1.44,1.43,1.45,1.40
1.43,1.40,1.43,1.40
1.42,1.43,1.43,1.39
1.39,1.42,1.43,1.39
1.43,1.48,1.49,1.39
1.50,1.55,1.55,1.48
1.55,1.61,1.65,1.55
1.61,1.55,1.63,1.54
1.59,1.65,1.65,1.54
1.58,1.65,1.65,1.58
1.68,1.68,1.69,1.66
1.67,1.77,1.78,1.67
1.78,1.76,1.83,1.69
1.72,1.67,1.79,1.67
1.65,1.70,1.74,1.54
1.70,1.70,1.72,1.66
1.73,1.71,1.73,1.65
1.73,1.71,1.74,1.65
1.71,1.71,1.75,1.69
1.71,1.60,1.73,1.57
1.69,1.63,1.69,1.54
1.70,1.74,1.80,1.67
1.70,1.73,1.75,1.66
1.75,1.69,1.75,1.61
1.68,1.83,1.85,1.66
1.80,2.24,2.28,1.80
2.20,2.41,2.75,2.11
2.34,2.32,2.40,2.17
2.35,2.26,2.46,2.13
2.19,2.10,2.23,2.01
2.20,2.32,2.39,2.17
2.37,2.30,2.58,2.18
2.26,2.22,2.35,2.20
2.18,2.27,2.28,2.11
2.21,2.18,2.31,2.10
2.16,2.21,2.23,2.11
2.23,2.35,2.35,2.20
2.40,2.25,2.41,2.25
2.07,2.21,2.23,2.07
2.18,2.20,2.30,2.13
2.21,2.07,2.21,2.05
2.02,2.06,2.08,1.98
2.03,2.08,2.14,2.01
2.10,2.06,2.18,2.03
2.07,2.04,2.13,2.01
2.05,2.02,2.10,2.01
2.05,1.92,2.05,1.86
1.92,1.90,2.00,1.86
1.87,1.90,1.95,1.85
2.00,1.95,2.05,1.94
1.95,1.93,1.97,1.84
1.92,1.99,1.99,1.90
2.03,1.94,2.03,1.92
1.98,2.04,2.05,1.94
2.04,2.07,2.10,2.00
2.07,2.09,2.10,2.04
2.07,2.02,2.10,1.97
1.99,2.10,2.15,1.95
2.13,2.19,2.28,2.13
2.18,2.07,2.21,2.05
2.05,2.07,2.13,1.92
2.08,2.03,2.14,1.92
2.06,2.22,2.24,2.05
2.30,2.68,2.80,2.30
2.77,2.72,2.90,2.63
2.76,2.62,2.77,2.51
2.60,2.34,2.68,2.32
2.24,2.16,2.33,2.05
2.18,2.24,2.29,2.14
2.29,2.16,2.29,2.16
2.23,2.28,2.33,2.12
2.33,2.25,2.41,2.25
2.31,2.06,2.37,1.98
2.14,2.09,2.14,2.01
2.18,2.17,2.27,2.15
2.35,2.31,2.35,2.25
2.35,2.80,2.81,2.31
2.75,2.67,2.88,2.60
2.75,3.11,3.15,2.68
3.23,2.94,3.35,2.87
3.00,3.15,3.23,2.99
3.21,2.99,3.25,2.95
3.00,3.15,3.33,2.95
3.18,3.19,3.30,3.05
3.15,3.35,3.35,3.10
3.53,3.47,3.73,3.45
3.13,3.39,3.44,2.80
3.34,3.31,3.52,3.24
3.37,3.63,3.75,3.34
3.60,3.50,3.78,3.37
3.67,3.76,3.90,3.65
3.90,3.68,3.90,3.60
3.77,3.52,3.78,3.45
3.61,3.68,3.70,3.51
3.68,4.11,4.14,3.62
4.02,4.15,4.31,3.94
4.21,4.23,4.46,4.13
4.23,4.10,4.39,3.95
4.24,4.71,4.71,4.23
5.01,4.53,5.08,4.51
4.57,4.25,4.63,4.22
4.19,4.24,4.48,4.01
4.36,4.22,4.38,4.05
4.20,3.97,4.29,3.95
3.92,3.90,3.93,3.50
3.83,3.97,4.10,3.71
3.90,3.88,4.07,3.85
3.78,3.58,3.78,3.50
3.35,3.41,3.53,3.35
3.35,3.41,3.45,3.22
3.05,3.49,3.53,3.01
3.54,3.52,3.69,3.44
3.59,3.61,3.68,3.53
3.69,3.66,3.84,3.65
3.84,3.68,3.89,3.60
3.67,3.63,3.67,3.55
3.63,3.60,3.75,3.56
3.68,4.01,4.09,3.62
4.07,4.04,4.23,3.93
4.22,4.10,4.29,4.05
4.13,4.06,4.17,4.02
4.21,4.27,4.40,4.14
4.25,4.32,4.36,4.15
4.46,4.18,4.48,4.12
4.27,4.28,4.42,4.20
4.28,4.16,4.28,4.07
4.27,4.14,4.29,3.98
4.18,4.10,4.19,4.00
4.13,3.78,4.13,3.75
3.83,3.65,3.83,3.59
3.64,3.78,3.92,3.63
3.79,3.87,4.02,3.72
3.92,4.10,4.20,3.71
4.09,4.11,4.20,4.01
4.08,4.00,4.08,3.91
3.98,3.83,4.00,3.70
3.94,3.87,4.05,3.82
3.91,3.74,3.92,3.69
3.74,3.79,3.81,3.68
3.82,4.12,4.28,3.75
4.17,3.98,4.20,3.91
4.01,3.92,4.02,3.90
3.92,3.99,4.06,3.92
4.04,3.86,4.04,3.81
3.96,3.82,3.96,3.70
4.11,4.05,4.54,3.92
4.01,3.95,4.06,3.85
4.07,3.94,4.07,3.87
3.96,3.81,3.96,3.80
3.81,3.88,3.95,3.76
3.86,3.83,3.86,3.67
3.80,3.74,3.85,3.74
3.78,3.71,3.78,3.65
3.67,3.39,3.71,3.33
3.36,3.33,3.39,3.17
3.33,3.43,3.63,3.33
3.73,4.13,4.35,3.58
4.06,3.91,4.25,3.87
3.84,3.97,4.08,3.69
3.97,3.96,4.20,3.94
4.05,4.80,4.83,4.02
4.71,5.10,5.26,4.54
4.92,4.98,5.44,4.75
5.10,5.09,5.23,4.95
5.10,5.22,5.34,5.00
