MGYR,Magyar Bancorp,NASDAQ
4.00,4.00,4.00,4.00
3.67,3.65,3.69,3.65
3.70,3.65,3.70,3.65
3.67,3.67,3.67,3.67
3.69,3.69,3.69,3.69
3.65,3.65,3.65,3.65
3.65,3.65,3.65,3.65
3.65,3.65,3.65,3.65
3.86,3.86,3.86,3.86
3.86,3.86,3.86,3.86
3.70,3.65,3.70,3.65
3.25,3.48,3.86,3.08
3.53,3.53,3.99,3.50
3.88,3.80,3.88,3.80
3.80,3.80,3.80,3.80
3.80,3.80,3.80,3.80
3.80,3.80,3.80,3.80
3.83,3.65,3.83,3.65
3.65,3.65,3.65,3.65
3.58,3.65,3.75,3.58
3.72,3.75,3.75,3.72
3.51,3.50,3.51,3.50
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.75,3.74,3.75,3.72
3.51,3.51,3.52,3.51
3.51,3.51,3.51,3.51
3.50,3.51,3.51,3.50
3.41,3.50,3.50,3.40
3.42,3.42,3.42,3.42
3.40,3.35,3.45,3.35
3.45,3.45,3.45,3.44
3.35,3.35,3.45,3.31
3.35,3.35,3.35,3.35
3.28,3.27,3.28,3.26
3.46,3.75,3.75,3.46
3.78,3.78,3.78,3.78
3.78,4.00,4.30,3.78
4.49,4.30,4.49,3.95
4.33,4.30,4.49,4.30
4.40,4.40,4.40,4.40
4.40,4.40,4.40,4.40
4.41,4.41,4.41,4.41
4.41,4.41,4.41,4.41
4.05,4.14,4.40,4.05
4.07,4.21,4.25,4.05
4.24,4.49,4.49,4.24
4.49,4.49,4.49,4.49
4.49,4.49,4.49,4.49
4.41,4.41,4.41,4.41
4.43,4.05,4.43,4.05
4.42,4.32,4.42,4.32
4.32,4.32,4.32,4.32
4.32,4.32,4.32,4.32
4.32,4.32,4.32,4.32
4.32,4.32,4.32,4.32
4.32,4.32,4.32,4.32
4.03,4.40,4.40,4.00
4.50,4.40,4.50,4.40
4.00,4.00,4.00,4.00
4.01,4.01,4.01,4.01
4.05,4.00,4.05,3.95
4.00,3.75,4.00,3.75
3.75,3.75,3.75,3.75
3.75,3.75,3.75,3.75
3.75,3.75,3.75,3.75
3.75,3.75,3.75,3.75
3.75,3.75,3.75,3.75
4.20,3.75,4.20,3.75
3.75,3.75,3.75,3.75
4.20,3.81,4.20,3.81
3.81,3.81,3.81,3.81
3.81,3.81,3.81,3.81
3.80,3.80,3.80,3.80
3.80,3.80,3.80,3.80
3.80,3.80,3.80,3.80
3.84,3.75,3.90,3.75
3.70,3.91,4.65,3.70
4.95,4.88,4.97,4.88
5.29,5.00,5.29,4.50
4.54,4.63,4.63,4.26
4.69,4.54,4.74,4.54
4.25,4.48,4.50,4.25
4.73,4.62,4.73,4.62
4.62,4.62,4.62,4.62
4.62,4.62,4.62,4.62
4.25,4.25,4.25,4.25
4.04,3.95,4.04,3.75
3.95,3.95,3.95,3.95
4.04,3.75,4.04,3.75
3.75,3.76,3.76,3.75
3.95,4.48,4.53,3.94
4.24,3.88,4.24,3.75
3.92,3.92,3.92,3.92
3.98,4.01,4.39,3.85
4.01,4.01,4.01,4.01
3.80,3.80,3.80,3.80
3.75,4.18,4.29,3.75
4.31,4.33,4.46,4.31
4.33,4.33,4.33,4.33
4.30,3.95,4.30,3.95
4.29,4.29,4.29,4.29
3.95,4.29,4.29,3.65
3.76,3.89,4.00,3.56
3.89,3.90,3.90,3.89
3.87,3.87,3.87,3.87
3.87,3.87,3.87,3.87
3.86,3.86,3.86,3.86
3.86,3.86,3.86,3.86
3.68,3.89,3.89,3.65
3.65,3.55,3.65,3.55
3.09,3.71,3.76,3.09
3.65,3.76,3.79,3.65
3.76,3.76,3.76,3.76
3.76,3.76,3.76,3.76
3.76,3.76,3.76,3.76
3.71,3.71,3.71,3.71
3.75,3.75,3.75,3.71
3.70,3.70,3.70,3.70
3.70,3.70,3.70,3.70
3.70,3.70,3.70,3.70
3.70,3.70,3.70,3.70
3.52,3.54,3.54,3.51
3.74,3.74,3.74,3.74
3.74,3.74,3.74,3.74
3.74,3.74,3.74,3.74
3.71,3.75,3.75,3.71
3.75,3.75,3.75,3.75
3.65,3.60,3.65,3.60
3.60,3.60,3.60,3.60
3.60,3.60,3.60,3.60
3.40,3.40,3.40,3.40
3.40,3.45,3.45,3.18
3.45,3.45,3.45,3.45
3.26,3.26,3.26,3.26
3.26,3.25,3.30,3.01
3.25,3.25,3.25,3.25
3.15,3.15,3.15,3.15
3.10,3.20,3.20,3.08
3.10,4.17,4.17,3.10
4.01,3.87,4.15,3.87
3.44,3.53,3.53,3.40
3.53,3.53,3.53,3.53
3.89,3.87,3.89,3.54
3.83,4.55,4.55,3.71
4.75,4.42,4.88,4.30
4.99,4.87,5.36,4.70
5.06,4.90,5.06,4.87
5.00,4.66,5.00,4.60
4.40,4.44,4.44,4.40
4.37,3.92,4.37,3.89
3.88,4.12,4.12,3.88
