MCHX,Marchex,NASDAQ
5.17,5.00,5.32,4.94
4.94,4.97,5.05,4.76
4.96,4.87,5.00,4.80
4.87,4.97,4.99,4.76
4.94,5.08,5.10,4.91
5.10,5.06,5.11,4.91
5.02,5.29,5.37,5.02
5.29,5.58,5.63,5.19
5.57,5.67,5.68,5.50
5.68,5.37,5.72,5.33
5.37,5.69,5.75,5.37
5.63,5.78,5.81,5.63
5.87,5.50,5.87,5.44
5.90,5.43,5.90,5.43
5.49,5.44,5.53,5.31
5.42,5.53,5.57,5.34
5.52,5.62,5.64,5.43
5.65,5.50,5.66,5.40
5.59,5.49,5.76,5.46
5.51,5.63,5.72,5.41
5.62,5.46,5.73,5.42
5.45,5.50,5.56,5.39
5.46,5.20,5.57,5.19
5.20,5.31,5.41,5.14
5.29,5.17,5.30,5.12
5.24,5.15,5.37,5.13
5.15,5.15,5.25,5.12
5.14,5.25,5.27,5.03
5.18,5.23,5.26,5.07
5.27,5.47,5.55,5.23
5.50,5.58,5.63,5.49
5.55,5.32,5.55,5.26
5.49,5.61,5.74,5.46
5.63,5.66,5.71,5.56
5.63,5.47,5.66,5.42
5.47,5.18,5.51,5.01
5.13,5.17,5.25,5.04
5.16,5.14,5.30,5.01
5.18,5.34,5.34,5.16
5.34,5.40,5.48,5.25
5.42,5.49,5.50,5.33
5.51,5.46,5.57,5.43
5.50,5.55,5.55,5.43
5.53,5.59,5.61,5.45
5.56,5.60,5.61,5.45
5.57,5.38,5.57,5.35
5.33,5.33,5.35,5.26
5.33,5.30,5.35,5.26
5.27,5.32,5.33,5.15
5.30,5.30,5.31,5.14
5.28,5.36,5.40,5.22
5.25,5.43,5.48,5.25
5.24,5.24,5.47,5.24
5.21,5.30,5.35,5.20
5.28,5.43,5.49,5.18
5.40,5.18,5.43,5.17
5.22,5.09,5.29,5.05
5.10,5.22,5.34,5.10
5.22,5.20,5.33,5.12
5.22,5.18,5.23,5.09
5.14,5.11,5.26,5.08
5.11,5.12,5.17,5.05
5.12,5.29,5.40,5.08
5.25,5.13,5.25,5.10
5.11,5.10,5.15,5.06
5.10,5.08,5.18,5.06
5.07,5.06,5.08,5.00
5.07,5.00,5.10,4.96
4.97,5.00,5.05,4.96
5.02,5.18,5.19,5.00
5.19,5.26,5.26,5.16
5.26,4.97,5.26,4.95
4.96,4.97,5.09,4.93
5.01,4.89,5.01,4.80
4.96,5.08,5.37,4.91
5.05,4.97,5.13,4.92
4.99,5.31,5.32,4.99
5.26,5.36,5.42,5.26
5.35,5.38,5.52,5.27
5.40,5.37,5.46,5.28
5.40,5.41,5.47,5.29
5.39,5.26,5.44,5.25
5.27,5.44,5.46,5.23
5.36,5.13,5.39,5.08
5.06,5.02,5.24,4.97
5.01,4.99,5.31,4.98
4.96,4.80,5.26,4.77
5.02,4.90,5.22,4.85
4.87,4.89,4.96,4.82
4.89,5.27,5.30,4.89
5.24,5.26,5.60,5.20
5.21,5.15,5.21,5.00
5.15,5.28,5.43,5.12
5.36,5.17,5.47,5.15
5.17,5.20,5.28,5.14
5.09,4.90,5.15,4.85
4.79,4.88,5.06,4.77
4.89,4.84,4.93,4.80
4.75,4.77,4.96,4.70
4.79,4.78,4.95,4.65
4.88,5.11,5.15,4.77
5.08,5.07,5.15,5.01
5.00,4.71,5.00,4.69
4.77,4.97,5.07,4.69
4.95,5.05,5.07,4.94
4.90,4.72,4.99,4.71
4.73,4.52,4.75,4.48
4.52,4.48,4.57,4.30
4.61,4.55,4.80,4.48
4.65,4.87,4.89,4.62
4.80,4.97,4.99,4.80
5.00,4.70,5.10,4.64
4.76,4.89,4.97,4.57
4.86,4.82,4.98,4.81
4.88,4.79,4.89,4.67
4.82,4.80,4.90,4.74
4.89,4.64,4.90,4.61
4.67,4.57,4.78,4.51
4.58,4.47,4.61,4.44
4.41,4.31,4.52,4.13
4.34,4.06,4.39,4.00
4.09,4.02,4.21,3.95
4.00,3.86,4.01,3.84
3.87,3.85,3.95,3.78
3.84,3.80,3.99,3.63
3.84,3.92,3.93,3.75
3.99,3.93,3.99,3.90
3.96,4.04,4.06,3.75
4.09,3.95,4.18,3.88
3.95,4.25,4.26,3.95
4.25,4.20,4.47,4.14
4.27,4.66,4.70,4.23
4.64,4.58,4.65,4.50
4.48,4.47,4.55,4.45
4.46,4.15,4.47,4.13
4.17,4.26,4.37,4.11
4.22,4.65,4.72,4.20
4.70,4.41,4.79,4.36
4.50,4.70,4.87,4.34
4.68,4.85,4.99,4.67
4.85,4.81,4.85,4.70
4.86,4.77,4.86,4.60
4.73,4.66,4.78,4.65
4.69,4.69,4.77,4.46
4.61,4.66,4.75,4.53
4.75,4.70,4.75,4.61
4.67,4.63,4.75,4.54
4.64,4.73,4.78,4.60
4.68,4.58,4.68,4.53
4.73,5.15,5.22,4.67
5.20,4.96,5.20,4.77
4.90,4.55,4.90,4.51
4.52,4.36,4.61,4.32
4.29,4.31,4.44,4.11
4.30,4.16,4.36,4.12
4.13,4.30,4.35,4.11
4.35,4.48,4.54,4.30
4.49,4.35,4.49,4.27
4.35,4.05,4.35,4.00
4.07,4.01,4.12,3.96
4.05,3.91,4.16,3.87
