INTT,inTest Corporation Common Stock,NASDAQ
1.80,1.70,1.80,1.70
1.56,1.58,1.70,1.40
1.55,1.50,1.64,1.33
1.44,1.38,1.50,1.32
1.48,1.42,1.49,1.39
1.56,1.69,1.70,1.45
1.84,1.80,2.05,1.70
1.85,1.80,2.04,1.80
1.80,1.60,1.82,1.55
1.58,1.57,1.67,1.57
1.57,1.67,1.84,1.57
1.66,1.73,1.75,1.66
1.76,1.69,1.82,1.69
1.65,1.53,1.65,1.42
1.30,1.42,1.50,1.30
1.40,1.49,1.55,1.40
1.53,1.50,1.64,1.48
1.50,1.65,1.65,1.50
1.61,1.46,1.69,1.46
1.41,1.41,1.49,1.40
1.44,1.44,1.50,1.44
1.41,1.47,1.57,1.40
1.41,1.36,1.47,1.36
1.37,1.35,1.37,1.34
1.34,1.45,1.48,1.34
1.49,1.43,1.50,1.34
1.44,1.42,1.50,1.31
1.36,1.36,1.36,1.31
1.31,1.33,1.35,1.30
1.32,1.41,1.45,1.32
1.44,1.34,1.44,1.32
1.60,1.59,1.75,1.50
1.49,1.62,1.70,1.47
1.64,1.69,1.69,1.62
1.69,1.70,1.70,1.65
1.69,1.68,1.69,1.60
1.57,1.59,1.60,1.56
1.57,1.55,1.57,1.48
1.54,1.47,1.55,1.47
1.50,1.50,1.51,1.46
1.53,1.58,1.58,1.53
1.58,1.52,1.60,1.51
1.59,1.59,1.59,1.53
1.59,1.57,1.59,1.52
1.51,1.50,1.52,1.48
1.49,1.45,1.49,1.45
1.48,1.42,1.50,1.41
1.41,1.40,1.41,1.39
1.40,1.40,1.40,1.38
1.39,1.46,1.46,1.32
1.45,1.44,1.50,1.43
1.41,1.63,1.63,1.41
1.66,1.74,1.77,1.59
1.76,1.70,1.76,1.70
1.68,1.63,1.68,1.53
1.60,1.71,1.72,1.42
1.78,1.62,1.79,1.50
1.60,1.60,1.73,1.60
1.55,1.60,1.60,1.55
1.60,1.58,1.60,1.56
1.52,1.58,1.59,1.51
1.58,1.58,1.58,1.52
1.55,1.69,1.69,1.55
1.63,1.69,1.69,1.55
1.69,1.69,1.69,1.60
1.65,1.68,1.68,1.60
1.66,1.70,1.70,1.65
1.68,1.79,1.80,1.68
1.75,1.86,1.90,1.75
1.88,1.98,1.99,1.78
2.00,1.93,2.05,1.86
1.96,2.02,2.02,1.90
1.71,2.26,2.30,1.70
2.21,2.65,2.90,2.20
2.66,2.82,2.90,2.66
3.25,3.07,3.70,2.92
3.12,3.00,3.15,2.76
3.12,3.45,3.75,3.09
3.53,3.60,3.74,3.20
3.89,3.72,3.90,3.62
3.81,3.56,3.97,3.35
3.31,3.27,3.79,3.26
3.35,3.80,3.88,3.34
3.85,3.64,3.88,3.39
3.50,3.60,3.88,3.38
3.42,3.28,3.60,2.70
3.23,3.22,3.29,3.00
3.40,3.61,3.66,3.36
3.60,3.54,3.70,3.50
3.65,4.20,4.26,3.60
4.41,4.42,4.62,3.85
4.28,4.16,4.41,4.01
4.15,4.23,4.40,4.06
4.24,4.07,4.65,4.00
4.04,4.17,4.21,3.91
4.07,3.89,4.07,3.77
3.75,3.99,4.15,3.68
3.98,3.88,4.05,3.81
3.66,3.63,3.68,3.50
3.70,3.64,3.89,3.56
3.74,3.65,3.75,3.58
3.68,3.68,3.75,3.63
3.65,3.86,3.98,3.65
3.86,3.97,3.97,3.79
3.96,4.38,4.55,3.96
4.28,4.00,4.35,3.91
4.04,3.56,4.04,3.34
3.57,3.36,3.64,3.30
3.40,3.42,3.54,3.37
3.49,3.73,3.76,3.45
3.64,3.64,3.85,3.55
3.73,3.80,3.92,3.70
3.83,4.02,4.06,3.76
3.95,4.07,4.14,3.95
4.09,4.06,4.10,3.88
4.05,4.10,4.18,3.95
4.20,4.22,4.30,4.07
4.21,4.14,4.35,4.14
4.14,4.15,4.20,3.90
4.09,3.81,4.16,3.70
3.82,4.04,4.05,3.78
4.04,3.84,4.04,3.79
3.75,3.40,3.78,3.40
3.43,3.40,3.48,3.12
3.45,3.53,3.62,3.01
3.53,3.23,3.53,3.09
3.28,3.27,3.39,3.10
3.35,3.42,3.48,3.25
3.40,3.33,3.47,3.32
3.41,3.81,3.86,3.36
3.75,3.60,3.77,3.50
3.64,3.74,3.81,3.59
3.76,3.90,4.34,3.72
3.88,3.85,4.00,3.74
3.79,3.56,3.84,3.54
3.61,3.57,3.64,3.51
3.52,3.59,3.68,3.46
3.64,3.68,3.86,3.51
3.79,3.88,4.08,3.79
3.98,4.05,4.10,3.94
4.05,4.15,4.19,3.95
4.25,3.75,4.32,3.38
3.70,3.60,3.74,3.52
3.65,3.40,3.67,3.27
3.33,3.28,3.41,3.21
3.35,3.22,3.44,3.14
3.18,3.28,3.35,3.08
3.28,3.17,3.28,3.12
3.12,3.15,3.17,3.06
3.08,3.23,3.23,3.00
3.23,3.30,3.39,3.20
3.26,3.16,3.26,3.10
3.07,3.00,3.11,3.00
3.30,2.88,3.30,2.83
2.82,2.86,2.95,2.64
2.86,2.83,3.02,2.83
2.86,2.79,2.86,2.72
2.80,2.78,2.86,2.73
2.78,2.81,2.83,2.71
2.83,2.74,2.87,2.68
2.71,2.54,2.71,2.47
2.69,2.59,2.69,2.50
2.50,2.56,2.66,2.45
2.59,2.46,2.59,2.38
2.41,2.52,2.54,2.39
2.54,2.52,2.57,2.49
2.49,2.50,2.55,2.47
2.56,2.58,2.62,2.49
2.62,2.72,2.81,2.55
2.80,2.87,2.92,2.79
2.91,2.90,2.95,2.79
2.90,2.81,2.99,2.71
2.83,2.72,2.83,2.71
