MCK,McKesson Corporation Common Stock,NASDAQ
62.99,63.36,63.48,62.50
63.31,63.59,63.64,63.24
62.75,61.00,62.75,60.77
62.13,61.13,62.13,60.40
61.21,60.77,61.38,60.25
60.73,61.46,61.59,60.73
61.42,62.32,62.45,60.95
62.33,62.51,62.89,61.92
62.58,61.99,62.63,61.93
61.89,61.92,62.18,61.47
62.24,63.16,63.47,61.79
63.19,62.40,63.47,62.06
62.41,61.33,62.73,60.93
61.02,60.57,61.49,60.54
61.15,61.44,61.57,60.39
61.53,62.35,62.62,60.91
60.16,59.52,61.50,58.30
59.61,60.31,61.27,59.61
60.52,58.82,60.64,58.71
58.99,59.53,59.80,58.16
59.57,60.46,60.49,59.34
60.35,60.20,60.35,59.92
59.88,58.60,60.11,58.49
58.51,58.28,58.56,57.23
58.41,58.31,58.70,57.56
58.37,58.75,59.24,58.37
58.81,58.61,58.93,57.80
58.62,58.99,59.29,58.06
58.54,58.99,59.04,58.00
59.09,59.88,60.00,59.04
59.95,60.27,60.50,59.30
60.28,60.71,60.72,60.04
60.37,60.75,60.84,59.95
60.64,59.93,60.71,59.85
58.94,58.53,59.49,58.14
58.56,59.27,59.35,58.29
58.50,59.14,59.21,58.31
59.30,59.15,59.56,59.00
59.36,60.40,60.59,59.36
60.80,61.70,61.95,60.60
61.74,60.76,61.82,60.57
60.91,61.29,61.39,60.83
61.42,62.08,62.09,61.42
61.91,60.99,61.99,60.98
60.81,60.43,61.14,60.25
60.26,60.59,60.87,60.08
60.40,60.46,60.55,59.63
60.71,61.08,61.64,60.71
61.04,60.75,61.20,60.55
60.75,61.29,61.46,60.62
61.21,62.96,62.96,61.21
62.90,63.31,63.39,62.29
64.07,64.07,64.27,63.07
63.80,64.63,65.66,63.77
64.74,64.93,64.97,63.95
65.03,64.01,65.21,63.87
64.02,64.17,64.69,63.98
64.25,63.62,64.50,63.33
63.62,65.19,65.40,63.48
65.09,66.72,66.98,64.86
66.47,65.72,66.47,65.40
65.90,66.36,66.36,65.77
66.71,66.61,66.95,66.21
66.25,66.62,66.71,66.10
66.54,66.17,66.61,65.88
66.40,66.60,66.62,65.80
66.49,66.56,66.90,66.09
66.55,65.47,66.56,65.28
65.47,65.24,65.56,64.45
65.61,64.87,65.61,64.53
64.87,64.78,64.97,64.54
64.62,64.19,64.87,63.77
63.99,64.43,64.58,63.80
64.85,65.98,66.14,64.59
65.98,65.51,66.24,65.13
65.47,66.76,66.92,65.33
66.76,68.03,68.03,66.33
68.05,67.11,68.19,66.93
66.71,66.01,67.09,65.89
66.18,66.25,66.62,65.72
66.67,66.48,67.31,66.35
66.62,64.81,66.93,64.79
64.86,64.87,65.12,64.05
67.89,67.54,68.18,66.25
66.89,67.32,67.86,66.59
67.02,66.05,67.70,62.94
65.92,63.73,65.92,63.09
66.23,66.49,66.94,65.36
65.99,66.10,66.89,65.72
67.51,69.06,69.10,66.62
68.91,68.99,69.96,68.41
68.75,67.72,69.69,66.69
68.07,68.60,68.84,67.06
69.36,69.34,71.11,69.29
69.03,69.86,70.24,68.37
68.02,67.64,68.98,67.64
66.21,68.33,68.38,66.02
67.98,68.15,69.28,67.21
66.96,67.81,67.98,66.21
68.09,67.88,69.47,67.73
68.96,70.07,70.08,68.62
69.42,70.00,70.87,69.42
69.66,68.81,70.22,68.65
69.16,70.25,70.25,68.83
70.50,71.28,71.49,70.50
69.91,68.56,70.16,68.22
68.66,68.95,69.67,68.38
68.94,68.23,68.94,67.50
68.50,68.56,69.74,68.29
69.33,69.70,69.89,68.99
69.00,69.67,69.77,68.48
69.79,69.81,70.43,69.45
70.45,70.48,70.66,70.01
70.03,70.66,70.88,69.93
71.27,71.10,71.27,70.46
70.93,70.09,71.05,70.00
70.63,69.83,71.15,69.52
69.73,68.45,70.13,68.33
68.33,68.43,68.85,67.81
68.13,67.71,68.42,67.20
67.62,68.16,68.51,66.98
68.29,68.52,68.78,67.58
67.59,67.45,68.07,67.04
67.24,67.16,68.50,66.96
67.00,67.01,67.10,65.13
67.05,67.16,67.67,66.67
67.50,67.65,68.31,67.09
67.59,68.08,68.15,67.00
68.28,67.99,68.58,67.36
68.18,67.43,68.27,67.04
67.29,67.07,67.40,66.82
67.46,67.21,67.91,67.06
67.08,68.65,69.14,66.99
68.49,69.40,69.48,68.23
69.13,68.00,69.27,67.86
68.24,67.08,68.24,66.95
66.50,67.42,67.46,66.34
67.86,66.45,67.86,66.21
67.10,64.55,67.60,63.60
64.70,65.63,66.70,64.55
65.68,66.09,66.46,65.68
66.00,65.17,66.12,63.85
65.18,64.02,65.72,63.27
64.50,63.88,65.06,63.31
63.25,62.82,63.26,59.63
63.23,63.50,63.64,62.72
63.20,62.10,63.21,61.79
62.36,62.97,63.02,61.59
62.58,62.84,62.84,61.74
62.22,62.81,63.03,61.67
63.07,62.31,63.07,62.15
62.00,61.61,62.19,61.49
61.00,60.60,61.14,60.28
59.83,60.95,61.12,59.82
60.79,60.65,61.31,60.12
60.67,60.85,61.49,60.02
61.14,61.60,61.90,60.89
61.64,62.27,62.90,61.51
61.98,61.45,62.11,60.91
60.94,61.67,61.88,60.94
61.90,61.31,62.38,61.25
61.01,60.32,61.08,60.04
60.01,60.46,60.73,59.65
60.50,59.77,60.98,59.68
60.04,60.36,60.53,59.31
60.39,59.05,60.41,59.05
58.79,58.05,59.00,57.81
58.67,58.79,59.55,58.46
59.11,59.50,59.69,58.58
59.90,59.95,60.03,59.44
59.63,58.99,59.80,58.87
58.99,58.50,59.41,58.43
59.03,59.65,59.73,58.87
59.84,59.35,59.86,59.21
59.74,58.70,59.77,58.69
58.61,59.74,60.07,58.41
59.92,62.98,63.64,59.85
62.87,62.42,62.87,61.96
62.80,62.35,63.19,62.20
62.38,62.99,63.15,62.24
63.02,62.93,63.42,62.68
62.64,62.16,62.90,62.13
61.77,60.77,62.20,58.08
61.18,61.91,62.41,60.37
61.81,61.45,62.13,60.63
61.86,62.47,62.53,61.11
