RNR,RenaissanceRe Holdings Ltd. Common Stock,NASDAQ
53.55,52.91,53.55,52.53
52.71,52.06,52.77,51.70
51.99,53.08,53.08,51.96
53.14,53.90,54.09,53.00
53.64,54.06,54.19,53.55
53.95,54.25,54.34,53.59
54.15,53.81,54.24,53.68
53.80,54.40,54.67,53.79
54.22,54.56,54.74,54.12
54.29,54.05,54.41,53.98
54.00,54.61,54.69,54.00
54.52,54.49,54.67,54.19
54.69,54.67,54.93,54.04
54.52,54.05,55.00,53.98
54.37,54.25,54.57,53.87
54.07,54.01,54.95,53.96
54.06,54.74,54.84,53.97
54.74,54.08,54.91,54.04
54.40,54.18,54.75,54.06
54.21,54.12,54.52,53.97
54.25,54.19,54.45,53.94
53.93,53.21,54.19,53.20
53.07,51.59,53.07,51.54
51.59,51.52,51.91,50.88
51.51,51.43,51.80,51.13
51.74,52.26,52.43,51.39
52.84,51.74,52.84,51.07
51.57,51.53,51.65,50.87
51.36,51.41,51.50,50.81
51.90,53.60,53.63,51.90
53.98,53.88,53.98,53.52
53.52,54.13,54.37,53.52
54.02,54.50,54.61,53.47
54.41,54.82,54.97,54.41
54.61,54.73,55.01,54.39
54.71,55.37,55.37,54.64
54.66,55.36,55.61,54.66
55.45,55.36,55.50,55.19
55.27,55.80,55.83,55.27
55.96,55.58,55.96,55.44
55.52,55.66,55.75,55.31
55.83,56.79,56.83,55.78
57.00,56.97,57.00,56.58
56.97,56.94,57.36,56.85
56.61,55.69,56.61,55.46
55.79,55.53,56.05,55.26
55.10,55.15,55.40,54.86
55.04,56.00,56.13,55.03
55.87,55.92,55.98,55.37
55.96,55.92,56.10,55.75
55.80,55.70,55.98,55.62
55.80,56.40,56.64,55.64
56.12,56.12,56.98,55.57
55.72,56.39,56.39,55.72
56.52,56.69,56.79,56.26
56.67,56.88,57.00,56.23
57.10,56.80,57.11,56.72
56.72,56.35,57.03,56.21
56.35,57.04,57.09,56.30
57.04,56.39,57.17,56.38
55.84,56.76,56.91,55.84
56.90,56.91,57.11,56.60
56.96,56.64,57.25,56.50
56.70,56.74,56.98,56.50
56.78,57.30,57.52,56.76
57.27,57.01,57.27,56.60
57.04,57.27,57.34,56.76
57.14,57.08,57.43,56.83
56.71,57.27,57.38,56.71
57.51,57.28,57.57,57.10
