LORL,Loral Space and Communications,NASDAQ
32.07,33.64,33.89,31.72
33.48,33.71,34.36,32.27
33.55,33.80,34.20,33.52
33.82,34.12,34.27,33.02
34.10,34.76,34.89,34.10
34.92,34.63,34.93,33.94
34.19,33.45,34.90,33.41
33.53,34.02,34.26,33.51
34.40,34.38,34.47,33.78
34.54,32.19,34.56,32.15
32.19,33.66,33.71,32.19
33.21,33.75,33.92,33.02
34.01,32.90,34.08,32.23
32.77,29.65,32.88,29.42
30.07,29.64,30.34,29.54
29.53,28.76,29.98,28.62
28.71,29.45,29.77,28.22
29.46,28.79,29.46,28.25
29.01,28.47,29.45,28.35
28.52,28.76,29.01,28.10
28.71,28.92,29.14,28.26
28.82,28.65,29.11,28.40
28.03,27.14,28.31,27.08
26.80,26.95,27.07,26.50
26.99,26.36,27.05,26.35
26.85,27.34,27.53,26.65
27.28,27.42,27.65,27.00
27.30,29.59,29.61,27.19
29.22,29.50,29.86,29.01
29.94,30.58,30.60,29.79
30.80,31.14,31.14,30.54
31.20,31.81,32.07,31.20
31.81,32.15,32.44,31.66
32.55,32.78,32.99,32.11
32.81,32.85,33.05,31.85
32.90,32.95,33.40,32.65
32.30,32.49,33.43,31.41
32.62,32.53,32.97,31.95
32.62,33.28,33.38,32.55
33.26,34.10,34.10,32.90
34.25,35.45,35.86,33.95
35.45,35.33,35.73,34.67
35.54,35.81,35.85,34.83
35.90,35.75,35.98,35.47
35.48,35.31,35.79,35.20
35.21,34.75,35.28,34.61
34.37,34.70,35.66,34.31
34.46,35.55,35.58,34.46
35.57,35.84,36.55,35.57
35.98,35.98,36.07,35.48
36.00,36.05,36.36,35.82
36.01,35.76,36.08,35.55
34.40,34.40,36.07,34.29
34.22,35.67,35.75,33.31
35.78,35.49,36.20,35.13
35.18,34.10,35.22,34.10
34.50,34.46,35.43,34.24
34.57,34.68,35.42,34.52
34.75,34.78,35.00,34.52
35.38,35.15,35.38,34.73
34.87,35.12,36.14,34.85
35.32,35.24,35.87,34.93
36.06,36.50,36.50,35.70
36.08,36.44,36.47,35.81
36.27,36.52,36.52,35.75
36.22,36.41,36.49,35.96
36.37,36.33,36.52,35.99
36.24,36.81,36.82,36.01
36.80,36.47,36.80,36.15
36.79,38.34,38.43,36.65
38.22,38.65,38.85,38.02
38.61,38.70,39.01,37.94
38.49,38.72,39.40,38.46
38.98,39.54,39.55,38.86
39.47,39.87,39.89,38.88
39.30,39.70,39.73,39.01
39.54,41.10,41.11,39.37
41.00,42.59,43.22,40.76
42.19,42.29,42.80,42.00
42.57,41.78,42.57,41.74
42.15,44.42,44.64,41.94
44.25,43.06,44.30,43.06
43.39,43.52,44.30,42.79
42.60,42.79,45.45,42.50
42.47,42.43,43.00,42.24
42.17,39.72,42.41,36.85
42.52,37.89,42.52,37.81
40.01,41.80,42.01,39.67
44.29,41.56,44.34,40.00
41.54,40.99,41.78,40.49
40.68,39.77,41.02,39.53
39.50,38.86,39.50,37.50
39.12,38.72,39.46,38.05
39.50,37.75,39.50,37.18
37.46,36.36,37.46,36.00
35.37,34.89,36.17,33.30
34.21,37.01,37.14,33.78
37.07,36.61,38.00,36.15
35.37,37.11,37.24,35.17
37.59,37.48,38.99,37.18
38.65,40.36,40.57,38.65
40.43,39.94,40.51,39.29
39.69,37.87,40.92,37.85
37.97,39.13,39.66,37.39
39.02,39.66,39.81,38.57
38.25,38.02,39.30,37.70
38.48,36.63,38.49,36.41
36.96,37.98,38.14,36.50
38.60,37.50,38.88,37.30
38.42,38.55,39.08,37.97
38.63,39.48,39.49,38.41
39.86,39.20,40.74,38.95
39.82,40.56,40.63,39.36
40.16,39.93,40.63,39.73
40.46,40.27,40.46,39.28
40.58,39.84,40.88,39.27
40.68,39.08,40.81,38.85
39.38,39.51,40.44,39.38
39.32,39.96,40.60,39.09
39.65,40.07,40.39,39.52
40.41,41.73,42.16,39.79
41.99,43.67,44.24,41.32
42.71,43.31,43.57,42.10
43.45,42.72,44.08,42.39
43.05,43.49,43.53,41.53
43.96,42.40,43.96,42.29
43.39,42.13,43.39,41.92
42.47,43.86,43.90,42.24
44.37,44.72,44.82,43.59
44.77,45.89,46.06,44.56
45.70,45.14,46.00,44.55
45.14,45.58,45.78,44.72
45.21,44.04,45.73,43.86
43.97,44.07,44.34,43.00
43.53,44.34,44.88,43.53
44.37,44.90,44.95,43.73
44.02,45.46,45.52,43.67
45.92,45.01,46.24,44.88
45.85,46.00,46.62,45.70
45.86,48.89,48.91,45.77
48.93,49.99,50.50,48.21
50.58,49.76,50.58,49.25
49.53,48.92,50.13,48.83
49.24,48.54,50.01,48.29
47.56,47.84,48.49,47.56
48.65,49.65,49.72,48.08
49.30,48.89,49.93,48.69
49.39,49.37,49.77,48.96
49.01,49.69,50.00,48.91
48.92,49.10,49.55,48.23
49.68,50.27,50.83,49.52
49.63,50.12,50.43,48.60
48.71,48.30,50.01,47.61
47.33,49.36,50.11,47.33
48.99,48.29,49.70,48.13
47.94,49.30,49.71,47.75
49.87,50.67,51.25,48.98
50.67,50.51,51.46,50.35
50.50,50.07,50.84,50.05
49.94,51.64,51.79,49.48
51.87,52.09,52.75,51.40
51.34,53.12,54.85,51.34
52.76,53.64,53.65,52.19
53.99,53.99,55.08,53.60
54.67,55.59,56.85,53.85
55.02,53.77,55.65,53.77
53.57,53.54,54.03,52.35
54.04,54.44,54.71,53.50
54.61,54.49,54.65,53.62
54.79,54.94,55.10,53.56
54.94,54.07,55.28,53.75
54.43,53.93,54.52,53.41
54.67,52.60,54.67,51.73
52.58,52.21,52.88,51.75
52.75,52.81,53.93,52.59
52.76,52.69,53.35,51.87
52.55,52.86,53.09,51.95
52.85,52.14,52.85,51.72
52.73,51.72,52.80,51.01
51.75,52.46,52.87,51.50
52.26,51.44,52.26,51.30
51.05,51.07,51.59,50.43
50.51,50.11,51.40,49.80
50.84,52.26,52.33,50.84
52.42,52.57,53.10,51.90
52.64,53.85,53.94,50.81
53.50,52.69,53.56,52.46
53.24,52.20,53.78,52.08
52.77,52.43,52.77,52.15
52.32,51.35,52.81,51.30
52.10,52.67,53.13,51.77
52.40,53.14,53.25,52.39
53.60,54.30,54.75,53.48
54.29,53.96,54.89,53.89
53.82,53.12,54.00,52.11
52.78,53.12,53.50,52.31
53.38,53.95,54.31,53.10
53.96,54.50,54.70,53.81
55.14,55.11,55.30,54.38
55.41,56.13,56.14,55.28
55.11,53.55,55.83,52.82
53.92,55.77,56.00,52.97
56.25,53.27,56.25,53.13
53.40,54.05,54.20,53.40
54.34,54.48,54.75,54.34
53.95,53.67,54.91,53.32
53.12,54.51,54.73,53.01
55.15,54.83,55.49,54.71
55.33,55.63,55.95,54.87
56.00,54.72,56.00,54.41
55.43,55.94,56.30,55.30
55.84,56.79,56.79,55.83
57.26,59.97,60.19,57.24
61.29,63.99,65.57,61.22
63.57,64.35,65.26,63.51
64.50,63.46,64.50,62.67
63.70,64.45,64.57,62.94
63.95,64.48,64.96,63.95
63.96,65.00,65.86,63.96
65.58,64.47,66.32,64.27
63.88,64.75,65.19,63.01
65.08,66.23,66.65,64.42
66.79,67.75,67.81,66.00
67.64,79.23,85.16,66.50
78.52,76.30,78.64,75.50
75.67,75.84,78.89,75.01
76.06,76.23,77.20,75.43
74.93,75.10,76.36,74.04
74.50,74.64,75.49,73.80
73.97,73.02,74.36,72.22
74.19,74.34,74.40,72.68
73.65,74.36,75.48,73.62
73.78,73.94,74.51,72.85
73.67,74.00,74.18,72.85
74.50,73.30,75.10,73.19
73.68,74.09,76.20,73.65
74.92,74.72,75.36,73.41
74.47,75.70,75.97,74.47
75.07,75.60,76.09,74.98
75.61,74.58,75.76,74.06
74.62,75.04,76.81,73.74
75.52,75.56,76.01,75.01
75.72,76.68,76.72,74.36
76.78,76.73,77.89,75.78
77.25,77.39,77.64,76.74
77.40,76.98,78.04,76.49
76.97,76.34,76.97,76.32
76.01,76.72,76.85,76.01
76.75,76.51,77.00,75.73
76.00,76.91,77.87,75.95
76.94,76.25,77.89,76.24
76.65,76.50,76.98,75.47
77.19,77.00,78.15,76.60
77.39,76.21,77.87,75.61
76.00,78.32,78.96,76.00
78.20,77.59,78.20,76.81
77.89,77.98,78.06,76.75
78.00,78.47,79.11,77.97
78.69,78.59,79.29,77.40
79.40,78.38,79.40,77.05
78.38,78.79,78.83,76.99
78.49,78.93,79.32,78.43
78.56,79.00,79.16,78.48
78.91,77.82,79.11,77.25
77.53,77.00,77.95,75.53
77.46,76.59,77.85,76.44
76.87,76.96,78.79,76.23
76.13,75.83,76.85,74.22
75.82,76.86,78.11,75.82
77.22,76.09,77.94,75.76
76.29,74.46,76.79,74.13
74.63,74.47,75.32,73.52
74.01,76.23,77.35,74.01
75.75,76.78,76.92,75.75
75.05,75.38,78.04,75.05
75.53,75.11,75.83,74.55
75.40,76.25,76.99,75.01
76.28,77.58,82.49,76.28
77.69,77.55,78.80,76.50
77.13,77.98,78.24,77.06
77.45,79.04,79.19,77.45
79.53,78.84,79.53,78.43
78.68,78.89,79.37,78.34
79.49,78.97,79.49,78.50
78.64,79.10,79.39,78.64
79.55,78.91,79.55,78.38
78.18,78.23,79.21,77.93
78.22,77.98,78.72,77.05
77.97,77.88,78.59,77.36
78.04,79.12,79.24,77.68
79.78,75.66,79.91,75.25
76.24,77.54,77.96,76.06
77.17,78.15,79.13,77.17
78.79,78.63,79.84,78.09
78.33,78.98,79.07,77.65
78.93,78.68,79.44,77.08
78.96,79.31,80.35,78.48
78.97,76.46,79.34,76.26
76.00,75.34,76.87,74.80
75.26,74.91,75.50,74.37
74.25,76.15,76.32,73.80
74.00,74.24,74.98,73.50
74.52,73.08,74.55,71.26
73.84,73.80,76.87,72.77
74.19,74.84,74.84,73.35
75.88,76.24,76.92,74.99
75.76,76.11,76.96,75.50
75.80,77.22,77.96,74.51
77.75,76.86,77.95,76.11
77.10,77.09,77.98,76.92
77.37,77.49,77.98,77.22
77.93,77.98,78.00,77.50
78.00,77.85,78.60,77.40
76.86,77.55,78.29,76.79
77.81,78.62,78.64,76.74
80.46,79.29,80.46,78.91
79.50,79.75,80.56,79.14
79.98,79.77,80.14,79.54
80.13,79.15,80.28,78.70
79.83,77.63,79.83,77.52
78.02,77.50,78.02,77.11
77.08,76.43,77.32,75.47
77.03,76.02,77.20,75.72
75.64,77.27,77.37,75.39
76.95,77.89,78.44,76.48
75.43,75.44,75.69,75.00
74.68,71.68,74.68,71.61
72.60,71.82,72.60,71.67
72.24,71.75,72.24,71.54
71.82,71.22,72.07,71.15
71.23,70.94,71.99,70.83
71.12,70.37,71.34,70.21
70.41,70.08,70.41,69.83
70.17,69.90,70.36,69.75
70.09,69.11,70.09,68.93
69.09,67.98,69.51,66.88
68.03,68.61,69.01,66.98
68.44,69.20,70.65,68.14
69.71,69.22,69.87,69.14
69.22,69.57,69.71,69.15
70.00,68.46,70.13,66.96
68.46,67.74,68.80,66.37
67.45,67.36,67.69,66.63
67.26,67.11,69.03,67.08
66.97,66.17,67.18,66.11
65.90,65.75,66.14,65.00
65.77,66.67,66.90,65.75
67.30,66.44,67.45,65.57
66.02,65.70,66.02,65.18
65.00,64.88,65.32,64.50
64.67,64.19,64.72,63.50
63.98,65.01,66.80,63.73
64.90,64.68,65.00,63.65
64.82,65.01,65.57,64.76
65.54,66.52,66.70,65.22
66.30,65.12,66.65,65.05
65.17,65.73,66.48,65.08
64.84,64.91,66.07,64.29
65.27,64.47,65.59,64.31
64.74,65.08,65.32,63.65
65.00,64.36,65.80,63.87
64.40,64.04,64.56,63.87
63.74,63.20,63.95,62.41
63.28,63.75,63.91,62.91
64.12,65.27,65.94,63.23
64.70,64.53,64.80,63.72
64.46,64.00,65.22,63.06
65.00,64.06,66.21,62.83
62.83,64.53,64.58,62.83
64.69,65.50,65.87,63.90
65.40,65.70,66.86,64.98
65.04,65.14,65.80,64.48
65.39,66.53,66.66,65.39
67.03,67.91,69.41,66.72
68.04,68.63,68.71,67.67
