RAND,Rand Capital Corporation - Common Stock ($0.10 Par Value),NASDAQ
3.47,3.47,3.47,3.47
3.93,3.65,4.05,3.65
3.66,3.65,3.66,3.65
3.65,3.65,3.65,3.65
3.65,3.65,3.65,3.65
3.52,3.50,3.52,3.50
3.50,3.50,3.50,3.50
3.50,3.52,3.52,3.49
3.52,3.52,3.52,3.52
3.52,3.52,3.52,3.50
3.52,3.52,3.52,3.52
3.41,3.40,3.41,3.07
3.49,3.42,3.49,3.42
3.42,3.42,3.42,3.42
3.20,3.20,3.21,3.20
3.48,3.50,3.50,3.48
3.50,3.50,3.50,3.50
3.64,3.64,3.65,3.64
3.80,3.80,3.80,3.80
3.80,3.80,3.80,3.80
3.80,3.80,3.80,3.80
3.36,3.58,3.58,3.30
3.58,3.53,3.58,3.53
3.53,3.53,3.53,3.53
3.61,3.60,3.61,3.55
3.88,3.75,3.88,3.53
3.75,3.75,3.75,3.75
3.75,3.75,3.75,3.75
3.47,3.34,3.47,3.31
3.34,3.34,3.34,3.34
3.34,3.34,3.34,3.34
3.34,3.34,3.34,3.34
3.34,3.34,3.34,3.34
3.70,3.70,3.70,3.70
3.50,3.77,3.77,3.49
3.77,3.77,3.77,3.77
3.37,3.80,3.80,3.37
3.39,3.83,3.83,3.39
3.89,3.84,3.89,3.84
3.84,3.84,3.84,3.84
3.84,3.84,3.84,3.84
3.56,3.76,3.76,3.37
3.74,3.69,3.74,3.69
3.69,3.69,3.69,3.69
3.53,3.42,3.53,3.38
3.42,3.42,3.42,3.42
3.38,3.42,3.42,3.38
3.38,3.45,3.45,3.38
3.45,3.45,3.45,3.45
3.45,3.45,3.45,3.45
3.41,3.41,3.41,3.41
3.41,3.41,3.41,3.41
3.41,3.41,3.41,3.41
3.40,3.40,3.40,3.40
3.40,3.40,3.40,3.40
3.43,3.41,3.43,3.41
3.41,3.41,3.41,3.41
3.41,3.41,3.41,3.41
3.54,3.55,3.55,3.54
3.42,3.60,3.60,3.42
3.64,3.72,3.72,3.64
3.72,3.72,3.72,3.72
3.72,3.72,3.72,3.72
3.46,3.46,3.46,3.46
3.46,3.46,3.46,3.46
3.46,3.46,3.46,3.46
3.46,3.46,3.46,3.46
3.45,3.30,3.45,3.22
3.27,3.29,3.30,3.26
3.22,3.22,3.26,3.22
3.22,3.22,3.22,3.22
3.22,3.22,3.22,3.22
3.22,3.22,3.22,3.22
3.25,3.45,3.45,3.20
3.69,3.48,3.69,3.45
3.48,3.48,3.48,3.48
3.49,3.48,3.49,3.48
3.48,3.50,3.50,3.48
3.51,3.51,3.51,3.50
3.51,3.51,3.51,3.51
3.51,3.51,3.51,3.51
3.50,3.77,3.77,3.50
3.77,3.77,3.77,3.77
3.55,3.52,3.55,3.52
3.52,3.52,3.52,3.52
3.52,3.50,3.52,3.50
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.55,3.55,3.55,3.55
3.55,3.55,3.55,3.55
3.51,3.50,3.53,3.50
3.50,3.50,3.50,3.50
3.47,3.16,3.48,3.03
3.00,3.00,3.00,3.00
3.00,3.00,3.00,3.00
3.05,3.05,3.05,3.05
3.05,3.05,3.05,3.05
3.06,3.03,3.06,3.03
3.40,3.45,3.45,3.40
3.34,3.50,3.50,3.34
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.50,3.50,3.50,3.50
3.05,3.05,3.05,3.05
3.25,3.22,3.25,3.22
3.22,3.22,3.22,3.22
3.25,3.25,3.25,3.25
3.11,3.11,3.11,3.11
3.11,3.11,3.11,3.11
3.11,3.11,3.11,3.11
3.11,3.11,3.11,3.11
3.11,3.11,3.11,3.11
3.11,3.11,3.11,3.11
3.12,3.15,3.15,3.12
3.15,3.15,3.15,3.15
3.15,3.15,3.15,3.15
3.15,3.15,3.15,3.15
3.25,3.25,3.25,3.25
3.11,3.07,3.25,3.06
3.24,3.25,3.25,3.24
3.25,3.25,3.25,3.25
3.25,3.25,3.25,3.25
3.25,3.25,3.25,3.25
3.03,3.25,3.25,3.03
3.25,3.25,3.25,3.25
3.25,3.25,3.25,3.25
3.25,3.25,3.25,3.25
3.25,3.25,3.25,3.25
3.05,3.05,3.05,3.05
3.25,3.25,3.25,3.25
3.23,3.15,3.23,3.15
3.20,3.20,3.20,3.20
3.20,3.20,3.20,3.20
3.06,3.25,3.25,3.05
3.25,3.25,3.25,3.25
3.25,3.25,3.25,3.25
3.25,3.25,3.25,3.25
3.25,3.20,3.25,3.20
3.10,3.25,3.25,3.02
3.25,3.25,3.25,3.25
3.25,3.25,3.25,3.25
3.25,3.25,3.25,3.25
3.06,3.05,3.06,3.05
3.05,3.05,3.05,3.05
3.08,3.00,3.08,3.00
2.99,3.00,3.00,2.99
3.00,3.00,3.00,3.00
3.00,3.00,3.00,3.00
3.00,3.00,3.00,3.00
3.00,3.00,3.00,2.99
3.00,3.00,3.00,3.00
3.00,3.00,3.00,3.00
3.00,3.00,3.00,3.00
3.00,3.00,3.00,2.79
3.00,3.00,3.00,3.00
3.00,3.00,3.00,3.00
2.71,2.70,2.71,2.70
2.70,2.70,2.70,2.70
2.99,2.99,2.99,2.99
2.99,3.20,3.20,2.99
2.75,3.27,3.27,2.75
3.27,3.27,3.27,3.27
3.20,3.20,3.20,3.20
3.20,3.20,3.20,3.20
3.20,3.20,3.20,3.20
3.19,3.19,3.19,3.19
3.19,3.19,3.19,3.19
3.24,2.81,3.24,2.81
3.14,3.14,3.14,3.14
3.14,3.14,3.14,3.14
3.14,3.15,3.15,3.14
3.25,3.25,3.25,3.25
3.25,3.25,3.25,3.25
3.24,3.24,3.24,3.24
3.24,3.24,3.24,3.24
2.65,2.95,3.25,2.65
3.23,3.39,3.39,3.23
3.00,3.00,3.00,3.00
3.37,2.95,3.37,2.95
3.34,3.35,3.35,3.34
3.35,3.35,3.35,3.35
3.35,3.35,3.35,3.35
3.38,3.38,3.38,3.38
3.35,3.38,3.38,3.34
3.01,3.01,3.08,3.01
2.97,2.97,2.97,2.97
3.15,3.15,3.15,3.15
2.85,3.63,3.63,2.85
3.60,3.35,3.80,2.98
3.18,3.18,3.18,3.18
3.18,3.18,3.18,3.18
3.18,3.18,3.18,3.18
3.49,3.18,3.49,3.18
3.18,3.18,3.18,3.18
3.48,3.43,3.48,3.43
3.47,3.42,3.47,3.41
3.42,3.42,3.42,3.42
3.42,3.42,3.42,3.42
3.42,3.42,3.42,3.42
3.49,3.49,3.49,3.49
3.32,3.23,3.32,3.18
3.15,3.35,3.45,3.15
3.03,3.08,3.08,3.03
3.44,3.39,3.44,3.39
3.47,3.80,3.90,3.47
3.63,3.54,3.63,3.53
3.49,3.49,3.49,3.49
3.49,3.49,3.49,3.49
3.49,3.49,3.49,3.49
3.48,3.48,3.48,3.48
3.40,3.41,3.41,3.40
3.41,3.41,3.41,3.41
3.41,3.41,3.41,3.41
3.41,3.41,3.41,3.41
3.41,3.41,3.41,3.41
3.30,3.30,3.30,3.30
3.30,3.30,3.30,3.30
3.30,3.30,3.30,3.30
3.30,3.11,3.30,3.11
3.28,3.28,3.28,3.28
3.28,3.28,3.28,3.28
3.28,3.28,3.28,3.28
3.28,3.28,3.28,3.28
3.28,3.28,3.28,3.28
3.28,3.28,3.28,3.28
3.28,3.28,3.28,3.28
3.28,3.28,3.28,3.28
3.28,3.28,3.28,3.28
3.28,3.28,3.28,3.28
3.28,3.28,3.28,3.28
3.28,3.28,3.28,3.28
3.10,3.10,3.10,3.10
3.25,3.25,3.25,3.25
3.25,3.25,3.25,3.25
3.25,3.25,3.25,3.25
3.22,3.05,3.22,3.05
3.23,3.24,3.24,3.23
3.24,3.24,3.24,3.24
3.24,3.24,3.24,3.24
3.24,3.24,3.24,3.24
3.07,3.07,3.07,3.00
3.23,3.23,3.23,3.23
3.10,3.00,3.10,3.00
3.00,3.00,3.00,3.00
3.23,3.23,3.23,3.23
3.01,3.00,3.01,3.00
3.06,3.23,3.23,3.06
3.23,3.23,3.23,3.23
3.23,3.23,3.23,3.23
3.08,3.08,3.08,3.08
3.08,3.08,3.08,3.08
3.08,3.08,3.08,3.08
3.08,3.19,3.19,3.08
3.19,3.19,3.19,3.19
3.19,3.19,3.19,3.19
3.09,3.08,3.20,3.08
3.20,3.11,3.20,3.09
3.11,3.11,3.11,3.11
3.10,3.11,3.11,3.10
3.11,3.11,3.11,3.11
3.11,3.11,3.11,3.11
3.11,3.11,3.11,3.11
3.11,3.11,3.11,3.11
3.11,3.11,3.11,3.11
3.11,3.11,3.11,3.11
3.11,3.11,3.11,3.11
3.11,3.11,3.11,3.11
3.11,3.11,3.11,3.11
3.08,3.11,3.11,3.08
3.11,3.15,3.15,3.11
3.15,3.15,3.15,3.15
3.15,3.15,3.15,3.15
3.10,3.06,3.10,3.06
3.25,3.00,3.25,3.00
3.00,3.00,3.00,3.00
3.02,3.00,3.03,3.00
3.00,3.01,3.15,2.92
3.01,3.01,3.01,3.01
2.91,2.99,3.12,2.91
