OTTW,Ottawa Bancorp,NASDAQ
9.45,9.45,9.45,9.45
9.45,9.45,9.45,9.45
9.00,9.00,9.00,9.00
9.00,9.00,9.00,9.00
9.00,9.00,9.00,9.00
9.00,9.00,9.00,9.00
8.90,8.90,8.90,8.90
9.10,9.10,9.10,9.10
9.10,9.10,9.10,9.10
9.10,9.10,9.10,9.10
9.50,9.50,9.50,7.20
9.50,9.50,9.50,9.50
9.50,9.50,9.50,9.50
9.50,9.50,9.50,9.50
9.50,9.50,9.50,9.50
8.00,8.00,8.00,8.00
9.00,9.00,9.00,9.00
9.00,9.00,9.00,9.00
7.20,7.20,7.20,7.20
7.20,7.20,7.20,7.20
7.00,7.30,7.30,7.00
7.30,7.30,7.30,7.30
8.75,8.75,8.75,8.75
8.75,8.75,8.75,8.75
8.75,8.75,8.75,8.75
8.75,8.75,8.75,8.75
8.75,8.75,8.75,8.75
7.00,9.50,9.50,6.55
9.50,9.50,9.50,9.50
9.50,9.50,9.50,9.50
6.25,8.73,8.73,6.25
8.73,8.73,8.73,8.73
8.73,8.73,8.73,8.73
8.73,8.73,8.73,8.73
8.73,8.73,8.73,8.73
8.73,8.73,8.73,8.73
8.73,8.73,8.73,8.73
8.73,8.73,8.73,8.73
8.73,8.73,8.73,8.73
8.73,8.73,8.73,8.73
8.73,8.73,8.73,8.73
8.75,8.75,8.75,8.75
8.75,8.75,8.75,8.75
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.50,8.50,8.50,8.50
8.40,8.40,8.40,8.40
8.40,8.40,8.40,8.40
8.40,8.40,8.40,8.40
8.40,8.40,8.40,8.40
8.40,8.40,8.40,8.40
8.40,8.40,8.40,8.40
8.40,8.40,8.40,8.40
8.40,8.40,8.40,8.40
8.40,8.40,8.40,8.40
8.40,8.40,8.40,8.40
8.40,8.40,8.40,8.40
8.40,8.40,8.40,8.40
9.25,9.25,9.25,9.25
9.25,9.25,9.25,9.25
9.25,9.25,9.25,9.25
9.25,9.25,9.25,9.25
9.25,9.25,9.25,9.25
9.25,9.25,9.25,9.25
9.25,9.25,9.25,9.25
9.25,9.25,9.25,9.25
9.25,9.25,9.25,9.25
9.25,9.25,9.25,9.25
9.25,9.25,9.25,9.25
9.25,9.25,9.25,9.25
9.25,9.25,9.25,9.25
9.25,9.25,9.25,9.25
9.25,9.25,9.25,9.25
9.25,9.25,9.25,9.25
9.25,9.25,9.25,9.25
9.25,9.25,9.25,9.25
8.40,8.40,8.40,8.40
8.40,8.40,8.40,8.40
8.40,8.40,8.40,8.40
8.40,8.40,8.40,8.40
8.40,8.40,8.40,8.40
8.40,8.40,8.40,8.40
8.40,8.40,8.40,8.40
8.40,8.40,8.40,8.40
8.40,8.40,8.40,8.40
8.40,8.40,8.40,8.40
8.40,8.40,8.40,8.40
8.40,8.40,8.40,8.40
8.40,8.40,8.40,8.40
8.40,8.40,8.40,8.40
8.40,8.40,8.40,8.40
8.40,8.40,8.40,8.40
9.25,9.25,9.25,9.25
9.25,9.25,9.25,9.25
9.25,9.25,9.25,9.25
9.25,9.25,9.25,9.25
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
9.25,9.25,9.25,9.25
9.25,9.25,9.25,9.25
9.25,9.25,9.25,9.25
9.25,9.25,9.25,9.25
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
8.00,8.00,8.00,8.00
