EPC,Edgewell Personal Care Company Common Stock,NASDAQ
61.59,62.63,62.91,61.46
62.60,62.86,62.90,62.09
62.66,63.72,63.86,62.66
63.58,64.72,64.77,63.43
64.41,65.53,65.59,64.16
65.74,64.87,65.74,63.86
64.34,63.96,64.38,63.53
64.19,64.71,64.92,64.00
64.54,64.26,64.87,63.86
64.16,63.61,64.21,63.60
63.72,64.34,64.97,63.43
64.01,63.99,64.29,63.34
62.01,60.82,62.67,60.01
60.53,59.59,60.93,59.47
59.75,59.12,59.95,58.74
59.92,57.63,60.15,56.55
57.51,57.42,58.01,56.64
57.66,56.82,57.81,56.56
57.25,55.50,57.25,55.49
55.78,55.89,56.24,54.85
56.37,57.80,58.15,56.10
57.68,57.73,58.84,57.54
57.32,56.22,57.56,56.18
56.10,56.09,56.48,55.14
56.15,55.76,56.51,55.42
56.39,56.09,56.59,55.40
56.00,54.98,56.00,54.73
54.93,54.98,55.18,54.54
54.61,54.79,54.95,53.88
55.13,55.39,55.62,54.69
55.76,55.96,56.17,55.54
55.98,56.44,56.76,55.70
56.20,56.61,56.81,55.90
56.90,57.00,57.25,56.79
56.70,56.05,56.97,55.84
56.06,56.65,56.74,55.91
55.95,58.01,58.05,55.47
58.15,57.95,58.37,57.79
58.12,58.69,58.72,58.07
58.70,58.49,59.00,58.33
58.76,59.20,59.33,58.47
59.65,59.20,59.90,59.00
59.40,58.91,59.42,58.66
58.69,58.87,59.00,58.18
58.83,59.37,59.69,58.74
59.23,59.22,59.70,58.69
58.75,59.21,59.21,58.56
59.28,59.66,59.66,58.67
59.44,59.87,60.01,59.10
59.84,60.30,60.60,59.52
60.41,60.48,60.69,60.21
62.48,62.53,63.39,61.71
62.75,62.34,63.76,61.97
61.88,62.68,62.93,61.88
62.85,63.37,63.47,62.52
63.24,62.79,63.24,62.36
63.11,62.12,63.35,62.07
62.14,62.16,62.25,61.83
62.33,63.42,63.42,62.27
63.19,63.56,63.74,63.07
63.41,62.76,63.65,62.67
63.20,62.25,63.27,62.05
62.31,63.00,63.37,62.13
62.91,61.98,63.14,61.75
61.95,61.91,61.95,61.20
61.79,62.40,62.44,61.36
62.18,62.63,63.13,62.14
62.85,62.48,62.85,62.38
62.49,62.02,62.76,61.95
62.16,62.20,62.53,61.84
61.94,61.63,62.47,61.46
61.48,61.28,61.95,60.83
61.07,61.24,61.70,60.56
61.58,60.89,61.58,60.89
61.00,60.62,61.00,60.15
60.23,61.08,61.51,59.92
61.16,60.59,61.29,60.38
60.49,62.18,62.24,60.38
60.46,59.39,62.70,58.64
60.17,60.67,60.86,59.51
61.05,61.83,61.99,60.90
61.65,61.10,61.77,60.71
61.14,60.89,61.41,60.76
60.10,59.78,60.10,58.45
59.06,58.50,59.71,58.27
58.10,57.00,58.72,53.03
57.30,54.78,57.30,54.35
56.65,58.14,58.18,56.36
57.55,57.63,58.43,57.24
57.60,59.27,59.28,57.55
59.21,58.23,59.24,58.11
57.76,55.89,58.05,55.69
56.14,56.99,57.06,55.50
57.52,56.85,58.13,56.70
56.57,56.46,56.88,55.72
55.41,55.78,56.87,55.09
55.04,56.87,57.62,55.04
56.56,56.29,57.01,56.13
55.06,55.39,55.49,54.28
55.62,55.16,56.34,54.96
56.22,56.89,56.89,55.96
56.62,56.19,56.81,55.86
55.93,55.32,56.39,55.28
55.44,56.21,56.21,54.88
56.61,56.80,56.86,56.05
55.65,54.03,55.84,53.77
54.30,53.05,54.40,52.96
52.99,53.43,53.52,52.35
53.54,53.46,54.58,53.23
54.04,54.77,54.82,54.02
54.32,54.98,55.10,54.21
