ARL,American Realty Investors,NASDAQ
12.40,12.28,12.40,12.15
12.36,12.27,12.36,12.20
12.00,11.89,12.25,11.81
11.94,12.20,12.25,11.94
12.16,12.10,12.34,11.99
12.04,11.95,12.23,11.90
11.94,11.90,11.96,11.80
11.83,11.77,11.83,11.77
11.80,11.80,11.88,11.79
11.94,11.77,12.10,11.66
11.77,11.66,11.89,11.63
11.69,11.47,12.00,11.25
11.47,11.56,11.82,11.01
11.57,11.49,11.64,11.40
11.54,11.38,11.54,11.36
11.37,11.22,11.37,11.18
11.14,11.34,11.38,11.14
11.35,11.20,11.35,11.20
11.30,11.07,11.30,11.07
11.12,11.47,11.55,11.12
11.10,11.13,11.24,11.10
11.17,11.14,11.22,11.02
11.12,10.45,11.12,10.45
10.50,10.20,10.50,10.13
10.18,9.68,10.18,9.68
9.74,9.55,9.74,9.32
9.45,9.60,9.60,9.45
9.55,9.62,9.95,9.50
9.60,9.50,9.61,9.30
9.57,9.68,9.88,9.57
9.67,9.61,9.67,9.55
9.62,9.72,9.72,9.62
9.64,9.51,9.82,9.44
9.49,9.25,9.49,9.22
9.28,9.30,9.40,9.25
9.35,9.30,9.35,9.28
9.27,9.23,9.30,9.19
9.29,9.47,9.47,9.29
9.46,9.43,9.49,9.35
9.45,9.55,9.59,9.45
9.59,9.55,9.59,9.50
9.59,9.50,9.59,9.41
9.55,9.52,9.55,9.50
9.41,9.30,9.49,9.20
9.31,9.10,9.31,8.51
9.11,8.63,9.13,8.54
8.65,8.77,8.88,8.50
9.60,9.33,9.60,8.65
9.36,10.04,10.05,9.36
10.17,11.19,11.19,10.10
11.25,11.28,11.64,11.15
11.27,11.10,11.31,11.06
11.16,10.72,11.16,10.69
10.65,10.63,10.85,10.50
10.58,10.87,10.87,10.58
10.88,10.85,11.08,10.85
10.92,10.90,10.92,10.79
10.91,10.86,10.91,10.81
11.16,10.88,11.20,10.84
10.88,10.90,10.90,10.75
10.87,10.75,10.88,10.75
10.75,10.75,10.88,10.56
10.72,10.77,10.78,10.51
10.88,10.75,10.88,10.75
10.58,10.83,10.84,10.45
10.62,10.80,10.87,10.62
10.83,10.80,10.83,10.80
10.83,11.16,11.53,10.83
11.01,10.38,11.01,10.38
10.38,10.30,10.38,10.04
10.34,10.28,10.34,10.02
10.11,9.40,10.11,9.25
9.53,9.37,9.53,9.01
9.47,9.38,9.47,9.37
9.42,9.43,9.54,9.27
9.30,9.30,9.30,9.13
9.26,9.39,9.39,9.26
9.34,9.40,9.49,9.30
9.58,9.48,9.58,9.48
9.35,9.38,9.38,9.29
9.50,8.90,9.50,8.90
8.99,8.49,8.99,8.49
8.54,8.84,8.84,8.30
8.77,8.75,8.84,8.37
8.68,8.70,8.72,7.69
8.63,9.00,9.26,8.46
9.20,8.49,9.20,8.49
8.72,8.17,8.72,7.97
8.37,9.35,9.46,8.14
9.47,9.17,9.53,8.80
9.11,8.39,9.44,8.37
8.40,8.38,8.46,7.94
8.34,8.43,8.45,8.26
8.90,8.05,8.91,7.73
7.92,8.17,8.22,7.88
8.04,8.32,8.47,7.60
8.24,8.82,8.82,8.20
8.86,8.21,8.86,8.14
8.09,8.30,8.32,8.09
8.37,8.50,8.68,8.20
8.39,8.83,8.88,8.39
9.00,8.53,9.20,8.51
8.62,8.22,8.62,8.04
8.21,8.49,8.52,8.10
8.46,8.29,8.64,7.62
8.18,7.99,8.28,7.99
7.85,8.03,8.28,7.59
8.02,8.08,8.12,7.86
8.08,8.30,8.37,8.00
8.35,8.29,8.72,8.17
8.19,8.40,8.43,8.19
8.64,8.32,8.70,8.27
8.22,8.30,8.31,8.05
8.12,8.22,8.27,8.12
8.43,8.27,8.43,8.27
8.27,8.08,8.27,8.05
7.99,8.20,8.52,7.99
8.17,8.18,8.39,8.15
8.21,8.16,8.42,8.00
8.08,8.13,8.23,7.76
8.14,8.55,8.95,7.99
8.64,8.27,8.79,8.21
8.27,8.13,8.27,7.77
8.07,8.10,8.49,8.07
7.91,8.12,8.12,7.85
8.11,8.00,8.11,7.75
8.08,8.12,8.12,8.06
7.90,7.84,8.01,7.65
7.86,8.11,8.15,7.79
8.01,7.92,8.02,7.85
7.92,7.75,7.92,7.50
7.76,7.78,7.78,7.52
7.95,7.84,7.95,7.75
7.85,7.81,7.85,7.81
7.84,7.88,8.10,7.76
7.84,7.75,8.16,7.75
7.70,7.75,7.83,7.70
7.81,7.85,8.09,7.70
7.77,8.00,8.00,7.72
8.21,8.02,8.21,7.99
8.23,7.90,8.23,7.90
7.90,7.67,7.90,7.50
7.75,7.87,7.87,7.75
7.75,7.90,7.90,7.75
7.94,8.03,8.10,7.94
8.13,8.09,8.13,8.09
7.87,8.31,8.59,7.87
8.22,8.19,8.32,8.09
8.39,8.06,8.39,8.06
7.89,7.86,8.07,7.85
7.79,7.94,7.97,7.77
7.73,7.95,7.95,7.50
7.85,7.96,7.96,7.85
8.14,7.99,8.14,7.99
8.04,8.09,8.09,7.95
6.55,6.55,6.55,6.55
7.80,8.53,8.53,7.78
8.45,8.49,8.65,8.37
8.50,8.45,8.50,8.45
8.30,8.50,8.51,8.30
8.65,8.45,8.65,8.44
8.30,8.28,8.56,8.24
8.25,8.41,8.41,8.25
8.27,8.14,8.27,8.14
8.18,8.10,8.29,8.10
8.07,8.10,8.24,8.07
8.07,8.17,8.17,8.07
8.02,8.17,8.17,8.02
8.03,8.32,8.32,8.03
8.30,8.30,8.30,8.30
8.44,9.15,9.19,8.36
9.07,9.00,9.24,8.85
9.00,9.05,9.09,8.69
8.90,9.24,9.24,8.60
9.10,8.90,9.33,8.75
8.73,8.90,9.18,8.68
8.94,8.82,8.99,8.76
8.84,8.81,9.24,8.37
8.71,8.90,9.25,8.71
8.79,8.70,9.02,8.59
8.70,7.88,8.70,7.77
7.84,8.08,8.24,7.71
8.19,7.89,8.21,7.85
7.79,8.10,8.10,7.79
7.98,8.08,8.08,7.98
8.12,8.12,8.12,8.00
8.23,8.15,8.23,8.12
8.05,8.12,8.12,8.05
8.03,7.99,8.11,7.99
8.10,8.08,8.10,8.05
8.20,8.01,8.20,7.96
7.92,7.90,8.00,7.79
7.86,7.91,7.93,7.85
8.01,8.03,8.03,7.90
7.64,7.89,7.94,7.64
7.74,7.78,7.78,7.62
7.95,8.01,8.26,7.95
7.94,7.97,7.97,7.94
8.18,8.18,8.18,8.12
8.18,8.26,8.30,8.18
8.05,8.07,8.07,8.00
8.15,8.24,8.29,8.10
8.10,7.95,8.10,7.95
7.88,7.86,7.99,7.80
7.75,7.78,7.78,7.75
7.80,7.59,7.80,7.59
7.70,7.60,7.70,7.60
7.56,7.63,7.63,7.56
7.75,7.75,7.75,7.75
6.88,6.88,6.88,6.88
7.69,7.73,7.73,7.69
7.73,7.73,7.73,7.73
7.70,7.75,7.75,7.70
7.72,7.75,7.75,7.60
7.80,7.75,7.80,7.65
7.84,7.90,7.90,7.84
7.80,7.95,7.95,7.80
7.96,8.11,8.11,7.96
8.24,8.39,8.39,8.24
8.39,8.40,8.51,8.31
8.30,8.45,8.45,8.06
8.27,8.27,8.27,8.13
8.11,8.45,8.45,8.11
8.45,8.58,8.58,8.45
8.48,8.65,8.65,8.39
8.54,8.67,8.68,8.43
8.50,8.41,8.65,8.15
8.39,8.47,8.47,8.32
8.32,8.64,8.70,8.32
8.53,8.70,8.70,8.42
8.75,8.73,8.96,8.56
8.95,8.91,8.99,8.90
8.99,8.90,8.99,8.60
8.75,8.48,8.75,8.15
8.28,8.10,8.42,7.74
8.00,8.26,8.31,8.00
8.23,8.16,8.23,7.93
8.22,8.24,8.27,8.13
8.05,8.27,8.28,8.04
8.13,8.27,8.30,8.11
8.16,8.27,8.30,8.11
8.19,8.30,8.39,8.14
8.13,8.25,8.32,8.11
8.08,8.10,8.15,8.07
8.00,8.10,8.15,8.00
8.02,7.80,8.02,7.74
7.74,7.38,7.74,7.17
7.25,7.25,7.28,6.81
7.35,7.80,7.80,7.35
7.80,8.20,8.23,7.80
8.16,8.22,8.27,8.08
8.12,7.95,8.12,7.93
7.95,7.35,7.95,7.35
7.35,7.30,7.35,6.76
7.30,7.22,7.32,7.20
7.22,7.22,7.22,7.22
7.05,6.24,7.05,6.20
6.29,6.30,6.35,6.24
6.35,6.34,6.47,6.23
6.28,6.12,6.30,6.05
6.08,6.10,6.18,6.07
6.20,7.34,7.41,6.20
7.43,8.20,10.49,7.43
8.03,7.01,8.13,6.88
7.05,7.19,7.19,6.93
7.10,7.05,7.10,6.93
6.85,6.98,6.99,6.85
6.86,6.72,7.29,6.61
6.69,6.76,6.83,6.66
6.75,6.66,6.75,6.50
6.52,6.23,6.52,5.97
6.18,5.95,6.18,5.83
5.87,5.88,5.97,5.82
5.90,6.46,6.50,5.88
6.47,6.50,6.69,6.20
6.58,6.12,6.58,5.90
6.12,5.69,6.12,5.63
5.66,5.40,5.66,5.23
5.45,5.44,5.45,5.44
5.46,5.27,5.46,5.25
5.33,4.56,5.73,4.20
4.50,4.10,4.55,4.10
4.15,4.00,4.21,3.89
3.92,3.85,3.92,3.76
3.82,4.10,4.24,3.55
4.10,4.30,4.30,3.81
4.16,3.98,4.34,3.93
4.02,3.90,4.15,3.80
3.87,3.95,4.02,3.87
3.87,3.95,3.95,3.85
3.99,3.96,4.15,3.85
3.86,3.82,3.99,3.78
3.87,3.88,3.88,3.78
3.85,3.80,3.85,3.79
3.80,3.90,3.93,3.79
3.78,3.68,3.79,3.62
3.58,3.50,3.59,3.46
3.46,3.36,3.46,3.36
3.39,3.41,3.45,3.28
3.35,3.30,3.35,3.30
3.28,3.26,3.29,3.26
3.28,3.18,3.28,3.10
3.00,3.00,3.00,3.00
3.19,3.24,3.24,3.19
3.26,3.22,3.26,3.22
3.21,3.19,3.23,3.19
3.17,3.12,3.17,3.12
3.10,3.06,3.10,3.06
3.07,3.10,3.10,3.07
3.09,3.04,3.15,3.04
3.01,3.34,3.50,2.95
3.28,3.25,3.29,3.18
3.18,3.18,3.18,3.18
3.16,3.08,3.16,3.08
3.08,3.17,3.17,3.08
3.20,3.22,3.29,3.20
3.17,3.09,3.19,3.09
3.13,2.85,3.13,2.85
2.89,3.05,3.10,2.89
3.05,2.96,3.05,2.96
2.84,2.92,2.92,2.84
3.00,3.00,3.00,3.00
2.97,3.05,3.05,2.10
3.06,2.95,3.06,2.83
3.00,2.89,3.00,2.89
3.01,2.88,3.03,2.82
2.86,2.87,2.93,2.86
2.87,2.94,2.94,2.85
2.86,2.85,2.86,2.85
2.85,2.83,2.85,2.83
2.66,2.67,2.78,2.64
2.51,2.49,2.51,2.35
2.45,2.55,2.63,2.45
2.54,2.54,2.54,2.54
2.49,2.48,2.49,2.40
2.46,2.49,2.49,2.46
2.49,2.46,2.49,2.39
2.41,2.40,2.41,2.40
2.40,2.44,2.49,2.37
2.40,2.40,2.40,2.40
2.37,2.49,2.50,2.35
2.50,2.51,2.51,2.48
2.50,2.51,2.51,2.50
2.47,2.53,2.53,2.47
2.45,2.35,2.53,2.35
2.50,2.53,2.53,2.50
2.47,2.53,2.53,2.39
2.53,2.53,2.53,2.49
2.35,2.53,2.53,2.35
2.36,2.53,2.53,2.36
2.40,2.49,2.49,2.40
2.36,2.36,2.36,2.36
2.33,2.52,2.60,2.21
2.59,3.23,3.74,2.59
3.33,2.58,3.35,2.55
2.50,2.35,2.61,2.32
2.38,2.35,2.41,2.32
2.32,2.61,2.63,2.30
2.63,2.23,2.63,2.18
2.20,2.12,2.20,2.12
2.12,2.12,2.13,2.10
2.11,2.05,2.11,2.01
2.01,1.87,2.10,1.78
1.80,2.58,2.71,1.75
2.90,3.20,3.60,2.39
3.20,3.05,3.40,3.00
3.05,3.35,3.42,2.79
3.42,3.96,4.30,3.42
3.87,4.26,4.34,3.60
4.38,3.90,4.85,3.85
3.77,3.87,3.97,3.77
3.80,3.29,3.80,3.29
3.29,3.18,3.29,3.10
3.20,3.16,3.51,3.15
3.17,2.93,3.17,2.93
2.96,2.64,2.96,2.55
2.68,2.61,2.68,2.61
2.59,2.57,2.62,2.52
2.57,2.37,2.66,2.22
2.43,2.50,2.58,2.43
2.54,2.48,2.59,2.43
2.45,2.43,2.50,2.31
2.46,2.45,2.49,2.32
2.51,2.32,2.51,2.32
2.30,2.35,2.35,2.30
2.32,2.20,2.33,2.18
2.20,2.25,2.29,2.20
1.85,1.85,1.85,1.85
2.25,2.25,2.28,2.25
2.28,2.25,2.28,2.25
2.28,2.28,2.28,2.26
2.25,2.26,2.26,2.25
2.25,2.25,2.28,2.18
2.25,2.14,2.25,2.11
2.13,2.20,2.20,2.13
