CUR,Neuralstem,NASDAQ
23.27,24.05,24.05,22.75
23.53,23.92,24.05,23.40
23.66,23.66,24.05,23.40
23.66,23.40,23.79,23.40
23.01,25.35,26.13,23.01
25.61,27.17,27.30,24.00
27.30,27.04,27.69,26.14
27.95,29.12,29.25,27.17
29.25,30.81,30.94,27.95
30.94,31.20,31.72,29.25
31.59,32.46,32.50,31.20
32.37,31.85,32.44,30.55
30.68,30.68,31.85,30.16
29.90,26.39,30.55,25.74
26.39,27.30,28.21,26.39
27.30,26.00,27.95,25.22
26.78,24.70,26.78,24.05
24.70,24.57,25.35,24.05
23.92,24.31,25.35,23.92
24.31,24.18,24.96,23.92
23.92,23.79,24.83,23.79
23.79,24.44,24.44,23.14
24.05,23.66,24.05,22.75
23.01,23.53,24.00,22.75
23.53,24.16,24.70,23.01
24.18,24.79,24.96,24.18
24.96,27.82,28.47,24.44
29.77,27.43,29.77,26.26
27.43,28.47,28.47,26.00
27.95,27.43,28.21,26.52
26.91,27.56,27.95,26.78
28.21,26.91,28.21,25.87
27.43,27.95,27.95,26.00
27.95,28.08,28.21,27.30
28.08,27.43,28.21,26.65
27.04,26.78,27.51,26.78
27.17,26.52,27.17,26.13
26.91,27.04,27.04,25.48
26.65,25.74,26.65,25.48
26.91,26.39,26.91,25.74
27.17,26.14,27.17,25.61
26.52,26.52,26.65,26.00
26.13,26.65,26.91,26.00
26.91,26.13,26.91,25.74
26.52,26.39,26.78,26.00
26.52,26.39,26.55,25.74
26.39,26.39,26.65,26.13
26.26,26.39,26.65,26.00
26.39,26.78,27.04,26.13
26.26,27.30,27.56,26.26
27.82,26.91,27.82,26.39
27.04,26.65,27.04,26.00
27.17,26.39,27.17,26.00
26.13,26.26,26.39,24.70
26.26,26.00,26.78,25.87
26.00,26.13,26.13,25.87
26.00,26.39,26.39,26.00
26.13,27.17,27.17,26.00
27.30,26.51,27.30,26.26
27.04,26.44,27.04,26.00
25.87,26.65,26.78,25.87
N/A,N/A,N/A,N/A
26.00,26.13,26.13,25.74
26.13,26.13,26.26,25.87
26.00,26.00,26.13,24.96
25.87,26.52,26.52,25.87
26.65,26.13,26.66,25.74
25.87,26.65,26.91,25.87
26.26,27.04,27.17,26.26
27.17,27.04,27.17,26.66
26.65,29.64,30.81,26.65
32.50,30.42,32.50,29.12
29.38,29.64,30.16,28.34
29.25,36.40,37.44,27.69
36.40,35.49,36.92,33.15
35.62,38.87,38.87,33.80
39.00,36.53,39.00,35.49
36.92,35.36,38.61,34.06
35.36,34.32,36.01,33.93
34.32,36.53,37.18,33.28
37.70,38.61,38.61,36.01
39.26,38.09,40.30,36.66
37.57,39.13,40.30,37.05
39.65,41.34,42.25,38.48
41.86,40.30,42.12,39.00
39.65,37.70,40.95,34.07
38.87,37.70,39.65,36.14
39.39,41.99,42.25,38.48
41.47,42.25,42.77,37.70
