SAA,ProShares Ultra SmallCap600,NASDAQ
31.82,32.29,32.45,31.81
32.30,32.05,32.44,31.80
32.11,32.04,32.39,31.87
32.08,32.45,32.52,31.47
32.23,32.72,32.72,32.11
33.09,32.54,33.14,32.28
32.03,31.93,32.32,31.61
32.06,32.63,32.74,31.66
32.43,32.88,33.00,32.43
32.91,32.05,33.00,31.50
32.27,33.08,33.14,32.27
32.73,32.28,32.73,31.46
32.22,31.41,32.67,31.12
31.27,30.30,31.61,30.10
30.70,30.38,30.74,29.99
30.15,29.89,30.60,29.84
29.58,30.46,30.60,29.48
30.70,29.44,30.70,28.86
29.58,28.89,30.09,28.77
28.99,29.35,29.45,28.86
29.50,29.87,30.00,29.16
29.74,29.42,29.89,28.98
29.04,27.71,29.12,27.61
27.67,27.78,27.79,26.70
27.47,27.14,27.89,27.14
27.86,27.79,28.20,27.28
27.76,28.05,28.13,27.25
27.94,28.92,28.92,27.50
28.40,29.27,29.33,28.18
29.83,30.22,30.22,29.39
30.44,30.56,30.67,30.15
30.57,31.19,31.19,30.50
30.95,31.43,31.58,30.88
31.71,31.54,31.75,31.36
31.40,30.86,31.54,30.71
31.07,31.56,31.75,31.07
30.68,31.44,31.51,30.48
31.59,31.30,31.62,31.04
31.80,32.53,32.59,31.80
32.82,33.09,33.30,32.70
33.37,33.26,33.74,33.04
33.39,33.46,33.54,33.14
33.96,34.73,34.83,33.79
34.81,34.90,35.10,34.71
34.79,35.33,35.66,34.73
35.32,35.78,36.10,35.25
35.40,35.96,35.99,35.09
36.35,35.99,36.35,35.49
36.00,35.85,36.06,35.33
36.26,36.45,36.46,35.77
36.61,37.04,37.28,36.61
37.00,36.78,37.33,36.61
36.03,36.03,37.04,35.76
35.48,37.04,37.17,35.42
37.19,37.87,37.93,36.89
37.62,36.94,37.67,36.94
37.55,36.51,37.99,36.51
36.77,36.38,37.17,36.15
36.77,36.72,37.00,36.38
36.89,36.91,37.25,36.42
36.63,36.23,37.41,36.23
36.78,36.89,37.11,36.21
37.20,38.19,38.19,36.97
38.04,38.66,38.85,37.80
38.56,38.40,38.81,37.98
38.19,38.33,38.57,37.61
38.40,38.66,38.69,37.86
