CPSI,Computer Programs and Systems,NASDAQ
46.07,46.99,47.05,46.07
46.97,47.24,47.62,46.75
47.34,48.26,48.50,47.34
48.63,48.47,49.09,47.27
48.21,47.79,48.47,47.17
47.83,48.56,48.57,47.00
48.16,47.81,49.37,47.58
48.08,48.15,48.39,47.59
47.88,47.67,48.23,47.30
47.83,47.19,47.83,46.71
47.12,47.69,47.80,46.97
47.22,47.12,47.37,46.67
47.07,46.47,47.13,45.88
46.30,46.10,46.70,46.05
46.24,45.99,46.60,45.99
45.99,45.67,46.62,45.55
45.59,45.90,46.00,45.13
46.10,44.03,46.10,43.79
35.58,37.63,39.23,33.92
37.52,38.00,38.25,37.03
38.00,38.61,38.98,37.48
38.25,37.81,38.25,37.41
37.66,37.26,38.10,37.26
37.36,37.11,37.38,36.50
36.98,36.25,36.98,35.89
36.38,37.06,37.09,36.17
36.66,36.82,36.83,36.28
36.70,36.56,36.70,35.96
36.16,36.96,36.96,36.09
37.00,38.12,38.16,36.48
38.09,38.07,38.38,37.81
37.89,37.95,38.14,37.41
37.99,37.88,38.03,37.34
37.85,37.69,37.85,37.36
37.47,37.41,37.76,37.00
37.38,36.83,37.38,36.53
36.37,36.19,36.42,35.64
36.26,35.94,36.26,35.37
35.95,36.15,36.60,35.95
36.08,36.23,36.26,35.60
36.47,35.91,36.49,35.46
35.73,36.32,36.39,35.29
36.37,37.95,38.09,36.33
38.18,37.90,38.18,37.58
37.96,38.83,38.91,37.90
38.99,39.57,40.00,38.75
39.59,39.34,39.72,38.86
39.26,39.11,39.26,38.84
39.11,38.79,39.39,38.64
38.69,38.73,38.77,37.98
38.64,39.66,40.27,38.64
39.61,40.43,40.80,39.61
41.79,41.05,41.94,40.74
40.72,41.72,42.05,40.72
41.91,41.53,41.91,41.22
41.43,40.98,41.99,40.87
41.28,40.64,41.38,40.64
40.63,40.72,41.11,40.50
40.74,40.06,41.00,39.95
39.99,39.59,40.16,39.48
39.34,39.08,39.75,38.89
N/A,N/A,N/A,N/A
39.17,39.46,39.78,39.13
39.30,38.96,39.32,38.81
38.80,38.21,38.96,38.06
37.99,37.90,38.26,37.70
37.87,38.69,38.87,37.38
38.63,38.55,38.79,38.29
38.37,38.16,38.46,37.93
38.25,38.93,39.02,37.73
38.99,39.35,39.46,38.84
39.35,39.73,40.25,39.02
39.48,39.67,40.26,39.26
39.76,40.32,40.56,39.73
40.50,40.20,40.87,40.06
39.69,40.19,40.52,39.49
39.83,45.74,46.69,39.83
45.84,45.37,46.01,44.60
45.08,45.13,45.92,45.06
45.22,45.25,45.78,44.87
45.48,45.71,46.01,44.98
45.35,45.06,45.72,44.81
45.10,45.88,46.16,44.34
45.25,44.68,45.68,44.43
44.10,44.16,44.82,43.89
44.14,42.95,45.62,42.00
42.32,41.73,44.05,41.64
43.39,43.82,44.01,42.66
43.31,44.51,45.55,42.81
44.55,46.16,46.30,44.42
45.99,46.59,47.26,45.79
46.08,44.68,46.08,44.13
44.77,44.37,46.47,43.50
44.69,43.80,45.54,43.70
43.56,44.20,44.62,43.03
43.14,41.91,43.83,41.89
41.50,42.41,42.77,40.75
42.26,42.00,42.95,41.46
41.31,42.85,43.00,40.84
43.03,42.27,44.36,42.20
42.78,43.62,43.81,42.47
43.39,43.01,44.03,43.00
42.63,42.29,43.13,41.77
42.52,42.66,42.83,41.55
42.54,42.89,43.40,42.19
41.85,41.36,42.04,41.12
41.39,40.60,41.93,40.53
40.61,39.99,40.98,39.73
40.52,40.47,41.90,40.11
41.08,42.15,42.16,40.75
41.77,42.05,42.23,41.69
42.48,41.99,43.37,41.80
42.26,43.00,43.14,41.63
42.58,42.55,43.08,42.44
40.30,39.02,41.04,38.80
39.20,36.31,39.20,36.15
36.65,38.02,38.16,36.35
38.26,38.12,39.15,38.05
38.07,37.47,38.14,37.25
37.17,37.36,37.63,36.69
38.58,39.77,39.90,38.07
39.94,40.84,41.02,39.20
40.31,40.47,40.79,40.00
40.57,40.92,41.18,39.25
40.84,40.62,40.85,39.86
40.84,40.36,40.99,40.20
40.88,39.71,40.99,39.64
39.94,40.95,41.07,39.50
41.35,41.49,41.59,40.71
41.40,41.34,41.60,40.28
41.12,40.80,41.27,40.45
41.29,42.21,42.39,41.29
42.15,42.70,43.16,41.76
42.67,42.38,42.68,41.95
42.03,39.93,42.08,39.72
39.95,39.77,40.49,39.25
39.24,40.07,40.10,38.60
40.36,39.12,41.28,39.01
39.66,40.67,40.77,39.29
40.42,42.05,42.28,40.42
42.25,43.24,43.25,42.06
43.45,42.78,43.45,42.21
42.62,42.16,42.80,41.76
42.49,41.39,42.90,41.26
42.00,44.97,45.91,42.00
45.32,45.87,46.16,44.62
45.56,45.19,46.35,45.12
44.44,44.16,44.72,43.31
