DHIL,Diamond Hill Investment Group,NASDAQ
64.01,64.71,64.71,64.00
64.91,64.14,65.00,64.00
64.02,62.76,64.31,62.55
62.51,64.27,64.59,62.51
64.01,63.46,65.09,62.31
63.51,64.76,64.85,63.51
64.05,63.48,64.43,62.70
64.06,63.56,64.06,63.03
63.50,64.44,64.99,63.26
64.93,64.66,65.02,63.00
64.66,64.34,65.12,63.01
63.60,63.85,64.00,63.50
63.95,62.85,64.17,62.80
63.68,62.73,65.01,62.49
63.28,62.56,63.87,62.01
62.14,61.88,63.93,61.26
60.81,61.32,62.51,60.32
61.53,60.87,61.69,60.36
62.60,58.74,62.60,57.63
59.13,59.65,61.05,59.06
59.05,56.90,60.00,55.61
56.91,58.05,58.80,56.91
57.74,57.15,58.35,56.95
57.57,55.89,58.06,55.67
55.53,54.86,55.70,54.58
55.80,57.64,58.13,55.00
54.61,57.00,57.85,54.61
56.88,57.70,58.36,56.11
56.78,59.60,60.00,56.72
59.85,61.80,62.32,59.85
61.86,61.72,61.86,60.71
61.36,62.40,62.71,61.36
62.15,63.65,63.68,62.15
64.00,64.06,64.58,63.49
63.94,64.94,65.59,63.94
65.85,65.46,65.85,64.52
64.35,64.85,64.95,64.25
65.00,63.84,65.00,63.24
64.03,64.06,64.75,63.50
64.12,65.33,65.33,63.27
65.13,65.90,66.08,64.96
65.86,66.50,66.50,65.66
66.73,70.00,70.00,66.73
69.50,70.98,71.44,66.09
70.93,70.97,71.00,68.91
70.51,71.03,71.03,69.66
70.14,71.28,71.28,70.00
71.91,69.76,71.91,69.76
69.53,70.02,70.35,68.40
69.50,70.50,70.50,69.50
70.09,70.81,71.40,70.00
70.80,70.32,71.35,70.05
70.98,68.13,74.84,68.13
67.85,69.37,69.37,67.68
69.19,69.43,69.91,69.19
68.90,70.49,70.49,68.90
70.79,70.11,71.48,68.78
69.51,70.22,70.78,68.16
70.07,68.99,70.98,68.64
69.63,69.88,70.49,68.48
69.58,68.60,70.76,68.57
69.26,69.95,70.87,69.26
70.40,71.51,71.85,70.11
69.72,70.19,71.18,69.54
70.00,69.63,70.50,69.55
69.55,69.99,69.99,69.55
70.28,70.30,70.30,69.91
68.85,70.17,70.39,68.84
70.00,70.17,70.35,69.50
70.20,70.34,70.34,69.74
70.35,70.53,70.53,70.25
70.57,71.00,71.01,70.38
70.54,71.80,71.90,69.99
72.00,72.50,72.50,72.00
73.09,73.97,74.44,72.74
73.57,75.54,75.88,73.57
74.66,74.94,75.45,74.00
74.96,76.22,76.44,74.28
75.43,74.08,76.76,74.08
74.82,75.00,75.00,74.82
73.75,81.43,82.49,73.75
81.49,78.04,82.11,77.51
80.81,78.99,81.05,78.15
78.08,76.97,78.91,75.45
75.86,75.99,77.06,75.00
75.57,71.35,76.51,70.03
71.52,69.00,73.51,68.50
70.28,70.00,72.16,69.15
70.48,70.29,70.50,70.29
70.29,73.02,73.02,69.04
72.85,72.68,73.15,72.00
72.20,69.74,72.66,69.67
