LEA,Lear Corporation Common Stock,NASDAQ
68.97,69.36,69.81,68.00
70.30,71.73,72.05,70.12
71.92,72.42,73.28,71.74
73.05,72.21,73.30,71.90
72.78,72.48,73.73,72.30
72.70,72.13,72.94,71.89
72.12,71.03,72.12,70.11
72.01,71.34,72.40,69.70
70.86,71.39,71.77,70.81
71.31,71.25,71.69,71.04
71.70,71.00,71.70,70.91
71.45,71.05,71.45,70.22
71.20,70.10,71.89,70.00
70.93,69.00,71.62,67.96
69.58,69.90,70.68,69.28
69.11,70.00,70.36,69.11
70.41,69.05,70.41,67.48
69.16,69.12,69.55,68.25
69.65,68.80,69.98,68.13
69.39,70.12,70.15,68.81
70.59,70.96,71.06,69.81
70.75,73.92,74.15,70.75
73.71,71.22,73.71,71.09
72.15,68.65,73.39,67.03
69.28,70.19,70.28,68.69
70.56,70.99,71.19,70.22
71.18,70.50,71.89,70.24
70.65,70.76,71.26,70.31
69.64,70.30,70.54,69.23
70.63,71.44,71.70,70.01
71.44,70.43,71.58,70.01
70.43,70.07,70.62,69.77
70.07,70.30,70.94,69.97
70.75,70.54,71.15,70.24
70.15,69.67,70.46,69.53
69.67,69.51,70.29,69.22
69.35,68.90,69.35,68.13
69.36,69.27,69.59,68.50
69.75,71.24,71.78,69.75
71.39,72.16,72.99,71.19
72.16,72.81,73.63,72.11
73.13,72.23,73.54,71.99
72.33,73.75,74.00,71.76
73.45,74.20,74.59,73.45
74.20,73.85,74.51,73.21
74.06,73.83,74.97,73.60
73.45,73.74,74.17,73.19
73.74,74.30,74.58,73.74
74.14,74.12,74.42,73.25
74.16,74.00,74.60,73.75
74.00,75.81,76.19,73.76
76.01,75.95,76.80,74.81
77.74,77.74,78.16,76.03
77.09,79.15,79.65,77.09
79.50,80.00,80.90,79.10
79.87,79.70,80.80,79.23
79.90,80.15,80.71,79.50
80.25,81.85,82.03,78.65
81.65,81.20,82.31,80.85
81.00,80.30,81.00,78.42
80.09,79.35,80.09,78.68
79.69,80.47,80.84,79.16
80.25,80.30,81.70,79.57
80.49,81.41,81.84,79.30
81.67,81.00,81.67,80.05
80.67,80.81,81.00,80.07
80.79,80.71,81.60,80.06
80.77,80.71,81.09,80.18
80.87,80.80,81.19,80.14
81.19,82.42,83.09,80.76
81.98,83.78,84.04,81.98
83.24,83.02,84.27,82.03
82.26,82.00,82.90,80.90
83.01,83.34,84.27,83.01
83.87,83.04,84.97,82.75
82.51,82.75,83.24,82.17
83.06,83.90,83.95,83.06
83.40,83.75,84.91,83.40
83.65,79.96,83.79,79.52
80.56,79.97,81.10,79.57
79.52,81.53,82.24,79.45
81.99,81.18,83.26,80.97
81.36,81.82,82.46,80.63
80.20,78.56,80.51,78.25
78.33,76.96,79.68,75.14
77.10,74.07,77.99,69.65
74.40,72.50,75.06,70.97
75.28,75.49,78.95,74.66
74.52,74.12,76.40,73.75
74.73,75.80,76.35,74.34
76.41,75.30,77.89,75.09
75.01,73.50,75.21,72.92
73.42,70.55,74.48,70.05
71.72,70.07,72.53,69.53
69.29,69.52,70.11,67.10
68.59,66.29,68.59,65.71
65.05,66.89,67.90,64.18
66.85,66.63,67.70,65.81
65.00,65.73,65.87,58.00
66.23,66.12,67.75,64.97
67.88,68.03,68.50,66.99
68.12,67.67,68.36,66.88
67.29,66.80,67.97,66.72
67.54,67.52,67.64,65.77
68.10,70.52,70.86,67.84
68.80,67.17,69.43,66.70
67.49,66.12,68.00,65.88
66.61,65.36,67.17,64.26
66.02,64.46,66.71,64.00
64.93,66.26,66.85,64.93
65.89,66.43,66.98,65.14
67.39,68.30,68.71,66.80
69.33,70.41,70.65,68.88
70.00,70.86,71.16,69.80
70.73,70.27,70.90,69.66
70.44,72.10,72.57,70.44
73.17,72.61,76.00,71.91
72.44,71.11,72.58,70.79
70.79,71.02,71.64,69.86
70.75,70.25,71.27,69.35
70.05,70.75,71.30,69.28
70.60,70.49,71.30,70.03
69.50,67.66,69.56,67.29
67.56,66.20,69.94,65.88
66.65,64.73,67.77,63.52
64.60,63.98,65.96,63.71
65.34,63.61,65.36,63.03
63.34,65.46,65.56,63.34
66.24,66.57,67.11,65.77
66.95,68.19,68.25,66.88
68.04,66.98,68.70,66.68
68.37,69.08,69.51,67.89
68.42,69.91,70.20,68.42
69.84,70.16,70.23,68.33
69.85,68.03,69.85,67.98
68.65,68.57,69.17,67.34
67.74,69.03,69.18,66.95
69.78,69.86,71.19,69.61
70.94,72.48,73.09,70.84
71.91,74.92,74.94,71.91
75.40,75.45,76.20,74.86
75.95,76.04,77.00,75.26
76.05,75.72,76.90,74.99
75.88,77.25,77.52,75.21
76.71,78.17,78.18,76.39
79.92,78.79,81.39,78.22
80.50,78.17,81.97,78.00
78.27,79.55,80.60,78.27
78.62,81.05,81.30,78.62
79.81,81.30,82.10,79.81
81.39,81.06,82.08,80.87
80.02,80.25,80.84,79.91
79.15,79.35,79.97,78.75
78.50,77.81,78.50,77.30
77.77,78.03,78.65,76.68
77.87,78.48,79.65,77.60
78.87,79.92,80.60,78.87
80.05,79.84,80.29,79.46
79.56,78.50,80.08,78.00
78.32,77.76,78.64,77.48
78.08,77.38,78.45,76.95
76.58,74.50,77.45,74.15
74.15,74.46,75.06,72.93
74.90,73.95,75.93,73.84
74.32,75.15,75.56,73.20
75.05,74.52,75.54,74.26
73.93,73.66,74.95,72.74
74.87,76.10,77.28,74.41
76.22,77.39,77.89,76.22
78.09,77.25,78.19,76.96
76.98,76.51,77.70,76.24
75.49,74.29,75.49,73.28
75.02,72.95,75.45,72.70
73.36,71.56,73.36,71.23
71.94,71.21,72.60,70.95
71.13,72.72,73.34,70.83
72.28,73.68,73.75,71.93
72.68,73.67,73.91,71.06
74.09,74.03,74.71,73.83
74.36,75.12,75.43,73.96
75.21,74.36,75.78,74.14
74.27,74.72,75.13,74.13
74.30,73.68,74.47,73.15
73.78,74.75,75.36,73.03
74.60,75.15,75.85,73.90
75.05,75.25,75.53,74.13
75.20,77.87,77.95,74.91
78.38,78.93,80.40,78.09
79.66,78.72,79.95,77.03
78.73,78.83,79.75,78.35
79.25,81.11,81.76,79.24
81.00,81.06,81.45,79.89
81.48,80.97,82.48,80.71
80.94,82.20,82.35,80.34
82.00,83.91,84.03,82.00
83.86,83.80,85.61,83.00
84.14,84.88,85.51,83.37
84.69,85.52,85.66,84.37
86.36,87.31,87.46,85.72
86.82,85.71,87.05,84.86
84.84,84.51,85.53,83.79
84.53,84.87,86.00,84.10
85.06,85.85,86.00,84.89
85.57,85.32,86.00,85.08
85.67,84.66,86.00,84.31
84.45,85.45,85.97,83.66
84.86,85.76,86.27,84.46
87.72,87.65,89.45,86.47
87.30,88.40,89.11,86.74
88.82,88.26,89.84,87.99
88.78,89.35,89.46,88.00
89.55,89.73,90.00,87.59
90.04,89.99,90.29,89.35
90.00,90.00,90.09,89.04
89.69,91.16,91.21,89.41
91.23,89.85,91.88,89.80
89.85,87.72,89.85,86.90
87.31,89.35,89.74,87.31
88.96,87.50,88.96,87.13
87.85,86.71,88.24,86.57
86.23,86.21,87.80,84.74
86.13,87.63,88.19,86.13
88.40,87.42,89.65,86.70
87.50,88.16,88.48,86.59
87.95,88.32,88.70,87.76
87.71,88.00,88.57,87.24
88.47,89.78,90.06,88.02
89.06,89.95,90.34,88.99
89.47,89.28,89.97,87.54
88.39,87.77,88.47,87.11
88.96,89.77,90.20,88.00
89.86,92.76,93.61,89.80
92.64,94.03,94.55,92.45
94.03,94.20,95.18,93.85
94.90,93.71,95.56,93.64
93.94,94.50,94.74,92.85
94.50,93.65,95.00,93.24
93.78,92.76,93.78,92.59
93.05,93.31,93.68,92.87
93.13,95.81,96.61,93.13
95.95,95.13,96.36,94.75
95.38,96.46,96.72,94.53
97.17,99.12,100.71,97.17
99.57,99.72,100.05,97.95
99.75,99.55,100.81,99.25
99.94,99.75,101.02,99.49
99.51,99.72,100.23,99.34
99.45,98.02,99.47,97.77
98.59,96.94,98.59,96.36
96.96,97.15,97.62,96.65
97.16,97.04,97.56,96.74
97.06,98.71,99.47,96.95
98.83,99.83,101.84,97.72
99.97,100.38,101.81,99.50
100.62,105.23,105.77,100.00
107.04,105.76,107.58,105.39
105.71,105.80,106.57,104.91
106.61,107.89,109.76,106.61
108.18,106.94,112.30,106.73
108.21,106.18,109.08,106.03
106.82,106.74,107.51,105.68
107.22,109.36,109.83,106.85
108.63,109.30,110.00,108.00
108.86,106.23,109.12,105.59
106.49,106.27,108.10,103.87
106.95,104.99,109.20,104.32
105.31,107.12,108.06,105.31
107.05,106.88,107.55,104.85
107.87,106.65,108.16,106.00
107.06,110.50,111.31,106.40
108.37,104.85,108.95,103.83
105.41,105.63,106.64,103.60
107.50,106.11,109.83,103.64
106.43,104.29,108.20,104.16
104.46,106.29,106.69,100.22
106.76,107.67,108.36,106.29
107.76,108.72,109.89,107.76
108.44,110.49,110.79,108.18
109.92,108.39,110.20,107.99
107.96,107.71,108.25,106.90
107.82,110.27,110.45,107.20
110.32,109.79,112.24,109.15
109.57,107.72,109.57,107.07
108.58,111.13,112.20,107.24
111.78,110.86,114.06,110.29
110.51,111.92,112.33,110.07
110.78,109.94,111.84,109.32
109.81,104.83,110.47,103.38
104.12,104.31,108.19,102.65
105.38,106.29,106.64,104.56
106.62,105.80,108.87,105.34
106.91,104.27,107.77,103.50
103.70,103.61,104.96,102.75
104.79,105.16,106.42,104.01
105.26,104.36,105.74,103.67
104.85,103.30,105.74,102.18
103.40,104.23,104.94,102.44
104.21,105.40,105.89,103.51
103.67,102.88,103.72,100.93
102.87,102.12,103.05,99.79
101.67,100.80,102.75,99.86
97.78,100.15,100.94,96.31
99.64,97.03,100.35,95.20
99.19,94.99,99.50,94.51
49.05,49.28,49.87,47.99
50.16,50.06,50.95,49.75
49.94,49.03,50.43,48.40
48.81,48.97,49.38,47.82
49.05,49.32,49.88,48.67
49.22,49.55,50.15,48.91
49.61,48.40,49.63,48.32
48.29,48.41,48.64,48.12
48.78,48.00,49.13,47.94
48.10,48.87,48.89,47.62
49.17,48.48,49.93,48.26
48.80,48.03,48.99,47.79
47.94,48.36,48.53,47.87
48.43,48.47,48.77,48.23
48.49,47.90,48.61,47.61
48.18,48.05,48.73,47.68
47.98,47.50,48.46,47.39
47.21,47.14,47.26,45.96
47.49,47.15,47.93,46.82
47.00,46.38,47.15,46.01
46.44,46.37,46.60,45.84
45.96,45.80,46.21,45.41
46.02,46.12,46.78,45.81
46.95,48.23,48.96,46.87
48.61,48.97,49.14,47.80
48.95,48.28,49.00,47.95
48.48,49.26,49.71,48.48
49.53,49.97,50.16,49.40
49.80,49.84,50.26,49.51
52.03,51.14,52.59,50.31
51.35,52.24,52.72,51.27
52.19,50.74,52.28,50.50
50.74,50.33,51.50,49.73
49.93,51.08,51.65,48.90
51.89,51.88,52.23,51.11
51.60,51.55,52.37,51.12
51.94,51.90,52.15,51.65
51.90,51.55,52.08,51.29
51.33,51.54,52.00,50.66
51.50,50.89,51.87,50.45
50.69,50.84,51.27,50.46
50.41,48.27,50.53,48.17
48.30,49.21,49.26,47.84
49.58,50.38,50.57,49.39
50.21,49.98,50.28,49.54
49.20,48.76,49.72,48.56
