CLX,Clorox Company (The) Common Stock,NASDAQ
61.55,61.43,61.55,61.09
61.27,62.10,62.80,60.73
61.77,61.94,62.44,61.50
61.71,61.35,61.71,61.03
61.13,61.36,61.41,60.55
61.24,61.34,61.40,60.45
61.23,61.43,61.50,61.04
61.40,61.93,62.31,61.29
61.73,61.89,62.20,61.50
61.89,61.19,62.10,61.03
61.26,61.48,62.19,61.11
61.37,61.40,61.55,60.82
61.69,61.00,61.99,60.50
61.00,60.12,61.27,60.06
60.45,60.17,60.48,59.91
59.62,59.26,59.62,59.03
59.16,59.24,59.58,58.96
59.47,59.29,60.22,59.21
59.41,59.17,59.80,59.10
59.32,59.48,59.58,59.01
59.61,60.26,60.41,59.25
60.19,60.66,60.84,59.86
61.00,60.35,61.57,60.08
60.53,60.57,60.70,59.89
60.63,60.27,61.15,60.05
60.67,60.70,60.98,60.05
60.78,60.24,60.78,60.00
60.17,60.12,60.30,59.59
59.97,59.36,60.00,59.07
59.46,59.90,59.95,59.40
60.05,60.38,60.48,59.97
60.20,60.90,61.11,60.14
60.91,61.01,61.10,60.43
61.14,61.02,61.25,60.83
60.96,60.95,61.20,60.48
61.17,61.00,61.20,60.69
60.57,61.17,61.26,60.31
61.31,61.31,61.55,60.96
61.33,61.56,61.62,61.08
61.69,61.60,61.70,61.37
61.42,61.38,61.88,61.14
61.53,61.59,61.76,61.31
61.67,61.50,61.81,61.17
61.35,61.88,62.08,61.24
61.82,62.01,62.23,61.73
61.99,62.35,62.36,61.66
62.31,62.56,62.56,61.98
62.61,62.89,62.97,62.46
62.80,62.93,62.97,62.55
63.39,63.95,64.00,63.12
64.02,64.64,64.90,63.98
64.83,64.61,64.88,64.30
64.69,64.43,64.85,64.04
64.62,64.92,64.98,64.30
65.00,65.11,65.18,64.60
64.89,64.85,65.09,64.68
65.07,64.77,65.15,64.72
64.93,64.56,64.93,64.13
64.72,64.99,65.12,64.41
65.09,64.73,65.09,64.31
64.64,64.14,64.64,63.91
64.23,64.28,64.34,63.90
64.49,63.97,64.49,63.66
64.06,63.71,64.06,63.27
63.54,63.37,63.66,63.20
63.23,63.32,63.36,63.02
63.62,63.52,63.70,63.02
63.61,63.46,63.64,63.20
63.49,63.85,63.99,63.25
63.69,64.36,64.42,63.44
64.30,64.18,64.35,63.87
64.12,64.49,64.71,64.00
64.35,64.81,64.82,64.33
64.97,64.94,65.00,64.65
65.09,65.16,65.27,64.89
64.99,64.65,64.99,63.86
64.58,65.32,65.50,64.28
64.96,64.47,65.19,64.25
64.56,63.67,64.56,63.58
63.91,64.07,64.51,63.35
64.39,64.75,64.77,64.00
64.66,64.70,65.19,64.40
64.49,64.05,64.95,62.98
63.34,63.04,63.34,62.44
62.56,63.11,63.67,62.56
62.95,62.42,63.20,60.85
62.42,61.50,62.84,61.18
62.71,63.51,63.60,62.50
63.20,63.14,63.82,63.00
63.10,63.88,64.03,62.80
63.94,63.66,64.28,63.60
63.52,63.73,64.16,63.45
64.19,65.02,65.15,63.91
65.33,64.57,65.33,64.42
64.61,63.91,64.70,63.75
63.17,62.80,63.78,62.80
62.63,62.73,63.14,62.25
62.69,62.66,63.21,62.52
61.98,62.85,62.91,61.56
63.27,62.86,63.60,62.82
63.58,63.37,63.58,62.82
63.50,62.82,63.54,62.82
62.62,62.72,63.44,62.49
63.00,63.52,63.54,62.60
63.81,64.04,64.11,63.55
63.54,63.07,63.54,62.78
63.08,62.85,63.41,62.82
63.01,63.59,63.69,62.88
63.80,63.78,64.24,63.46
64.40,64.58,64.94,64.12
64.34,64.18,64.34,63.69
64.51,64.16,64.79,64.16
64.50,65.00,65.00,64.38
64.74,64.97,65.24,64.55
65.07,65.21,65.25,64.58
65.24,65.07,65.44,65.00
65.33,64.86,65.67,64.52
64.98,64.42,65.44,64.41
64.44,64.29,64.75,64.04
64.20,63.97,64.63,63.88
63.90,63.44,63.94,63.14
63.60,63.45,63.96,63.15
63.07,62.73,63.42,62.50
62.83,62.16,62.97,62.12
62.33,62.21,62.38,61.76
62.12,61.74,62.44,61.60
62.43,61.92,62.63,61.52
61.89,63.21,63.25,61.89
63.44,63.96,63.98,63.31
63.91,64.12,64.20,63.68
64.11,64.37,64.47,63.91
64.87,64.89,65.10,64.57
64.94,65.05,65.05,64.62
64.92,65.22,65.28,64.63
65.11,64.41,65.11,64.31
64.76,64.91,65.00,64.55
64.41,65.22,65.22,64.34
65.38,64.39,65.40,64.15
64.94,64.94,65.29,64.65
64.76,65.43,65.45,64.76
65.09,65.75,65.75,64.83
65.98,66.20,66.44,65.53
66.23,65.68,66.23,65.53
65.32,64.90,65.82,64.27
64.55,64.88,65.17,64.29
65.38,64.70,65.59,64.44
64.42,64.47,65.25,64.01
64.68,64.90,65.30,64.68
64.76,64.92,65.23,64.33
64.51,65.08,65.10,64.42
65.32,65.87,65.92,65.20
65.55,65.88,66.27,65.45
65.11,64.63,65.34,64.56
63.85,64.52,64.68,63.61
64.46,64.31,64.61,64.24
64.18,64.25,64.33,63.87
64.54,64.85,65.17,64.29
64.90,65.16,65.37,64.63
64.94,64.40,65.00,64.24
63.98,64.42,64.54,63.98
64.50,64.30,64.76,64.24
63.86,64.61,64.98,63.85
64.34,64.41,64.54,63.85
64.44,64.15,64.53,63.95
64.26,64.68,64.78,64.00
64.72,64.26,64.90,64.23
64.08,64.82,64.84,64.05
65.12,65.37,65.65,65.07
65.52,65.85,65.87,65.32
66.07,66.15,66.15,65.77
65.88,66.12,66.28,65.85
66.24,66.33,66.40,66.01
66.63,66.31,66.67,66.00
65.68,66.26,66.29,65.44
66.61,66.15,66.73,66.05
66.10,66.48,66.73,66.09
66.41,66.94,67.08,66.22
66.68,66.87,66.90,66.48
66.97,66.65,67.37,66.65
66.89,67.61,67.73,66.73
67.78,66.72,67.86,66.53
66.75,66.41,66.99,65.96
66.08,66.01,66.33,65.81
66.34,66.25,66.49,66.00
66.25,66.28,66.66,65.96
66.30,66.61,66.64,65.80
66.52,66.96,67.42,66.37
67.30,66.76,67.30,66.31
66.80,67.00,67.10,66.54
66.90,66.67,67.30,66.59
67.06,66.69,67.08,66.54
67.39,67.17,67.44,66.95
67.39,67.18,67.47,66.98
67.40,68.15,68.39,67.31
68.35,68.31,68.46,68.10
68.30,68.43,68.63,67.94
68.53,68.70,68.98,68.45
68.76,68.50,69.00,68.13
68.74,67.95,68.99,67.90
68.06,68.23,68.30,67.87
68.00,67.63,68.45,67.30
67.72,67.97,68.41,67.72
68.07,68.00,68.53,67.62
67.88,68.19,68.25,67.87
67.72,67.52,67.86,67.31
67.28,66.75,67.28,66.21
66.43,66.36,66.80,65.86
66.56,66.34,66.72,66.09
66.34,66.55,66.73,66.22
66.58,66.31,66.71,66.10
62.95,63.52,64.00,62.61
63.57,62.99,63.57,62.82
63.30,62.14,63.30,62.00
62.05,62.58,62.63,61.86
62.62,63.11,63.18,62.52
63.14,62.76,63.24,62.54
62.79,63.00,63.05,62.61
62.64,63.27,63.31,62.64
63.26,63.52,63.59,62.94
63.74,63.64,64.19,63.64
63.44,62.99,63.63,62.64
63.27,62.78,63.27,62.55
63.04,62.93,63.37,62.70
62.98,62.73,63.07,62.50
62.58,62.86,62.88,62.25
62.53,62.36,62.54,62.20
62.60,62.46,62.81,62.07
62.37,62.20,62.73,62.15
62.03,61.80,62.12,61.45
61.52,61.81,62.03,61.46
62.31,62.31,62.57,61.85
62.47,62.67,63.00,62.29
62.69,62.49,62.70,62.16
62.43,62.06,62.48,61.91
62.38,62.18,62.40,61.85
62.15,62.45,62.70,62.05
62.51,62.30,62.66,62.11
62.30,62.46,62.51,62.16
62.63,62.43,62.69,62.40
62.38,62.51,62.70,62.38
62.48,62.25,62.58,62.16
62.25,62.45,62.57,62.13
62.21,62.54,62.56,62.03
62.59,63.15,63.37,62.58
63.20,63.31,63.53,63.00
63.25,63.71,63.73,63.20
63.75,63.81,63.84,63.50
63.75,63.80,63.90,63.55
63.80,63.90,64.05,63.58
64.09,63.80,64.20,63.65
63.59,63.64,63.75,63.50
63.50,63.28,63.70,63.28
61.58,61.57,61.79,60.56
61.45,61.57,61.75,60.82
61.30,61.94,62.02,61.07
61.89,62.48,62.51,61.79
62.40,62.33,62.82,62.05
62.09,62.51,62.68,62.09
62.55,62.61,62.64,62.38
62.90,63.12,63.16,62.61
63.23,63.42,63.50,63.15
63.48,63.98,63.98,63.20
63.83,63.90,64.22,63.55
63.45,63.37,63.56,63.03
63.36,63.97,64.02,63.30
64.00,63.74,64.09,63.37
63.86,63.78,63.98,63.10
63.48,63.37,63.90,63.23
63.45,63.58,63.63,63.17
63.37,64.32,64.33,62.92
64.22,63.79,64.42,63.60
63.99,62.89,64.00,62.83
62.98,63.51,63.60,62.85
63.33,62.97,63.55,62.90
62.92,63.75,63.81,62.77
63.14,65.66,65.70,63.05
65.43,65.71,65.76,65.12
65.59,66.53,66.67,65.55
66.32,66.14,66.45,65.73
66.02,66.25,66.46,65.87
66.20,71.26,72.43,65.98
70.61,66.85,70.61,66.75
66.82,66.62,67.69,66.53
66.78,67.28,67.70,66.76
66.84,67.38,67.80,66.84
67.49,68.15,68.40,67.36
67.65,67.96,68.60,67.61
67.80,67.43,68.12,67.33
67.56,67.41,67.75,67.00
67.41,67.98,68.08,67.31
68.00,67.76,68.50,67.71
