UGE,ProShares Ultra Consumer Goods,NASDAQ
52.85,51.82,52.85,51.50
51.77,52.55,52.55,51.77
52.54,52.73,52.74,52.53
52.48,52.88,52.88,52.48
52.08,52.08,52.08,52.08
51.92,52.68,52.74,51.86
52.47,52.62,52.83,52.46
52.62,52.62,52.62,52.62
53.58,53.59,53.72,53.56
53.53,52.73,53.53,52.73
52.75,53.33,54.00,52.75
52.41,52.23,52.58,51.73
51.97,50.76,51.97,50.62
50.27,49.86,50.67,49.77
50.51,50.22,51.62,49.90
49.30,50.21,50.32,47.86
49.85,50.27,50.32,49.57
51.00,50.11,51.00,50.09
51.25,49.47,51.25,47.30
49.69,50.24,50.25,49.65
50.68,52.01,52.01,50.68
51.90,51.82,51.90,51.33
51.74,49.07,51.74,49.07
48.54,48.76,48.80,46.53
49.77,48.38,49.77,48.38
50.46,50.03,50.86,47.00
49.78,49.61,49.78,49.23
49.32,50.70,50.75,49.32
50.16,50.77,50.79,49.71
50.98,51.92,51.92,50.98
52.42,52.69,52.71,52.16
52.96,53.33,53.33,52.57
53.80,53.41,53.80,53.00
53.36,53.13,53.48,53.13
53.32,52.79,53.32,52.44
52.73,53.03,53.03,52.73
52.11,52.81,52.81,50.15
52.76,52.82,52.82,52.58
54.00,53.51,54.00,53.10
54.00,54.21,54.43,54.00
53.97,54.72,55.01,53.97
55.25,55.29,55.29,54.82
56.20,56.05,56.20,55.35
56.91,55.82,56.91,55.62
55.25,56.08,56.17,55.25
55.69,55.77,55.85,55.52
55.23,56.04,56.04,54.89
56.38,56.15,56.40,55.98
55.81,56.56,56.56,55.81
56.74,57.07,57.07,54.36
57.52,57.79,57.79,57.52
58.00,57.91,58.14,57.90
57.67,57.67,57.82,57.59
56.47,58.58,58.58,56.10
58.11,59.46,59.57,58.11
58.47,58.40,59.14,56.50
58.80,58.38,59.00,58.38
59.17,57.91,59.17,57.36
58.70,58.60,58.70,58.26
58.67,58.52,58.67,58.08
58.49,57.69,58.49,57.59
58.33,58.19,58.55,57.99
58.41,58.62,58.68,58.41
58.19,58.17,58.40,58.13
57.68,57.38,57.77,57.00
57.00,57.47,57.62,56.84
57.73,58.18,58.18,57.66
58.51,58.61,58.79,58.51
58.47,58.52,58.63,58.16
58.38,58.45,58.50,58.21
58.42,59.05,59.05,57.20
58.66,58.31,59.03,58.02
57.59,58.38,58.45,57.59
59.02,59.32,59.55,58.75
59.78,59.62,59.78,59.40
58.77,59.80,59.80,58.76
59.95,59.35,59.95,59.27
60.03,59.72,60.39,59.71
59.45,57.15,59.45,56.99
56.95,57.78,58.07,56.95
58.40,58.66,58.97,58.07
59.27,57.62,59.27,57.62
57.85,58.57,58.82,57.80
57.25,56.44,57.56,56.28
55.60,55.92,56.39,55.60
55.98,53.08,55.98,45.20
52.94,52.13,55.66,51.60
55.94,56.01,56.12,55.21
55.27,55.88,57.01,55.27
56.34,57.07,57.11,56.04
56.09,55.86,58.84,55.86
55.37,54.45,55.42,53.87
54.38,55.23,55.29,53.69
56.00,54.18,56.08,54.10
53.66,53.96,54.04,52.79
51.84,50.06,52.06,50.06
49.78,50.83,50.83,48.44
50.67,50.84,51.00,50.67
47.39,49.23,49.30,47.15
50.14,48.86,50.14,48.86
50.69,51.10,51.10,49.94
51.08,50.53,51.23,50.44
50.08,49.58,50.91,49.45
49.87,50.71,50.71,49.87
51.78,51.84,51.90,51.51
50.06,48.98,50.44,48.98
49.05,47.97,49.36,47.97
