XLG,Guggenheim S&P 500 Top 50 ETF,NASDAQ
84.31,85.05,85.18,84.29
85.07,85.17,85.19,84.73
85.10,85.01,85.22,84.92
84.79,85.33,85.41,84.69
85.18,85.52,85.53,85.02
85.92,85.65,85.92,85.30
85.11,85.03,85.30,84.71
85.14,85.68,85.89,84.88
85.57,86.00,86.12,85.56
86.00,85.05,86.01,84.74
84.92,86.04,86.05,84.92
85.43,85.22,85.52,84.59
85.36,83.47,85.36,83.40
83.18,81.70,83.49,81.61
82.55,82.03,82.55,81.99
81.59,81.76,82.57,81.52
81.56,82.20,82.24,80.79
82.30,81.16,82.30,80.82
81.52,80.58,81.98,80.30
80.98,81.39,81.43,80.95
81.56,82.44,82.47,81.41
82.21,82.18,82.47,81.86
81.58,79.82,82.48,79.80
79.97,80.09,80.09,78.64
79.87,79.43,80.30,79.43
80.27,80.32,80.96,79.73
79.99,80.22,81.42,78.50
80.00,80.77,80.91,79.40
80.10,80.59,80.84,79.78
81.45,81.89,81.96,81.14
82.19,82.19,82.37,82.03
82.04,82.68,82.79,82.04
82.41,82.60,82.88,82.18
82.84,82.51,82.84,82.38
82.25,81.58,82.67,81.51
82.16,82.40,82.50,81.78
81.40,82.03,82.08,81.03
81.90,82.19,82.31,81.75
82.46,82.67,82.67,82.34
82.95,82.78,83.21,82.73
83.08,82.86,83.21,82.69
83.05,83.21,83.21,82.94
83.75,84.13,84.18,83.59
84.11,84.15,84.34,84.11
83.89,84.32,84.72,83.89
84.33,84.65,84.86,84.33
84.43,84.98,85.00,84.43
85.41,85.03,85.41,84.81
84.96,85.25,85.26,84.67
85.55,85.86,85.88,85.30
86.13,86.16,86.40,85.93
86.16,86.27,86.27,85.90
85.51,85.51,86.06,85.15
85.05,85.86,86.04,85.05
86.02,86.57,86.61,85.83
86.29,86.22,86.54,86.06
86.81,86.17,87.19,86.12
86.36,86.21,86.72,85.89
86.43,86.57,86.72,86.37
86.55,86.59,86.81,86.31
86.30,86.35,86.59,86.06
86.90,86.72,87.03,86.34
87.04,87.16,87.29,87.04
86.94,87.28,87.46,86.92
87.21,86.92,87.35,86.61
86.56,87.27,87.48,86.56
87.34,87.83,87.85,87.34
88.05,88.00,88.15,87.87
87.99,88.10,88.20,87.56
88.38,88.97,88.97,88.38
88.93,89.16,89.20,88.86
88.80,87.75,88.89,87.51
87.30,88.10,88.13,87.28
88.75,88.53,88.75,88.29
88.74,88.25,88.86,87.87
87.50,88.08,88.08,87.07
87.94,88.53,88.53,87.76
88.39,88.18,88.59,88.17
87.56,86.45,88.25,86.34
86.98,86.98,87.36,86.53
87.75,88.13,88.36,87.67
88.24,86.91,88.24,86.91
87.29,87.90,88.17,87.29
86.74,86.14,86.96,85.85
85.34,85.81,86.20,85.34
85.36,82.98,88.70,73.49
82.58,82.03,83.42,80.62
85.04,85.04,85.47,84.33
84.45,84.77,85.73,83.90
84.92,85.67,85.77,84.92
85.51,84.77,85.75,84.75
83.70,83.29,83.73,82.63
83.53,83.35,83.53,81.49
83.84,82.32,84.02,82.05
81.82,82.19,82.40,81.26
80.75,79.22,80.76,79.20
77.94,79.97,80.06,77.55
79.74,79.18,80.10,79.17
76.91,78.87,78.92,76.91
79.48,78.18,79.87,78.18
79.18,80.54,80.54,79.18
80.47,79.55,80.47,79.42
79.18,78.90,80.22,78.90
79.29,80.67,80.67,78.97
80.85,80.84,81.07,80.15
79.43,78.43,79.81,78.07
78.49,77.40,78.66,77.40
77.47,78.32,78.32,77.00
78.80,77.54,78.97,77.43
78.54,79.49,79.56,78.54
78.82,79.83,79.83,78.82
80.42,79.47,80.61,79.47
80.10,81.07,81.07,79.91
80.71,81.16,81.36,80.71
81.30,81.35,81.41,80.73
81.08,81.05,81.25,80.89
81.96,80.68,82.00,80.49
80.78,79.81,81.19,79.76
79.96,79.49,79.96,79.25
79.19,78.40,79.20,78.24
78.79,78.33,78.80,77.96
78.15,78.13,78.50,77.96
77.05,75.97,77.18,75.54
75.85,75.15,76.28,75.00
75.29,74.81,75.37,73.93
75.11,74.49,75.24,74.00
75.58,75.10,75.89,74.59
75.20,77.31,77.39,75.20
77.95,77.99,78.04,77.24
78.08,78.44,78.49,77.87
78.34,78.75,78.77,78.21
79.40,79.79,80.05,79.40
79.67,79.81,80.10,79.35
79.71,79.93,80.07,79.01
79.39,77.75,79.44,77.71
77.96,78.10,78.37,77.59
77.01,78.81,78.86,77.01
79.31,77.86,79.31,77.70
78.76,79.50,79.85,78.76
79.27,79.93,80.03,79.12
80.14,80.76,80.76,80.00
81.20,81.00,81.32,80.86
80.78,80.51,80.97,80.40
80.98,80.25,81.01,79.77
79.46,80.14,80.49,79.44
81.08,81.85,81.93,80.99
81.60,81.70,82.02,81.48
81.80,82.12,82.18,81.64
81.64,81.82,81.82,81.45
80.97,81.61,81.61,80.68
81.67,81.97,82.05,81.57
80.97,81.67,81.89,80.97
80.31,79.54,80.31,79.48
78.17,79.05,79.17,78.17
78.84,78.77,79.10,78.77
78.59,78.76,78.99,78.39
79.33,79.50,80.03,79.13
79.31,79.68,79.99,79.17
79.10,78.37,79.10,78.04
78.05,77.96,78.11,77.70
78.30,77.77,78.54,77.77
76.96,76.70,77.26,76.69
76.22,76.92,77.08,75.91
77.25,76.30,77.25,76.26
76.81,77.31,77.33,75.91
77.15,76.34,77.32,76.34
76.05,76.37,76.64,75.89
77.39,78.45,78.45,77.27
78.67,78.91,78.91,78.48
79.69,79.90,80.02,79.35
79.66,79.20,79.75,79.17
79.34,79.61,79.94,79.34
80.39,80.25,80.54,80.09
80.48,80.61,80.67,80.42
81.44,81.38,81.50,81.03
81.10,81.25,81.68,81.06
81.24,81.64,81.75,80.99
81.49,81.79,81.79,81.25
81.83,81.26,81.87,81.20
81.63,82.48,82.66,81.44
82.42,82.35,83.00,82.16
82.42,82.14,82.56,81.97
81.46,81.43,82.12,81.30
82.28,82.79,82.84,82.23
82.86,82.46,83.01,82.46
82.38,82.64,82.70,81.51
82.34,82.13,82.70,82.13
82.85,82.20,83.26,81.90
82.79,82.55,82.83,82.21
82.28,81.99,82.62,81.70
82.74,83.58,83.69,82.64
83.69,83.76,83.89,83.21
84.22,83.62,84.22,83.34
83.94,84.01,84.15,83.55
84.23,83.99,84.23,83.81
83.71,84.39,84.58,83.41
84.81,84.89,85.25,84.65
84.64,84.56,84.76,84.11
85.21,84.70,85.21,84.29
84.87,85.38,85.51,84.87
84.42,84.16,84.91,83.73
84.29,84.97,85.27,84.24
85.39,85.09,85.67,84.57
85.38,85.16,85.38,85.06
85.66,85.37,85.94,85.35
85.07,85.47,85.52,85.07
85.07,85.24,85.26,84.54
85.65,85.38,85.66,85.00
85.37,85.18,85.39,85.08
85.61,85.26,86.05,84.85
85.85,85.84,86.02,85.74
85.93,86.26,86.26,85.42
87.13,87.89,87.94,87.09
87.99,88.20,88.21,87.89
87.86,87.98,88.14,87.75
88.23,87.50,88.23,87.26
87.60,87.74,87.74,86.91
86.91,87.02,87.20,86.75
86.62,86.15,86.82,85.94
86.40,86.06,86.66,86.06
85.52,84.78,85.60,84.53
84.96,84.66,85.00,84.64
85.62,85.93,86.13,85.62
85.83,85.94,85.95,85.46
85.58,85.72,85.72,84.90
84.93,84.62,84.93,84.37
85.13,85.59,85.59,85.12
84.94,85.01,85.32,84.94
84.17,85.07,85.07,84.14
84.08,84.32,84.74,84.08
85.52,86.06,86.19,85.48
86.30,86.97,86.99,86.22
86.57,87.19,87.20,86.57
87.12,87.14,87.34,87.12
88.00,87.25,88.00,87.25
87.27,87.70,87.72,87.13
88.11,88.09,88.12,87.74
88.26,88.64,88.64,88.12
88.98,88.88,89.17,88.88
89.05,88.74,89.16,88.71
88.96,88.60,89.04,88.44
88.58,88.86,89.07,88.50
88.65,88.53,88.65,88.26
88.68,88.64,88.90,88.34
89.00,89.16,89.18,89.00
89.12,89.50,89.50,89.12
89.30,89.45,89.57,89.24
89.11,89.52,89.53,89.11
89.58,89.71,89.74,89.50
89.89,89.73,89.89,89.73
89.75,89.54,89.75,89.33
89.26,89.50,89.52,89.26
90.31,90.55,90.77,90.31
90.65,90.78,90.80,90.36
90.39,91.26,91.30,90.39
91.44,91.09,91.44,90.80
91.29,90.88,91.29,90.17
90.44,90.61,90.64,90.26
90.88,90.82,91.07,90.55
91.21,91.68,91.72,91.20
91.54,91.44,91.54,91.23
91.24,92.08,92.13,91.24
