SLY,SPDR S&P 600 Small Cap ETF (based on S&P SmallCap 600 Index -- symbol SML),NASDAQ
53.20,53.34,53.53,53.20
53.63,53.71,53.78,53.33
53.66,53.78,53.92,53.61
53.78,54.21,54.21,53.35
53.88,54.40,54.40,53.88
54.59,54.34,54.79,54.18
53.98,53.59,54.00,53.42
53.87,54.30,54.30,53.45
54.23,54.52,54.52,54.23
54.36,53.79,54.36,53.56
53.84,54.45,54.45,53.83
53.91,54.05,54.05,53.57
53.00,53.10,53.24,53.00
52.85,51.94,53.13,51.94
52.39,52.14,52.39,51.94
51.81,51.89,52.38,51.81
51.50,52.20,52.20,51.24
52.25,51.62,52.25,51.06
51.62,50.88,51.97,50.85
50.96,51.42,51.47,50.94
51.54,52.18,52.18,51.50
51.54,51.72,51.80,51.54
50.95,50.00,50.95,49.99
49.61,49.80,49.94,48.96
50.02,49.89,50.10,49.62
50.23,50.38,50.45,50.15
49.97,50.44,50.61,49.93
50.06,51.15,51.15,50.06
50.59,51.41,51.41,50.59
52.12,52.52,52.52,51.83
52.79,52.84,52.92,52.58
53.00,53.30,53.30,52.77
53.11,53.52,53.56,53.11
53.45,53.57,53.58,53.45
53.32,52.68,53.32,52.67
53.19,53.31,53.32,53.12
52.53,53.33,53.33,52.53
52.86,53.30,53.30,52.86
54.25,54.20,54.25,54.16
54.50,54.69,54.86,54.50
54.77,54.89,55.06,54.66
54.92,54.95,54.95,54.92
55.40,56.12,56.16,55.40
56.21,56.30,56.32,56.12
56.25,56.73,56.76,56.25
56.56,56.87,57.02,56.56
56.65,56.82,56.83,56.65
57.44,57.12,57.44,56.84
56.73,56.82,56.82,56.55
57.01,57.25,57.31,57.01
57.85,58.00,58.22,57.85
57.89,57.79,58.03,57.62
56.84,56.84,57.59,56.76
56.42,57.65,57.65,56.42
57.86,58.30,58.31,57.51
58.09,57.76,58.16,57.76
58.37,57.57,58.48,57.57
57.60,57.34,57.83,57.12
57.59,57.58,57.70,57.37
57.84,57.69,58.01,57.40
57.49,57.59,58.02,57.49
57.68,57.84,57.97,57.52
58.09,58.74,58.80,58.05
58.71,59.23,59.23,58.71
59.35,59.10,59.44,58.88
58.87,59.10,59.13,58.55
59.21,59.51,59.51,59.00
59.67,59.76,59.84,59.53
59.56,59.90,59.90,59.41
60.28,61.16,61.16,60.28
61.17,61.29,61.41,61.11
61.15,60.48,61.25,59.95
60.08,60.15,60.63,59.49
60.50,61.01,61.01,60.50
61.10,61.32,61.32,61.00
60.86,62.18,62.23,60.68
62.30,62.66,62.74,62.12
62.87,62.57,63.09,62.57
62.24,61.01,62.68,61.01
61.12,61.00,61.35,61.00
61.52,62.37,62.37,61.52
62.40,60.67,62.43,60.67
60.98,61.95,61.95,60.98
61.07,59.88,61.07,59.85
59.42,59.16,60.03,58.80
58.82,57.15,59.38,55.00
56.70,55.34,56.80,55.00
58.43,58.20,58.48,57.52
57.85,58.82,59.37,57.85
59.23,60.44,60.44,59.10
60.32,59.84,60.84,59.84
59.50,58.46,59.50,58.04
58.89,58.67,59.12,57.48
59.35,57.63,59.35,57.41
57.34,56.64,57.82,56.02
55.38,54.00,55.55,54.00
53.14,54.91,55.19,52.95
54.82,54.34,55.14,54.34
52.88,54.04,54.07,52.11
54.99,54.33,55.48,54.17
55.80,56.70,56.70,55.79
56.51,56.09,56.68,55.71
55.47,54.32,56.01,54.32
54.36,55.06,55.20,54.36
55.97,56.50,56.55,55.76
54.94,53.69,55.46,53.60
54.02,52.80,54.11,52.77
52.58,52.41,52.58,51.54
53.10,52.38,53.66,52.38
53.48,54.31,54.31,53.42
