CASY,Caseys General Stores,NASDAQ
32.31,31.79,32.38,31.68
31.76,30.93,31.77,30.86
30.81,30.83,31.07,30.54
30.84,30.71,31.33,30.34
30.53,30.56,30.66,30.27
30.61,31.12,31.20,30.59
30.84,31.28,31.50,30.60
31.27,31.03,31.49,30.77
31.03,30.76,31.03,30.21
30.91,30.68,31.01,30.23
30.83,31.65,31.74,30.55
31.59,31.72,31.81,30.92
31.74,31.28,31.76,30.84
31.23,31.07,31.81,30.82
31.22,31.06,31.28,30.65
30.89,30.71,31.12,30.56
30.53,30.91,31.26,30.53
30.81,30.87,31.23,30.35
31.03,30.68,31.15,30.52
30.71,30.73,31.07,30.61
30.74,30.50,30.88,30.24
30.33,30.24,30.53,30.07
30.13,29.39,30.42,29.37
29.50,29.50,29.61,29.03
29.56,29.04,29.79,29.04
29.32,29.63,29.65,29.09
29.44,29.31,29.66,29.14
29.38,30.01,30.02,29.07
29.90,29.65,29.93,29.49
29.84,29.49,29.90,29.28
29.45,29.58,29.61,29.30
29.47,29.91,29.91,29.27
29.93,30.41,30.43,29.74
30.41,30.06,30.54,30.00
30.10,29.92,30.30,29.52
30.04,30.24,30.31,29.59
29.88,30.56,30.63,29.88
30.67,30.41,30.67,30.02
30.63,30.76,30.76,30.34
30.80,31.55,31.69,30.58
31.50,31.58,31.93,31.05
31.69,31.65,31.75,31.32
31.70,31.86,32.20,31.51
31.99,31.50,32.00,31.36
29.92,30.07,30.68,29.60
30.01,30.09,30.50,29.92
30.00,29.76,30.11,29.68
29.75,29.89,30.24,29.45
29.93,29.62,29.93,29.45
29.62,29.80,29.96,29.55
29.80,29.93,29.95,29.64
29.78,30.13,30.20,29.68
30.30,30.63,30.67,30.28
30.36,30.80,30.92,30.26
30.86,31.56,31.60,30.50
31.51,31.17,31.64,31.12
31.26,31.16,31.82,30.85
31.17,31.30,31.53,31.08
31.46,31.47,31.57,31.36
31.33,31.53,31.66,31.19
31.50,31.40,31.71,31.32
N/A,N/A,N/A,N/A
31.75,32.09,32.11,31.54
31.84,31.87,32.07,31.71
31.74,31.54,31.74,31.37
31.60,31.59,31.75,30.97
38.13,39.10,39.37,37.90
39.05,39.22,39.27,39.00
39.22,39.16,39.33,39.10
39.17,39.50,39.54,39.15
39.50,39.33,39.50,39.21
39.33,39.42,39.46,39.07
39.44,39.17,39.50,39.08
39.25,39.15,39.33,39.08
39.25,39.32,39.33,38.88
39.07,39.35,39.56,39.07
39.25,39.26,39.46,39.10
39.15,39.13,39.35,39.05
39.08,38.92,39.25,38.87
39.02,38.91,39.27,38.85
39.00,38.99,39.09,38.90
38.92,38.63,39.01,38.60
38.88,38.42,39.03,38.26
38.30,38.22,38.40,38.09
38.06,37.81,38.10,37.75
37.76,36.62,37.86,30.24
36.47,36.18,37.05,35.19
37.12,37.15,37.34,36.66
36.89,37.30,37.50,36.77
37.38,37.61,37.68,37.33
37.40,37.26,37.67,37.10
37.05,37.04,37.30,36.73
37.30,37.99,37.99,37.12
38.19,37.12,38.23,37.10
36.95,36.81,37.56,36.64
36.26,35.68,36.60,35.30
35.32,36.18,36.29,35.21
36.10,36.01,36.40,35.68
35.56,36.15,36.20,35.51
36.22,35.82,36.92,35.58
36.33,36.92,36.93,36.14
36.84,36.87,37.02,36.63
36.55,36.34,37.07,36.20
37.25,36.39,37.85,36.34
36.37,36.41,36.59,36.20
36.01,35.66,36.22,35.55
35.78,35.50,36.04,35.49
35.71,35.80,35.82,35.04
35.99,35.69,36.00,35.52
35.86,35.71,36.00,35.55
35.50,35.41,35.82,35.19
35.63,35.93,36.00,35.35
36.45,35.80,36.54,35.63
35.99,35.83,36.25,35.66
36.02,35.71,36.10,35.48
35.91,35.72,35.91,35.46
35.94,35.92,36.00,35.51
35.89,35.52,35.93,35.31
35.40,35.94,36.00,35.23
35.79,35.85,35.93,35.50
35.86,36.00,36.00,35.54
35.89,35.71,35.96,35.62
35.49,35.54,35.90,35.40
35.44,34.90,35.75,34.88
35.07,35.40,35.54,34.85
35.54,35.45,35.65,35.25
35.66,35.76,35.89,35.14
35.85,35.87,35.93,35.50
36.02,35.89,36.02,35.53
35.82,35.84,35.90,35.65
35.82,35.97,35.99,35.60
36.09,36.00,36.32,35.91
35.88,36.00,36.09,35.82
36.10,35.84,36.10,35.81
35.76,35.77,35.92,35.57
35.78,35.98,36.08,35.75
35.75,36.14,36.22,35.75
36.18,36.01,36.18,35.79
36.26,36.21,36.46,36.06
36.00,36.38,36.50,35.86
36.45,36.50,36.50,36.19
36.50,36.50,36.55,36.33
37.50,37.86,37.90,37.40
37.94,38.04,38.21,37.80
37.89,38.25,38.32,37.85
38.38,38.06,38.38,38.06
38.06,38.47,38.50,38.05
38.40,38.38,38.50,38.18
38.23,38.36,38.53,38.05
38.23,38.32,38.45,38.10
38.44,38.30,38.47,38.25
38.20,37.97,38.25,37.92
37.97,37.73,37.98,37.58
37.56,37.63,37.87,37.55
37.59,37.52,37.70,37.40
37.59,37.63,37.86,37.53
37.69,37.67,37.78,37.50
37.65,37.75,37.89,37.52
37.71,37.70,37.89,37.61
37.68,37.68,37.87,37.58
37.69,37.74,37.95,37.65
37.81,37.51,37.83,37.36
37.25,37.29,37.56,37.22
36.95,37.27,37.59,36.91
37.41,38.50,38.51,37.23
38.30,37.90,38.46,37.84
37.90,37.62,38.15,37.59
38.76,38.65,39.05,38.54
38.58,38.70,38.82,38.51
38.79,38.90,39.19,38.67
41.78,42.76,42.80,41.52
42.48,43.13,43.67,42.23
43.30,43.95,44.04,42.77
43.91,43.51,43.91,43.36
43.70,43.98,44.02,43.55
43.87,44.24,44.68,43.70
44.14,43.89,44.46,43.78
43.69,43.30,43.96,43.28
43.48,43.55,43.70,43.25
43.54,43.53,43.60,43.25
43.50,43.01,43.77,43.00
42.87,42.83,43.00,42.72
42.66,42.67,43.00,42.64
42.74,42.87,43.04,42.53
42.74,42.38,43.00,42.37
42.53,42.41,42.78,42.10
42.20,42.26,42.55,42.09
42.42,41.75,42.50,41.75
41.59,41.37,41.67,40.80
41.45,41.00,41.45,40.83
41.00,41.31,41.72,40.76
41.18,41.38,41.48,41.04
41.40,41.51,41.76,41.21
41.61,41.82,42.04,41.33
41.68,41.82,41.98,41.56
41.75,42.08,42.18,41.71
