BAA,BANRO CORPORATION Ordinary Shares,NASDAQ
2.01,2.10,2.13,2.01
2.20,2.22,2.22,2.10
2.20,2.22,2.35,2.20
2.24,2.07,2.24,1.97
2.17,2.13,2.17,2.01
2.17,2.04,2.18,2.02
2.05,1.90,2.05,1.89
1.93,2.03,2.08,1.90
2.02,2.03,2.04,1.99
2.02,2.00,2.02,1.98
2.00,2.01,2.04,1.95
1.93,1.93,1.99,1.91
1.95,1.80,1.95,1.80
1.85,1.85,1.90,1.80
1.86,1.83,1.89,1.83
1.85,1.83,1.88,1.78
1.83,1.82,1.85,1.81
1.82,1.83,1.85,1.80
1.85,1.84,1.86,1.82
1.82,1.91,1.91,1.82
1.93,1.95,1.96,1.85
1.96,1.92,2.00,1.87
1.92,1.77,1.92,1.72
1.68,1.83,1.83,1.62
1.80,1.72,1.85,1.72
1.76,1.79,1.85,1.75
1.78,1.81,1.81,1.76
1.84,1.85,1.90,1.81
1.85,1.87,1.89,1.79
1.91,1.92,1.95,1.90
1.93,1.95,2.03,1.86
1.97,1.94,1.97,1.92
1.92,1.91,1.94,1.88
1.90,1.90,1.93,1.89
1.90,1.87,1.91,1.86
1.84,1.94,2.01,1.82
1.99,2.08,2.10,1.96
2.07,2.11,2.15,2.07
2.11,2.09,2.11,2.05
2.09,2.07,2.14,2.06
2.05,2.02,2.13,1.97
1.92,2.00,2.00,1.88
1.98,1.98,2.00,1.96
2.00,1.98,2.00,1.96
2.00,1.98,2.00,1.93
1.98,1.96,1.98,1.93
1.96,1.94,1.96,1.93
1.90,1.96,1.96,1.90
1.96,1.92,1.96,1.91
1.94,1.99,2.00,1.93
2.02,2.05,2.24,2.01
2.10,2.00,2.13,1.99
1.97,1.97,1.99,1.95
1.97,2.07,2.20,1.97
2.15,2.15,2.17,2.10
2.10,2.04,2.10,2.01
2.07,2.02,2.08,2.02
2.04,2.04,2.05,2.00
2.04,2.05,2.08,2.03
2.08,2.03,2.09,2.02
2.05,2.12,2.15,2.01
2.12,2.15,2.19,2.12
2.15,2.11,2.15,2.10
2.10,2.08,2.10,2.07
2.06,2.06,2.10,2.02
2.05,2.09,2.09,2.05
2.12,2.18,2.26,2.07
2.25,2.29,2.29,2.20
2.29,2.16,2.29,2.15
2.19,2.23,2.24,2.19
2.23,2.32,2.32,2.23
2.31,2.42,2.42,2.31
2.46,2.32,2.46,2.32
2.30,2.30,2.41,2.29
2.31,2.26,2.31,2.25
2.21,2.17,2.24,2.15
2.15,2.27,2.32,2.15
2.35,2.29,2.36,2.28
2.28,2.26,2.29,2.22
2.24,2.23,2.29,2.23
2.21,2.21,2.24,2.17
2.23,2.22,2.30,2.21
2.21,2.17,2.22,2.17
2.15,2.12,2.22,2.12
2.10,2.13,2.18,1.94
2.13,2.03,2.14,1.96
2.00,1.98,2.03,1.98
2.10,2.11,2.13,2.07
2.12,2.15,2.20,2.12
2.05,2.43,2.46,2.02
2.42,2.32,2.55,2.25
2.28,2.26,2.35,2.21
2.22,2.01,2.25,2.00
2.05,2.03,2.10,1.98
2.06,1.97,2.06,1.89
1.90,1.84,1.92,1.75
1.85,1.85,1.90,1.80
1.84,1.81,1.93,1.81
1.78,1.72,1.80,1.71
1.80,1.74,1.84,1.73
1.74,1.82,1.84,1.74
1.88,1.88,1.88,1.82
1.85,1.80,1.98,1.77
1.85,1.78,1.85,1.75
1.77,1.81,1.81,1.75
1.76,1.73,1.79,1.61
1.70,1.67,1.76,1.67
1.70,1.67,1.75,1.66
1.70,1.66,1.70,1.61
1.68,1.66,1.69,1.62
1.66,1.73,1.75,1.64
1.77,1.89,1.93,1.75
1.89,1.93,1.95,1.89
1.92,2.01,2.05,1.92
2.05,2.07,2.13,2.04
2.07,2.10,2.12,1.99
2.12,1.97,2.12,1.96
2.01,1.90,2.01,1.89
1.87,1.95,1.97,1.83
1.95,1.92,2.00,1.87
1.92,2.03,2.04,1.92
