LOV,Spark Networks,NASDAQ
2.98,2.96,3.01,2.96
2.95,2.97,2.97,2.95
2.96,2.90,3.00,2.90
2.91,2.98,2.98,2.90
2.92,2.91,2.93,2.91
2.91,2.96,3.00,2.87
2.92,2.67,2.92,2.59
2.71,2.76,2.76,2.70
2.78,2.74,2.78,2.71
2.74,2.78,2.78,2.71
2.78,2.84,2.94,2.78
2.80,2.74,2.80,2.50
2.80,2.99,2.99,2.80
2.81,2.99,2.99,2.61
2.94,2.95,2.99,2.91
3.00,3.05,3.05,2.98
3.00,3.00,3.00,2.98
3.05,2.97,3.06,2.97
3.05,2.97,3.05,2.94
2.90,2.88,2.92,2.88
2.88,2.95,3.11,2.88
2.95,2.98,2.98,2.94
3.05,2.93,3.05,2.89
2.84,2.80,2.99,2.80
2.82,2.95,3.16,2.82
3.05,2.97,3.05,2.85
2.98,2.97,3.00,2.95
3.00,2.99,3.03,2.90
3.03,3.04,3.04,2.99
2.53,2.95,2.98,2.53
2.95,2.90,2.95,2.82
2.91,2.95,2.97,2.91
2.95,2.97,2.98,2.95
2.98,3.00,3.05,2.92
2.94,2.99,2.99,2.93
2.96,2.99,2.99,2.96
2.91,2.95,3.00,2.91
2.95,2.96,3.00,2.89
2.90,2.95,2.95,2.90
2.94,2.95,2.95,2.93
3.32,3.29,3.45,3.25
3.45,3.35,3.45,3.30
3.37,3.37,3.39,3.35
3.37,3.38,3.43,3.36
3.34,3.39,3.48,3.34
3.40,3.40,3.40,3.39
3.40,3.40,3.42,3.40
3.44,3.41,3.44,3.37
3.40,3.42,3.50,3.40
3.45,3.30,3.45,3.30
3.35,3.30,3.37,3.30
3.31,3.30,3.33,3.27
3.44,3.44,3.44,3.25
3.44,3.47,3.48,3.42
3.50,3.57,3.57,3.50
3.57,3.56,3.59,3.56
3.62,3.57,3.62,3.53
3.51,3.57,3.60,3.51
3.57,3.60,3.60,3.56
3.57,3.55,3.57,3.50
3.55,3.56,3.58,3.54
3.56,3.55,3.56,3.51
3.53,3.62,3.62,3.53
3.56,3.58,3.63,3.56
3.60,3.75,3.84,3.55
3.75,3.78,3.80,3.67
3.79,3.75,3.81,3.71
3.73,3.71,3.85,3.68
3.73,3.86,3.87,3.70
3.85,3.87,3.87,3.85
3.85,3.83,3.88,3.81
3.83,3.80,3.83,3.80
3.85,3.76,3.85,3.76
3.71,3.60,3.76,3.56
3.50,3.53,3.55,3.50
3.58,3.59,3.66,3.53
3.44,3.45,3.48,3.40
3.46,3.42,3.56,3.42
3.42,3.44,3.47,3.42
3.51,3.41,3.58,3.41
3.36,3.45,3.50,3.36
3.45,3.46,3.51,3.44
3.41,3.55,3.55,3.41
3.50,3.49,3.55,3.37
3.52,3.46,3.52,3.46
3.51,3.44,3.51,3.20
3.50,3.43,3.50,3.35
3.46,3.50,3.82,3.46
3.45,3.44,3.46,3.40
3.44,3.50,3.51,3.44
3.55,3.49,3.55,3.49
3.45,3.40,3.45,3.40
3.35,3.34,3.39,3.30
3.39,3.39,3.39,3.39
3.39,3.39,3.40,3.30
3.31,3.35,3.35,3.20
3.33,3.34,3.34,3.30
3.29,3.26,3.34,3.24
3.20,3.31,3.31,3.20
3.31,3.47,3.47,3.31
3.41,3.46,3.46,3.41
3.49,3.47,3.49,3.40
3.42,3.45,3.49,3.42
3.45,3.45,3.46,3.43
3.49,3.52,3.60,3.49
3.52,3.52,3.52,3.52
3.45,3.56,3.56,3.45
3.49,3.46,3.54,3.38
3.42,3.45,3.45,3.42
3.42,3.49,3.49,3.42
3.49,3.65,3.65,3.49
3.60,3.50,3.65,3.50
3.57,3.57,3.57,3.55
3.63,3.65,3.65,3.62
3.61,3.63,3.70,3.61
3.63,3.60,3.63,3.56
3.41,3.55,3.62,3.41
3.55,3.50,3.55,3.46
3.56,3.65,3.65,3.55
3.60,3.50,3.60,3.43
3.51,3.53,3.70,3.51
3.46,3.43,3.55,3.43
3.38,3.49,3.50,3.38
3.45,3.48,3.64,3.40
3.48,3.41,3.48,3.40
3.35,3.25,3.50,3.13
3.35,3.28,3.35,3.27
3.22,3.25,3.29,3.02
3.33,3.41,3.53,3.20
3.31,3.34,3.34,3.21
3.21,3.12,3.21,3.08
3.20,3.23,3.25,3.15
3.25,3.25,3.25,3.25
3.25,3.25,3.25,3.25
3.25,3.20,3.25,3.20
3.25,3.19,3.25,3.19
3.21,3.16,3.21,3.16
3.24,3.25,3.25,3.23
3.25,3.19,3.25,3.09
3.21,3.23,3.24,3.20
3.20,3.33,3.37,3.15
3.30,3.35,3.35,3.25
3.40,3.35,3.40,3.35
3.35,3.35,3.35,3.35
3.34,3.32,3.34,3.32
3.30,3.25,3.30,3.25
3.34,3.31,3.36,3.30
3.32,3.30,3.34,3.27
3.27,3.23,3.27,3.00
3.14,3.20,3.30,3.14
3.23,3.25,3.25,3.23
3.34,3.29,3.34,3.29
3.25,3.29,3.30,3.20
3.20,3.30,3.30,3.20
3.31,3.25,3.31,3.25
3.18,3.15,3.18,3.15
3.11,3.15,3.15,3.09
3.14,3.15,3.15,3.12
3.20,3.15,3.20,3.15
3.25,3.28,3.30,3.25
3.23,3.24,3.25,3.23
3.14,3.25,3.25,3.14
3.25,3.34,3.34,3.23
3.25,3.20,3.26,3.10
3.16,3.17,3.18,3.16
3.12,3.11,3.12,2.99
3.10,3.06,3.10,3.06
3.20,3.10,3.20,3.10
3.06,3.03,3.06,3.00
3.09,3.09,3.10,3.09
3.09,3.09,3.09,3.09
3.01,3.02,3.02,3.01
3.03,3.16,3.16,2.90
3.18,3.25,3.25,3.16
3.20,3.16,3.20,3.11
3.16,3.10,3.20,3.08
3.01,3.00,3.01,3.00
3.00,2.92,3.00,2.89
2.96,3.15,3.15,2.96
3.27,3.35,3.49,3.09
3.31,3.15,3.31,3.09
3.19,3.28,3.28,3.11
3.30,3.27,3.30,3.17
3.27,3.24,3.27,3.22
3.19,3.23,3.27,3.09
3.26,3.27,3.27,3.26
3.26,3.25,3.26,3.16
3.26,3.22,3.26,3.19
3.18,3.20,3.20,3.11
3.25,3.20,3.31,3.20
3.20,3.22,3.22,3.15
3.17,3.16,3.17,3.13
3.09,3.12,3.19,3.08
3.24,3.20,3.24,3.15
3.17,3.16,3.17,3.07
3.18,3.11,3.18,3.09
3.06,3.08,3.10,3.06
3.08,3.08,3.14,3.08
3.10,3.13,3.14,3.07
3.11,3.13,3.13,3.09
3.13,3.03,3.13,3.03
3.07,3.02,3.07,2.98
3.02,3.02,3.07,3.00
3.03,3.08,3.09,2.95
3.06,3.06,3.06,2.99
3.00,3.05,3.05,2.98
3.01,3.00,3.04,3.00
3.00,2.96,3.01,2.96
2.98,3.00,3.03,2.96
3.00,3.00,3.00,3.00
3.00,3.00,3.02,3.00
2.98,3.01,3.05,2.98
3.01,3.01,3.03,2.96
3.02,3.00,3.02,3.00
3.02,3.02,3.02,2.96
3.00,3.02,3.05,3.00
3.02,3.00,3.02,3.00
3.00,3.00,3.03,2.99
3.01,3.05,3.12,3.00
3.05,3.04,3.05,3.00
3.05,3.04,3.05,3.02
3.04,2.96,3.12,2.96
2.96,2.98,3.05,2.96
3.00,2.96,3.02,2.93
3.00,3.00,3.05,2.99
3.01,2.93,3.01,2.90
2.95,2.99,2.99,2.91
2.93,3.00,3.00,2.92
2.96,2.95,3.00,2.88
2.91,2.92,2.96,2.90
2.91,2.97,2.97,2.90
2.98,2.95,3.00,2.94
2.95,2.96,2.97,2.91
2.97,2.98,3.09,2.94
2.96,2.97,3.00,2.93
2.98,2.97,2.98,2.93
2.96,2.98,3.03,2.95
2.99,2.98,2.99,2.96
2.96,2.97,2.99,2.96
2.96,2.98,2.99,2.95
2.99,2.95,2.99,2.95
2.96,2.90,2.96,2.86
2.85,3.00,3.00,2.85
2.96,2.96,2.97,2.95
2.95,2.94,2.97,2.93
2.95,3.03,3.03,2.92
2.98,2.99,2.99,2.98
3.01,2.96,3.01,2.96
2.99,2.98,2.99,2.95
3.00,2.97,3.01,2.97
2.99,3.00,3.01,2.97
3.00,2.97,3.01,2.94
3.04,3.15,3.24,3.04
3.14,3.15,3.25,3.12
3.17,3.16,3.25,3.14
3.20,3.17,3.20,3.12
3.16,3.18,3.20,3.14
3.18,3.15,3.18,3.14
3.18,3.18,3.18,3.15
3.10,3.15,3.15,3.10
3.18,3.18,3.18,3.18
3.17,3.17,3.17,3.17
3.18,3.14,3.18,3.11
3.16,3.15,3.16,3.14
3.11,3.14,3.18,3.11
3.15,3.15,3.15,3.15
3.08,3.15,3.15,3.08
3.10,3.08,3.15,3.08
3.08,3.08,3.15,2.96
3.09,3.08,3.11,3.06
3.08,3.04,3.08,3.00
3.00,3.04,3.08,3.00
3.06,3.14,3.15,3.06
3.12,3.10,3.12,3.07
3.16,3.08,3.25,3.04
3.09,3.05,3.09,2.97
3.06,3.07,3.08,3.04
3.06,3.23,3.25,3.06
3.19,3.25,3.25,3.12
3.24,3.29,3.31,3.24
3.31,3.33,3.33,3.28
3.33,3.20,3.33,3.20
3.20,3.20,3.22,3.19
3.20,3.21,3.23,3.20
3.24,3.25,3.25,3.20
3.26,3.28,3.32,3.19
3.20,3.19,3.25,3.19
3.17,3.13,3.17,3.10
3.12,3.18,3.29,3.11
3.11,3.25,3.25,3.10
3.19,3.08,3.19,3.04
3.07,3.10,3.13,3.07
3.20,3.15,3.20,3.11
3.15,3.15,3.17,3.15
3.14,3.15,3.19,3.13
3.14,3.14,3.14,3.14
3.18,3.20,3.20,3.18
3.20,3.20,3.23,3.20
3.05,3.10,3.22,3.05
3.05,3.11,3.11,3.01
3.11,3.09,3.15,3.09
3.15,3.06,3.15,3.05
3.08,3.11,3.11,3.02
3.11,3.15,3.15,3.11
3.16,3.10,3.16,3.10
3.11,3.10,3.11,3.10
3.01,3.05,3.05,3.01
3.04,3.10,3.10,3.04
3.10,3.10,3.10,3.10
3.09,3.06,3.11,3.06
3.05,3.01,3.07,3.01
3.02,3.07,3.07,3.01
3.03,3.13,3.13,3.03
3.12,3.15,3.15,3.10
3.15,3.11,3.20,3.11
3.09,3.16,3.16,3.09
3.16,3.21,3.21,3.16
3.26,3.16,3.26,3.15
3.04,3.22,3.22,3.04
3.25,3.25,3.25,3.25
3.20,3.18,3.21,3.18
3.20,3.23,3.23,3.18
3.21,3.25,3.26,3.21
3.24,3.22,3.25,3.22
3.25,3.22,3.25,3.21
3.29,3.23,3.30,3.23
3.26,3.27,3.27,3.25
3.29,3.27,3.29,3.26
3.25,3.24,3.25,3.20
3.19,3.25,3.25,3.19
3.24,3.21,3.26,3.21
3.21,3.24,3.26,3.21
3.22,3.21,3.23,3.20
3.22,3.23,3.24,3.21
3.23,3.28,3.28,3.22
3.23,3.23,3.23,3.23
3.19,3.21,3.24,3.19
3.22,3.21,3.22,3.21
3.21,3.21,3.21,3.21
3.21,3.21,3.25,3.20
3.25,3.30,3.30,3.24
3.25,3.30,3.30,3.24
3.27,3.25,3.27,3.25
3.25,3.27,3.27,3.25
3.25,3.27,3.27,3.25
3.25,3.27,3.27,3.25
3.22,3.24,3.29,3.22
3.22,3.25,3.26,3.22
3.23,3.24,3.27,3.22
3.29,3.29,3.29,3.20
3.27,3.25,3.28,3.25
3.27,3.26,3.29,3.26
3.28,3.28,3.28,3.28
3.29,3.30,3.30,3.29
3.30,3.25,3.33,3.25
3.27,3.32,3.33,3.25
3.28,3.27,3.28,3.25
3.30,3.32,3.32,3.25
3.26,3.26,3.26,3.26
3.26,3.25,3.33,3.25
3.29,3.29,3.29,3.29
3.27,3.30,3.32,3.25
3.32,3.33,3.33,3.26
3.27,3.28,3.28,3.25
3.28,3.31,3.34,3.26
3.31,3.31,3.31,3.31
3.30,3.29,3.31,3.26
3.28,3.33,3.33,3.28
3.29,3.26,3.29,3.21
3.22,3.21,3.22,3.21
3.22,3.25,3.25,3.21
3.21,3.23,3.23,3.21
3.21,3.27,3.30,3.21
3.21,3.29,3.30,3.21
3.30,3.30,3.30,3.22
3.33,3.32,3.33,3.32
3.32,3.32,3.33,3.30
3.32,3.39,3.41,3.32
3.64,3.44,3.64,3.44
3.50,3.40,3.50,3.40
3.38,3.45,3.49,3.38
3.45,3.45,3.45,3.45
3.44,3.45,3.47,3.40
3.39,3.43,3.44,3.34
3.45,3.46,3.48,3.45
3.43,3.45,3.45,3.41
3.39,3.29,3.39,3.20
3.31,3.46,3.46,3.31
3.45,3.40,3.46,3.30
3.37,3.44,3.49,3.36
3.44,3.48,3.49,3.44
3.46,3.40,3.48,3.39
3.39,3.36,3.39,3.36
3.31,3.50,3.50,3.31
3.49,3.53,3.53,3.40
3.55,3.61,3.76,3.50
3.63,3.73,3.80,3.58
3.77,3.74,3.77,3.69
3.74,3.73,3.74,3.65
3.72,3.68,3.73,3.67
3.66,3.51,3.66,3.50
3.49,3.43,3.59,3.43
3.18,3.31,3.42,3.18
3.37,3.29,3.44,3.22
3.25,3.25,3.29,3.24
3.25,3.25,3.25,3.15
3.21,3.27,3.30,3.21
3.22,3.16,3.24,3.07
3.07,3.18,3.24,2.92
2.98,3.19,3.25,2.98
3.23,3.22,3.23,3.22
3.24,3.20,3.24,3.17
3.14,3.20,3.20,3.10
3.20,3.15,3.25,3.15
3.15,3.20,3.20,3.11
3.20,3.20,3.20,3.20
3.20,3.20,3.20,3.20
3.25,3.29,3.29,3.25
3.21,3.15,3.27,3.15
3.17,3.26,3.26,3.17
3.26,3.26,3.26,3.26
3.23,3.21,3.23,3.21
3.25,3.25,3.25,3.25
3.24,3.26,3.26,3.18
3.18,3.18,3.18,3.18
3.20,3.20,3.20,3.20
3.17,3.22,3.22,3.02
3.26,3.22,3.27,3.22
3.17,3.16,3.17,3.10
3.14,3.15,3.15,3.14
3.07,3.15,3.16,3.03
3.15,3.02,3.15,2.95
3.02,3.06,3.06,3.00
3.06,3.06,3.06,3.06
2.98,3.00,3.00,2.95
3.05,3.09,3.09,3.05
3.01,3.00,3.01,3.00
3.00,3.00,3.00,3.00
3.00,3.05,3.05,3.00
3.10,3.14,3.14,3.10
2.95,3.15,3.21,2.95
3.13,3.10,3.13,3.05
3.01,3.05,3.05,2.91
3.00,3.00,3.00,3.00
3.01,3.01,3.02,3.00
3.00,3.05,3.05,3.00
3.05,3.05,3.05,3.05
3.10,3.10,3.10,3.10
3.06,3.07,3.11,3.01
2.99,3.03,3.05,2.97
3.04,3.09,3.13,3.03
3.06,3.07,3.10,3.00
3.11,3.15,3.16,3.10
3.15,3.15,3.15,3.15
3.06,3.15,3.15,3.04
3.09,3.11,3.11,3.05
3.08,3.11,3.11,3.06
3.11,3.11,3.16,3.11
3.15,3.15,3.15,3.15
3.16,3.11,3.20,3.11
3.12,3.12,3.12,3.12
3.11,3.10,3.11,3.10
3.05,3.05,3.05,2.95
3.03,3.03,3.03,3.03
3.08,3.10,3.10,3.04
3.01,3.10,3.10,3.01
3.11,3.15,3.16,3.06
3.20,3.25,3.25,3.01
3.18,3.18,3.29,3.15
