HUM,Humana Inc. Common Stock,NASDAQ
44.43,45.68,45.77,44.43
45.79,45.66,46.16,45.27
45.66,45.98,46.34,45.35
46.25,48.12,48.69,46.25
47.81,47.51,48.02,47.20
47.48,46.95,47.73,46.71
46.48,46.18,46.78,45.62
46.24,47.03,47.14,45.32
46.76,48.02,48.60,46.75
48.14,48.51,48.99,47.59
49.30,51.94,52.26,49.30
52.65,51.27,52.66,50.30
51.13,51.77,52.18,51.01
51.70,51.00,52.58,50.82
50.89,49.56,51.41,49.40
49.60,48.27,49.69,48.10
48.25,49.02,50.11,47.81
49.26,48.79,50.21,48.43
49.11,48.62,49.71,48.54
48.00,48.71,50.37,46.18
48.93,50.30,50.34,48.53
50.22,48.98,50.33,48.53
48.90,47.17,48.90,47.16
46.66,47.02,47.20,45.65
46.99,46.75,47.71,46.50
47.35,47.92,48.34,46.26
48.01,47.10,48.01,45.89
47.29,46.82,47.33,46.30
46.30,45.95,46.30,45.43
46.34,46.01,46.45,45.24
46.32,46.64,47.30,46.18
46.39,46.20,46.91,45.89
45.82,45.35,46.11,45.07
45.81,47.87,47.98,45.70
47.50,46.82,47.73,46.64
46.87,46.91,46.95,46.00
46.53,47.13,47.59,45.90
47.18,47.33,48.00,47.00
47.64,47.48,48.47,46.95
47.39,47.49,47.95,46.98
47.75,47.49,48.13,47.39
47.41,47.12,47.49,46.18
47.40,48.14,48.14,47.21
48.25,47.95,48.25,47.54
47.65,47.94,48.19,47.55
47.84,48.32,48.65,47.84
48.35,49.00,49.17,47.79
49.18,47.97,49.18,47.82
48.03,47.50,48.05,46.87
47.46,47.70,47.75,46.83
47.81,48.23,48.35,47.26
48.22,50.09,50.25,47.43
50.00,50.00,50.84,49.26
49.56,49.32,50.63,48.45
49.21,49.02,49.50,48.44
48.97,47.90,48.98,47.79
48.38,47.87,48.42,47.55
48.09,47.20,48.09,47.02
47.35,47.43,47.71,47.22
47.13,47.34,47.41,46.86
47.16,46.77,47.32,46.54
47.11,46.92,47.25,46.52
47.03,47.11,47.27,46.72
47.44,47.83,48.44,47.21
47.75,46.49,47.75,46.28
46.47,46.31,46.48,45.67
46.32,45.13,46.36,44.58
44.99,44.51,45.15,44.14
44.43,44.08,44.62,43.33
44.10,44.00,44.42,43.05
43.97,44.00,44.31,43.38
43.94,43.93,44.60,43.31
43.67,44.66,45.45,43.66
45.48,45.17,45.64,44.27
45.04,44.45,45.47,44.19
44.38,44.48,44.50,43.65
44.38,45.53,45.83,44.07
46.92,43.56,46.92,43.42
43.31,43.57,44.84,43.21
43.58,45.69,46.08,43.41
46.17,47.19,47.61,46.08
47.17,45.72,47.32,45.64
45.81,46.36,46.42,45.15
45.57,45.85,46.12,45.34
45.40,46.57,46.62,45.39
46.49,45.59,47.12,43.27
45.35,44.35,45.35,43.66
45.56,45.95,46.33,45.26
45.56,45.60,46.24,45.37
45.65,45.99,46.27,45.64
45.56,45.80,46.69,45.50
45.58,45.75,45.83,44.79
45.71,45.89,46.27,44.98
46.09,46.20,47.21,45.98
46.09,46.24,46.65,45.66
45.39,44.34,45.72,44.26
43.58,44.71,44.88,43.17
44.44,44.81,45.42,44.00
43.77,44.21,44.22,43.30
44.40,44.54,45.53,44.29
45.57,45.71,45.74,44.98
45.62,46.05,46.39,45.24
45.65,45.52,46.72,45.36
45.65,47.43,47.43,45.53
47.52,48.23,48.40,47.32
47.38,47.39,49.27,47.22
47.65,46.59,48.20,45.74
46.64,46.63,47.14,45.91
46.90,46.84,47.47,46.60
47.26,47.27,47.40,46.52
46.90,47.95,47.95,46.32
48.22,48.10,48.67,48.04
48.25,48.98,48.98,48.06
48.59,48.83,49.11,48.49
49.01,49.49,49.49,48.83
49.29,49.25,49.57,48.83
49.79,49.26,50.16,49.03
49.22,48.41,49.59,48.34
48.15,48.64,49.03,47.67
48.57,47.92,49.03,47.78
48.06,48.10,48.47,47.51
48.15,48.06,48.39,47.62
47.12,45.97,47.49,45.73
45.86,45.67,46.34,45.54
45.51,44.59,45.54,43.59
44.56,44.34,44.81,44.01
44.86,44.46,45.24,43.97
44.62,45.39,45.50,44.38
45.79,45.94,46.35,45.59
46.22,46.20,46.28,45.65
46.05,45.92,46.14,45.57
46.27,46.36,46.61,45.86
46.14,46.88,46.93,45.81
46.81,46.85,47.47,46.52
46.50,45.66,47.09,45.55
45.86,46.52,46.87,45.76
46.47,46.50,46.94,45.56
46.51,45.71,46.71,45.42
46.30,46.33,47.07,46.04
46.23,46.02,46.49,45.48
46.05,46.91,46.92,46.05
47.19,46.63,47.29,46.57
46.50,45.74,46.69,45.56
46.08,46.17,46.61,45.36
45.87,47.02,47.87,45.66
48.41,48.73,48.83,47.31
48.60,48.89,49.49,48.27
48.98,49.72,49.76,48.91
49.56,49.97,50.38,49.35
49.61,50.61,50.78,49.53
50.94,50.71,51.24,50.53
50.18,50.68,50.95,49.77
49.96,48.93,49.96,48.21
48.08,49.31,49.52,48.00
49.12,49.33,49.53,48.57
49.04,49.00,49.14,48.52
49.46,49.67,50.07,49.12
49.59,50.12,50.33,49.25
50.13,48.81,50.13,48.74
48.42,48.51,48.73,47.92
48.65,48.50,48.91,48.32
48.01,47.69,48.19,47.21
47.53,48.67,48.79,47.43
48.91,48.32,49.34,48.18
48.60,48.94,49.01,47.62
48.94,47.98,48.98,47.98
47.71,47.79,48.30,47.21
48.34,49.55,49.62,48.13
49.69,49.81,49.81,49.01
50.23,51.08,51.08,50.04
50.76,50.88,51.07,50.32
50.92,50.85,51.11,50.46
51.29,51.84,51.96,51.22
51.98,52.78,52.93,51.84
52.94,52.60,53.55,52.43
52.31,52.06,52.98,52.03
52.00,51.79,52.17,51.48
51.63,51.44,51.71,51.14
51.49,50.37,51.81,50.29
50.77,50.98,51.29,50.76
51.00,51.00,51.47,50.77
50.63,50.24,50.69,49.48
49.96,49.98,50.55,49.65
50.40,50.25,50.58,49.90
50.15,50.03,50.45,49.85
50.24,50.59,50.75,49.75
50.38,50.14,50.55,49.87
50.42,50.24,50.57,49.89
50.59,50.13,50.75,49.79
50.07,49.29,50.49,49.06
49.79,50.50,50.54,49.75
50.36,49.59,50.65,49.26
49.71,49.89,50.41,49.00
50.23,50.85,51.01,50.17
51.12,51.29,51.74,50.85
51.29,52.20,52.30,50.90
52.60,53.80,54.27,52.26
53.63,54.31,55.31,53.48
54.77,54.84,55.18,53.80
54.96,55.43,55.53,54.55
54.57,54.12,54.98,53.77
54.29,55.98,56.43,54.29
56.10,56.27,56.33,55.51
56.28,56.97,57.14,55.90
57.21,57.46,58.09,57.15
57.13,57.21,57.53,56.84
56.66,57.37,57.47,56.02
57.61,57.84,58.04,57.10
57.81,58.29,58.40,57.56
59.25,58.68,59.80,57.81
59.25,60.64,61.33,59.21
60.83,59.57,61.25,58.97
60.33,59.26,60.35,58.85
59.51,59.56,60.06,59.33
59.22,59.62,59.94,59.20
59.54,59.12,59.78,58.91
59.04,59.65,59.65,58.20
59.36,59.97,60.18,59.24
60.31,59.20,60.31,59.12
59.45,58.55,59.62,58.19
58.26,57.56,58.39,57.26
57.62,58.05,58.37,56.97
55.05,56.81,56.84,54.57
56.48,56.03,56.74,55.61
55.73,58.34,58.68,55.12
57.88,56.89,57.88,56.64
57.14,56.97,57.47,56.73
56.48,56.79,57.19,56.23
56.21,56.40,56.44,54.94
56.09,56.04,56.25,55.43
56.90,57.09,57.81,56.86
57.11,57.47,57.54,56.84
56.96,57.04,57.42,56.64
57.04,56.41,57.30,56.40
56.97,56.11,57.04,55.85
56.20,56.43,56.75,55.94
56.45,56.08,56.71,55.90
56.21,56.51,57.11,56.20
56.62,56.54,57.80,56.06
56.53,56.03,56.95,55.93
55.90,54.58,55.90,54.54
54.54,55.04,55.24,54.24
54.64,55.36,55.50,54.46
55.44,54.84,55.48,54.80
54.87,54.80,56.06,54.61
54.93,55.85,55.93,54.69
55.70,55.43,55.80,55.25
55.19,55.04,55.37,54.93
55.14,54.80,55.22,54.57
54.87,54.67,55.05,54.62
54.62,54.59,54.88,54.50
54.50,54.74,55.16,54.35
55.06,55.10,55.87,55.01
54.96,55.30,55.32,54.57
55.01,55.04,55.61,54.96
55.36,57.06,57.23,55.32
57.07,56.83,57.59,56.21
56.60,55.81,56.62,55.68
55.95,57.32,57.45,55.95
