EZA,iShares MSCI South Africa Index Fund,NASDAQ
57.19,57.96,58.12,57.19
57.84,58.43,58.65,57.84
58.00,58.45,58.73,57.87
57.56,57.27,57.78,57.02
57.82,58.09,58.32,57.44
58.23,57.69,58.33,57.52
56.69,56.57,57.18,55.92
57.56,57.55,57.73,56.54
56.77,57.03,57.35,56.40
56.81,56.30,56.81,56.08
55.99,57.06,57.23,55.99
56.37,56.08,56.37,55.18
55.60,53.97,55.98,53.90
53.21,53.05,54.32,52.84
54.13,53.96,54.61,53.53
52.83,53.40,54.09,52.83
53.07,53.24,53.52,52.49
53.84,53.05,54.24,52.50
53.51,52.63,54.15,52.37
53.22,54.17,54.39,53.22
54.91,55.33,55.33,54.48
55.13,54.52,55.20,54.35
53.56,51.84,53.56,51.79
51.43,51.31,51.79,49.58
51.22,51.04,51.90,50.95
52.04,52.77,53.40,51.83
52.70,51.93,52.92,51.59
52.55,53.79,53.99,52.09
52.25,52.68,53.00,51.73
53.23,54.40,54.46,53.08
54.83,54.37,54.92,54.03
54.28,54.93,55.07,53.94
53.79,54.18,54.46,53.58
53.96,53.61,54.10,53.44
53.34,52.06,53.51,52.06
52.40,52.89,52.91,52.22
51.89,52.99,53.04,51.53
52.97,53.30,53.95,52.97
54.25,54.72,54.95,54.25
55.15,55.35,55.90,55.13
56.30,56.47,56.95,56.06
56.90,56.53,57.22,56.38
57.08,57.87,58.09,56.85
58.23,58.22,58.46,57.89
57.78,58.29,58.49,57.39
58.09,58.47,58.71,57.94
57.32,58.45,58.46,57.10
58.49,58.20,58.59,58.03
58.16,58.34,58.57,57.89
58.43,59.07,59.27,58.42
60.26,60.15,60.47,59.99
60.61,60.72,61.18,60.45
60.10,60.10,60.99,59.84
59.52,60.59,60.61,59.25
60.13,60.62,60.66,59.83
59.21,59.08,59.56,58.97
59.12,58.29,59.30,58.12
58.89,58.62,59.14,58.26
59.18,59.40,59.50,59.03
59.86,59.53,59.86,59.20
59.97,60.43,60.63,59.60
60.85,61.73,61.73,60.62
61.98,62.56,62.76,61.52
62.11,62.50,62.70,61.88
62.16,61.95,62.55,61.85
61.36,61.98,62.05,61.00
61.59,62.19,62.40,61.59
62.07,61.64,62.14,61.64
61.55,61.19,61.60,60.63
61.38,61.90,61.92,61.03
61.19,61.44,61.80,61.02
60.59,59.86,60.81,59.20
58.91,59.41,59.55,58.47
59.86,60.17,60.36,59.61
59.90,60.16,60.17,59.53
58.72,59.69,59.71,58.47
59.05,60.21,60.23,58.66
60.87,60.82,61.28,60.63
59.93,58.50,60.44,58.28
59.27,59.24,59.45,58.01
60.01,59.99,60.52,59.79
60.59,59.75,60.63,59.55
60.16,60.59,60.84,59.77
58.98,57.79,59.03,57.42
56.09,56.13,57.01,55.65
56.01,53.83,56.76,23.00
54.06,54.07,55.17,53.00
57.31,57.37,57.82,56.83
56.99,57.54,58.34,56.78
58.89,59.34,59.62,58.43
58.64,57.89,59.11,57.88
57.45,56.69,57.61,55.93
56.84,56.81,57.12,55.24
57.61,55.65,57.61,55.25
54.64,55.21,55.47,53.60
52.49,51.49,52.99,50.99
50.55,52.71,53.40,50.55
53.56,53.17,54.17,53.12
51.32,52.99,53.14,50.94
54.38,54.11,55.84,53.99
55.94,57.50,57.59,55.52
56.24,56.29,56.81,55.78
55.02,54.55,56.14,54.39
55.55,57.32,57.33,55.38
56.52,55.50,56.62,54.65
54.05,52.65,54.48,52.51
53.25,52.43,53.60,52.43
52.77,53.38,53.54,52.53
53.69,52.76,54.38,52.66
54.03,55.09,55.25,54.01
53.84,54.79,54.82,53.84
55.91,54.90,56.20,54.74
55.85,57.21,57.32,55.85
56.70,57.27,57.63,56.52
57.80,57.69,57.98,57.12
57.57,57.70,57.85,57.20
58.47,57.54,58.70,57.10
57.59,56.66,57.88,56.44
56.87,57.01,57.31,55.91
55.72,55.39,56.45,55.29
55.77,56.24,56.68,55.35
55.80,55.57,56.43,55.34
54.50,54.07,54.60,53.61
53.72,52.65,54.22,52.63
53.02,52.78,53.36,52.07
53.35,53.36,53.86,52.87
54.75,54.62,55.31,54.10
55.12,56.26,56.26,55.00
56.40,56.31,56.48,55.73
56.08,56.49,56.64,56.08
56.15,56.12,56.44,55.72
57.34,57.39,57.63,57.03
56.83,57.04,57.51,56.55
57.63,57.43,57.69,56.53
56.86,56.47,57.23,56.13
56.35,56.16,56.51,55.75
55.81,57.24,57.42,55.58
58.08,57.11,58.15,56.91
58.92,59.53,59.80,58.88
59.42,60.18,60.40,59.10
60.69,61.20,61.20,60.27
61.63,61.09,61.63,60.20
60.20,60.36,60.71,59.97
60.70,60.36,60.99,59.70
60.09,60.65,60.95,59.89
62.06,61.91,62.10,61.49
61.22,61.24,61.40,60.73
61.03,61.34,61.45,60.76
61.39,61.31,61.45,61.01
60.82,61.51,61.67,60.67
62.29,62.12,62.32,61.70
60.60,61.21,61.50,60.22
59.61,59.17,59.62,58.92
58.37,59.22,59.38,58.37
59.53,59.31,59.62,59.01
59.21,59.68,60.01,59.12
60.03,60.13,60.62,59.92
59.47,59.54,59.83,59.00
59.51,58.99,59.79,58.55
58.36,58.52,58.55,57.86
59.19,58.79,59.40,58.75
