CPST,Capstone Turbine Corporation - Common Stock,NASDAQ
25.60,25.60,25.80,25.20
25.40,27.60,27.60,25.20
27.60,28.40,29.00,26.60
28.40,28.20,28.60,27.20
27.80,28.00,28.20,27.40
28.00,28.40,28.60,27.80
28.80,28.20,29.00,27.60
28.40,28.20,28.60,28.00
28.20,27.80,28.40,27.40
27.80,26.80,28.00,25.80
26.40,26.60,27.60,26.00
26.60,25.60,26.60,25.60
26.00,25.00,26.00,25.00
24.81,24.00,25.40,24.00
24.80,22.40,25.00,22.40
23.00,22.80,23.60,22.60
22.80,22.80,23.80,22.60
23.40,22.60,23.60,22.60
23.00,23.00,23.60,22.40
23.20,23.20,23.40,22.60
23.60,23.60,23.80,23.20
23.40,23.00,24.40,23.00
23.40,22.00,23.80,22.00
22.40,22.20,23.20,22.00
22.80,22.40,23.20,22.40
22.60,22.80,23.60,22.60
24.20,25.40,25.80,23.80
26.00,25.00,26.00,24.40
24.00,24.40,24.80,23.40
24.00,24.40,24.80,23.60
24.00,24.20,24.80,24.00
24.00,24.80,25.00,24.00
22.40,23.00,23.00,22.00
22.60,22.40,22.60,22.20
22.00,21.80,22.40,21.20
21.60,21.60,21.80,21.20
21.40,21.60,21.80,21.40
22.00,23.80,23.80,21.60
23.40,24.20,24.20,22.80
24.00,23.80,24.00,23.40
24.00,24.00,24.20,23.40
24.00,23.80,24.60,23.80
24.40,24.00,24.60,23.40
24.40,24.40,24.60,24.00
24.20,24.60,24.60,23.80
24.20,24.20,24.40,24.00
24.00,24.20,24.40,23.80
24.20,25.40,25.60,24.00
25.40,25.00,25.40,24.40
24.80,25.20,25.40,24.60
25.20,25.00,25.60,24.40
25.00,24.20,25.20,24.20
24.60,24.80,25.20,24.40
24.40,24.80,25.60,24.40
25.20,25.40,25.40,24.80
25.40,25.80,26.60,25.00
26.40,26.40,26.80,25.80
27.00,26.80,27.00,26.20
26.80,25.20,26.80,25.00
25.20,24.00,25.80,24.00
24.00,25.40,25.60,24.00
N/A,N/A,N/A,N/A
25.60,26.20,26.20,25.40
25.40,26.20,26.20,25.00
25.40,26.00,26.20,25.40
25.20,26.20,26.20,25.20
25.60,26.20,26.20,25.40
25.60,26.00,26.20,25.60
25.60,26.00,26.00,25.40
25.40,26.00,26.00,25.40
25.60,25.40,25.80,25.20
25.00,25.40,25.40,24.20
25.00,24.60,25.20,24.40
24.60,25.40,25.60,24.60
25.00,25.20,25.80,24.80
25.20,25.40,25.40,24.60
25.20,25.40,25.40,24.80
25.00,25.60,25.80,24.60
25.80,25.20,25.80,24.60
25.20,25.20,25.20,24.60
24.80,24.60,25.40,24.60
25.20,24.60,25.20,24.40
24.60,25.20,25.80,24.60
25.20,25.00,25.60,25.00
25.00,26.00,26.80,24.60
26.00,23.00,27.00,22.40
24.80,22.80,24.80,22.00
24.40,23.40,24.40,23.00
23.40,22.80,24.20,22.80
23.80,24.40,24.40,23.40
24.20,24.00,24.40,23.60
24.00,23.00,24.20,23.00
23.40,23.20,24.00,23.20
24.00,22.80,24.00,22.80
23.00,23.20,23.20,22.40
22.80,20.20,22.80,19.80
20.20,21.00,21.80,19.42
22.00,20.40,22.80,20.40
20.40,21.60,21.80,20.00
22.40,22.20,22.60,21.60
22.60,22.80,22.80,22.20
22.80,23.00,23.00,21.60
22.60,23.00,23.00,22.20
22.20,22.80,22.80,22.20
22.20,22.40,22.80,22.20
22.40,22.35,22.60,21.80
22.00,21.80,22.20,20.80
22.40,21.60,22.41,21.60
21.80,21.00,22.00,21.00
21.20,22.00,22.00,21.20
22.00,22.00,22.40,21.80
22.60,23.00,23.00,22.00
