URI,United Rentals,NASDAQ
9.92,10.04,10.13,9.79
10.04,9.93,10.04,9.80
9.90,9.93,9.97,9.69
9.87,9.80,9.98,9.73
9.78,9.58,9.85,9.52
9.61,9.30,9.65,9.29
9.30,9.14,9.32,8.97
9.16,8.96,9.21,8.85
8.97,8.98,9.00,8.87
9.03,9.14,9.15,8.91
9.19,9.28,9.33,9.10
9.20,9.25,9.28,9.00
9.28,8.80,9.28,8.73
8.73,8.49,8.87,8.45
8.56,8.62,8.75,8.36
8.59,8.50,8.77,8.43
8.49,8.34,8.51,8.26
8.34,8.33,8.44,8.18
8.30,8.01,8.43,8.01
8.06,8.38,8.44,8.05
8.37,8.46,8.61,8.25
8.42,8.31,8.50,8.15
8.18,7.38,8.20,7.29
7.33,7.38,7.43,7.13
7.38,7.41,7.53,7.25
7.54,7.54,7.81,7.34
7.50,7.28,7.60,7.18
7.25,7.08,7.30,7.03
7.03,7.07,7.10,6.99
7.14,7.14,7.20,7.03
7.15,7.16,7.21,7.02
7.14,7.02,7.17,6.93
6.96,7.03,7.06,6.87
7.09,7.44,7.46,6.99
7.44,7.29,7.47,7.24
7.30,7.36,7.46,7.25
7.23,7.28,7.32,7.03
7.27,7.55,7.60,7.21
7.57,7.80,7.97,7.56
7.86,8.02,8.15,7.80
8.04,7.76,8.19,7.67
7.73,7.87,7.93,7.68
8.00,8.28,8.31,7.92
8.29,8.18,8.35,8.11
8.11,8.39,8.49,8.11
8.38,8.50,8.64,8.29
8.29,8.47,8.52,8.11
8.48,8.42,8.50,8.26
8.34,8.25,8.42,8.13
8.29,8.25,8.31,8.17
8.25,8.25,8.33,8.17
8.25,8.14,8.30,8.11
7.96,7.96,8.28,7.94
7.88,7.97,8.15,7.83
8.00,8.39,8.41,8.00
8.35,8.46,8.49,8.25
8.52,8.41,8.70,8.41
8.37,8.40,8.65,8.31
8.50,9.00,9.10,8.41
9.05,9.40,9.44,9.02
9.37,9.38,9.62,9.17
9.51,9.27,9.56,9.26
9.30,9.60,9.64,9.26
9.56,9.74,9.80,9.48
9.65,9.83,10.00,9.65
9.69,9.82,9.86,9.39
9.83,10.46,10.48,9.76
10.37,10.20,10.45,10.16
10.22,10.47,10.54,10.12
10.50,10.78,10.84,10.42
10.71,10.94,11.05,10.71
10.86,10.63,11.02,10.53
10.53,10.73,10.80,10.53
10.77,10.73,10.93,10.54
10.75,10.70,10.76,10.35
10.65,12.51,12.61,10.45
12.49,13.14,13.35,12.42
13.08,13.82,13.94,13.08
13.75,13.22,13.95,13.13
13.35,13.30,13.83,13.12
13.33,14.46,14.69,13.33
14.44,14.36,14.79,14.33
14.48,14.59,14.70,14.31
14.27,13.90,14.27,13.70
13.59,13.30,13.80,13.14
13.13,12.58,13.60,11.37
12.60,12.12,12.75,11.99
12.58,13.34,13.48,12.58
13.10,13.46,13.90,12.88
13.51,14.01,14.29,13.51
14.01,14.20,14.55,13.91
14.02,13.56,14.12,13.27
13.66,13.38,13.92,12.92
13.50,13.31,13.84,13.17
13.43,12.61,13.43,12.37
12.15,11.61,12.42,11.61
11.40,11.81,12.21,11.20
11.77,11.89,12.28,11.77
11.34,11.51,11.51,10.88
11.55,11.70,12.17,11.51
12.05,12.41,12.41,11.85
12.33,12.15,12.61,12.08
12.00,12.21,12.63,11.70
12.36,12.62,12.62,12.23
12.48,12.55,12.70,12.29
12.18,11.65,12.33,11.64
11.66,11.17,11.80,11.08
11.25,10.83,11.41,10.77
10.91,10.97,11.63,10.87
11.23,11.40,11.46,11.14
11.12,11.70,11.70,11.00
11.93,11.83,12.22,11.76
12.00,12.61,12.65,11.91
12.50,12.63,12.74,12.30
12.64,12.52,12.70,12.17
12.57,12.48,12.77,11.92
12.75,12.23,13.07,12.09
12.24,11.52,12.39,11.44
11.56,10.98,11.56,10.83
