HEI,Heico Corporation Common Stock,NASDAQ
44.87,44.77,45.92,44.67
44.85,45.57,45.99,44.51
45.39,45.52,45.73,44.97
45.81,45.66,45.87,45.16
45.41,45.42,45.84,45.08
45.73,45.65,45.78,44.88
45.28,44.98,45.75,44.89
45.24,45.63,45.77,45.08
45.63,45.88,46.23,45.31
46.11,44.74,46.11,44.37
44.68,45.66,45.85,44.68
45.24,44.68,45.26,43.51
44.83,44.02,44.83,43.91
43.89,43.47,44.33,43.31
43.80,43.04,43.80,43.01
42.80,42.60,43.10,42.29
42.39,43.07,43.48,42.39
43.42,42.72,43.48,42.33
42.81,42.53,43.11,42.22
42.54,42.38,42.85,41.99
42.28,42.40,42.73,42.00
42.14,43.43,43.49,41.96
43.05,42.00,43.05,41.68
41.99,41.97,42.29,41.10
41.84,41.17,42.00,41.17
41.67,41.84,42.02,41.40
41.60,42.19,42.31,41.34
42.01,42.78,42.82,41.55
42.33,42.67,42.84,42.31
43.06,43.54,43.54,42.79
43.78,44.47,44.49,43.75
44.56,44.63,44.82,44.11
44.66,45.17,45.38,44.36
45.41,45.42,46.32,45.38
45.50,44.95,45.70,44.28
44.91,45.51,45.71,44.88
43.51,47.74,47.96,43.51
47.91,47.65,48.49,47.52
47.99,50.90,51.00,47.99
51.35,50.66,51.50,50.46
50.98,50.38,51.17,49.83
50.61,50.76,51.12,49.78
50.96,50.86,51.14,50.25
50.76,50.72,51.14,50.43
50.72,51.33,51.35,50.71
51.33,51.54,51.88,51.33
51.34,51.18,51.55,50.68
51.40,50.93,51.63,49.77
50.93,50.33,51.30,49.90
50.62,50.72,50.77,50.07
50.10,49.67,50.81,49.58
49.81,49.06,50.28,48.95
49.29,49.29,49.50,48.58
49.10,50.77,50.79,48.70
50.93,51.64,51.75,50.70
51.32,50.39,51.56,50.29
50.79,49.62,51.01,49.55
49.90,49.00,50.19,48.84
48.49,50.02,50.55,48.49
50.28,51.48,51.63,50.08
51.46,51.56,52.11,50.87
52.82,51.99,52.83,51.61
52.02,52.15,52.30,51.42
52.02,52.06,52.86,51.68
51.85,51.38,52.11,51.16
51.10,50.94,51.34,50.75
51.08,50.47,51.11,50.10
50.61,51.01,51.62,50.45
50.76,50.94,51.24,50.39
51.21,51.73,51.75,50.78
51.71,52.58,52.70,51.61
52.48,51.60,52.62,50.87
51.48,51.86,51.97,50.65
52.14,52.80,52.85,51.90
52.80,54.16,54.19,52.71
53.47,55.55,55.58,53.47
55.73,55.55,55.75,55.05
55.40,55.88,56.44,55.17
44.76,43.80,44.92,43.23
44.34,43.25,44.34,43.07
44.05,44.73,45.36,42.80
44.44,43.07,44.73,43.04
43.18,44.45,44.61,42.80
43.67,42.88,43.85,42.50
42.53,41.90,42.53,41.70
41.62,40.39,41.88,38.24
40.05,39.22,40.54,38.34
41.40,40.79,41.40,40.15
40.69,41.30,42.26,40.21
41.52,42.89,43.06,41.51
42.69,42.34,43.19,42.10
42.13,41.56,42.36,40.90
41.62,41.67,42.11,40.55
42.29,42.61,42.90,41.97
42.56,42.52,42.99,42.15
41.84,39.81,41.85,39.78
39.15,39.48,40.23,38.76
39.33,39.11,40.37,38.94
38.01,37.88,38.65,37.69
38.40,38.88,40.43,38.40
39.92,40.22,40.65,39.11
40.20,39.89,40.29,39.45
39.56,38.78,40.07,38.70
38.85,40.05,40.12,38.40
39.87,39.15,40.62,38.84
38.09,36.55,38.44,36.36
36.64,35.63,36.67,35.52
35.79,35.65,36.02,34.67
35.95,36.04,36.68,35.57
36.74,37.24,37.30,36.62
36.90,37.32,37.52,36.78
37.63,37.91,38.40,37.32
38.39,37.79,38.50,37.34
37.48,37.68,37.84,37.31
38.00,37.58,38.00,37.16
37.79,37.50,37.91,37.14
38.06,37.35,38.38,37.00
37.50,36.33,37.93,36.27
36.18,36.51,36.87,35.78
36.24,36.13,36.68,35.79
36.35,36.78,36.88,35.84
36.82,37.30,37.77,36.42
36.58,36.42,37.30,36.03
36.47,35.92,37.02,35.63
36.10,36.22,36.39,35.30
36.45,36.06,36.45,35.74
36.76,36.15,36.88,35.94
36.41,37.40,37.47,36.41
37.79,37.94,38.07,37.38
37.85,37.95,38.00,37.30
37.85,37.65,38.15,37.07
38.29,39.20,39.39,38.19
38.92,38.98,39.11,38.58
38.93,38.54,38.94,37.74
38.08,35.83,38.08,35.66
35.94,35.76,36.06,35.30
35.37,36.04,36.10,35.01
36.21,35.45,36.33,35.35
36.24,36.71,36.87,36.12
