ANTM,Anthem,NASDAQ
57.37,57.78,57.90,56.76
57.75,58.39,58.39,57.34
57.60,56.11,57.69,55.90
56.32,57.22,57.57,56.24
57.45,56.63,57.49,56.23
56.68,57.54,57.70,56.68
57.84,57.26,58.33,57.20
56.39,55.94,56.64,55.67
55.37,54.91,55.63,54.23
55.33,54.61,55.39,54.30
54.55,54.34,55.01,54.10
54.64,54.72,55.19,54.26
55.21,55.75,56.41,55.14
55.15,56.05,57.74,54.50
56.71,56.71,57.04,55.44
56.67,57.35,58.01,56.67
57.30,58.68,58.82,57.21
58.51,57.74,58.70,57.51
57.72,58.90,58.95,56.90
58.36,58.59,58.84,57.91
58.26,58.08,58.81,57.49
57.09,57.18,58.04,56.70
56.72,55.99,57.02,55.95
56.08,56.45,56.65,55.60
56.60,56.32,57.00,54.86
56.35,58.61,58.72,55.88
60.40,59.97,61.00,59.39
59.51,58.52,60.09,58.48
58.98,57.86,59.48,57.84
57.66,57.10,58.27,57.00
56.62,57.07,57.27,56.01
56.56,55.74,56.74,55.64
56.45,56.49,57.43,56.32
56.42,58.44,58.56,56.42
58.12,57.02,58.12,56.87
57.00,55.94,57.13,55.86
56.54,55.75,56.57,55.64
56.12,56.53,56.53,55.86
56.85,56.71,56.97,56.24
56.70,57.68,57.74,56.65
57.94,57.53,59.69,57.34
57.70,58.11,58.30,57.50
57.91,56.32,58.01,56.22
56.50,56.02,57.07,55.94
55.93,55.93,56.02,55.56
55.98,56.10,56.47,55.60
56.06,56.56,57.78,56.05
56.49,57.12,57.18,56.48
57.13,57.44,57.51,57.00
57.21,57.15,57.31,56.83
57.11,56.99,57.32,56.67
57.09,56.91,57.18,56.91
56.78,56.61,57.08,56.55
56.61,56.86,56.99,56.60
57.09,57.95,58.03,56.79
57.85,58.33,58.40,57.50
58.11,58.48,58.54,57.98
58.41,59.52,59.68,58.28
59.67,60.46,60.53,59.49
60.05,61.13,61.59,59.85
61.24,61.87,62.21,61.16
62.32,61.93,62.34,61.45
62.02,61.81,62.26,61.51
62.07,63.55,63.85,61.81
63.63,62.97,63.63,62.61
63.06,62.06,63.06,61.53
62.29,61.56,62.66,61.14
62.00,61.45,62.25,61.36
61.57,60.99,61.94,60.76
60.82,61.70,62.24,60.69
60.75,62.55,63.48,60.32
62.57,64.36,64.97,62.50
64.30,62.66,64.30,62.42
62.76,62.12,63.38,61.61
62.66,63.75,63.98,62.38
63.60,64.48,64.63,63.35
64.27,64.39,65.50,62.74
66.11,65.07,67.30,64.27
65.10,64.11,65.10,64.07
64.42,65.28,65.43,64.18
65.05,65.25,65.42,64.89
65.09,65.36,65.75,64.94
64.95,65.25,65.97,64.84
65.32,65.94,66.11,65.04
65.62,65.94,66.28,65.55
66.01,66.37,66.73,65.95
66.10,67.21,67.35,65.84
67.44,67.40,67.95,67.17
66.42,65.29,67.42,65.01
