HUSA,Houston American Energy Corporation Common Stock,NASDAQ
6.20,6.39,6.55,6.20
6.51,6.63,6.75,6.40
6.74,6.78,6.84,6.65
6.82,6.91,7.00,6.79
6.83,7.04,7.05,6.83
7.05,7.52,7.52,7.05
7.48,7.80,8.00,7.45
7.89,6.83,8.12,6.82
6.80,6.99,7.14,6.55
7.01,6.70,7.19,6.65
6.61,7.14,7.15,6.61
7.11,7.30,7.37,7.09
7.30,7.64,7.69,7.25
7.62,7.84,7.97,7.42
7.84,8.38,8.45,7.61
8.22,8.27,8.48,7.95
8.29,8.00,8.29,7.86
8.14,7.91,8.18,7.85
8.02,7.84,8.07,7.61
7.93,7.86,8.00,7.76
7.76,7.78,7.83,7.63
7.75,8.11,8.22,7.75
8.01,7.83,8.13,7.75
7.79,7.67,8.04,7.60
7.63,7.91,8.10,7.63
8.07,8.11,8.18,7.93
8.11,8.13,8.17,7.93
8.18,8.32,8.34,8.06
8.27,8.52,8.52,8.13
8.50,10.01,10.20,8.50
10.01,11.13,11.28,9.90
11.13,11.61,11.66,10.81
11.47,11.85,12.18,11.31
11.94,11.71,12.26,11.31
11.74,11.49,11.90,11.28
11.50,12.01,12.24,11.45
12.00,12.56,12.67,11.61
12.58,13.69,14.18,12.58
13.75,14.90,14.97,13.75
15.00,13.70,15.00,13.31
13.70,12.70,13.90,12.47
12.76,13.25,13.40,12.46
13.41,13.55,13.91,13.10
13.50,13.32,13.74,13.26
13.23,13.13,13.35,12.94
13.20,12.53,13.34,12.36
12.53,12.91,13.19,12.13
13.05,13.41,13.65,12.94
13.59,14.22,14.69,13.42
14.14,14.15,14.34,13.69
14.30,15.72,15.90,14.30
15.89,15.80,15.99,15.20
15.80,15.64,16.15,15.38
15.50,17.03,17.07,15.44
17.34,17.86,18.29,17.34
17.85,17.77,18.19,17.30
17.89,17.24,18.25,16.91
17.56,17.31,17.80,17.13
17.57,18.55,18.68,17.41
18.81,18.55,18.96,18.05
18.54,18.15,18.67,18.06
18.15,19.62,19.74,18.06
19.74,19.57,19.95,18.80
19.60,20.35,20.36,19.36
19.82,14.51,20.19,14.27
15.34,13.77,16.42,13.35
13.89,14.20,14.39,12.57
14.11,13.82,14.65,13.80
12.98,12.93,13.32,12.63
12.83,13.69,13.86,12.36
13.24,13.30,13.69,12.90
13.22,13.00,13.48,12.80
12.76,12.70,13.14,12.30
12.78,12.68,12.95,12.50
12.65,13.38,13.49,12.48
13.16,13.30,13.50,13.15
13.26,13.27,13.42,12.90
13.28,14.33,14.55,13.28
14.39,13.36,14.45,13.35
